,Low,High,Close,Volume
2012-08-13,8.535,8.535,8.535,0
2012-08-14,8.535,8.535,8.535,0
2012-08-15,8.535,8.535,8.535,0
2012-08-16,8.535,8.535,8.535,0
2012-08-17,8.535,8.535,8.535,0
2012-08-20,8.535,8.535,8.535,0
2012-08-21,9.215,9.215,9.215,521
2012-08-22,9.215,9.215,9.215,0
2012-08-23,9.215,9.215,9.215,0
2012-08-24,9.215,9.215,9.215,0
2012-08-27,9.215,9.215,9.215,0
2012-08-28,9.215,9.215,9.215,0
2012-08-29,9.215,9.215,9.215,0
2012-08-30,9.215,9.215,9.215,0
2012-08-31,9.215,9.215,9.215,0
2012-09-04,9.215,9.215,9.215,0
2012-09-05,9.215,9.215,9.215,0
2012-09-06,9.215,9.215,9.215,0
2012-09-07,9.215,9.215,9.215,0
2012-09-10,9.215,9.215,9.215,0
2012-09-11,9.215,9.215,9.215,0
2012-09-12,9.215,9.215,9.215,0
2012-09-13,9.215,9.215,9.215,0
2012-09-14,9.215,9.215,9.215,0
2012-09-17,9.215,9.215,9.215,0
2012-09-18,9.215,9.215,9.215,0
2012-09-19,9.215,9.215,9.215,0
2012-09-20,9.215,9.215,9.215,0
2012-09-21,9.215,9.215,9.215,0
2012-09-24,9.215,9.215,9.215,0
2012-09-25,9.215,9.215,9.215,0
2012-09-26,9.215,9.215,9.215,0
2012-09-27,9.215,9.215,9.215,0
2012-09-28,9.215,9.215,9.215,0
2012-10-01,9.215,9.215,9.215,0
2012-10-02,9.215,9.215,9.215,0
2012-10-03,9.215,9.215,9.215,0
2012-10-04,9.215,9.215,9.215,0
2012-10-05,9.215,9.215,9.215,0
2012-10-08,9.215,9.215,9.215,0
2012-10-09,9.215,9.215,9.215,0
2012-10-10,9.554,9.554,9.554,208
2012-10-11,9.554,9.554,9.554,0
2012-10-12,9.554,9.554,9.554,0
2012-10-15,9.554,9.554,9.554,0
2012-10-16,9.554,9.554,9.554,0
2012-10-17,9.554,9.554,9.554,0
2012-10-18,9.554,9.554,9.554,0
2012-10-19,9.554,9.554,9.554,0
2012-10-22,9.554,9.554,9.554,0
2012-10-23,9.554,9.554,9.554,0
2012-10-24,9.554,9.554,9.554,0
2012-10-25,9.554,9.554,9.554,0
2012-10-26,9.554,9.554,9.554,0
2012-10-31,9.554,9.554,9.554,0
2012-11-01,9.554,9.554,9.554,0
2012-11-02,9.554,9.554,9.554,0
2012-11-05,9.554,9.554,9.554,0
2012-11-06,9.554,9.554,9.554,0
2012-11-07,9.554,9.554,9.554,0
2012-11-08,10.453,10.453,10.453,417
2012-11-09,10.453,10.453,10.453,0
2012-11-12,10.453,10.453,10.453,0
2012-11-13,10.453,10.453,10.453,0
2012-11-14,10.453,10.453,10.453,0
2012-11-15,10.453,10.453,10.453,0
2012-11-16,10.453,10.453,10.453,0
2012-11-19,10.453,10.453,10.453,0
2012-11-20,10.453,10.453,10.453,0
2012-11-21,10.453,10.453,10.453,0
2012-11-23,10.453,10.453,10.453,0
2012-11-26,10.453,10.453,10.453,0
2012-11-27,10.453,10.453,10.453,0
2012-11-28,10.453,10.453,10.453,0
2012-11-29,10.453,10.453,10.453,0
2012-11-30,10.453,10.453,10.453,0
2012-12-03,10.453,10.453,10.453,0
2012-12-04,10.453,10.453,10.453,0
2012-12-05,10.453,10.453,10.453,0
2012-12-06,10.453,10.453,10.453,0
2012-12-07,10.453,10.453,10.453,0
2012-12-10,10.453,10.453,10.453,0
2012-12-11,10.453,10.453,10.453,0
2012-12-12,10.453,10.453,10.453,0
2012-12-13,10.453,10.453,10.453,0
2012-12-14,10.453,10.453,10.453,0
2012-12-17,10.453,10.453,10.453,0
2012-12-18,10.453,10.453,10.453,0
2012-12-19,10.453,10.453,10.453,0
2012-12-20,10.453,10.453,10.453,0
2012-12-21,10.453,10.453,10.453,0
2012-12-24,10.453,10.453,10.453,0
2012-12-26,10.453,10.453,10.453,0
2012-12-27,10.453,10.453,10.453,0
2012-12-28,10.453,10.453,10.453,0
2012-12-31,10.453,10.453,10.453,0
2013-01-02,10.453,10.453,10.453,0
2013-01-03,10.453,10.453,10.453,0
2013-01-04,10.453,10.453,10.453,0
2013-01-07,10.453,10.453,10.453,0
2013-01-08,10.453,10.453,10.453,0
2013-01-09,10.453,10.453,10.453,0
2013-01-10,10.453,10.453,10.453,0
2013-01-11,10.453,10.453,10.453,0
2013-01-14,10.453,10.453,10.453,0
2013-01-15,10.453,10.453,10.453,0
2013-01-16,10.453,10.453,10.453,0
2013-01-17,10.453,10.453,10.453,0
2013-01-18,10.453,10.453,10.453,0
2013-01-22,10.453,10.453,10.453,0
2013-01-23,10.453,10.453,10.453,0
2013-01-24,10.453,10.453,10.453,0
2013-01-25,10.453,10.453,10.453,0
2013-01-28,10.453,10.453,10.453,0
2013-01-29,10.453,10.453,10.453,0
2013-01-30,10.453,10.453,10.453,0
2013-01-31,10.453,10.453,10.453,0
2013-02-01,10.453,10.453,10.453,0
2013-02-04,10.453,10.453,10.453,0
2013-02-05,10.453,10.453,10.453,0
2013-02-06,10.453,10.453,10.453,0
2013-02-07,10.453,10.453,10.453,0
2013-02-08,10.453,10.453,10.453,0
2013-02-11,10.453,10.453,10.453,0
2013-02-12,10.453,10.453,10.453,0
2013-02-13,10.453,10.453,10.453,0
2013-02-14,10.453,10.453,10.453,0
2013-02-15,10.453,10.453,10.453,0
2013-02-19,10.453,10.453,10.453,0
2013-02-20,10.453,10.453,10.453,0
2013-02-21,10.453,10.453,10.453,0
2013-02-22,10.453,10.453,10.453,0
2013-02-25,10.453,10.453,10.453,0
2013-02-26,10.453,10.453,10.453,0
2013-02-27,10.453,10.453,10.453,0
2013-02-28,10.453,10.453,10.453,0
2013-03-01,10.453,10.453,10.453,0
2013-03-04,10.453,10.453,10.453,0
2013-03-05,10.453,10.453,10.453,0
2013-03-06,10.453,10.453,10.453,0
2013-03-07,10.453,10.453,10.453,0
2013-03-08,10.453,10.453,10.453,0
2013-03-11,10.453,10.453,10.453,0
2013-03-12,10.453,10.453,10.453,0
2013-03-13,10.453,10.453,10.453,0
2013-03-14,10.453,10.453,10.453,0
2013-03-15,10.453,10.453,10.453,0
2013-03-18,10.453,10.453,10.453,0
2013-03-19,10.453,10.453,10.453,0
2013-03-20,10.453,10.453,10.453,0
2013-03-21,10.453,10.453,10.453,0
2013-03-22,10.453,10.453,10.453,0
2013-03-25,10.453,10.453,10.453,0
2013-03-26,10.453,10.453,10.453,0
2013-03-27,10.453,10.453,10.453,0
2013-03-28,10.453,10.453,10.453,0
2013-04-01,10.453,10.453,10.453,0
2013-04-02,10.453,10.453,10.453,0
2013-04-03,10.453,10.453,10.453,0
2013-04-04,10.453,10.453,10.453,0
2013-04-05,10.453,10.453,10.453,0
2013-04-08,10.453,10.453,10.453,0
2013-04-09,10.453,10.453,10.453,0
2013-04-10,10.453,10.453,10.453,0
2013-04-11,12.576,12.576,12.576,208
2013-04-12,12.576,12.576,12.576,0
2013-04-15,12.576,12.576,12.576,0
2013-04-16,12.576,12.576,12.576,0
2013-04-17,12.576,12.576,12.576,0
2013-04-18,12.576,12.576,12.576,0
2013-04-19,12.576,12.576,12.576,0
2013-04-22,12.576,12.576,12.576,0
2013-04-23,12.576,12.576,12.576,0
2013-04-24,12.576,12.576,12.576,0
2013-04-25,12.455,12.455,12.455,1564
2013-04-26,12.455,12.455,12.455,0
2013-04-29,12.455,12.455,12.455,0
2013-04-30,12.553,12.553,12.553,834
2013-05-01,12.553,12.553,12.553,0
2013-05-02,12.553,12.553,12.553,0
2013-05-03,12.553,12.553,12.553,0
2013-05-06,12.553,12.553,12.553,0
2013-05-07,12.553,12.553,12.553,0
2013-05-08,12.553,12.553,12.553,0
2013-05-09,12.553,12.553,12.553,0
