,Low,High,Close,Volume
2010-12-09,7.842,8.089,8.056,99700
2010-12-10,7.946,8.303,8.226,128600
2010-12-13,7.99,8.281,8.166,49300
2010-12-14,7.996,8.16,8.023,35200
2010-12-15,7.815,8.018,7.93,75500
2010-12-16,7.48,7.99,7.946,94800
2010-12-17,7.782,8.177,8.166,81800
2010-12-20,8.007,8.188,8.116,41600
2010-12-21,8.083,8.226,8.226,35000
2010-12-22,8.04,8.292,8.286,56900
2010-12-23,8.221,8.308,8.226,17000
2010-12-27,8.215,8.358,8.303,20400
2010-12-28,8.226,8.407,8.352,23300
2010-12-29,8.314,8.418,8.396,55600
2010-12-30,8.425,8.503,8.492,18800
2010-12-31,8.414,8.503,8.42,34200
2011-01-03,8.409,8.619,8.602,45500
2011-01-04,8.315,8.608,8.558,65200
2011-01-05,8.514,8.641,8.58,39700
2011-01-06,8.497,8.818,8.784,62800
2011-01-07,8.475,8.751,8.613,46800
2011-01-10,8.475,8.696,8.696,28400
2011-01-11,8.563,8.9,8.569,85400
2011-01-12,8.221,8.657,8.337,53900
2011-01-13,8.066,8.293,8.193,83900
2011-01-14,8.066,8.425,8.309,50800
2011-01-18,8.204,8.602,8.381,58600
2011-01-19,8.155,8.353,8.177,40500
2011-01-20,7.873,8.26,7.873,48300
2011-01-21,7.514,8.033,7.519,51500
2011-01-24,7.392,7.602,7.431,38300
2011-01-25,7.381,7.608,7.591,40700
2011-01-26,7.525,7.768,7.646,35300
2011-01-27,7.569,7.768,7.574,23000
2011-01-28,7.221,7.574,7.226,44200
2011-01-31,7.16,7.37,7.177,40100
2011-02-01,7.182,7.591,7.558,96900
2011-02-02,7.348,7.702,7.436,49800
2011-02-03,7.425,7.602,7.569,85100
2011-02-04,7.519,7.773,7.536,45700
2011-02-07,7.464,7.707,7.525,41900
2011-02-08,7.431,7.547,7.525,15200
2011-02-09,7.409,7.624,7.624,28200
2011-02-10,7.597,7.69,7.668,41900
2011-02-11,7.619,7.851,7.845,31300
2011-02-14,7.751,8.127,8.005,52700
2011-02-15,7.878,8.182,8.116,65600
2011-02-16,8.072,8.342,8.337,54000
2011-02-17,8.177,8.337,8.315,40700
2011-02-18,8.315,8.392,8.37,25800
2011-02-22,8.215,8.381,8.287,72000
2011-02-23,8.215,8.315,8.287,66500
2011-02-24,7.823,8.32,7.939,150500
2011-02-25,7.458,7.923,7.845,363400
2011-02-28,7.685,8.05,7.895,269000
2011-03-01,7.818,7.972,7.9,50800
2011-03-02,7.635,7.906,7.862,29700
2011-03-03,7.889,8.066,8.055,46800
2011-03-04,8.028,8.149,8.099,36900
2011-03-07,7.923,8.132,8.005,23100
2011-03-08,7.934,8.088,8.072,22200
2011-03-09,7.928,8.083,7.928,22300
2011-03-10,7.724,7.867,7.818,47700
2011-03-11,7.729,7.84,7.773,18900
2011-03-14,7.702,7.873,7.713,14500
2011-03-15,7.624,7.757,7.69,36300
2011-03-16,7.569,7.757,7.729,40000
2011-03-17,7.58,7.911,7.597,49400
2011-03-18,7.574,7.823,7.702,154700
2011-03-21,7.663,7.834,7.735,22000
2011-03-22,7.674,7.823,7.79,17300
2011-03-23,7.624,7.812,7.707,42900
2011-03-24,7.624,7.735,7.624,39100
2011-03-25,7.547,7.729,7.558,58000
2011-03-28,7.486,7.624,7.503,53900
2011-03-29,7.464,7.563,7.53,28000
2011-03-30,7.525,7.597,7.558,45000
2011-03-31,7.521,7.621,7.576,44100
2011-04-01,7.537,7.654,7.571,106700
2011-04-04,7.509,7.615,7.532,58600
2011-04-05,7.521,7.727,7.548,103000
2011-04-06,7.515,7.604,7.593,30200
2011-04-07,7.532,7.632,7.537,35800
2011-04-08,7.443,7.604,7.443,41900
2011-04-11,7.353,7.443,7.42,35100
2011-04-12,7.314,7.465,7.376,35500
2011-04-13,7.376,7.459,7.426,40600
2011-04-14,7.32,7.47,7.398,26200
2011-04-15,7.326,7.465,7.42,58600
2011-04-18,7.331,7.459,7.448,43800
2011-04-19,7.365,7.437,7.409,73800
2011-04-20,7.381,7.465,7.465,33300
2011-04-21,7.365,7.465,7.465,38100
2011-04-25,7.342,7.443,7.404,44000
2011-04-26,7.32,7.665,7.348,155700
2011-04-27,7.381,7.509,7.387,53200
2011-04-28,7.314,7.465,7.459,148100
2011-04-29,7.465,7.688,7.621,90000
2011-05-02,7.47,7.743,7.56,60800
2011-05-03,7.526,7.704,7.632,30900
2011-05-04,7.365,7.615,7.448,56000
2011-05-05,7.415,7.565,7.465,37700
2011-05-06,7.331,7.526,7.331,31000
2011-05-09,7.314,7.398,7.392,30600
2011-05-10,7.381,7.599,7.599,20000
2011-05-11,7.376,7.604,7.387,26900
2011-05-12,7.353,7.532,7.493,50600
2011-05-13,7.381,7.604,7.431,98700
2011-05-16,7.337,7.504,7.353,66000
2011-05-17,7.287,7.454,7.404,22800
2011-05-18,7.387,7.693,7.693,43400
2011-05-19,7.576,7.699,7.621,34700
2011-05-20,7.47,7.582,7.47,32200
2011-05-23,7.365,7.454,7.381,23700
2011-05-24,7.359,7.431,7.381,31000
2011-05-25,7.342,7.482,7.437,22200
2011-05-26,7.303,7.493,7.42,41500
2011-05-27,7.426,7.587,7.515,20200
2011-05-31,7.482,7.911,7.911,103100
2011-06-01,7.604,7.866,7.604,128700
2011-06-02,7.604,7.738,7.638,29500
2011-06-03,7.482,7.743,7.576,28700
2011-06-06,7.448,7.621,7.537,42400
2011-06-07,7.521,7.682,7.548,42800
2011-06-08,7.487,7.638,7.498,22100
2011-06-09,7.47,7.548,7.532,35900
2011-06-10,7.465,7.626,7.482,21100
2011-06-13,7.482,7.677,7.615,28400
2011-06-14,7.61,7.743,7.716,23700
2011-06-15,7.298,7.665,7.543,92500
2011-06-16,7.543,8.05,7.76,50500
2011-06-17,7.76,7.933,7.838,73200
2011-06-20,7.749,8.217,8.189,70500
2011-06-21,8.022,8.239,8.15,43100
2011-06-22,8.055,8.178,8.083,37300
2011-06-23,7.994,8.245,8.122,79800
2011-06-24,7.95,8.161,8.016,413500
2011-06-27,8.039,8.228,8.139,63300
2011-06-28,8.106,8.2,8.178,41000
2011-06-29,8.0,8.14,8.107,27000
2011-06-30,8.129,8.37,8.275,43000
2011-07-01,8.084,8.326,8.191,61100
2011-07-05,8.062,8.23,8.129,61300
2011-07-06,8.045,8.213,8.174,32800
2011-07-07,8.208,8.387,8.326,35900
2011-07-08,8.174,8.269,8.225,19800
2011-07-11,7.921,8.202,8.006,37200
2011-07-12,7.91,8.101,7.927,30100
2011-07-13,7.916,8.123,8.011,30700
2011-07-14,8.028,8.095,8.062,27300
2011-07-15,7.933,8.101,8.045,50200
2011-07-18,7.691,8.039,7.86,35700
2011-07-19,7.73,7.949,7.938,38000
2011-07-20,7.792,7.938,7.815,21300
2011-07-21,7.764,8.011,7.983,24900
2011-07-22,7.708,8.0,7.708,28800
2011-07-25,7.568,7.989,7.725,27000
2011-07-26,7.663,7.955,7.702,29500
2011-07-27,7.439,7.725,7.455,125000
2011-07-28,7.332,7.556,7.366,39800
2011-07-29,7.298,7.585,7.512,44900
2011-08-01,7.478,7.624,7.562,45900
2011-08-02,7.5,7.764,7.5,57700
2011-08-03,7.394,7.624,7.601,74500
2011-08-04,7.27,7.618,7.27,136600
2011-08-05,6.815,7.382,6.922,80800
2011-08-08,6.709,6.978,6.714,107700
2011-08-09,6.316,6.95,6.759,110200
2011-08-10,6.568,6.973,6.613,96100
2011-08-11,6.563,6.849,6.681,76600
2011-08-12,6.479,6.787,6.523,36100
2011-08-15,6.462,6.686,6.647,68100
2011-08-16,6.574,6.815,6.754,59200
2011-08-17,6.703,6.872,6.832,18200
2011-08-18,6.647,6.815,6.765,61800
2011-08-19,6.703,6.872,6.832,52100
2011-08-22,6.625,6.933,6.653,37300
2011-08-23,6.619,7.046,7.023,68300
2011-08-24,6.821,7.568,7.534,53800
2011-08-25,6.866,7.607,6.872,40600
2011-08-26,6.737,6.984,6.759,40500
2011-08-29,6.86,6.973,6.95,48600
2011-08-30,6.776,6.961,6.905,47700
2011-08-31,6.77,6.956,6.843,93500
2011-09-01,6.484,6.86,6.512,49900
2011-09-02,6.22,6.507,6.232,82100
2011-09-06,6.192,6.406,6.378,65400
2011-09-07,6.456,6.625,6.512,51800
2011-09-08,6.333,6.546,6.338,42100
2011-09-09,6.164,6.428,6.215,98300
2011-09-12,6.175,6.327,6.299,25200
2011-09-13,6.22,6.434,6.321,34200
2011-09-14,6.265,6.568,6.501,28800
2011-09-15,6.45,6.658,6.546,18400
2011-09-16,6.462,6.58,6.467,48000
2011-09-19,6.203,6.366,6.232,19600
2011-09-20,6.175,6.389,6.175,61100
2011-09-21,6.013,6.282,6.058,74000
2011-09-22,5.642,6.17,5.833,187800
2011-09-23,5.547,5.962,5.659,57300
2011-09-26,5.311,5.85,5.749,88000
2011-09-27,5.799,6.265,6.209,61900
2011-09-28,5.883,6.271,6.029,121200
2011-09-29,6.082,6.309,6.292,40700
2011-09-30,6.077,6.281,6.077,72000
2011-10-03,5.606,6.15,5.606,85900
2011-10-04,5.634,6.468,6.389,117800
2011-10-05,5.997,6.389,6.213,156100
2011-10-06,6.065,6.281,6.213,78000
2011-10-07,5.617,6.326,5.827,284600
2011-10-10,5.935,6.269,6.264,50800
2011-10-11,6.122,6.462,6.44,43700
2011-10-12,6.445,6.718,6.616,59500
2011-10-13,6.241,6.655,6.65,35000
2011-10-14,6.576,6.797,6.752,66000
2011-10-17,6.349,6.706,6.372,47200
2011-10-18,6.406,6.78,6.723,52700
2011-10-19,6.525,6.763,6.559,35900
2011-10-20,6.394,6.848,6.825,53700
2011-10-21,6.735,6.95,6.928,65300
2011-10-24,6.791,7.302,7.166,58800
2011-10-25,6.814,7.274,7.086,105000
2011-10-26,7.064,7.489,7.251,102300
2011-10-27,7.364,7.659,7.608,114700
2011-10-28,7.444,7.659,7.484,56000
2011-10-31,7.143,7.399,7.172,41200
2011-11-01,6.695,7.12,6.718,61400
2011-11-02,6.814,7.234,7.194,51400
2011-11-03,7.035,7.33,7.313,55200
2011-11-04,6.899,7.268,6.945,45900
2011-11-07,6.791,7.092,7.064,33000
2011-11-08,7.001,7.376,7.33,48700
2011-11-09,6.922,7.245,6.928,63100
2011-11-10,6.911,7.058,7.001,39300
2011-11-11,6.996,7.217,7.183,47500
2011-11-14,6.797,7.177,6.933,31800
2011-11-15,6.757,6.996,6.95,58500
2011-11-16,6.763,7.058,6.769,21100
2011-11-17,6.4,6.86,6.496,180700
2011-11-18,6.462,6.746,6.525,303700
2011-11-21,6.252,6.474,6.326,116400
2011-11-22,6.207,6.389,6.303,140600
2011-11-23,6.139,6.366,6.139,38200
2011-11-25,6.071,6.309,6.071,33900
2011-11-28,6.264,6.525,6.502,82500
2011-11-29,5.901,6.553,6.451,644700
2011-11-30,6.428,6.689,6.684,211700
2011-12-01,6.513,6.803,6.723,51900
2011-12-02,6.689,6.922,6.791,60400
2011-12-05,6.825,7.098,7.041,53200
2011-12-06,6.956,7.12,7.098,45400
2011-12-07,6.996,7.217,7.132,58400
2011-12-08,6.825,7.092,6.831,51700
2011-12-09,6.848,7.103,7.081,65000
2011-12-12,6.837,7.047,7.013,30200
2011-12-13,6.854,7.183,6.877,49100
2011-12-14,6.695,6.996,6.706,73200
2011-12-15,6.769,6.894,6.86,41500
