,Low,High,Close,Volume
2019-09-13,17.489,18.043,17.539,3478800
2019-09-16,17.287,17.791,17.517,403800
2019-09-17,17.489,17.755,17.633,469200
2019-09-18,17.597,17.733,17.69,515800
2019-09-19,17.683,17.863,17.813,368900
2019-09-20,17.755,17.885,17.885,156000
2019-09-23,17.834,17.906,17.899,213300
2019-09-24,17.849,17.899,17.856,134000
2019-09-25,17.82,17.899,17.849,69400
2019-09-26,17.647,17.863,17.827,35500
2019-09-27,17.856,17.935,17.928,37400
2019-09-30,17.863,17.935,17.878,34700
2019-10-01,17.755,17.892,17.827,55100
2019-10-02,17.827,17.827,17.827,0
2019-10-03,17.841,17.935,17.93,122700
2019-10-04,17.863,17.964,17.947,116800
2019-10-07,17.87,17.986,17.969,118700
2019-10-08,17.916,18.029,18.0,387900
2019-10-09,17.986,18.072,18.072,248800
2019-10-10,18.043,18.117,18.094,114200
2019-10-11,18.043,18.23,18.094,98000
2019-10-14,18.094,18.252,18.173,102700
2019-10-15,18.144,18.288,18.158,200600
2019-10-16,18.094,18.202,18.194,127300
2019-10-17,18.187,18.432,18.382,126200
2019-10-18,18.317,18.382,18.331,32800
2019-10-21,18.279,18.367,18.295,75400
2019-10-22,18.266,18.36,18.353,82300
2019-10-23,18.317,18.447,18.364,106300
2019-10-24,18.31,18.382,18.375,190500
2019-10-25,18.356,18.418,18.403,378400
2019-10-28,18.369,18.418,18.418,301900
2019-10-29,18.403,18.504,18.475,107600
2019-10-30,18.461,18.684,18.677,248600
2019-10-31,18.706,18.9,18.792,1250400
2019-11-01,18.591,18.814,18.591,133400
2019-11-04,18.555,18.694,18.591,58900
2019-11-05,18.375,18.576,18.468,168800
2019-11-06,18.403,18.59,18.526,51500
2019-11-07,18.367,18.506,18.389,409700
2019-11-08,18.367,18.497,18.403,40700
2019-11-11,18.367,18.49,18.468,22900
2019-11-12,18.396,18.504,18.461,34600
2019-11-13,18.483,18.54,18.519,33500
2019-11-14,18.526,18.677,18.605,55800
2019-11-15,18.533,18.609,18.609,33000
2019-11-18,18.511,18.706,18.591,150900
2019-11-19,18.511,18.547,18.547,24100
2019-11-20,18.49,18.547,18.547,20600
2019-11-21,18.554,18.619,18.576,23300
2019-11-22,18.544,18.641,18.569,28700
2019-11-25,18.533,18.598,18.576,32300
2019-11-26,18.555,18.612,18.601,29600
2019-11-27,18.533,18.641,18.547,53900
2019-11-29,18.519,18.598,18.519,35800
2019-12-02,18.367,18.576,18.425,30700
2019-12-03,18.349,18.468,18.468,26500
2019-12-04,18.411,18.533,18.49,42600
2019-12-05,18.309,18.504,18.375,46600
2019-12-06,18.338,18.425,18.375,14000
2019-12-09,18.353,18.432,18.432,22600
2019-12-10,18.331,18.461,18.407,40200
2019-12-11,18.295,18.461,18.411,121900
2019-12-12,18.36,18.454,18.411,13000
2019-12-13,18.367,18.504,18.504,33000
2019-12-16,18.454,18.562,18.497,28000
2019-12-17,18.492,18.576,18.519,16300
2019-12-18,18.504,18.576,18.562,9700
2019-12-19,18.457,18.641,18.457,83100
2019-12-20,18.439,18.612,18.468,54200
2019-12-23,18.497,18.655,18.583,38400
2019-12-24,18.483,18.598,18.576,67900
2019-12-26,18.586,18.677,18.662,12200
2019-12-27,18.597,18.728,18.721,9400
2019-12-30,18.636,18.787,18.787,17600
2019-12-31,18.73,18.969,18.882,33800
2020-01-02,18.852,19.232,18.991,55700
2020-01-03,18.871,19.035,18.955,47000
2020-01-06,18.903,18.998,18.903,21000
2020-01-07,18.808,19.013,18.947,16600
2020-01-08,18.918,19.013,18.955,13900
2020-01-09,18.931,19.115,19.115,26200
2020-01-10,18.981,19.125,18.998,30200
2020-01-13,18.947,19.086,18.976,21900
2020-01-14,18.976,19.064,19.064,7700
2020-01-15,18.933,19.064,19.02,10200
2020-01-16,18.925,19.02,18.925,24000
2020-01-17,18.903,19.013,18.969,15300
2020-01-21,18.903,19.094,18.968,24400
2020-01-22,18.989,19.049,19.049,9800
2020-01-23,19.01,19.108,19.108,4900
2020-01-24,18.889,19.108,18.984,25000
2020-01-27,18.852,19.018,18.969,61000
2020-01-28,18.75,18.918,18.845,128000
2020-01-29,18.721,18.845,18.823,99300
2020-01-30,18.823,18.896,18.896,9800
2020-01-31,18.81,18.947,18.845,36900
2020-02-03,18.863,18.976,18.976,11900
2020-02-04,18.94,19.064,19.064,10000
2020-02-05,19.05,19.123,19.115,15400
2020-02-06,18.903,19.115,18.903,71700
2020-02-07,18.806,18.991,18.845,27700
2020-02-10,18.816,19.028,19.028,27600
2020-02-11,18.998,19.13,19.049,27300
2020-02-12,18.918,19.13,18.925,21000
2020-02-13,18.951,19.064,19.017,14300
2020-02-14,18.984,19.079,19.076,36100
2020-02-18,19.035,19.086,19.076,121200
2020-02-19,18.947,19.071,18.947,14000
2020-02-20,18.955,18.991,18.955,35000
2020-02-21,18.903,18.984,18.965,16800
2020-02-24,18.735,18.984,18.735,19200
2020-02-25,18.487,18.947,18.553,39400
2020-02-26,18.385,18.794,18.546,54900
2020-02-27,18.165,18.589,18.531,116600
2020-02-28,18.261,18.531,18.356,56600
2020-03-02,18.313,18.735,18.699,42300
2020-03-03,18.626,18.955,18.852,58300
2020-03-04,18.666,18.962,18.955,15900
2020-03-05,18.648,18.955,18.684,157000
2020-03-06,18.48,18.765,18.692,120800
2020-03-09,17.597,18.436,18.028,30900
2020-03-10,17.99,18.463,18.253,140000
2020-03-11,17.895,18.071,18.034,21800
2020-03-12,15.171,17.713,15.887,135900
2020-03-13,15.741,16.926,16.215,41400
2020-03-16,12.797,15.821,13.25,164900
2020-03-17,13.604,14.253,13.776,107300
2020-03-18,7.669,13.148,9.13,155400
2020-03-19,9.444,11.791,11.176,159700
2020-03-20,11.687,13.469,12.496,66800
2020-03-23,10.971,13.067,11.833,71700
2020-03-24,11.964,13.099,12.425,240400
2020-03-25,12.717,14.243,13.352,138800
2020-03-26,13.619,15.031,14.837,169300
2020-03-27,14.191,15.216,14.674,144200
2020-03-30,14.273,15.016,14.952,55600
2020-03-31,14.696,15.031,14.919,131200
2020-04-01,14.124,14.86,14.481,49700
2020-04-02,14.08,14.704,14.406,30800
2020-04-03,14.08,14.421,14.154,37300
2020-04-06,14.31,14.733,14.325,101500
2020-04-07,14.531,15.038,14.986,78400
2020-04-08,14.886,15.892,15.684,62100
2020-04-09,15.365,17.044,16.903,90800
2020-04-13,15.64,16.866,15.803,196000
2020-04-14,16.056,16.472,16.1,70600
2020-04-15,15.788,16.309,16.234,26400
2020-04-16,16.037,16.338,16.19,50000
2020-04-17,16.368,16.888,16.576,58600
2020-04-20,16.271,16.531,16.457,67900
2020-04-21,15.759,16.331,16.181,44200
2020-04-22,16.182,16.442,16.309,48700
2020-04-23,16.331,16.42,16.346,55200
2020-04-24,16.205,16.635,16.635,60000
2020-04-27,16.569,17.126,16.985,65500
2020-04-28,16.897,17.395,17.126,67600
2020-04-29,17.23,17.705,17.705,62500
2020-04-30,17.609,18.055,17.906,79300
2020-05-01,17.668,17.906,17.906,44400
2020-05-04,17.817,17.943,17.899,38000
2020-05-05,17.468,17.899,17.72,43200
2020-05-06,17.572,17.794,17.683,34100
2020-05-07,17.661,17.958,17.943,48700
2020-05-08,17.839,18.032,17.869,36400
2020-05-11,17.646,18.069,18.025,53100
2020-05-12,17.928,18.069,17.951,15500
2020-05-13,17.616,18.017,17.839,38400
2020-05-14,17.498,17.839,17.754,21500
2020-05-15,17.578,17.832,17.787,21100
2020-05-18,17.512,17.884,17.512,42700
2020-05-19,17.638,17.943,17.832,20100
2020-05-20,17.846,18.159,18.144,21500
2020-05-21,18.055,18.27,18.077,36500
2020-05-22,18.107,18.218,18.196,18500
2020-05-26,18.107,18.411,18.129,57500
2020-05-27,18.129,18.567,18.359,59500
2020-05-28,18.092,18.545,18.255,54700
2020-05-29,18.112,18.419,18.367,28800
2020-06-01,18.233,18.352,18.307,25000
2020-06-02,18.251,18.426,18.352,49000
2020-06-03,18.315,18.523,18.493,24500
2020-06-04,18.285,18.463,18.322,41000
2020-06-05,18.389,18.514,18.462,33000
2020-06-08,18.476,18.575,18.567,52600
2020-06-09,18.468,18.575,18.552,28200
2020-06-10,18.5,18.567,18.56,16000
2020-06-11,17.988,18.5,18.129,50500
2020-06-12,18.084,18.448,18.285,19900
2020-06-15,17.906,18.322,18.225,28200
2020-06-16,18.277,18.515,18.292,37600
2020-06-17,18.3,18.537,18.5,27400
2020-06-18,18.445,18.552,18.552,20400
2020-06-19,18.493,18.567,18.508,20600
2020-06-22,18.421,18.567,18.478,9800
2020-06-23,18.471,18.582,18.582,19100
2020-06-24,18.433,18.575,18.523,34900
2020-06-25,18.469,18.638,18.622,26400
2020-06-26,18.364,18.642,18.484,13100
2020-06-29,18.432,18.544,18.492,14100
2020-06-30,18.281,18.544,18.341,72600
2020-07-01,18.371,18.657,18.612,25500
2020-07-02,18.544,18.725,18.695,20700
2020-07-06,18.672,18.784,18.695,18000
2020-07-07,18.597,18.763,18.597,10300
2020-07-08,18.695,18.793,18.748,26700
2020-07-09,18.622,18.8,18.755,34100
2020-07-10,18.725,18.875,18.845,35800
2020-07-13,18.833,18.951,18.913,13300
2020-07-14,18.812,18.943,18.868,16800
2020-07-15,18.808,19.071,19.071,25400
2020-07-16,19.064,19.334,19.327,14900
2020-07-17,19.139,19.402,19.139,25800
2020-07-20,19.237,19.425,19.402,17600
2020-07-21,19.237,19.56,19.361,32300
2020-07-22,19.349,19.756,19.635,53900
2020-07-23,19.462,19.726,19.571,47700
2020-07-24,19.455,19.726,19.521,63200
2020-07-27,19.462,19.553,19.485,25100
2020-07-28,19.469,19.56,19.537,13200
2020-07-29,19.492,19.763,19.507,39100
2020-07-30,19.53,19.741,19.695,22400
2020-07-31,19.372,19.688,19.553,33600
2020-08-03,19.401,19.628,19.628,20000
2020-08-04,19.462,19.628,19.553,12300
2020-08-05,19.372,19.711,19.372,24500
2020-08-06,19.033,19.537,19.184,46600
2020-08-07,19.0,19.184,19.184,15000
2020-08-10,19.041,19.184,19.041,64600
2020-08-11,18.996,19.175,19.003,84700
2020-08-12,18.988,19.146,19.033,43800
2020-08-13,19.056,19.252,19.222,71400
2020-08-14,19.026,19.222,19.101,57700
2020-08-17,19.056,19.176,19.056,27400
2020-08-18,19.124,19.461,19.372,23900
2020-08-19,19.304,19.52,19.304,37900
2020-08-20,19.282,19.545,19.545,18400
2020-08-21,19.407,19.537,19.485,14300
2020-08-24,19.5,19.711,19.68,17800
2020-08-25,19.575,19.914,19.891,35300
2020-08-26,19.793,20.042,19.966,47600
2020-08-27,19.79,20.102,20.094,19900
2020-08-28,19.921,20.102,19.996,18400
2020-08-31,19.963,20.057,20.057,60200
2020-09-01,20.011,20.072,20.072,14600
2020-09-02,20.019,20.147,20.102,16000
2020-09-03,19.816,20.09,20.034,35900
2020-09-04,19.665,20.034,19.801,23100
2020-09-08,19.688,19.763,19.704,11400
2020-09-09,19.805,19.876,19.876,6200
2020-09-10,19.876,19.988,19.988,15000
2020-09-11,19.846,19.989,19.921,9300
2020-09-14,19.65,19.981,19.808,22500
2020-09-15,19.56,19.966,19.598,25400
2020-09-16,19.553,19.748,19.553,53800
2020-09-17,19.327,19.635,19.327,40300
2020-09-18,19.237,19.553,19.349,34300
2020-09-21,19.101,19.387,19.387,31800
2020-09-22,19.259,19.635,19.635,35400
2020-09-23,19.274,19.65,19.357,26100
2020-09-24,19.214,19.507,19.432,15200
2020-09-25,19.411,19.903,19.903,35700
2020-09-28,19.873,20.086,20.063,28100
2020-09-29,19.965,20.086,20.086,19600
2020-09-30,19.934,20.086,19.934,55300
2020-10-01,20.005,20.33,20.231,27100
2020-10-02,20.124,20.337,20.238,28800
2020-10-05,20.175,20.429,20.269,11200
2020-10-06,20.178,20.391,20.254,23300
2020-10-07,20.041,20.322,20.041,25300
2020-10-08,20.147,20.284,20.166,13000
2020-10-09,19.888,20.269,20.109,19700
2020-10-12,19.949,20.162,20.147,12000
2020-10-13,20.056,20.162,20.14,24200
2020-10-14,19.987,20.145,20.002,17300
2020-10-15,19.987,20.162,20.124,11200
2020-10-16,20.079,20.162,20.094,11200
2020-10-19,20.025,20.162,20.094,13000
2020-10-20,19.926,20.185,20.132,27300
2020-10-21,19.789,20.124,19.797,22000
2020-10-22,19.911,20.162,20.162,17100
2020-10-23,20.166,20.452,20.452,17200
2020-10-26,20.101,20.436,20.101,25500
2020-10-27,20.034,20.246,20.238,20500
2020-10-28,19.599,20.178,19.645,39400
2020-10-29,19.667,20.018,19.942,13200
2020-10-30,19.881,20.01,19.934,29700
2020-11-02,19.957,20.28,20.238,83800
2020-11-03,20.109,20.368,20.223,26900
2020-11-04,20.208,20.482,20.406,22400
2020-11-05,20.376,20.551,20.497,13800
2020-11-06,20.254,20.429,20.345,28300
2020-11-09,20.238,20.535,20.345,30800
2020-11-10,20.33,20.741,20.482,23200
2020-11-11,20.436,20.558,20.497,19500
2020-11-12,20.421,20.558,20.482,4800
2020-11-13,20.459,20.825,20.779,104400
2020-11-16,20.703,21.693,21.228,62400
2020-11-17,21.091,21.32,21.137,45400
2020-11-18,21.179,21.381,21.236,16400
2020-11-19,21.167,21.297,21.19,17600
2020-11-20,21.129,21.297,21.152,10000
2020-11-23,21.213,21.464,21.228,17300
2020-11-24,21.107,21.335,21.107,14500
2020-11-25,21.091,21.289,21.122,13400
2020-11-27,21.061,21.282,21.061,15100
2020-11-30,20.916,21.259,21.137,21600
2020-12-01,21.16,21.282,21.167,10700
2020-12-02,21.031,21.259,21.129,37200
2020-12-03,20.924,21.228,21.0,66100
2020-12-04,20.688,21.046,20.84,39100
2020-12-07,20.718,20.886,20.741,19000
2020-12-08,20.81,21.061,20.973,12000
2020-12-09,20.969,21.107,21.046,14400
2020-12-10,20.954,21.152,21.061,11100
2020-12-11,21.0,21.129,21.099,7900
2020-12-14,21.084,21.175,21.122,16700
2020-12-15,21.0,21.19,21.152,9900
2020-12-16,21.107,21.221,21.221,11100
2020-12-17,21.221,21.312,21.312,8100
