,Low,High,Close,Volume
2010-12-09,13.787,14.129,13.81,2600
2010-12-10,13.863,14.053,13.939,4000
2010-12-13,13.62,13.985,13.643,11200
2010-12-14,13.59,13.81,13.734,8900
2010-12-15,13.445,13.711,13.445,4900
2010-12-16,13.309,13.666,13.666,4100
2010-12-17,13.521,13.673,13.635,4200
2010-12-20,13.871,14.083,14.053,24900
2010-12-21,14.205,14.334,14.273,5900
2010-12-22,14.22,14.372,14.372,7000
2010-12-23,14.091,14.425,14.121,2100
2010-12-27,13.673,13.947,13.719,10100
2010-12-28,13.24,13.559,13.559,20300
2010-12-29,13.939,14.053,14.053,1800
2010-12-30,13.977,14.091,13.977,3300
2010-12-31,14.03,14.159,14.061,6200
2011-01-03,14.585,15.063,14.965,32600
2011-01-04,15.048,15.344,15.117,19700
2011-01-05,15.003,15.344,15.056,23500
2011-01-06,15.003,15.344,15.238,28100
2011-01-07,15.147,15.344,15.17,7000
2011-01-10,14.858,15.268,15.154,5900
2011-01-11,15.041,15.344,15.276,15300
2011-01-12,14.98,15.306,15.003,10200
2011-01-13,14.585,14.927,14.835,7700
2011-01-14,14.775,14.987,14.949,4900
2011-01-18,15.208,15.565,15.443,19500
2011-01-19,15.192,15.466,15.238,6800
2011-01-20,15.162,15.451,15.185,6900
2011-01-21,15.079,15.489,15.086,5300
2011-01-24,14.873,15.344,15.314,12100
2011-01-25,15.018,15.344,15.018,6300
2011-01-26,15.344,15.648,15.344,7300
2011-01-27,15.079,15.413,15.101,4700
2011-01-28,14.478,15.23,14.623,8300
2011-01-31,12.914,14.205,13.825,57500
2011-02-01,13.324,13.711,13.491,18500
2011-02-02,13.521,13.863,13.863,14700
2011-02-03,13.81,14.448,14.342,19100
2011-02-04,14.03,14.243,14.167,6800
2011-02-07,15.261,15.61,15.367,30100
2011-02-08,15.405,15.572,15.565,8500
2011-02-09,15.344,15.679,15.474,5700
2011-02-10,14.554,15.139,14.653,16900
2011-02-11,14.547,14.858,14.737,5100
2011-02-14,15.056,15.268,15.101,14100
2011-02-15,15.162,15.504,15.246,15400
2011-02-16,15.261,15.572,15.36,18700
2011-02-17,15.223,15.489,15.489,5000
2011-02-18,15.177,15.565,15.268,7200
2011-02-22,14.418,15.025,14.539,55700
2011-02-23,14.053,14.554,14.053,13200
2011-02-24,13.673,14.175,14.129,8800
2011-02-25,13.833,14.273,14.273,6400
2011-02-28,14.243,14.57,14.357,3100
2011-03-01,13.954,14.402,14.053,5000
2011-03-02,13.992,14.053,14.0,1900
2011-03-03,14.061,14.19,14.061,4800
2011-03-04,13.939,14.129,14.061,2300
2011-03-07,13.43,13.939,13.461,9000
2011-03-08,13.377,13.612,13.377,2800
2011-03-09,12.921,13.385,12.921,28600
2011-03-10,12.124,12.99,12.822,20500
2011-03-11,12.602,13.217,13.066,15400
2011-03-14,12.716,13.233,12.99,20700
2011-03-15,12.617,12.898,12.898,14500
2011-03-16,12.724,13.073,13.012,2900
2011-03-17,12.921,13.119,13.02,5400
2011-03-18,13.073,13.293,13.293,3000
2011-03-21,13.536,13.863,13.673,12300
2011-03-22,13.856,14.197,14.129,6400
2011-03-23,14.167,14.433,14.402,8100
2011-03-24,14.159,14.433,14.433,17700
2011-03-25,14.076,14.433,14.425,3300
2011-03-28,14.0,14.851,14.273,14200
