,Low,High,Close,Volume
2021-03-19,16.779,16.948,16.881,1465300
2021-03-22,16.826,16.915,16.874,236700
2021-03-23,16.447,16.874,16.84,711100
2021-03-24,16.779,16.935,16.881,227800
2021-03-25,16.826,16.935,16.881,310900
2021-03-26,16.609,16.894,16.731,196700
2021-03-29,16.711,16.854,16.718,79400
2021-03-30,16.843,17.037,16.982,169000
2021-03-31,16.989,17.192,17.111,191900
2021-04-01,17.115,17.321,17.308,104200
2021-04-05,17.43,17.586,17.484,137100
2021-04-06,17.355,17.518,17.389,98400
2021-04-07,17.389,17.525,17.525,118100
2021-04-08,17.47,17.592,17.531,64600
2021-04-09,17.511,17.857,17.762,176100
2021-04-12,17.715,17.83,17.748,45300
2021-04-13,17.694,17.826,17.782,57000
2021-04-14,17.749,17.823,17.755,42100
2021-04-15,17.796,17.999,17.898,38700
2021-04-16,17.909,18.216,18.135,158800
2021-04-19,18.142,18.514,18.237,122600
2021-04-20,18.264,18.304,18.304,101800
2021-04-21,18.237,18.338,18.27,39100
2021-04-22,18.257,18.304,18.264,51300
2021-04-23,18.257,18.338,18.328,44500
2021-04-26,18.365,18.508,18.447,20700
2021-04-27,18.304,18.535,18.413,27600
2021-04-28,18.42,18.548,18.542,23400
2021-04-29,18.474,18.637,18.637,30300
2021-04-30,18.304,18.698,18.487,474900
2021-05-03,18.304,18.562,18.542,90200
2021-05-04,18.43,18.575,18.542,41700
2021-05-05,18.548,18.62,18.562,6900
2021-05-06,18.555,18.704,18.63,19300
2021-05-07,18.243,18.704,18.257,72200
2021-05-10,18.203,18.369,18.23,20500
2021-05-11,18.06,18.155,18.155,27500
2021-05-12,17.965,18.189,18.182,19300
2021-05-13,18.169,18.44,18.379,35800
2021-05-14,18.176,18.691,18.277,5300
2021-05-17,18.169,18.26,18.169,6600
2021-05-18,18.182,18.298,18.277,10900
2021-05-19,18.101,18.223,18.101,13300
2021-05-20,18.216,18.309,18.301,4400
2021-05-21,18.304,18.392,18.338,2500
2021-05-24,18.318,18.392,18.318,4100
2021-05-25,18.101,18.44,18.257,13600
2021-05-26,18.23,18.392,18.365,13700
2021-05-27,18.282,18.501,18.392,21100
2021-05-28,18.448,18.605,18.605,6700
2021-06-01,18.501,18.561,18.557,16300
2021-06-02,18.515,18.605,18.543,32700
2021-06-03,18.426,18.619,18.619,15200
2021-06-04,18.591,18.75,18.646,16200
2021-06-07,18.688,18.791,18.771,3000
2021-06-08,18.674,18.743,18.743,7100
2021-06-09,18.729,18.894,18.729,2100
2021-06-10,18.646,18.881,18.688,12200
2021-06-11,18.653,18.729,18.66,5800
2021-06-14,18.722,18.86,18.722,8300
2021-06-15,18.584,18.757,18.674,6100
2021-06-16,18.67,18.75,18.67,5700
2021-06-17,18.591,18.701,18.591,4500
2021-06-18,18.584,18.674,18.591,4000
2021-06-21,18.619,18.922,18.694,18200
2021-06-22,18.688,18.882,18.688,4600
2021-06-23,18.639,18.846,18.75,12900
2021-06-24,18.419,18.881,18.788,10300
2021-06-25,18.57,18.86,18.736,4800
2021-06-28,18.667,18.853,18.812,20900
2021-06-29,18.626,18.86,18.825,22600
2021-06-30,18.846,19.37,19.37,57800
