,Low,High,Close,Volume
2010-12-09,5.675,5.765,5.753,949700
2010-12-10,5.681,5.789,5.789,638200
2010-12-13,5.675,5.795,5.711,873800
2010-12-14,5.687,5.82,5.741,923100
2010-12-15,5.693,5.862,5.735,1428600
2010-12-16,5.747,5.952,5.916,1460100
2010-12-17,5.886,5.995,5.922,1634900
2010-12-20,5.807,5.964,5.892,1138300
2010-12-21,5.898,6.061,6.007,1230200
2010-12-22,5.97,6.321,6.315,1938500
2010-12-23,6.224,6.321,6.26,1098600
2010-12-27,6.206,6.309,6.309,478600
2010-12-28,6.272,6.363,6.333,665400
2010-12-29,6.309,6.423,6.375,970700
2010-12-30,6.296,6.381,6.314,685800
2010-12-31,6.26,6.326,6.26,855400
2011-01-03,6.314,6.387,6.339,1481800
2011-01-04,6.163,6.405,6.26,1117000
2011-01-05,6.218,6.296,6.29,1201800
2011-01-06,6.175,6.296,6.236,1032500
2011-01-07,6.03,6.272,6.048,1488400
2011-01-10,5.939,6.163,6.145,932500
2011-01-11,6.09,6.248,6.157,600000
2011-01-12,6.169,6.29,6.26,710900
2011-01-13,6.127,6.278,6.151,904900
2011-01-14,6.127,6.448,6.448,1210800
2011-01-18,6.314,6.52,6.496,1898500
2011-01-19,6.193,6.52,6.375,2831700
2011-01-20,6.224,6.46,6.369,1585900
2011-01-21,6.345,6.478,6.363,1362500
2011-01-24,6.32,6.454,6.351,801800
2011-01-25,6.26,6.357,6.351,585300
2011-01-26,6.236,6.357,6.254,631000
2011-01-27,6.254,6.442,6.399,1068300
2011-01-28,6.29,6.502,6.29,1219300
2011-01-31,6.23,6.423,6.248,1502000
2011-02-01,6.272,6.46,6.429,798700
2011-02-02,6.326,6.496,6.339,935300
2011-02-03,6.272,6.375,6.363,1050200
2011-02-04,6.278,6.454,6.429,845300
2011-02-07,6.351,6.508,6.454,853300
2011-02-08,6.399,6.508,6.478,662600
2011-02-09,6.423,6.532,6.435,837400
2011-02-10,6.399,6.46,6.429,482500
2011-02-11,6.393,6.774,6.714,1715100
2011-02-14,6.581,6.774,6.647,1626800
2011-02-15,6.569,6.666,6.581,798700
2011-02-16,6.575,6.653,6.605,977900
2011-02-17,6.563,6.605,6.605,330900
2011-02-18,6.55,6.69,6.684,619000
2011-02-22,6.466,6.629,6.52,989300
2011-02-23,6.326,6.563,6.326,1261000
2011-02-24,6.175,6.411,6.236,1905100
2011-02-25,6.23,6.429,6.423,1204200
2011-02-28,6.526,6.714,6.593,1513500
2011-03-01,6.387,6.659,6.393,1477600
2011-03-02,6.369,6.466,6.405,1055200
2011-03-03,6.46,6.702,6.69,1389200
2011-03-04,6.575,6.69,6.623,1414400
2011-03-07,6.617,6.732,6.659,1573400
2011-03-08,6.702,6.986,6.92,1989000
2011-03-09,6.781,6.938,6.829,1314700
2011-03-10,6.653,6.787,6.659,990900
2011-03-11,6.605,6.702,6.672,834200
2011-03-14,6.532,6.659,6.569,724500
2011-03-15,6.363,6.55,6.532,1137500
2011-03-16,6.435,6.569,6.484,1420400
2011-03-17,6.429,6.575,6.484,976000
2011-03-18,6.496,6.635,6.544,2264900
2011-03-21,6.587,6.696,6.69,1066500
2011-03-22,6.557,6.744,6.557,818800
2011-03-23,6.399,6.623,6.526,1198800
2011-03-24,6.472,6.587,6.569,876100
2011-03-25,6.569,6.775,6.648,1222300
2011-03-28,6.605,6.709,6.605,706700
2011-03-29,6.551,6.684,6.587,814600
2011-03-30,6.599,6.745,6.709,500600
2011-03-31,6.678,6.775,6.751,603800
2011-04-01,6.788,6.927,6.909,670700
2011-04-04,6.867,6.97,6.897,464000
2011-04-05,6.836,6.915,6.836,647000
2011-04-06,6.854,7.0,6.994,701900
2011-04-07,6.927,7.043,6.964,840100
2011-04-08,6.775,7.0,6.794,398900
2011-04-11,6.733,6.848,6.763,519300
2011-04-12,6.709,6.824,6.763,654500
2011-04-13,6.611,6.824,6.666,1037100
2011-04-14,6.545,6.702,6.684,805200
2011-04-15,6.642,6.757,6.709,599100
2011-04-18,6.526,6.684,6.581,1076800
2011-04-19,6.472,6.696,6.496,1397200
2011-04-20,6.368,6.624,6.611,1512300
2011-04-21,6.502,6.623,6.605,567100
2011-04-25,6.605,6.678,6.605,574400
2011-04-26,6.623,6.854,6.842,1100000
2011-04-27,6.788,6.921,6.903,1020500
2011-04-28,6.848,6.994,6.988,776000
2011-04-29,6.86,7.11,7.097,1662300
2011-05-02,7.104,7.201,7.17,3106600
2011-05-03,7.097,7.183,7.164,1400000
2011-05-04,7.11,7.237,7.122,4069700
2011-05-05,6.939,7.085,6.976,869800
2011-05-06,6.927,7.079,6.976,1502100
2011-05-09,6.86,7.018,6.982,575400
2011-05-10,6.964,7.049,7.018,798100
2011-05-11,6.885,7.018,7.006,1500000
2011-05-12,6.885,7.018,7.0,803000
2011-05-13,6.818,7.006,6.867,459400
2011-05-16,6.8,6.897,6.83,600500
2011-05-17,6.757,6.891,6.885,858000
2011-05-18,6.812,6.867,6.824,877000
2011-05-19,6.8,6.903,6.879,687200
