,Low,High,Close,Volume
2019-02-06,7.889,7.889,7.889,0
2019-02-07,7.889,7.889,7.889,0
2019-02-08,7.889,7.889,7.889,0
2019-02-11,7.889,7.889,7.889,0
2019-02-12,7.889,7.889,7.889,0
2019-02-13,7.889,7.889,7.889,0
2019-02-14,7.938,7.954,7.954,892100
2019-02-15,7.954,7.994,7.994,126300
2019-02-19,7.954,7.97,7.954,4000
2019-02-20,7.954,7.954,7.954,0
2019-02-21,7.954,7.994,7.994,283500
2019-02-22,7.994,7.994,7.994,0
2019-02-25,7.994,7.994,7.994,100
2019-02-26,7.994,7.994,7.994,100
2019-02-27,7.962,7.97,7.97,200
2019-02-28,7.97,7.97,7.97,0
2019-03-01,7.97,7.97,7.97,0
2019-03-04,7.703,7.97,7.97,2100
2019-03-05,7.97,7.97,7.97,100
2019-03-06,7.97,7.97,7.97,0
2019-03-07,7.962,7.97,7.97,51100
2019-03-08,7.97,7.97,7.97,0
2019-03-11,7.97,7.97,7.97,100
2019-03-12,7.97,7.978,7.978,122700
2019-03-13,7.978,7.978,7.978,100
2019-03-14,7.978,7.978,7.978,0
2019-03-15,7.986,8.051,8.051,100800
2019-03-18,8.035,8.035,8.035,300
2019-03-19,8.019,8.019,8.019,1000
2019-03-20,8.002,8.019,8.01,4600
2019-03-21,8.01,8.01,8.01,1000
2019-03-22,8.01,8.019,8.01,1200
2019-03-25,8.01,8.01,8.01,0
2019-03-26,8.01,8.01,8.01,0
2019-03-27,8.01,8.01,8.01,0
2019-03-28,8.01,8.01,8.01,0
2019-03-29,7.978,8.01,8.01,67800
2019-04-01,7.97,8.01,8.002,14800
2019-04-02,7.994,7.994,7.994,160200
2019-04-03,7.994,7.994,7.994,0
2019-04-04,7.8,8.051,8.051,13700
2019-04-05,8.035,8.035,8.035,300
2019-04-08,8.035,8.035,8.035,0
2019-04-09,8.035,8.035,8.035,0
2019-04-10,8.035,8.035,8.035,0
2019-04-11,8.035,8.035,8.035,0
2019-04-12,8.035,8.035,8.035,0
2019-04-15,8.035,8.035,8.035,0
2019-04-16,8.019,8.019,8.019,300
2019-04-17,8.019,8.019,8.019,600
2019-04-18,8.027,8.027,8.027,1300
2019-04-22,8.027,8.027,8.027,0
2019-04-23,8.027,8.027,8.027,0
2019-04-24,8.027,8.027,8.027,0
2019-04-25,8.027,8.051,8.027,5300
2019-04-26,7.841,8.01,8.01,1600
2019-04-29,8.01,8.01,8.01,5000
2019-04-30,8.01,8.01,8.01,1000
2019-05-01,8.01,8.01,8.01,0
2019-05-02,8.01,8.01,8.01,0
2019-05-03,8.01,8.01,8.01,0
2019-05-06,8.029,8.043,8.029,201300
2019-05-07,8.035,8.035,8.035,3000
2019-05-08,8.035,8.035,8.035,0
2019-05-09,8.019,8.019,8.019,22300
2019-05-10,8.019,8.019,8.019,1000
2019-05-13,8.075,8.075,8.075,25000
2019-05-14,8.075,8.075,8.075,0
2019-05-15,8.075,8.075,8.075,0
2019-05-16,8.059,8.059,8.059,800
2019-05-17,8.059,8.059,8.059,1800
2019-05-20,8.059,8.059,8.059,0
2019-05-21,8.059,8.059,8.059,0
2019-05-22,8.059,8.059,8.059,0
2019-05-23,8.059,8.059,8.059,0
2019-05-24,8.059,8.059,8.059,0
2019-05-28,8.059,8.067,8.067,64200
2019-05-29,8.027,8.059,8.051,60100
2019-05-30,8.042,8.051,8.043,10900
2019-05-31,8.059,8.083,8.059,2276400
2019-06-03,8.059,8.059,8.059,0
2019-06-04,8.059,8.075,8.067,146000
2019-06-05,8.051,8.108,8.108,900
2019-06-06,8.108,8.108,8.108,100
2019-06-07,8.083,8.083,8.083,1000
2019-06-10,8.083,8.083,8.083,0
2019-06-11,8.083,8.083,8.083,0
2019-06-12,8.079,8.112,8.079,3100
2019-06-13,8.079,8.079,8.079,0
2019-06-14,8.079,8.079,8.079,0
2019-06-17,8.083,8.116,8.083,194600
2019-06-18,8.083,8.083,8.083,0
2019-06-19,8.083,8.091,8.091,1200
2019-06-20,8.091,8.091,8.091,50000
2019-06-21,8.091,8.091,8.091,0
2019-06-24,8.091,8.091,8.091,100
2019-06-25,8.091,8.091,8.091,0
2019-06-26,8.124,8.124,8.124,2000
2019-06-27,8.075,8.116,8.116,5700
2019-06-28,8.108,8.108,8.108,200
2019-07-01,8.091,8.091,8.091,100000
2019-07-02,8.091,8.091,8.091,1500
2019-07-03,8.091,8.091,8.091,0
2019-07-05,8.124,8.124,8.124,1400
2019-07-08,8.083,8.091,8.091,548300
2019-07-09,8.091,8.091,8.091,200
2019-07-10,8.099,8.108,8.108,51700
2019-07-11,8.132,8.132,8.132,400
2019-07-12,8.132,8.132,8.132,100
2019-07-15,8.132,8.132,8.132,100
2019-07-16,8.132,8.132,8.132,100
2019-07-17,8.132,8.132,8.132,100
2019-07-18,8.091,8.188,8.148,1200
2019-07-19,8.091,8.132,8.091,8500
2019-07-22,8.091,8.124,8.108,2100
2019-07-23,8.099,8.099,8.099,50000
2019-07-24,8.108,8.14,8.108,59500
2019-07-25,8.108,8.108,8.108,100
2019-07-26,8.108,8.108,8.108,100
2019-07-29,8.147,8.16,8.147,600
2019-07-30,8.091,8.124,8.124,2100
2019-07-31,8.091,8.116,8.116,900
2019-08-01,8.067,8.124,8.124,1700
2019-08-02,8.108,8.108,8.108,1000
2019-08-05,8.116,8.116,8.116,25100
2019-08-06,8.116,8.116,8.116,200
2019-08-07,8.091,8.124,8.124,100100
2019-08-08,8.108,8.124,8.108,251100
2019-08-09,8.108,8.124,8.108,251100
2019-08-12,8.108,8.124,8.108,100
2019-08-13,8.108,8.124,8.108,100
2019-08-14,8.108,8.124,8.108,100
2019-08-15,8.108,8.124,8.108,100
2019-08-16,8.108,8.108,8.108,0
2019-08-19,8.108,8.108,8.108,0
2019-08-20,8.108,8.108,8.108,0
2019-08-21,8.14,8.16,8.14,409000
2019-08-22,8.14,8.14,8.14,0
2019-08-23,8.14,8.144,8.144,18100
2019-08-26,8.14,8.168,8.14,77500
2019-08-27,8.148,8.205,8.164,1188400
2019-08-28,8.164,8.164,8.164,0
2019-08-29,8.148,8.172,8.172,208200
2019-08-30,8.148,8.188,8.148,1700
2019-09-03,8.148,8.172,8.16,24700
2019-09-04,8.172,8.172,8.172,10000
2019-09-05,8.164,8.172,8.172,111100
2019-09-06,8.172,8.18,8.18,3600
2019-09-09,8.172,8.172,8.172,1000
2019-09-10,8.172,8.188,8.172,411800
2019-09-11,8.172,8.188,8.188,385300
2019-09-12,8.172,8.172,8.172,25000
2019-09-13,8.172,8.172,8.172,0
2019-09-16,8.172,8.188,8.172,26100
2019-09-17,8.164,8.205,8.205,200
2019-09-18,8.205,8.205,8.205,99300
2019-09-19,8.205,8.205,8.205,0
2019-09-20,8.205,8.205,8.205,0
2019-09-23,8.205,8.205,8.205,0
2019-09-24,8.205,8.205,8.205,100
2019-09-25,8.18,8.188,8.188,75200
2019-09-26,8.18,8.205,8.205,10100
