,Low,High,Close,Volume
2022-12-15,59.731,62.718,59.731,1318200
2022-12-16,54.753,59.731,56.486,2307500
2022-12-19,52.762,58.726,56.247,117200
2022-12-20,56.506,57.74,56.954,22200
2022-12-21,55.251,65.983,56.705,290700
2022-12-22,56.744,60.745,57.342,3253200
2022-12-23,56.744,60.374,57.242,125800
2022-12-27,57.118,58.726,57.192,26500
2022-12-28,56.744,57.74,57.242,514800
2022-12-29,57.491,58.516,57.74,374800
2022-12-30,57.471,58.736,58.118,351100
2023-01-03,55.62,60.408,55.749,1794100
2023-01-04,53.26,60.438,60.219,33338500
2023-01-05,57.879,62.698,58.736,8850600
2023-01-06,57.611,59.671,58.686,5902600
2023-01-09,57.471,59.711,57.84,5288900
2023-01-10,57.795,59.791,59.731,6663000
2023-01-11,59.806,66.082,64.699,9219400
2023-01-12,63.375,66.222,65.356,5819800
2023-01-13,63.454,65.206,65.147,3772100
2023-01-17,62.976,65.435,63.046,3774600
2023-01-18,61.712,63.215,61.802,2610300
2023-01-19,61.025,64.211,63.653,2585600
2023-01-20,63.255,67.516,66.471,4001600
2023-01-23,66.479,69.597,69.208,3724100
2023-01-24,68.402,70.313,69.288,2591000
2023-01-25,66.65,69.388,68.402,2802100
2023-01-26,67.496,69.139,68.91,2075900
2023-01-27,68.054,70.194,69.766,2810600
2023-01-30,67.616,73.618,71.179,4259900
2023-01-31,68.193,70.796,69.208,3084300
2023-02-01,67.227,70.423,69.696,2698700
2023-02-02,68.691,71.568,70.333,2776000
2023-02-03,68.79,70.313,70.234,3074900
2023-02-06,69.228,72.026,71.538,2227400
2023-02-07,70.781,71.876,71.309,1932300
2023-02-08,69.706,71.1,69.855,1111900
2023-02-09,67.904,70.662,68.103,1186000
2023-02-10,67.884,69.228,68.93,1968100
2023-02-13,67.606,69.557,69.119,2223200
2023-02-14,68.406,72.842,72.284,3036000
2023-02-15,71.398,73.21,71.996,1773000
2023-02-16,70.025,71.498,70.592,1829400
2023-02-17,70.572,73.151,72.842,2408600
2023-02-21,71.926,72.772,72.145,1835500
2023-02-22,70.525,72.673,71.617,2010200
2023-02-23,71.959,75.868,75.56,3763200
2023-02-24,73.887,75.43,74.674,2102900
2023-02-27,74.236,76.635,75.699,2139600
2023-02-28,74.962,75.998,75.659,3511800
2023-03-01,74.674,75.4,74.962,2534300
2023-03-02,74.166,75.132,74.704,1391900
2023-03-03,74.783,76.555,76.028,2082700
2023-03-06,75.361,76.814,76.336,1874100
2023-03-07,75.59,76.491,75.908,1709400
2023-03-08,75.761,77.053,76.286,1641300
2023-03-09,75.56,77.053,76.038,1683800
2023-03-10,74.166,76.187,74.634,3388600
2023-03-13,73.708,77.133,75.898,2272100
2023-03-14,76.008,78.407,76.794,1992300
2023-03-15,75.251,76.466,76.416,2326200
2023-03-16,75.41,77.103,76.277,1624600
2023-03-17,75.092,77.192,75.5,5803300
2023-03-20,74.176,75.47,74.863,1714100
2023-03-21,75.162,76.336,76.177,1401600
2023-03-22,74.375,76.705,74.435,1549800
2023-03-23,74.534,76.366,75.371,1393700
2023-03-24,74.554,76.147,76.117,1154800
2023-03-27,75.923,77.113,76.038,1196600
2023-03-28,75.809,76.595,76.555,760800
2023-03-29,76.715,79.114,78.885,1786000
2023-03-30,79.144,81.92,81.772,2188900
2023-03-31,81.214,82.22,81.662,1916200
2023-04-03,81.105,82.25,81.443,1913100
2023-04-04,81.105,81.792,81.224,1552700
2023-04-05,80.288,81.433,80.756,1410600
2023-04-06,79.731,80.697,79.801,1356700
2023-04-10,79.343,80.269,80.229,1579200
2023-04-11,79.602,80.323,80.229,1167000
2023-04-12,80.246,81.533,81.384,1232000
2023-04-13,81.015,82.799,82.568,1252800
2023-04-14,81.612,82.907,82.001,1163600
2023-04-17,81.632,82.867,82.349,861000
2023-04-18,82.419,83.783,83.285,1522000
2023-04-19,83.375,86.491,85.366,2422900
2023-04-20,84.3,85.933,84.619,1634900
2023-04-21,84.709,86.127,86.092,1850600
2023-04-24,85.794,87.436,87.396,2692800
2023-04-25,78.427,83.126,80.03,7291400
2023-04-26,77.212,79.91,79.761,3489500
2023-04-27,80.259,81.174,81.155,1557000
2023-04-28,80.647,81.364,80.975,1617600
2023-05-01,80.363,81.363,80.418,1355800
2023-05-02,77.541,80.288,78.108,1879100
2023-05-03,77.67,80.059,79.353,1748900
2023-05-04,77.342,79.9,77.909,1751400
2023-05-05,78.148,79.173,78.636,1077400
2023-05-08,78.258,79.134,79.064,842300
2023-05-09,75.779,78.437,76.028,2499700
2023-05-10,74.634,76.416,75.56,1792900
2023-05-11,74.375,75.371,74.654,1504800
2023-05-12,73.937,74.674,74.584,2577800
2023-05-15,74.365,75.221,74.594,1187900
2023-05-16,74.883,77.919,77.431,2668900
2023-05-17,75.864,80.249,79.94,3716300
2023-05-18,78.865,80.766,79.333,1483500
2023-05-19,78.765,80.725,78.984,1312900
2023-05-22,78.387,79.093,78.755,1357700
2023-05-23,76.744,79.445,76.873,1382400
2023-05-24,75.768,76.823,76.216,1431900
2023-05-25,75.3,79.731,79.532,3127800
2023-05-26,78.048,79.871,78.108,2243100
2023-05-30,77.092,78.725,77.64,1775800
2023-05-31,77.424,79.403,79.184,4501500
2023-06-01,78.566,79.771,79.502,2355500
2023-06-02,79.572,80.538,79.642,2404500
2023-06-05,78.457,80.393,80.159,1416700
2023-06-06,77.481,82.838,82.589,23800600
2023-06-07,79.861,81.922,80.15,3883900
2023-06-08,76.435,78.078,77.431,15048600
2023-06-09,76.744,78.178,76.783,4894700
2023-06-12,76.584,77.988,77.949,5545200
2023-06-13,76.385,78.127,77.471,4122300
2023-06-14,77.162,78.476,78.208,3322600
2023-06-15,77.904,78.845,78.775,3277900
2023-06-16,78.168,79.771,78.327,5390600
2023-06-20,77.431,78.835,78.576,3151100
2023-06-21,77.969,79.671,79.293,2805700
2023-06-22,79.253,80.418,79.881,2229200
2023-06-23,78.686,80.02,79.492,7973000
2023-06-26,77.421,79.97,77.481,2500700
2023-06-27,75.879,78.028,76.754,3250400
2023-06-28,76.027,77.271,76.873,2920500
2023-06-29,76.833,78.377,78.357,1908200
2023-06-30,78.988,81.076,80.906,3429500
2023-07-03,79.572,81.125,80.359,1086900
2023-07-05,79.607,80.956,80.319,2655900
2023-07-06,78.676,79.94,78.795,2595900
2023-07-07,77.978,79.779,79.293,2892600
2023-07-10,79.671,80.448,80.329,2263000
2023-07-11,79.881,81.111,80.926,1793100
2023-07-12,80.956,82.321,81.355,2124800
2023-07-13,80.568,81.663,81.066,1476300
2023-07-14,80.896,81.823,81.484,1791900
2023-07-17,80.747,82.022,80.857,2343200
2023-07-18,80.418,82.555,82.131,2842800
2023-07-19,81.325,82.599,81.414,2781700
2023-07-20,81.494,82.834,81.544,3113900
2023-07-21,81.713,82.829,82.321,7717700
2023-07-24,79.97,82.371,80.328,4335700
2023-07-25,78.286,82.042,79.91,4729500
2023-07-26,77.001,80.008,77.14,4148600
2023-07-27,75.965,78.575,76.572,3224700
2023-07-28,76.602,78.027,77.579,2910100
2023-07-31,75.985,77.738,77.708,3916200
2023-08-01,76.812,77.743,77.399,2126700
2023-08-02,75.865,77.489,76.303,3073000
2023-08-03,75.397,76.403,75.736,2053300
2023-08-04,75.343,76.508,75.616,1449600
2023-08-07,74.889,76.005,75.307,1668300
2023-08-08,73.046,75.188,73.653,2574900
2023-08-09,73.145,74.6,73.643,3028400
2023-08-10,71.85,74.301,72.03,3681600
2023-08-11,70.595,71.87,71.322,2898300
2023-08-14,70.585,71.601,71.531,2601100
2023-08-15,69.927,71.482,70.276,2476300
2023-08-16,70.157,72.01,70.406,3697400
2023-08-17,67.985,70.535,68.134,3791900
2023-08-18,67.641,68.493,68.104,2929200
2023-08-21,68.343,69.24,68.712,2807800
2023-08-22,68.413,69.14,68.672,2168400
2023-08-23,68.553,69.27,68.732,2079500
2023-08-24,67.985,69.529,68.174,2623200
2023-08-25,67.357,68.632,68.333,3096600
2023-08-28,68.503,69.399,69.051,2438700
2023-08-29,69.071,70.236,70.216,2044300
2023-08-30,69.967,70.724,70.127,1889200
2023-08-31,69.6,70.864,70.186,3573300
2023-09-01,68.842,70.754,68.991,2097300
2023-09-05,67.158,68.901,67.407,3773500
2023-09-06,65.813,67.945,66.729,3140100
2023-09-07,65.584,67.915,65.653,2836900
2023-09-08,64.478,65.743,64.657,3103100
2023-09-11,64.956,67.098,66.371,3630500
2023-09-12,64.976,66.371,65.155,2381800
2023-09-13,63.97,65.693,64.289,3612800
2023-09-14,64.328,65.813,65.753,3945100
2023-09-15,65.335,66.251,66.182,6711100
2023-09-18,65.624,66.739,66.032,3205300
2023-09-19,65.106,66.5,65.873,3160400
2023-09-20,64.657,66.55,64.767,1796400
2023-09-21,63.551,64.647,63.651,2172500
2023-09-22,63.498,64.563,64.089,2277800
2023-09-25,63.761,66.789,66.231,3214500
2023-09-26,65.873,67.153,65.962,3619900
2023-09-27,65.903,68.155,68.025,5470000
2023-09-28,67.756,70.316,69.519,4817700
2023-09-29,67.676,69.937,67.785,3146200
2023-10-02,67.317,68.403,67.586,1942100
2023-10-03,66.152,67.277,66.729,2726100
2023-10-04,66.221,67.815,67.626,2084400
2023-10-05,66.378,68.423,67.347,1894300
2023-10-06,66.401,68.732,68.204,2319800
2023-10-09,66.929,67.825,67.546,1600300
2023-10-10,67.357,68.373,67.935,2209000
2023-10-11,66.789,68.054,67.526,2032900
2023-10-12,65.922,67.656,66.261,2252100
2023-10-13,65.813,67.387,66.869,1984200
2023-10-16,66.082,67.437,66.63,1951500
2023-10-17,65.823,67.158,66.55,1596000
2023-10-18,64.847,66.231,64.986,1917700
2023-10-19,64.627,66.451,65.235,1669200
2023-10-20,63.65,65.315,63.84,2575000
2023-10-23,63.152,64.328,63.78,2412500
2023-10-24,63.75,64.846,64.458,2511200
2023-10-25,63.77,64.777,64.298,3179600
2023-10-26,63.371,64.527,63.7,3484900
2023-10-27,62.514,64.109,62.893,2606400
2023-10-30,62.145,63.461,62.963,4484200
2023-10-31,65.554,67.478,66.351,7555100
2023-11-01,65.783,68.225,68.056,4523300
2023-11-02,68.056,69.531,69.023,3115900
2023-11-03,69.401,71.664,71.335,4022800
2023-11-06,70.528,71.724,70.857,2350100
2023-11-07,70.448,71.225,70.468,1912900
2023-11-08,69.297,70.926,69.76,2062100
2023-11-09,67.827,69.91,68.086,1981500
2023-11-10,68.166,69.342,69.292,2773300
2023-11-13,69.122,70.318,69.78,1993200
2023-11-14,70.448,72.132,71.973,2634400
2023-11-15,71.24,72.392,71.285,2780100
2023-11-16,71.265,72.422,71.684,2946600
2023-11-17,71.789,73.138,72.76,2920000
2023-11-20,72.531,73.249,73.089,1787600
2023-11-21,72.352,73.448,73.139,1469300
2023-11-22,72.95,73.937,73.358,1123300
2023-11-24,73.15,73.598,73.468,558900
2023-11-27,70.318,71.28,70.906,4253600
2023-11-28,67.881,70.553,67.906,5167900
2023-11-29,67.239,68.617,67.488,3762900
2023-11-30,66.172,68.455,68.235,3324600
2023-12-01,67.934,69.441,69.182,1898700
2023-12-04,68.544,69.536,69.142,1478700
2023-12-05,67.498,68.823,67.707,1896200
2023-12-06,67.642,68.455,67.827,1579700
2023-12-07,66.78,68.066,67.169,2089200
2023-12-08,66.83,68.405,68.295,1893700
2023-12-11,68.863,71.076,70.897,3051300
2023-12-12,71.006,72.157,71.814,2407200
2023-12-13,72.282,74.026,73.937,2628600
2023-12-14,74.096,76.05,75.671,4271300
2023-12-15,74.241,76.339,74.764,5699300
2023-12-18,74.305,75.267,74.814,1945800
2023-12-19,74.754,75.591,75.442,2441800
2023-12-20,74.634,76.339,75.192,2162200
2023-12-21,75.83,77.355,76.937,2992100
2023-12-22,76.737,77.455,77.325,2197800
2023-12-26,77.325,78.068,77.884,1413900
2023-12-27,77.126,78.033,77.415,1365000
2023-12-28,76.996,77.709,77.285,1569500
2023-12-29,76.608,77.385,77.066,1786900
2024-01-02,75.457,77.156,76.119,2003100
2024-01-03,75.187,76.428,75.86,2692400
2024-01-04,75.601,76.697,76.319,2395900
2024-01-05,75.342,77.196,76.368,2377700
2024-01-08,76.06,77.196,77.106,1880600
2024-01-09,74.156,77.405,76.408,3507200
2024-01-10,74.634,76.359,75.92,3020600
2024-01-11,74.535,76.074,76.0,2305500
2024-01-12,75.182,76.249,75.95,1888300
2024-01-16,74.325,75.681,74.753,2831600
2024-01-17,71.812,74.025,72.54,3766900
2024-01-18,72.211,73.547,73.308,2421500
2024-01-19,72.988,73.906,73.896,3704600
2024-01-22,73.956,75.232,74.424,2414900
2024-01-23,72.475,74.514,73.457,2850400
