,Low,High,Close,Volume
2010-12-09,6.069,6.18,6.094,7682700
2010-12-10,6.058,6.195,6.18,7350000
2010-12-13,6.141,6.241,6.155,7114600
2010-12-14,6.148,6.241,6.202,8677100
2010-12-15,6.137,6.234,6.162,6514800
2010-12-16,6.141,6.259,6.205,6173700
2010-12-17,6.072,6.202,6.087,12820800
2010-12-20,5.99,6.108,6.001,8968600
2010-12-21,5.968,6.072,6.001,6645100
2010-12-22,5.99,6.029,6.004,5691500
2010-12-23,5.922,6.015,5.936,4711000
2010-12-27,5.864,6.044,6.026,4305000
2010-12-28,5.975,6.058,6.029,3295300
2010-12-29,6.022,6.069,6.04,2592500
2010-12-30,5.968,6.055,6.026,2950000
2010-12-31,5.954,6.033,6.015,3838800
2011-01-03,6.051,6.22,6.166,8276900
2011-01-04,6.116,6.209,6.166,5603800
2011-01-05,6.148,6.342,6.331,8502600
2011-01-06,6.274,6.367,6.356,7948200
2011-01-07,6.245,6.385,6.306,6586500
2011-01-10,6.08,6.249,6.126,14989200
2011-01-11,6.112,6.223,6.141,6780600
2011-01-12,6.295,6.461,6.335,20652100
2011-01-13,6.231,6.349,6.249,11092300
2011-01-14,6.223,6.295,6.295,8489600
2011-01-18,6.342,6.561,6.547,15801200
2011-01-19,6.382,6.511,6.457,10668200
2011-01-20,6.317,6.511,6.399,8224500
2011-01-21,6.378,6.45,6.414,6423700
2011-01-24,6.364,6.45,6.435,7235800
2011-01-25,6.331,6.45,6.407,7397000
2011-01-26,6.328,6.432,6.396,10913400
2011-01-27,6.399,6.752,6.435,37873800
2011-01-28,6.184,6.482,6.274,18833900
2011-01-31,6.209,6.328,6.328,6713000
2011-02-01,6.335,6.475,6.464,10465300
2011-02-02,6.378,6.471,6.435,7095800
2011-02-03,6.338,6.482,6.45,8999300
2011-02-04,6.421,6.536,6.525,8187800
2011-02-07,6.5,6.583,6.561,5126200
2011-02-08,6.543,6.644,6.644,6283100
2011-02-09,6.565,6.64,6.601,5738400
2011-02-10,6.536,6.651,6.647,9414800
2011-02-11,6.565,6.644,6.626,6782600
2011-02-14,6.59,6.712,6.619,5923300
2011-02-15,6.579,6.665,6.658,5779500
2011-02-16,6.565,6.651,6.586,6459800
2011-02-17,6.583,6.726,6.694,5568400
2011-02-18,6.626,6.755,6.676,6114200
2011-02-22,6.435,6.662,6.443,7870400
2011-02-23,6.31,6.464,6.36,8946600
2011-02-24,6.331,6.446,6.403,7972200
2011-02-25,6.428,6.543,6.522,6576900
2011-02-28,6.414,6.529,6.479,6420700
2011-03-01,6.252,6.511,6.259,9692900
2011-03-02,6.205,6.324,6.274,6496600
2011-03-03,6.317,6.468,6.453,7431000
2011-03-04,6.32,6.464,6.367,13808300
2011-03-07,6.256,6.457,6.425,9251900
2011-03-08,6.399,6.601,6.479,8971000
2011-03-09,6.392,6.64,6.633,9538300
2011-03-10,6.464,6.594,6.475,13634200
2011-03-11,6.414,6.514,6.511,8309300
2011-03-14,6.432,6.54,6.489,8979400
2011-03-15,6.238,6.36,6.31,11936300
2011-03-16,6.105,6.295,6.13,13250500
2011-03-17,6.148,6.252,6.195,7665200
2011-03-18,6.159,6.288,6.205,11516600
2011-03-21,6.245,6.392,6.349,7232700
2011-03-22,6.284,6.392,6.335,3747600
2011-03-23,6.227,6.382,6.364,4490400
2011-03-24,6.353,6.507,6.5,6104700
2011-03-25,6.489,6.565,6.507,5901400
2011-03-28,6.45,6.543,6.457,4332600
2011-03-29,6.396,6.55,6.543,4204400
2011-03-30,6.464,6.565,6.486,7948100
2011-03-31,6.486,6.665,6.662,9274500
2011-04-01,6.597,6.737,6.633,8024200
2011-04-04,6.532,6.644,6.597,5709500
2011-04-05,6.511,6.615,6.59,5535800
2011-04-06,6.529,6.647,6.604,14390300
2011-04-07,6.522,6.64,6.561,7452500
2011-04-08,6.5,6.608,6.543,4773600
2011-04-11,6.608,6.716,6.619,13581500
2011-04-12,6.518,6.601,6.558,7936400
2011-04-13,6.525,6.626,6.586,6295300
2011-04-14,6.482,6.655,6.626,6783000
2011-04-15,6.572,6.669,6.655,5628500
2011-04-18,6.457,6.579,6.54,6322100
2011-04-19,6.475,6.594,6.514,5221100
2011-04-20,6.601,6.816,6.805,8042500
2011-04-21,6.766,6.845,6.838,6739700
2011-04-25,6.788,6.913,6.888,7395900
2011-04-26,6.874,7.01,6.949,9300000
2011-04-27,6.942,7.1,7.089,7704500
2011-04-28,7.017,7.122,7.071,5700000
2011-04-29,7.039,7.111,7.061,9745400
2011-05-02,7.021,7.115,7.025,4167000
2011-05-03,6.971,7.068,7.043,6295800
2011-05-04,6.935,7.086,7.021,5449100
2011-05-05,6.903,7.089,6.917,7300000
2011-05-06,6.92,7.079,6.978,6940500
2011-05-09,6.917,7.028,6.971,7252800
2011-05-10,6.956,7.061,7.028,9807600
2011-05-11,6.888,7.032,6.974,9400000
2011-05-12,7.061,7.366,7.337,35000000
2011-05-13,7.183,7.294,7.208,10430700
2011-05-16,7.061,7.215,7.079,9238300
2011-05-17,6.996,7.093,7.068,7970000
2011-05-18,7.007,7.15,7.071,13098000
2011-05-19,6.996,7.115,7.032,9254000
2011-05-20,6.917,7.071,6.982,9626100
2011-05-23,6.809,6.913,6.827,7000000
2011-05-24,6.766,6.859,6.795,7952500
2011-05-25,6.788,6.895,6.802,9280700
2011-05-26,6.777,6.992,6.938,15142500
2011-05-27,6.892,6.985,6.906,8281800
2011-05-31,6.949,7.05,7.025,12042300
2011-06-01,6.827,7.061,6.834,12505200
2011-06-02,6.734,6.885,6.755,9479100
2011-06-03,6.622,6.734,6.651,7483700
2011-06-06,6.611,6.691,6.626,9643600
2011-06-07,6.626,6.762,6.73,14494400
2011-06-08,6.694,6.805,6.777,12285300
2011-06-09,6.723,6.823,6.773,11591200
2011-06-10,6.637,6.755,6.647,10033400
2011-06-13,6.601,6.687,6.629,7098400
2011-06-14,6.658,6.73,6.705,7518500
2011-06-15,6.637,6.708,6.658,10622200
2011-06-16,6.622,6.73,6.691,8996500
2011-06-17,6.647,6.795,6.665,8941600
2011-06-20,6.622,6.762,6.755,6523300
2011-06-21,6.712,6.877,6.859,9871600
2011-06-22,6.773,6.845,6.777,8052600
2011-06-23,6.662,6.816,6.802,7230500
2011-06-24,6.698,6.841,6.737,19734800
2011-06-27,6.698,6.892,6.841,7399900
2011-06-28,6.834,7.05,7.007,10232200
2011-06-29,6.967,7.053,7.017,6652000
2011-06-30,7.025,7.104,7.086,7574800
2011-07-01,7.082,7.147,7.125,6839700
2011-07-05,7.064,7.129,7.1,5670600
2011-07-06,7.046,7.122,7.111,9005300
2011-07-07,7.089,7.186,7.136,9144600
2011-07-08,6.985,7.115,7.089,9130400
2011-07-11,6.913,7.053,6.956,6307800
2011-07-12,6.895,7.007,6.91,7132900
2011-07-13,6.91,7.039,6.924,7395100
2011-07-14,6.78,6.978,6.816,7736000
2011-07-15,6.78,6.867,6.816,8141300
2011-07-18,6.683,6.805,6.78,8475800
2011-07-19,6.823,7.025,6.992,7431800
2011-07-20,6.777,6.974,6.788,8366500
2011-07-21,6.741,6.892,6.838,8001300
2011-07-22,6.773,6.87,6.849,6805600
2011-07-25,6.77,6.917,6.859,8749700
2011-07-26,6.798,6.899,6.852,5516500
2011-07-27,6.601,6.834,6.619,10824600
2011-07-28,6.831,7.118,7.003,22713000
2011-07-29,6.845,7.021,6.849,10414400
2011-08-01,6.737,6.935,6.841,10422800
2011-08-02,6.647,6.867,6.651,8794300
2011-08-03,6.525,6.705,6.565,15028200
2011-08-04,6.148,6.471,6.152,21485000
2011-08-05,5.965,6.374,6.144,22731600
2011-08-08,5.598,6.087,5.749,19829300
2011-08-09,5.67,6.087,6.076,21582100
2011-08-10,5.724,6.001,5.746,17765000
2011-08-11,5.735,6.069,5.997,16069000
2011-08-12,5.961,6.13,6.033,11730100
2011-08-15,5.997,6.112,6.108,7149100
2011-08-16,5.968,6.116,6.087,10925500
2011-08-17,5.961,6.141,6.029,9095500
2011-08-18,5.595,5.918,5.681,14677400
2011-08-19,5.53,5.792,5.541,12079400
2011-08-22,5.569,5.684,5.623,8270000
2011-08-23,5.573,5.825,5.821,9845700
2011-08-24,5.763,5.893,5.886,7275900
2011-08-25,5.71,5.936,5.731,7347900
2011-08-26,5.645,5.922,5.886,7405700
2011-08-29,5.958,6.055,6.051,4781600
2011-08-30,5.972,6.13,6.098,8452400
2011-08-31,6.051,6.223,6.162,7714100
2011-09-01,6.072,6.234,6.087,7740400
2011-09-02,5.832,6.004,5.878,8010500
2011-09-06,5.638,5.799,5.778,7326000
2011-09-07,5.828,6.008,6.004,9832100
2011-09-08,5.886,5.993,5.922,6632300
2011-09-09,5.724,5.907,5.767,7224300
2011-09-12,5.681,5.846,5.839,7426500
