,Low,High,Close,Volume
2010-12-09,9.563,9.811,9.687,200100
2010-12-10,9.632,9.832,9.798,128100
2010-12-13,9.653,10.005,9.804,316200
2010-12-14,9.956,10.467,10.253,586300
2010-12-15,10.212,10.412,10.391,315900
2010-12-16,10.232,10.384,10.336,193800
2010-12-17,10.08,10.343,10.281,322800
2010-12-20,10.225,10.384,10.315,385500
2010-12-21,10.315,10.515,10.453,196300
2010-12-22,10.432,10.674,10.626,292000
2010-12-23,10.591,10.729,10.646,273300
2010-12-27,10.356,10.626,10.391,226600
2010-12-28,10.212,10.522,10.453,217800
2010-12-29,10.218,10.515,10.494,185700
2010-12-30,10.281,10.446,10.294,135700
2010-12-31,10.239,10.474,10.356,95200
2011-01-03,10.377,10.646,10.563,245000
2011-01-04,10.191,10.584,10.432,214200
2011-01-05,10.315,10.605,10.591,137300
2011-01-06,10.632,10.908,10.832,283000
2011-01-07,10.826,11.115,10.984,281700
2011-01-10,10.97,11.378,11.15,344500
2011-01-11,11.039,11.219,11.122,231200
2011-01-12,11.129,11.288,11.191,183200
2011-01-13,10.998,11.274,11.233,242600
2011-01-14,11.095,11.384,11.35,166600
2011-01-18,11.419,11.923,11.757,453200
2011-01-19,11.571,11.874,11.647,325600
2011-01-20,11.398,11.647,11.495,274400
2011-01-21,11.543,11.826,11.764,277000
2011-01-24,11.64,11.861,11.702,185100
2011-01-25,11.522,12.123,11.916,408600
2011-01-26,11.874,12.233,12.019,344800
2011-01-27,11.874,12.123,11.943,178600
2011-01-28,11.626,12.019,11.654,311400
2011-01-31,11.847,12.219,12.04,417900
2011-02-01,12.033,12.475,12.433,414800
2011-02-02,12.15,12.419,12.178,259300
2011-02-03,12.074,12.261,12.143,311100
2011-02-04,12.047,12.385,12.33,273500
2011-02-07,12.371,12.709,12.689,267900
2011-02-08,12.364,12.764,12.702,172300
2011-02-09,12.419,12.709,12.702,247700
2011-02-10,12.419,12.661,12.654,240400
2011-02-11,12.509,12.882,12.882,198500
2011-02-14,12.778,13.109,13.096,245900
2011-02-15,12.82,13.178,12.992,262000
2011-02-16,12.937,13.289,13.275,242500
2011-02-17,13.192,13.434,13.344,256600
2011-02-18,12.992,13.378,13.075,313300
2011-02-22,12.502,12.971,12.599,337300
2011-02-23,12.488,12.896,12.751,249900
2011-02-24,12.557,12.833,12.599,206300
2011-02-25,12.62,13.144,13.102,291800
2011-02-28,13.013,13.378,13.151,276300
2011-03-01,12.764,13.165,13.061,321900
2011-03-02,12.84,13.185,13.109,490800
2011-03-03,13.068,13.62,13.392,399000
2011-03-04,13.296,13.558,13.51,287300
2011-03-07,13.275,13.613,13.344,312600
2011-03-08,13.206,13.579,13.399,203200
2011-03-09,12.965,13.462,12.965,318500
2011-03-10,12.208,12.825,12.488,466700
2011-03-11,12.264,13.679,13.063,796300
2011-03-14,13.455,14.387,14.24,2037500
2011-03-15,13.974,15.032,14.934,1880700
2011-03-16,15.172,15.887,15.305,2307600
2011-03-17,15.642,16.882,16.791,2841100
2011-03-18,15.417,16.819,16.09,2061600
2011-03-21,16.146,16.77,16.476,1172100
2011-03-22,16.658,17.429,16.924,1530500
2011-03-23,16.434,17.134,16.826,1034500
2011-03-24,16.665,17.134,16.987,543800
2011-03-25,17.134,17.604,17.373,826400
2011-03-28,17.085,17.513,17.345,643200
2011-03-29,16.889,17.282,17.036,565200
2011-03-30,15.747,17.19,16.98,1856500
2011-03-31,17.345,18.193,17.926,1198600
2011-04-01,18.228,18.984,18.382,1126000
2011-04-04,18.606,20.267,19.994,1437300
2011-04-05,19.496,20.239,19.832,922200
2011-04-06,19.16,20.835,19.924,1040400
2011-04-07,19.279,19.755,19.706,794600
2011-04-08,18.676,20.288,18.886,869200
2011-04-11,18.872,19.552,19.062,536200
2011-04-12,18.333,19.482,18.781,503500
2011-04-13,18.487,19.468,18.774,333100
2011-04-14,18.333,18.697,18.55,530900
2011-04-15,18.382,19.391,19.37,631600
2011-04-18,17.737,18.662,18.017,727400
2011-04-19,18.144,18.795,18.41,403700
2011-04-20,19.118,21.886,21.374,1954200
2011-04-21,20.554,21.725,21.234,704800
2011-04-25,21.234,22.159,21.458,454900
2011-04-26,21.318,22.005,21.865,505500
2011-04-27,21.563,22.019,21.802,493500
2011-04-28,22.054,23.021,22.446,731300
2011-04-29,22.068,23.119,22.818,587000
2011-05-02,22.18,22.923,22.243,414900
2011-05-03,20.828,22.313,21.318,686100
2011-05-04,19.853,21.15,20.274,663100
2011-05-05,20.148,21.017,20.4,396700
2011-05-06,20.141,21.059,20.281,559000
2011-05-09,20.407,21.031,20.898,354000
2011-05-10,20.701,21.129,21.059,315400
2011-05-11,19.706,21.332,19.931,438900
2011-05-12,18.992,19.762,19.475,573000
2011-05-13,18.662,19.952,19.055,569400
2011-05-16,18.949,20.442,19.762,603000
2011-05-17,18.669,20.043,18.893,704900
2011-05-18,19.447,20.435,20.344,661700
2011-05-19,19.987,20.849,20.4,440200
2011-05-20,19.924,21.297,20.645,931200
2011-05-23,19.503,20.302,20.19,505700
2011-05-24,20.155,21.101,20.701,704400
2011-05-25,20.61,21.991,21.858,797700
2011-05-26,21.725,22.243,21.942,490400
2011-05-27,22.11,22.972,22.608,741000
2011-05-31,22.18,23.932,22.327,1351800
2011-06-01,23.217,24.353,23.343,1633600
2011-06-02,22.615,23.47,23.161,740900
2011-06-03,22.692,23.624,22.818,534300
2011-06-06,21.395,22.951,21.725,726400
2011-06-07,21.739,23.266,22.559,595500
2011-06-08,21.4,22.396,21.542,651300
2011-06-09,21.429,22.262,21.965,459200
2011-06-10,21.301,21.965,21.803,465000
2011-06-13,20.779,22.043,21.372,583600
2011-06-14,21.358,22.177,21.979,465200
2011-06-15,21.252,21.994,21.513,527000
2011-06-16,21.047,21.944,21.457,452000
2011-06-17,21.188,22.968,21.852,959300
2011-06-20,21.45,22.057,21.909,388900
2011-06-21,21.994,22.806,22.636,389100
2011-06-22,22.495,23.929,23.314,669000
2011-06-23,22.071,23.173,23.081,455500
2011-06-24,22.502,23.307,22.742,1452100
2011-06-27,22.559,23.244,23.18,296500
2011-06-28,23.23,23.999,23.674,386700
2011-06-29,24.035,24.946,24.741,789100
2011-06-30,24.473,24.812,24.642,750900
2011-07-01,24.642,26.012,25.567,754000
2011-07-05,25.942,26.365,26.238,747800
2011-07-06,25.892,26.987,26.704,936400
2011-07-07,25.913,27.142,26.81,1141000
2011-07-08,26.168,28.181,27.531,1467000
2011-07-11,26.824,27.616,27.411,857300
2011-07-12,26.485,27.276,26.669,694000
2011-07-13,26.514,27.389,26.662,675200
2011-07-14,26.295,27.001,26.754,522100
2011-07-15,26.69,27.156,27.022,540400
2011-07-18,26.252,26.839,26.591,438200
2011-07-19,26.909,27.884,27.651,604500
2011-07-20,27.206,27.827,27.411,315600
2011-07-21,27.411,28.011,27.58,496200
2011-07-22,27.213,27.898,27.799,269000
2011-07-25,27.411,28.145,27.658,387400
2011-07-26,27.375,28.089,27.46,250900
2011-07-27,26.019,27.241,26.337,560900
2011-07-28,25.857,26.987,26.761,441200
2011-07-29,26.245,27.234,26.93,691800
2011-08-01,26.584,27.658,26.98,790900
2011-08-02,25.927,26.923,25.956,575200
2011-08-03,25.002,26.408,26.358,866400
2011-08-04,23.766,25.271,23.851,1227100
2011-08-05,20.567,23.519,22.071,1160900
2011-08-08,19.366,21.153,19.705,1360100
2011-08-09,19.373,21.238,21.089,767300
2011-08-10,20.786,22.248,21.019,756600
2011-08-11,21.202,23.773,23.392,813400
2011-08-12,22.785,23.872,22.848,657300
2011-08-15,23.06,23.95,23.505,829600
2011-08-16,22.276,23.385,22.82,754500
2011-08-17,22.65,23.561,23.046,684300
2011-08-18,20.419,21.429,21.217,1218200
2011-08-19,20.708,21.739,20.835,672000
2011-08-22,20.284,21.598,20.92,748100
2011-08-23,20.68,22.114,21.986,1142600
2011-08-24,20.913,22.057,21.902,1054900
2011-08-25,21.676,22.777,21.873,923400
2011-08-26,20.969,21.972,21.323,1350000
2011-08-29,21.768,22.629,22.453,1067600
2011-08-30,21.718,23.632,23.371,848000
2011-08-31,22.82,23.795,23.3,608200
2011-09-01,22.799,23.844,22.905,458000
2011-09-02,22.297,23.456,22.474,547400
2011-09-06,21.238,22.184,22.008,516800
