,Low,High,Close,Volume
2010-12-09,9.762,10.448,10.287,14479500
2010-12-10,9.717,10.314,10.109,8899800
2010-12-13,10.109,10.483,10.189,5448200
2010-12-14,10.127,10.421,10.172,3929600
2010-12-15,9.967,10.332,10.172,4520800
2010-12-16,10.154,10.51,10.474,4723000
2010-12-17,10.287,10.599,10.367,4838100
2010-12-20,10.323,10.528,10.483,2222300
2010-12-21,10.51,10.688,10.635,2342200
2010-12-22,10.474,10.697,10.688,3125000
2010-12-23,10.492,10.626,10.537,1779200
2010-12-27,10.376,10.813,10.733,3120100
2010-12-28,10.519,10.848,10.546,3710100
2010-12-29,10.528,10.688,10.528,1848300
2010-12-30,10.51,10.652,10.608,1393000
2010-12-31,10.555,10.635,10.555,1391200
2011-01-03,10.661,11.125,10.902,4744000
2011-01-04,10.875,11.133,10.973,4693100
2011-01-05,10.929,11.41,11.312,6975800
2011-01-06,10.875,11.392,10.929,6111000
2011-01-07,11.178,11.793,11.49,11872700
2011-01-10,11.249,11.73,11.695,6852500
2011-01-11,11.445,11.801,11.463,5202000
2011-01-12,11.525,11.793,11.748,4896900
2011-01-13,11.062,11.748,11.107,8184400
2011-01-14,10.715,11.16,10.804,11506900
2011-01-18,10.492,10.884,10.715,6606700
2011-01-19,10.305,10.84,10.394,5770500
2011-01-20,10.172,10.706,10.465,7040500
2011-01-21,10.314,10.724,10.314,3868200
2011-01-24,10.261,10.626,10.528,3508600
2011-01-25,10.599,10.848,10.831,7066900
2011-01-26,10.92,11.347,11.133,6851600
2011-01-27,10.67,11.089,10.964,5550200
2011-01-28,10.243,10.946,10.385,7351800
2011-01-31,10.421,10.581,10.581,3247600
2011-02-01,10.626,10.848,10.777,2990900
2011-02-02,10.652,10.857,10.768,6820100
2011-02-03,10.581,10.946,10.911,6316300
2011-02-04,11.178,11.543,11.365,8106900
2011-02-07,11.374,11.739,11.534,7442500
2011-02-08,11.454,11.579,11.525,3283400
2011-02-09,11.142,11.508,11.142,5800200
2011-02-10,11.525,12.799,12.737,25334100
2011-02-11,12.149,12.799,12.737,11648300
2011-02-14,12.3,12.737,12.639,6228800
2011-02-15,12.559,13.244,12.817,8762300
2011-02-16,12.87,13.538,13.342,10836300
2011-02-17,12.942,13.325,13.271,5599100
2011-02-18,13.129,13.494,13.262,5192100
2011-02-22,12.318,12.968,12.389,7437700
2011-02-23,11.882,12.692,12.176,6996500
2011-02-24,11.801,12.443,12.14,5942900
2011-02-25,12.042,12.416,12.38,3825900
2011-02-28,12.247,12.648,12.63,5256500
2011-03-01,12.122,12.772,12.247,9606000
2011-03-02,12.184,12.496,12.461,6573300
2011-03-03,12.336,12.665,12.452,5721400
2011-03-04,12.042,12.496,12.184,4754000
2011-03-07,11.775,12.389,11.882,4910100
2011-03-08,11.917,12.63,12.576,6060400
2011-03-09,12.469,12.888,12.817,6761800
