,Low,High,Close,Volume
2018-09-17,17.185,21.53,18.769,313400
2018-09-18,17.87,19.084,17.87,148500
2018-09-19,16.402,17.675,16.402,192200
2018-09-20,15.659,17.126,15.903,727500
2018-09-21,15.433,16.148,15.903,558300
2018-09-24,15.414,15.952,15.561,100800
2018-09-25,14.68,15.59,14.973,267700
2018-09-26,14.993,15.903,15.247,645100
2018-09-27,15.376,16.539,16.392,1663700
2018-09-28,16.226,18.232,18.105,1914700
2018-10-01,16.5,18.252,17.997,24931300
2018-10-02,16.5,17.704,16.637,5927300
2018-10-03,16.109,16.852,16.353,5540400
2018-10-04,15.747,16.353,15.893,7557400
2018-10-05,15.394,16.735,16.021,7559100
2018-10-08,15.561,17.107,16.872,4530500
2018-10-09,15.57,17.185,15.864,4515700
2018-10-10,14.699,15.805,15.365,3851600
2018-10-11,14.905,15.805,14.915,2450800
2018-10-12,14.778,15.199,14.895,1444000
2018-10-15,14.797,15.6,14.983,2202900
2018-10-16,14.91,15.384,15.287,1565200
2018-10-17,14.533,15.159,14.641,1572500
2018-10-18,14.132,14.641,14.2,2289100
2018-10-19,13.045,14.513,13.789,3265400
2018-10-22,13.417,14.23,13.662,1467400
2018-10-23,13.045,14.68,14.367,1545100
2018-10-24,13.045,14.288,13.476,1548900
2018-10-25,13.427,14.142,13.877,1058400
2018-10-26,13.408,14.533,14.269,1374400
2018-10-29,14.054,15.541,14.484,1076000
2018-10-30,14.093,14.68,14.23,1292300
2018-10-31,14.049,14.954,14.846,1329600
2018-11-01,14.954,15.815,15.11,1348100
2018-11-02,13.946,14.718,14.621,1291400
2018-11-05,14.337,15.049,14.494,1409000
2018-11-06,14.435,15.345,14.455,706600
2018-11-07,13.31,14.445,13.701,2079300
2018-11-08,13.31,13.887,13.574,2348400
2018-11-09,12.449,13.398,12.732,1433300
2018-11-12,12.625,13.574,13.271,1557600
2018-11-13,13.045,13.75,13.554,1282400
2018-11-14,13.045,13.949,13.212,995500
2018-11-15,12.008,13.261,12.683,1138800
