,Low,High,Close,Volume
2010-12-09,30.006,30.416,30.245,489000
2010-12-10,30.189,30.483,30.385,501500
2010-12-13,29.602,30.569,29.614,1260500
2010-12-14,29.681,30.446,29.859,835500
2010-12-15,29.645,29.987,29.761,680000
2010-12-16,29.675,30.22,30.147,796500
2010-12-17,29.926,30.287,30.257,1422200
2010-12-20,30.055,30.342,30.183,657400
2010-12-21,29.981,30.44,30.153,572600
2010-12-22,30.092,30.44,30.367,335100
2010-12-23,29.681,30.373,29.694,604300
2010-12-27,29.443,29.804,29.688,515900
2010-12-28,28.886,29.798,29.014,1012500
2010-12-29,29.008,29.553,29.528,583900
2010-12-30,29.437,29.657,29.553,1803600
2010-12-31,28.708,29.553,28.874,972200
2011-01-03,28.152,29.222,28.537,2466600
2011-01-04,27.729,28.513,28.158,1543100
2011-01-05,27.717,28.5,28.298,1423100
2011-01-06,27.772,28.353,28.182,1715800
2011-01-07,27.962,28.464,28.194,1552200
2011-01-10,27.913,28.286,28.139,1455200
2011-01-11,28.078,28.745,28.145,2376800
2011-01-12,27.515,28.28,27.564,2313600
2011-01-13,27.056,27.503,27.325,2224200
2011-01-14,26.034,27.741,27.227,6680600
2011-01-18,26.726,27.209,26.958,2737400
2011-01-19,26.934,27.429,27.264,1975200
2011-01-20,27.087,27.393,27.331,1397700
2011-01-21,27.264,27.711,27.301,1616800
2011-01-24,26.891,27.307,27.227,1941900
2011-01-25,26.811,27.258,27.191,1533400
2011-01-26,27.166,27.527,27.448,1412600
2011-01-27,27.301,27.595,27.527,1008200
2011-01-28,26.961,27.724,27.023,1099000
2011-01-31,26.955,27.269,27.133,1301000
2011-02-01,26.758,27.38,26.992,2358600
2011-02-02,26.518,27.207,26.703,1960700
2011-02-03,26.647,27.515,27.435,2097400
2011-02-04,27.349,27.724,27.583,1113900
2011-02-07,26.74,28.198,28.081,2188600
2011-02-08,27.823,28.217,28.204,766800
2011-02-09,27.878,28.321,28.007,1045600
2011-02-10,27.81,28.143,28.118,924400
2011-02-11,27.89,28.155,27.97,1171900
2011-02-14,27.638,27.86,27.743,1164100
2011-02-15,27.103,27.7,27.232,1657800
2011-02-16,27.213,27.693,27.546,2251900
2011-02-17,27.435,28.407,28.069,1482800
2011-02-18,28.013,28.223,28.149,911700
2011-02-22,27.589,28.044,27.706,1039000
2011-02-23,26.955,27.687,27.14,1516300
2011-02-24,26.758,27.281,27.103,1278000
2011-02-25,27.023,27.509,27.453,1023000
2011-02-28,27.404,27.755,27.632,1078200
2011-03-01,27.41,27.792,27.423,1335600
2011-03-02,27.152,27.755,27.693,942100
2011-03-03,27.823,28.475,28.389,841400
2011-03-04,28.315,28.721,28.672,1856300
2011-03-07,28.647,29.054,28.924,2050200
2011-03-08,28.881,29.226,29.127,1165200
2011-03-09,28.795,29.146,29.127,1073600
2011-03-10,28.709,29.09,28.875,1166100
2011-03-11,28.586,28.924,28.838,1214600
2011-03-14,28.543,28.924,28.727,959500
2011-03-15,28.05,28.53,28.333,1669800
2011-03-16,27.995,28.426,28.075,1288700
2011-03-17,28.118,28.463,28.167,1177900
2011-03-18,28.364,28.61,28.481,1112200
2011-03-21,28.573,28.918,28.74,772700
2011-03-22,28.29,28.74,28.297,686800
2011-03-23,27.927,28.537,28.444,475100
2011-03-24,28.401,28.887,28.85,586100
2011-03-25,28.721,29.238,29.06,520400
2011-03-28,28.77,29.152,28.77,467700
2011-03-29,28.561,28.937,28.826,2128100
2011-03-30,28.826,29.17,29.109,949300
2011-03-31,28.814,29.183,28.826,1067600
2011-04-01,29.023,29.3,29.164,1148000
2011-04-04,28.937,29.25,29.041,1010900
2011-04-05,28.475,29.017,28.998,2134500
2011-04-06,28.998,29.312,29.084,849500
2011-04-07,28.863,29.294,29.103,597700
2011-04-08,28.746,29.337,28.826,1079700
2011-04-11,28.783,29.183,28.881,834400
2011-04-12,28.032,28.838,28.106,1950400
2011-04-13,28.001,28.358,28.18,1449000
2011-04-14,27.14,28.309,27.324,4111100
2011-04-15,27.25,28.044,27.57,2213700
2011-04-18,27.078,27.46,27.269,1287800
2011-04-19,27.133,27.472,27.213,1127900
2011-04-20,27.324,27.712,27.638,1761700
2011-04-21,27.349,27.693,27.417,1293900
2011-04-25,27.146,28.106,28.1,1612300
2011-04-26,28.124,28.586,28.395,1600000
2011-04-27,28.278,28.512,28.438,1127600
2011-04-28,28.463,28.859,28.785,1002200
2011-04-29,28.773,29.07,29.014,1588300
2011-05-02,29.039,29.423,29.231,1581200
2011-05-03,28.896,29.206,29.076,1301000
2011-05-04,28.996,29.473,29.411,1350600
2011-05-05,29.15,29.683,29.299,1200000
2011-05-06,29.188,29.652,29.324,1009700
2011-05-09,29.058,29.386,29.064,638600
2011-05-10,29.033,29.559,29.491,603600
2011-05-11,29.398,29.689,29.559,1000000
2011-05-12,29.417,29.943,29.937,1300000
2011-05-13,29.708,29.999,29.764,854600
2011-05-16,29.578,29.795,29.615,641200
2011-05-17,29.014,29.646,29.07,1351900
2011-05-18,29.039,29.473,29.429,669000
2011-05-19,29.311,29.764,29.714,904100
2011-05-20,29.157,29.658,29.417,704700
2011-05-23,28.903,29.572,29.367,887500
2011-05-24,29.02,29.423,29.119,1012500
2011-05-25,28.717,29.095,28.952,730000
2011-05-26,28.314,28.971,28.729,1432600
2011-05-27,28.153,28.872,28.184,1203800
2011-05-31,28.227,28.494,28.333,2399400
2011-06-01,28.073,28.822,28.097,2713600
2011-06-02,27.85,28.333,27.887,1359300
2011-06-03,27.249,27.72,27.478,2141000
2011-06-06,27.174,27.528,27.472,1649500
2011-06-07,26.927,27.8,26.964,1594800
2011-06-08,26.598,26.989,26.648,908300
2011-06-09,26.654,27.013,26.834,749500
2011-06-10,26.406,26.759,26.431,818900
2011-06-13,26.45,26.747,26.58,1103000
2011-06-14,26.815,27.181,26.989,1082400
2011-06-15,26.722,27.069,27.007,1338300
2011-06-16,26.821,27.255,26.927,837300
2011-06-17,26.859,27.261,26.859,863400
2011-06-20,26.766,27.317,27.298,676900
2011-06-21,27.205,27.565,27.243,869500
2011-06-22,27.075,27.335,27.162,1261200
2011-06-23,26.753,27.168,27.038,1129100
2011-06-24,26.735,27.249,26.852,707200
2011-06-27,26.902,27.261,27.1,811600
2011-06-28,27.125,27.664,27.639,1054500
2011-06-29,27.342,27.751,27.472,806200
2011-06-30,27.131,27.627,27.212,2098500
2011-07-01,27.286,28.06,28.035,1448300
2011-07-05,27.998,28.5,28.494,1614500
2011-07-06,27.998,28.5,28.141,1380800
2011-07-07,28.035,28.457,28.296,997500
2011-07-08,27.298,28.004,27.658,1398100
2011-07-11,26.586,27.28,26.691,2318100
2011-07-12,26.623,27.013,26.79,1473900
2011-07-13,26.239,26.982,26.258,2026700
2011-07-14,25.552,26.382,25.589,4096100
2011-07-15,25.428,26.252,25.626,5872600
2011-07-18,24.35,25.583,24.406,7007800
2011-07-19,24.015,24.61,24.412,3822000
2011-07-20,24.263,24.573,24.387,1566900
2011-07-21,24.331,24.672,24.443,1888800
2011-07-22,24.567,25.229,25.087,2609000
2011-07-25,24.752,25.26,25.037,2832300
2011-07-26,24.845,25.149,24.963,1729100
2011-07-27,24.585,25.006,24.709,2718900
2011-07-28,24.653,25.177,24.778,1828000
2011-07-29,24.403,24.853,24.69,1975900
2011-08-01,24.36,24.878,24.609,2286100
2011-08-02,23.629,24.441,23.629,2226400
2011-08-03,23.492,24.222,24.135,2304900
2011-08-04,23.261,24.035,23.261,2257800
2011-08-05,22.706,23.779,23.249,2735100
2011-08-08,21.507,23.011,21.532,3035600
2011-08-09,21.108,22.3,22.269,4150600
