,Low,High,Close,Volume
2021-06-10,7.546,8.527,8.527,400
2021-06-11,19.754,20.403,20.095,30100
2021-06-14,19.837,20.207,20.177,10500
2021-06-15,19.928,20.215,20.147,21300
2021-06-16,19.928,20.139,20.139,7000
2021-06-17,19.966,20.132,20.117,3600
2021-06-18,19.981,20.139,20.139,13200
2021-06-21,20.041,20.185,20.147,19200
2021-06-22,20.064,20.222,20.222,8800
2021-06-23,20.151,20.222,20.222,5300
2021-06-24,20.117,20.283,20.283,15000
2021-06-25,20.141,20.305,20.305,5700
2021-06-28,20.079,20.351,20.207,14100
2021-06-29,20.071,20.305,20.222,40700
2021-06-30,19.837,20.23,19.845,144100
2021-07-01,19.8,20.011,19.939,19200
2021-07-02,19.89,19.973,19.898,14800
2021-07-06,19.824,19.966,19.898,8700
2021-07-07,19.89,19.996,19.943,29200
2021-07-08,19.875,19.911,19.898,2100
2021-07-09,19.875,19.951,19.89,2500
2021-07-12,19.883,19.958,19.951,2300
2021-07-13,19.822,19.951,19.822,11000
2021-07-14,19.777,19.875,19.853,9200
2021-07-15,19.815,19.874,19.815,1400
2021-07-16,19.807,19.875,19.807,6100
2021-07-19,19.709,19.785,19.785,5300
2021-07-20,19.777,19.86,19.837,4200
2021-07-21,19.77,19.845,19.845,6000
2021-07-22,19.739,19.86,19.739,3100
2021-07-23,19.772,19.837,19.822,7200
2021-07-26,19.724,19.83,19.724,12000
2021-07-27,19.641,19.736,19.709,5000
2021-07-28,19.694,19.755,19.724,7400
2021-07-29,19.739,19.845,19.845,5000
2021-07-30,19.777,19.988,19.951,17100
2021-08-02,19.92,20.011,19.958,10600
2021-08-03,19.958,20.026,19.988,5300
2021-08-04,20.018,20.109,20.109,3800
2021-08-05,20.093,20.207,20.109,17100
2021-08-06,20.019,20.124,20.117,16600
2021-08-09,20.071,20.147,20.071,6700
2021-08-10,19.996,20.086,20.003,3400
2021-08-11,19.966,20.059,19.966,4100
2021-08-12,19.917,20.116,20.062,27300
2021-08-13,19.986,20.085,20.07,2700
2021-08-16,19.986,20.062,20.032,4200
2021-08-17,19.963,20.016,20.016,2200
2021-08-18,19.901,20.039,20.016,8700
2021-08-19,19.924,20.016,20.016,5800
2021-08-20,20.009,20.116,20.116,7600
2021-08-23,20.047,20.154,20.145,2100
2021-08-24,20.054,20.223,20.169,3400
2021-08-25,20.024,20.192,20.192,5000
2021-08-26,20.184,20.184,20.184,700
2021-08-27,20.1,20.154,20.1,2000
2021-08-30,19.932,20.238,20.23,4900
2021-08-31,19.924,20.253,19.978,12700
2021-09-01,20.169,20.284,20.177,6500
2021-09-02,20.07,20.192,20.116,6800
2021-09-03,20.077,20.146,20.131,2200
2021-09-07,19.97,20.169,20.039,2200
2021-09-08,19.955,20.1,20.039,11500
2021-09-09,19.97,20.1,20.1,1500
2021-09-10,20.054,20.1,20.054,2000
2021-09-13,19.947,20.1,19.97,8500
2021-09-14,19.947,20.084,19.947,4900
2021-09-15,19.962,20.047,20.047,5900
2021-09-16,19.947,20.1,20.1,3000
2021-09-17,19.963,20.062,19.97,4700
2021-09-20,19.955,20.169,19.963,19600
2021-09-21,20.005,20.108,20.066,4700
2021-09-22,20.108,20.253,20.223,18200
2021-09-23,20.184,20.207,20.2,2800
2021-09-24,19.986,20.192,20.184,5900
2021-09-27,19.986,20.169,20.169,9400
2021-09-28,19.833,20.039,19.959,6200
2021-09-29,19.993,20.089,20.089,5100
2021-09-30,19.94,20.269,20.269,16200
2021-10-01,19.955,20.23,20.062,3000
2021-10-04,19.917,20.162,20.001,4100
2021-10-05,19.886,20.022,19.886,2900
2021-10-06,19.848,20.006,19.932,7500
