,Low,High,Close,Volume
2010-12-09,11.33,11.641,11.358,284400
2010-12-10,11.33,11.556,11.521,271500
2010-12-13,11.5,11.634,11.514,260300
2010-12-14,11.514,11.648,11.578,221700
2010-12-15,11.549,11.762,11.585,312300
2010-12-16,11.549,11.712,11.712,309800
2010-12-17,11.578,11.804,11.748,900000
2010-12-20,11.535,11.769,11.556,300800
2010-12-21,11.408,11.698,11.443,322300
2010-12-22,11.323,11.549,11.337,279100
2010-12-23,11.259,11.599,11.5,193300
2010-12-27,11.457,11.698,11.648,139700
2010-12-28,11.521,11.691,11.641,246100
2010-12-29,11.606,11.684,11.663,198300
2010-12-30,11.655,11.769,11.705,214200
2010-12-31,11.521,11.74,11.521,248900
2011-01-03,11.259,11.719,11.634,293300
2011-01-04,11.181,11.712,11.358,502700
2011-01-05,11.323,11.599,11.507,357100
2011-01-06,11.294,11.542,11.408,326700
2011-01-07,11.124,11.457,11.273,311400
2011-01-10,10.997,11.252,11.188,271200
2011-01-11,11.195,11.401,11.33,216800
2011-01-12,11.358,11.542,11.457,189300
2011-01-13,11.436,11.599,11.521,271400
2011-01-14,11.464,11.563,11.542,242700
2011-01-18,11.415,11.62,11.606,157000
2011-01-19,11.308,11.641,11.337,201900
2011-01-20,11.188,11.379,11.216,227900
2011-01-21,11.054,11.294,11.082,257600
2011-01-24,11.032,11.231,11.209,242800
2011-01-25,11.124,11.259,11.259,244400
2011-01-26,11.216,11.585,11.457,282600
2011-01-27,11.266,11.507,11.393,181800
2011-01-28,11.124,11.45,11.181,320900
2011-01-31,11.131,11.372,11.216,282000
2011-02-01,11.096,11.415,11.408,370000
2011-02-02,11.337,11.471,11.422,124600
2011-02-03,11.358,11.514,11.514,171000
2011-02-04,11.422,11.712,11.705,399400
2011-02-07,11.733,12.172,12.151,299400
2011-02-08,12.038,12.449,12.215,266300
2011-02-09,12.183,12.484,12.434,424800
2011-02-10,12.362,12.605,12.541,459400
2011-02-11,12.333,12.626,12.626,233300
2011-02-14,12.434,12.684,12.512,275300
2011-02-15,12.191,12.512,12.219,364100
2011-02-16,12.248,12.369,12.326,324000
2011-02-17,12.191,12.484,12.419,245200
2011-02-18,12.419,12.541,12.512,199700
2011-02-22,12.355,12.626,12.526,356100
2011-02-23,12.169,12.634,12.212,252300
2011-02-24,12.226,12.419,12.405,377000
2011-02-25,12.326,12.612,12.612,249500
2011-02-28,12.569,12.905,12.698,293900
2011-03-01,12.455,12.812,12.476,210500
2011-03-02,12.205,12.612,12.455,329400
2011-03-03,12.426,12.698,12.641,269300
2011-03-04,12.319,12.626,12.548,234200
2011-03-07,12.262,12.569,12.441,205200
2011-03-08,12.198,12.762,12.719,228200
2011-03-09,12.491,12.755,12.505,267500
2011-03-10,12.169,12.369,12.305,338100
2011-03-11,12.069,12.391,12.205,250000
2011-03-14,12.019,12.312,12.169,204700
2011-03-15,11.89,12.226,12.133,373500
2011-03-16,11.969,12.205,12.041,315600
2011-03-17,11.94,12.298,11.948,212800
2011-03-18,11.848,12.148,12.148,442500
2011-03-21,12.076,12.341,12.162,857200
2011-03-22,12.162,12.341,12.333,205600
2011-03-23,12.169,12.391,12.355,173600
2011-03-24,12.255,12.441,12.355,156600
2011-03-25,12.369,12.605,12.476,193700
2011-03-28,12.384,12.562,12.426,179200
2011-03-29,12.398,12.576,12.484,209000
2011-03-30,12.355,12.569,12.391,263900
2011-03-31,12.419,12.569,12.555,267700
2011-04-01,12.569,12.762,12.641,282800
2011-04-04,12.698,12.827,12.748,282200
2011-04-05,12.669,12.934,12.805,206800
2011-04-06,12.898,13.112,13.055,255800
2011-04-07,12.877,13.127,12.877,265300
2011-04-08,12.748,12.998,12.819,277300
2011-04-11,12.698,12.898,12.898,299300
2011-04-12,12.684,12.927,12.877,265200
2011-04-13,12.333,12.977,12.526,700200
2011-04-14,12.169,12.519,12.512,351900
2011-04-15,12.398,12.591,12.576,293100
2011-04-18,12.333,12.541,12.434,230800
2011-04-19,12.158,12.533,12.23,269100
2011-04-20,12.18,12.403,12.353,201500
2011-04-21,12.331,12.468,12.439,149500
2011-04-25,12.245,12.461,12.317,160100
2011-04-26,12.259,12.468,12.41,160600
2011-04-27,12.338,12.519,12.519,208000
2011-04-28,12.504,12.706,12.684,178000
2011-04-29,12.54,12.821,12.807,245000
2011-05-02,12.533,12.829,12.555,306000
2011-05-03,12.346,12.584,12.49,219000
2011-05-04,12.41,12.648,12.547,262100
2011-05-05,12.353,12.663,12.468,180400
2011-05-06,12.353,12.62,12.367,192000
2011-05-09,12.374,12.562,12.519,150000
2011-05-10,12.576,12.8,12.793,163900
2011-05-11,12.584,12.872,12.591,163200
2011-05-12,12.497,12.879,12.872,111400
2011-05-13,12.591,12.922,12.684,139000
2011-05-16,12.432,12.648,12.432,192100
2011-05-17,12.281,12.468,12.382,125900
2011-05-18,12.324,12.576,12.555,125200
2011-05-19,12.447,12.901,12.706,507000
2011-05-20,12.475,12.706,12.533,236700
2011-05-23,12.346,12.54,12.353,248300
2011-05-24,12.115,12.36,12.158,368800
2011-05-25,11.906,12.115,11.985,639700
2011-05-26,11.841,12.035,12.021,480700
2011-05-27,11.935,12.129,12.072,315300
2011-05-31,11.985,12.309,12.302,618700
2011-06-01,11.862,12.281,11.898,365200
2011-06-02,11.783,12.079,11.812,378700
2011-06-03,11.538,11.834,11.66,397700
2011-06-06,11.531,11.711,11.552,288300
2011-06-07,11.545,11.805,11.653,218500
2011-06-08,11.343,11.624,11.35,489400
2011-06-09,11.293,11.495,11.307,275900
2011-06-10,11.177,11.372,11.228,316600
2011-06-13,11.177,11.437,11.35,217900
2011-06-14,11.386,11.588,11.523,216600
2011-06-15,11.257,11.509,11.293,200000
2011-06-16,11.3,11.61,11.581,310600
2011-06-17,11.415,11.725,11.487,357600
2011-06-20,11.386,11.675,11.588,159900
2011-06-21,11.523,11.733,11.632,283100
2011-06-22,11.401,11.61,11.408,252800
2011-06-23,11.127,11.459,11.415,237700
2011-06-24,11.358,11.588,11.473,307200
2011-06-27,11.249,11.682,11.66,294100
2011-06-28,11.646,11.898,11.826,203200
2011-06-29,11.653,11.891,11.776,174300
2011-06-30,11.689,11.79,11.718,294000
2011-07-01,11.689,12.216,12.129,382900
2011-07-05,12.093,12.266,12.237,209000
2011-07-06,12.151,12.432,12.389,219100
2011-07-07,12.418,12.721,12.598,232100
2011-07-08,12.346,12.533,12.403,198900
2011-07-11,12.245,12.475,12.454,254300
2011-07-12,12.425,12.692,12.67,288800
2011-07-13,12.064,12.634,12.172,492800
2011-07-14,11.891,12.187,11.963,379800
2011-07-15,11.971,12.122,12.043,386000
2011-07-18,11.769,12.093,11.797,254700
2011-07-19,11.812,12.014,11.92,337600
2011-07-20,11.797,12.05,11.992,246500
2011-07-21,11.949,12.237,12.151,205300
2011-07-22,11.956,12.129,11.956,155600
2011-07-25,11.733,11.935,11.747,189500
2011-07-26,11.538,11.841,11.588,214100
2011-07-27,11.245,11.566,11.296,424600
2011-07-28,11.172,11.427,11.245,219600
2011-07-29,11.078,11.442,11.427,202700
2011-08-01,10.896,11.646,10.976,758900
2011-08-02,10.371,11.071,10.393,686000
2011-08-03,10.211,10.67,10.604,1026200
2011-08-04,10.313,10.619,10.313,567400
2011-08-05,10.029,10.692,10.211,645700
2011-08-08,9.126,10.197,9.126,740900
2011-08-09,8.856,9.752,9.73,907100
2011-08-10,9.359,9.723,9.366,666500
2011-08-11,9.483,10.466,10.277,844200
2011-08-12,9.978,10.32,10.211,374400
2011-08-15,10.218,10.43,10.415,225900
2011-08-16,10.095,10.357,10.233,333500
2011-08-17,10.029,10.408,10.167,266900
2011-08-18,9.628,9.993,9.709,482800
2011-08-19,9.468,9.927,9.614,265700
