,Low,High,Close,Volume
2010-12-09,1.088,1.103,1.088,304900
2010-12-10,1.088,1.103,1.098,340600
2010-12-13,1.088,1.103,1.103,522600
2010-12-14,1.046,1.103,1.046,1624100
2010-12-15,1.051,1.098,1.093,553700
2010-12-16,1.062,1.098,1.077,203600
2010-12-17,1.051,1.072,1.056,259100
2010-12-20,1.056,1.072,1.067,291400
2010-12-21,1.056,1.077,1.067,821800
2010-12-22,1.062,1.072,1.062,228500
2010-12-23,1.062,1.072,1.062,209600
2010-12-27,1.051,1.067,1.051,289800
2010-12-28,1.056,1.072,1.072,288700
2010-12-29,1.056,1.098,1.098,401700
2010-12-30,1.083,1.135,1.135,929200
2010-12-31,1.124,1.239,1.234,870300
2011-01-03,1.239,1.292,1.255,717800
2011-01-04,1.287,1.355,1.344,1037000
2011-01-05,1.313,1.36,1.313,475800
2011-01-06,1.339,1.37,1.37,594400
2011-01-07,1.36,1.386,1.375,371500
2011-01-10,1.365,1.391,1.37,296000
2011-01-11,1.318,1.37,1.344,318600
2011-01-12,1.318,1.349,1.349,255300
2011-01-13,1.339,1.365,1.36,173200
2011-01-14,1.36,1.391,1.386,270900
2011-01-18,1.37,1.386,1.386,243700
2011-01-19,1.375,1.407,1.381,150300
2011-01-20,1.323,1.386,1.328,283100
2011-01-21,1.318,1.36,1.318,258200
2011-01-24,1.307,1.334,1.334,252300
2011-01-25,1.313,1.339,1.313,208100
2011-01-26,1.307,1.328,1.323,261600
2011-01-27,1.328,1.37,1.344,224600
2011-01-28,1.334,1.37,1.334,285500
2011-01-31,1.313,1.36,1.318,203100
2011-02-01,1.313,1.36,1.323,137000
2011-02-02,1.318,1.334,1.328,134600
2011-02-03,1.307,1.344,1.307,135800
2011-02-04,1.307,1.344,1.334,211600
2011-02-07,1.334,1.396,1.37,477600
2011-02-08,1.349,1.386,1.365,264100
2011-02-09,1.36,1.391,1.375,378900
2011-02-10,1.323,1.375,1.328,191800
2011-02-11,1.307,1.323,1.318,153100
2011-02-14,1.307,1.36,1.339,222700
2011-02-15,1.318,1.344,1.344,138400
2011-02-16,1.344,1.386,1.37,549600
2011-02-17,1.36,1.386,1.375,364200
2011-02-18,1.36,1.402,1.391,339100
2011-02-22,1.313,1.37,1.323,355800
2011-02-23,1.307,1.323,1.307,181700
2011-02-24,1.281,1.318,1.281,199100
2011-02-25,1.287,1.328,1.323,149200
2011-02-28,1.307,1.334,1.323,132200
2011-03-01,1.307,1.339,1.328,127500
2011-03-02,1.323,1.349,1.344,209800
2011-03-03,1.344,1.396,1.391,323500
2011-03-04,1.328,1.391,1.344,173300
2011-03-07,1.318,1.334,1.328,147800
2011-03-08,1.313,1.349,1.349,207700
2011-03-09,1.334,1.36,1.349,138700
2011-03-10,1.307,1.344,1.307,193800
2011-03-11,1.271,1.302,1.281,162300
2011-03-14,1.229,1.281,1.245,216400
2011-03-15,1.135,1.234,1.219,259800
2011-03-16,1.224,1.26,1.224,181700
2011-03-17,1.239,1.266,1.26,114000
2011-03-18,1.255,1.276,1.271,60100
2011-03-21,1.271,1.287,1.271,84800
2011-03-22,1.266,1.276,1.271,65700
2011-03-23,1.255,1.292,1.292,90200
2011-03-24,1.26,1.292,1.271,52500
2011-03-25,1.245,1.276,1.255,104500
2011-03-28,1.234,1.255,1.234,100300
2011-03-29,1.229,1.255,1.239,125200
2011-03-30,1.224,1.25,1.239,107300
2011-03-31,1.229,1.239,1.239,113400
2011-04-01,1.234,1.271,1.255,144600
2011-04-04,1.245,1.266,1.26,116300
2011-04-05,1.245,1.266,1.25,70200
2011-04-06,1.234,1.255,1.239,77400
2011-04-07,1.239,1.25,1.239,59200
2011-04-08,1.234,1.25,1.239,73600
2011-04-11,1.229,1.239,1.229,57300
2011-04-12,1.219,1.234,1.229,62800
2011-04-13,1.229,1.245,1.234,64200
2011-04-14,1.203,1.229,1.213,76700
2011-04-15,1.203,1.245,1.245,76400
2011-04-18,1.213,1.234,1.229,55800
2011-04-19,1.229,1.245,1.234,64800
2011-04-20,1.239,1.266,1.25,131400
2011-04-21,1.234,1.255,1.245,76200
2011-04-25,1.234,1.255,1.25,140700
2011-04-26,1.245,1.255,1.245,55700
2011-04-27,1.245,1.297,1.276,82900
2011-04-28,1.276,1.307,1.307,111200
2011-04-29,1.302,1.323,1.323,140000
2011-05-02,1.323,1.334,1.334,95000
2011-05-03,1.271,1.334,1.287,72200
2011-05-04,1.25,1.339,1.307,245000
2011-05-05,1.255,1.307,1.271,104400
2011-05-06,1.245,1.287,1.255,83000
2011-05-09,1.234,1.276,1.234,71800
2011-05-10,1.229,1.255,1.229,152700
2011-05-11,1.224,1.25,1.234,60200
2011-05-12,1.203,1.245,1.203,144400
2011-05-13,1.161,1.234,1.171,150700
2011-05-16,1.124,1.203,1.135,341500
2011-05-17,1.114,1.145,1.13,86400
2011-05-18,1.124,1.161,1.151,94000
2011-05-19,1.14,1.177,1.177,81800
2011-05-20,1.098,1.177,1.098,293800
2011-05-23,1.072,1.124,1.114,183800
2011-05-24,1.124,1.151,1.145,119000
2011-05-25,1.13,1.156,1.135,102700
2011-05-26,1.088,1.151,1.124,235800
2011-05-27,1.109,1.151,1.151,137900
2011-05-31,1.124,1.171,1.14,128800
2011-06-01,1.114,1.14,1.124,145400
2011-06-02,1.103,1.119,1.103,174100
2011-06-03,1.009,1.103,1.056,652100
2011-06-06,1.046,1.077,1.051,194400
2011-06-07,1.025,1.083,1.035,281300
2011-06-08,1.02,1.035,1.035,120300
2011-06-09,1.035,1.051,1.051,84900
2011-06-10,1.02,1.046,1.035,149700
2011-06-13,1.02,1.046,1.02,62600
2011-06-14,1.025,1.046,1.025,82400
2011-06-15,1.02,1.035,1.02,132600
2011-06-16,1.009,1.025,1.009,74400
2011-06-17,0.894,1.02,0.915,498000
2011-06-20,0.931,1.051,1.051,217400
2011-06-21,1.056,1.124,1.114,300200
2011-06-22,1.098,1.124,1.103,142800
2011-06-23,1.088,1.119,1.093,90200
2011-06-24,1.093,1.14,1.14,235700
2011-06-27,1.119,1.151,1.14,99400
2011-06-28,1.124,1.151,1.135,132800
2011-06-29,1.13,1.151,1.14,131800
2011-06-30,1.14,1.151,1.151,153000
2011-07-01,1.14,1.151,1.14,179000
2011-07-05,1.083,1.145,1.119,348400
2011-07-06,1.131,1.237,1.202,247400
2011-07-07,1.19,1.237,1.237,223100
2011-07-08,1.196,1.237,1.213,79300
2011-07-11,1.178,1.213,1.184,143000
2011-07-12,1.149,1.213,1.213,227300
2011-07-13,1.178,1.219,1.184,117800
2011-07-14,1.16,1.208,1.184,171700
2011-07-15,1.166,1.184,1.166,54900
2011-07-18,1.113,1.16,1.137,196900
2011-07-19,1.101,1.143,1.137,173400
2011-07-20,1.113,1.137,1.125,107900
2011-07-21,1.113,1.143,1.125,221700
2011-07-22,1.119,1.143,1.125,110000
2011-07-25,1.107,1.143,1.119,134100
2011-07-26,1.107,1.131,1.119,103700
2011-07-27,1.09,1.107,1.096,202200
2011-07-28,1.072,1.101,1.084,128000
2011-07-29,1.025,1.084,1.031,495400
2011-08-01,1.037,1.066,1.037,165200
2011-08-02,1.037,1.09,1.066,133700
2011-08-03,1.048,1.09,1.072,167300
2011-08-04,1.001,1.078,1.019,259100
2011-08-05,0.942,1.019,0.995,295200
2011-08-08,0.937,1.001,0.954,341300
2011-08-09,0.931,0.978,0.954,296400
2011-08-10,0.73,0.901,0.736,1313800
2011-08-11,0.766,0.878,0.836,835500
2011-08-12,0.831,0.913,0.884,461700
2011-08-15,0.884,0.907,0.901,233100
2011-08-16,0.878,0.913,0.878,139100
2011-08-17,0.872,0.907,0.872,144200
2011-08-18,0.825,0.872,0.825,218800
2011-08-19,0.825,0.872,0.836,177100
2011-08-22,0.807,0.895,0.831,268800
2011-08-23,0.825,0.854,0.854,141700
2011-08-24,0.766,0.866,0.807,301100
2011-08-25,0.813,0.848,0.819,47500
2011-08-26,0.813,0.836,0.831,52200
2011-08-29,0.807,0.842,0.807,202200
2011-08-30,0.801,0.825,0.801,129500
2011-08-31,0.795,0.819,0.807,222700
2011-09-01,0.795,0.813,0.801,119200
2011-09-02,0.754,0.801,0.76,388000
2011-09-06,0.748,0.778,0.772,154300
2011-09-07,0.766,0.795,0.772,317100
2011-09-08,0.754,0.789,0.754,558500
2011-09-09,0.736,0.766,0.754,374100
2011-09-12,0.713,0.748,0.73,441800
2011-09-13,0.719,0.742,0.736,209300
2011-09-14,0.73,0.754,0.736,212400
2011-09-15,0.736,0.772,0.754,197700
2011-09-16,0.748,0.778,0.754,239600
2011-09-19,0.725,0.76,0.725,131100
2011-09-20,0.707,0.748,0.707,376400
2011-09-21,0.677,0.736,0.677,374300
2011-09-22,0.648,0.671,0.654,257400
2011-09-23,0.654,0.683,0.66,172800
