,Low,High,Close,Volume
2017-03-01,15.071,15.716,15.309,7162700
2017-03-02,15.13,15.606,15.47,738200
2017-03-03,15.504,15.946,15.903,415400
2017-03-06,15.632,16.294,15.682,226300
2017-03-07,15.683,15.954,15.878,185600
2017-03-08,15.666,16.065,15.708,169600
2017-03-09,15.547,15.912,15.666,104000
2017-03-10,15.559,15.878,15.691,109400
2017-03-13,15.555,16.09,15.963,133700
2017-03-14,15.743,16.371,16.269,227700
2017-03-15,16.107,16.702,16.141,437400
2017-03-16,16.167,16.592,16.303,78700
2017-03-17,16.141,16.702,16.354,189200
2017-03-20,16.269,16.651,16.354,104300
2017-03-21,15.827,16.447,16.345,101300
2017-03-22,15.716,16.354,16.133,90100
2017-03-23,15.937,16.235,16.184,78700
2017-03-24,16.124,16.303,16.167,105000
2017-03-27,15.725,16.124,15.988,113900
2017-03-28,15.725,16.158,15.946,404000
2017-03-29,15.725,16.107,15.793,199900
2017-03-30,15.632,16.052,15.75,236500
2017-03-31,15.75,16.201,15.861,463300
2017-04-03,15.368,16.362,15.598,336700
2017-04-04,15.334,15.801,15.462,204400
2017-04-05,14.714,15.818,15.759,544600
2017-04-06,15.351,15.971,15.742,236700
2017-04-07,15.487,15.869,15.674,90200
2017-04-10,15.462,15.801,15.589,114700
2017-04-11,15.292,15.757,15.547,101100
2017-04-12,15.424,15.838,15.598,712300
2017-04-13,15.385,16.065,15.818,92500
2017-04-17,15.582,16.039,15.699,71000
2017-04-18,15.436,15.869,15.623,59500
2017-04-19,15.436,15.971,15.699,111900
2017-04-20,15.572,16.116,15.759,66200
2017-04-21,15.581,15.997,15.682,26000
2017-04-24,15.53,15.963,15.75,90100
2017-04-25,15.589,16.014,15.81,59500
2017-04-26,15.547,15.946,15.827,39800
2017-04-27,15.666,15.954,15.895,56800
2017-04-28,15.716,16.141,15.903,83400
2017-05-01,15.716,16.226,16.073,26700
2017-05-02,15.547,16.226,16.141,132900
2017-05-03,15.568,16.354,16.056,99000
2017-05-04,15.852,16.974,16.388,180500
2017-05-05,16.141,16.88,16.405,169600
2017-05-08,15.954,16.872,16.498,170200
2017-05-09,16.328,16.821,16.642,180500
2017-05-10,16.473,16.804,16.566,38700
2017-05-11,16.413,17.084,16.804,90000
2017-05-12,16.49,16.846,16.736,55900
2017-05-15,16.658,17.131,16.965,84700
2017-05-16,16.761,17.127,16.982,266500
2017-05-17,16.812,17.135,16.863,49700
2017-05-18,16.005,16.829,16.175,105500
2017-05-19,16.141,16.999,16.6,248300
2017-05-22,16.617,17.148,16.982,83600
2017-05-23,16.902,17.365,17.012,43700
2017-05-24,16.923,17.874,17.577,72100
2017-05-25,17.407,18.006,17.628,95400
2017-05-26,17.025,18.087,17.373,93100
2017-05-30,16.999,17.534,17.186,73000
2017-05-31,17.016,18.053,17.186,138700
2017-06-01,17.042,17.9,17.416,83000
2017-06-02,17.356,17.84,17.832,46300
2017-06-05,17.382,17.84,17.823,38800
2017-06-06,17.144,17.84,17.484,43600
2017-06-07,17.297,17.84,17.755,48600
2017-06-08,17.488,18.099,17.747,52900
2017-06-09,17.492,18.023,17.611,84000
2017-06-12,17.016,18.155,17.518,200000
2017-06-13,17.39,17.9,17.772,352000
2017-06-14,17.39,17.968,17.815,195100
2017-06-15,17.645,18.486,18.333,195200
2017-06-16,17.56,18.69,18.061,855000
2017-06-19,17.849,18.69,18.639,242500
2017-06-20,18.401,18.741,18.528,112500
2017-06-21,18.201,19.064,18.427,157300
2017-06-22,18.311,19.028,18.653,279300
2017-06-23,18.088,18.902,18.679,1698300
2017-06-26,18.285,19.056,18.902,212800
2017-06-27,18.422,19.099,18.713,216200
2017-06-28,18.713,18.975,18.833,156100
2017-06-29,18.662,19.022,18.799,210400
2017-06-30,18.628,19.047,18.833,146900
2017-07-03,18.953,19.433,19.39,58100
2017-07-05,18.752,19.544,19.339,109500
2017-07-06,18.679,20.555,18.902,101500
2017-07-07,18.8,19.184,19.005,144800
2017-07-10,18.705,19.193,18.928,186500
2017-07-11,18.482,19.056,18.782,157000
2017-07-12,18.499,19.416,18.936,186700
2017-07-13,18.551,19.163,18.791,108100
2017-07-14,18.602,18.923,18.636,61000
2017-07-17,18.371,18.748,18.679,178600
2017-07-18,18.516,19.184,18.662,141800
2017-07-19,18.722,19.116,19.073,124900
2017-07-20,18.688,19.167,18.936,88200
2017-07-21,18.773,19.236,18.97,139700
2017-07-24,18.414,19.219,19.167,283400
2017-07-25,19.013,19.758,19.63,115700
2017-07-26,19.356,19.955,19.758,266600
2017-07-27,19.244,19.998,19.441,98400
2017-07-28,19.3,19.715,19.381,88200
2017-07-31,18.936,19.441,19.236,94000
2017-08-01,18.979,19.484,19.279,121200
2017-08-02,18.482,19.604,18.594,155000
2017-08-03,18.337,18.773,18.551,188600
2017-08-04,18.499,18.919,18.602,162900
2017-08-07,18.414,19.133,18.919,161500
2017-08-08,18.542,19.57,19.253,229600
2017-08-09,18.842,19.698,19.253,289300
2017-08-10,18.928,19.362,19.125,125600
2017-08-11,18.911,19.296,19.227,127900
2017-08-14,19.279,19.664,19.536,240400
2017-08-15,19.578,20.521,20.084,654300
2017-08-16,19.373,20.229,19.63,298100
2017-08-17,19.056,19.955,19.202,236400
2017-08-18,19.047,19.527,19.253,199700
2017-08-21,19.133,19.536,19.313,173800
2017-08-22,19.159,19.39,19.279,138400
2017-08-23,19.15,19.441,19.176,87400
2017-08-24,19.193,19.578,19.407,134400
2017-08-25,18.294,19.895,19.63,146200
2017-08-28,19.381,19.784,19.596,218800
2017-08-29,19.313,19.69,19.433,136600
2017-08-30,19.184,19.801,19.741,237000
2017-08-31,19.733,20.225,20.075,190300
2017-09-01,19.865,20.426,20.109,155000
2017-09-05,19.707,20.246,19.827,119200
2017-09-06,19.604,19.912,19.861,129100
2017-09-07,19.48,20.049,19.518,94600
2017-09-08,19.279,19.724,19.313,68100
2017-09-11,19.416,19.664,19.527,65800
2017-09-12,19.484,19.758,19.733,92000
2017-09-13,19.51,19.87,19.715,76700
2017-09-14,19.687,20.186,20.143,118300
2017-09-15,19.918,20.41,20.393,241100
2017-09-18,20.03,20.833,20.669,118300
2017-09-19,20.522,21.109,21.075,248800
2017-09-20,20.928,21.662,21.42,359700
2017-09-21,21.152,21.86,21.67,61400
2017-09-22,21.498,21.949,21.8,94100
2017-09-25,21.662,22.3,21.843,139200
2017-09-26,21.877,22.438,22.059,164700
2017-09-27,22.214,22.939,22.594,240800
2017-09-28,22.197,22.783,22.689,91300
2017-09-29,22.689,23.232,23.172,403800
2017-10-02,22.896,23.861,23.612,461500
2017-10-03,23.483,24.458,23.69,301300
2017-10-04,23.319,23.888,23.405,104600
2017-10-05,22.007,23.042,22.835,335100
2017-10-06,22.801,24.613,23.016,121400
2017-10-09,22.939,23.267,23.051,49100
2017-10-10,23.077,23.595,23.301,65600
2017-10-11,23.215,23.569,23.301,75000
2017-10-12,22.922,23.526,23.422,68600
2017-10-13,23.144,23.517,23.405,72700
2017-10-16,23.232,23.621,23.5,60500
2017-10-17,23.111,23.612,23.155,90400
2017-10-18,23.042,23.344,23.284,71500
2017-10-19,22.904,23.465,23.198,53700
2017-10-20,23.016,23.474,23.301,105000
2017-10-23,22.878,23.785,22.922,61400
2017-10-24,22.913,23.612,23.448,109400
2017-10-25,22.878,23.5,23.129,104400
2017-10-26,23.241,23.638,23.569,84400
2017-10-27,23.388,23.871,23.819,78800
2017-10-30,23.301,23.776,23.733,135200
2017-10-31,23.664,24.061,23.724,82700
2017-11-01,23.293,23.957,23.767,72100
2017-11-02,23.094,24.173,23.992,55000
2017-11-03,23.198,24.527,24.302,85500
2017-11-06,23.251,24.393,23.586,348400
2017-11-07,22.956,25.122,24.743,232100
2017-11-08,24.941,26.935,26.512,449500
2017-11-09,25.27,26.762,26.494,144000
2017-11-10,26.434,26.883,26.727,58000
2017-11-13,26.368,26.926,26.866,65800
2017-11-14,26.667,27.375,27.28,97200
2017-11-15,27.064,27.832,27.746,189500
2017-11-16,27.851,28.764,28.281,197900
2017-11-17,27.483,28.488,27.616,196300
2017-11-20,27.616,28.151,28.022,78900
2017-11-21,27.987,28.756,28.704,162800
2017-11-22,28.531,28.95,28.557,58600
2017-11-24,28.428,28.902,28.712,27600
2017-11-27,28.35,28.79,28.6,136500
2017-11-28,28.6,29.852,29.567,315100
2017-11-29,29.377,30.025,29.644,119100
2017-11-30,29.515,30.3,29.748,132500
2017-12-01,28.661,30.162,29.895,148900
2017-12-04,27.237,30.412,29.144,123600
2017-12-05,29.187,30.292,29.696,124600
2017-12-06,27.798,29.886,29.351,96600
2017-12-07,29.178,29.895,29.308,102700
2017-12-08,29.105,30.205,29.86,77100
2017-12-11,29.688,30.067,30.033,69300
2017-12-12,29.748,30.361,29.791,89700
2017-12-13,28.816,29.995,28.937,236900
2017-12-14,28.837,29.626,29.019,192800
2017-12-15,29.097,29.518,29.323,260000
2017-12-18,29.41,30.529,30.199,161000
2017-12-19,29.8,30.416,29.826,66300
2017-12-20,29.097,29.835,29.47,88800
2017-12-21,29.071,30.138,29.895,133700
2017-12-22,29.653,30.667,30.312,80500
2017-12-26,29.865,30.607,30.329,70800
2017-12-27,29.817,30.772,29.869,148400
2017-12-28,29.41,30.529,29.67,167100
2017-12-29,29.54,31.24,30.702,269000
2018-01-02,30.399,31.821,30.694,116500
2018-01-03,30.277,31.405,30.329,114000
2018-01-04,30.017,30.746,30.26,80100
2018-01-05,30.034,31.171,30.364,93200
2018-01-08,29.999,30.841,30.607,85500
2018-01-09,30.78,32.489,32.108,209300
2018-01-10,31.591,32.429,31.709,58800
2018-01-11,31.249,32.203,31.37,48100
2018-01-12,31.197,32.281,32.073,86600
2018-01-16,31.665,33.253,32.003,84300
2018-01-17,31.399,32.516,32.429,78800
2018-01-18,31.995,32.828,32.507,34400
2018-01-19,30.143,33.487,33.201,38900
2018-01-22,32.923,33.695,33.695,89800
2018-01-23,33.418,34.693,34.623,120600
2018-01-24,33.444,34.962,33.791,75500
2018-01-25,33.47,34.673,34.016,82200
2018-01-26,33.4,35.075,33.704,88100
2018-01-29,33.036,34.155,33.235,93200
2018-01-30,31.647,33.218,32.793,98600
2018-01-31,32.203,33.392,32.342,58800
2018-02-01,31.813,32.932,32.698,67800
2018-02-02,31.748,32.741,31.908,36100
2018-02-05,31.257,32.238,31.318,110600
2018-02-06,26.477,31.084,30.537,110800
2018-02-07,29.93,32.515,32.342,126100
2018-02-08,30.433,32.689,30.598,184600
2018-02-09,27.814,31.578,30.511,116300
2018-02-12,30.112,31.648,31.162,98700
2018-02-13,30.806,31.7,31.188,62500
2018-02-14,30.876,33.019,32.845,96600
2018-02-15,31.873,32.958,32.611,107700
2018-02-16,31.908,32.619,31.977,77900
2018-02-20,31.318,32.038,31.457,31800
2018-02-21,31.197,32.298,31.5,44100
2018-02-22,31.24,32.333,31.344,75300
2018-02-23,31.197,32.663,31.656,81600
2018-02-26,31.44,32.966,32.585,86800
2018-02-27,29.323,32.316,29.496,390000
2018-02-28,29.149,30.659,30.312,460600
2018-03-01,29.722,31.058,30.225,2844300
2018-03-02,29.357,32.802,30.381,701200
2018-03-05,30.06,30.971,30.711,224000
2018-03-06,30.434,31.683,30.91,213800
2018-03-07,30.208,31.578,31.266,246400
2018-03-08,30.494,31.474,31.24,219700
2018-03-09,31.162,32.203,32.09,238500
2018-03-12,32.064,33.435,33.053,197600
2018-03-13,32.602,33.634,33.027,211400
2018-03-14,32.038,33.215,32.256,214300
2018-03-15,31.637,33.554,31.75,169600
2018-03-16,31.685,33.258,32.927,692500
2018-03-19,31.637,32.84,32.09,111400
2018-03-20,31.951,32.953,32.57,79200
2018-03-21,32.456,33.581,33.223,117000
2018-03-22,32.029,33.354,32.195,120900
2018-03-23,31.942,33.38,32.055,185200
2018-03-26,32.482,33.581,33.371,119400
2018-03-27,32.369,33.493,32.665,149700
2018-03-28,31.711,33.162,31.742,203400
2018-03-29,31.576,32.604,32.448,327600
2018-04-02,31.201,32.988,31.82,153600
2018-04-03,30.552,32.286,32.169,147700
2018-04-04,31.75,32.918,32.822,109100
2018-04-05,32.212,33.337,32.901,203800
2018-04-06,31.968,33.154,32.23,232400
2018-04-09,31.881,33.302,32.822,123800
2018-04-10,32.604,33.537,33.363,134000
2018-04-11,32.286,34.478,34.226,123800
2018-04-12,33.676,34.557,34.13,256900
2018-04-13,32.713,34.304,33.607,130000
2018-04-16,33.572,34.382,34.208,68500
2018-04-17,33.328,34.81,34.243,162200
2018-04-18,33.764,34.592,34.47,132100
2018-04-19,34.391,35.245,35.036,71200
2018-04-20,34.609,35.21,35.019,111900
2018-04-23,35.097,35.916,35.559,112700
2018-04-24,35.324,36.16,35.655,172200
2018-04-25,34.809,36.091,35.707,199300
2018-04-26,34.061,36.309,35.943,145600
2018-04-27,35.768,36.474,36.239,120400
2018-04-30,36.243,36.945,36.474,196500
2018-05-01,35.899,36.605,36.056,159600
2018-05-02,35.956,37.224,36.927,115200
2018-05-03,36.583,37.651,37.503,110800
2018-05-04,36.993,38.461,38.139,85700
2018-05-07,38.043,39.002,38.871,73800
2018-05-08,38.496,39.158,38.819,85400
2018-05-09,37.825,39.289,38.984,98400
2018-05-10,38.496,39.699,39.368,104200
2018-05-11,38.323,40.03,39.899,161100
2018-05-14,39.141,40.298,39.385,221500
2018-05-15,38.618,39.856,38.853,148100
2018-05-16,38.853,39.586,39.254,180800
2018-05-17,39.22,40.501,39.673,161400
2018-05-18,39.359,40.448,40.222,134200
2018-05-21,40.196,41.015,40.736,127000
2018-05-22,40.483,41.276,40.553,111200
2018-05-23,40.196,40.849,40.353,128000
2018-05-24,39.873,40.719,40.265,107200
2018-05-25,39.69,40.3,39.864,125000
2018-05-29,39.186,40.518,39.577,254100
2018-05-30,39.825,41.416,40.631,203600
2018-05-31,40.257,41.372,40.753,136900
2018-06-01,40.875,42.331,42.174,147800
2018-06-04,41.686,42.497,42.017,161200
2018-06-05,42.157,43.272,42.313,146800
2018-06-06,42.157,43.429,42.497,137500
2018-06-07,41.302,45.32,42.671,383600
2018-06-08,41.974,42.828,42.671,184100
2018-06-11,41.773,43.124,41.773,166500
2018-06-12,40.788,42.026,41.25,179700
2018-06-13,39.603,42.305,41.39,307400
2018-06-14,40.785,41.512,41.085,164500
2018-06-15,40.334,41.087,40.483,232200
2018-06-18,40.264,41.078,40.763,154700
2018-06-19,40.063,41.065,40.562,164500
2018-06-20,40.133,41.271,40.264,191600
2018-06-21,40.08,40.763,40.352,196100
2018-06-22,39.844,41.166,41.122,499600
2018-06-25,40.185,41.634,40.588,157400
2018-06-26,40.641,41.656,41.56,177000
2018-06-27,41.262,42.243,41.437,175100
2018-06-28,39.774,42.663,42.558,154100
2018-06-29,41.836,42.794,41.998,210100
2018-07-02,41.718,42.716,42.707,148700
2018-07-03,41.788,43.127,42.024,101700
2018-07-05,41.893,42.812,42.742,128800
2018-07-06,42.567,43.74,43.206,87100
2018-07-09,43.057,44.257,43.775,158500
2018-07-10,43.469,44.318,43.924,163100
2018-07-11,43.092,47.794,43.215,144600
2018-07-12,42.768,43.906,43.434,96300
2018-07-13,42.961,43.88,43.101,75500
2018-07-16,43.223,43.88,43.845,52800
2018-07-17,43.705,44.764,44.545,82400
2018-07-18,44.151,45.859,45.614,130600
2018-07-19,44.966,46.207,45.176,145500
2018-07-20,44.563,45.859,44.826,209700
2018-07-23,44.589,45.307,44.878,156600
2018-07-24,43.513,45.342,43.758,116800
2018-07-25,43.381,44.554,43.766,140400
2018-07-26,43.381,44.414,43.749,143700
2018-07-27,42.506,43.845,42.987,110900
2018-07-30,42.112,43.329,42.646,147400
2018-07-31,42.177,43.237,42.873,113700
2018-08-01,42.4,43.998,43.153,115800
2018-08-02,42.584,43.381,42.786,133700
2018-08-03,41.621,43.04,41.779,135600
2018-08-06,40.938,42.322,42.129,194500
2018-08-07,36.648,41.166,39.406,587100
2018-08-08,39.257,41.078,40.921,169700
2018-08-09,39.935,40.816,40.685,188000
2018-08-10,40.256,41.871,40.518,113900
2018-08-13,40.273,40.973,40.579,87100
2018-08-14,40.334,41.534,41.35,111400
2018-08-15,40.238,41.385,40.667,136600
2018-08-16,40.409,41.337,40.781,108300
2018-08-17,40.544,41.84,41.175,144200
2018-08-20,40.676,41.494,40.851,89900
2018-08-21,40.413,41.31,40.571,121100
2018-08-22,40.142,40.851,40.676,120900
2018-08-23,40.439,40.842,40.439,89000
2018-08-24,40.413,40.838,40.579,90300
2018-08-27,40.528,42.173,41.91,79400
2018-08-28,41.486,42.418,42.199,102800
2018-08-29,41.761,42.584,42.488,137000
2018-08-30,41.849,42.698,42.243,159700
2018-08-31,41.831,42.847,42.707,56900
2018-09-04,42.094,43.451,43.118,118900
2018-09-05,42.024,43.118,42.488,162700
2018-09-06,42.059,42.523,42.401,113700
2018-09-07,42.112,43.197,42.479,86400
2018-09-10,42.637,43.582,43.066,85800
2018-09-11,42.742,43.368,42.829,41900
2018-09-12,42.392,43.775,43.521,203800
2018-09-13,40.015,41.396,40.886,1823900
2018-09-14,40.569,41.387,40.904,233700
2018-09-17,40.569,41.308,40.93,421600
2018-09-18,40.762,41.712,41.669,218000
2018-09-19,41.194,41.765,41.29,286600
2018-09-20,40.868,41.686,40.991,211400
2018-09-21,40.464,41.994,41.721,409800
2018-09-24,41.035,42.196,41.035,240700
2018-09-25,40.209,41.387,40.253,280300
2018-09-26,39.761,40.6,40.121,159500
2018-09-27,39.259,40.613,39.47,172400
2018-09-28,38.855,39.962,38.934,291000
2018-10-01,37.773,39.127,37.835,164800
2018-10-02,36.186,37.879,36.718,177800
2018-10-03,36.771,37.888,37.633,119900
2018-10-04,36.56,37.782,37.061,163900
2018-10-05,35.505,37.228,35.953,214300
2018-10-08,34.116,36.015,34.608,326600
2018-10-09,34.291,34.999,34.74,284100
2018-10-10,33.175,34.59,33.201,391400
2018-10-11,32.911,33.905,33.21,314200
2018-10-12,33.447,34.098,33.993,458300
2018-10-15,33.57,34.582,34.327,244800
2018-10-16,34.371,35.725,35.347,208000
2018-10-17,34.898,35.439,35.391,119100
2018-10-18,34.722,35.549,34.766,177200
2018-10-19,34.08,34.999,34.327,125900
2018-10-22,34.362,35.329,34.714,125900
2018-10-23,33.236,34.489,33.799,97900
2018-10-24,31.882,34.371,31.97,173900
2018-10-25,31.873,32.921,32.726,179300
