,Low,High,Close,Volume
2010-12-09,33.408,33.747,33.467,3285822
2010-12-10,33.486,34.086,33.884,5951205
2010-12-13,33.825,34.158,33.897,3827690
2010-12-14,33.897,34.425,34.243,5595190
2010-12-15,33.473,34.256,33.597,10288824
2010-12-16,33.597,34.823,34.816,7403533
2010-12-17,34.151,34.771,34.542,8635062
2010-12-20,34.438,34.738,34.49,3811665
2010-12-21,34.536,34.966,34.894,3336570
2010-12-22,34.692,35.031,35.018,3037424
2010-12-23,34.647,34.966,34.829,2043497
2010-12-27,34.49,34.868,34.803,1756148
2010-12-28,34.588,34.953,34.881,1715639
2010-12-29,34.699,35.012,34.745,1593888
2010-12-30,34.432,34.745,34.523,2395284
2010-12-31,34.366,34.79,34.653,1810457
2011-01-03,34.842,35.475,35.338,4228110
2011-01-04,34.536,35.383,34.862,5553679
2011-01-05,34.64,35.625,35.442,4907866
2011-01-06,35.012,35.566,35.436,3694032
2011-01-07,35.077,35.644,35.396,3188221
2011-01-10,34.81,35.422,35.136,3812332
2011-01-11,35.005,35.436,35.201,2925578
2011-01-12,35.305,35.722,35.67,4078203
2011-01-13,35.468,35.748,35.585,3311419
2011-01-14,35.442,35.872,35.866,3974259
2011-01-18,35.579,36.016,35.696,3656193
2011-01-19,35.246,35.807,35.422,4192275
2011-01-20,35.175,36.4,35.579,8277378
2011-01-21,35.481,35.983,35.52,5091716
2011-01-24,35.507,36.263,36.094,3618466
2011-01-25,35.651,36.146,36.1,2693539
2011-01-26,35.95,36.563,36.355,5831458
2011-01-27,36.087,36.524,36.452,4246028
2011-01-28,35.585,37.15,36.061,10312862
2011-01-31,35.69,36.511,36.511,6203610
2011-02-01,36.563,37.156,37.117,4180256
2011-02-02,36.87,37.697,37.424,4913653
2011-02-03,37.176,37.613,37.267,4511898
2011-02-04,36.844,37.352,37.235,3079380
2011-02-07,37.137,37.43,37.241,3254216
2011-02-08,37.241,37.469,37.411,3515635
2011-02-09,37.117,37.508,37.378,3317762
2011-02-10,37.202,37.567,37.463,3844940
2011-02-11,37.209,37.854,37.795,2573235
2011-02-14,37.287,37.828,37.548,3204581
2011-02-15,37.117,37.45,37.398,2141655
2011-02-16,37.229,37.76,37.505,3063020
2011-02-17,37.295,37.721,37.609,3161734
2011-02-18,37.609,38.042,38.022,4069634
2011-02-22,36.685,37.682,36.869,4087217
2011-02-23,36.01,37.367,36.482,5629578
2011-02-24,36.101,37.118,37.032,4904527
2011-02-25,37.111,37.695,37.557,3921730
2011-02-28,37.38,38.082,37.97,5306616
2011-03-01,36.98,38.154,37.013,4978090
