,Low,High,Close,Volume
2010-12-09,10.137,10.305,10.137,5151400
2010-12-10,10.131,10.359,10.293,6364300
2010-12-13,10.257,10.377,10.323,6086700
2010-12-14,10.161,10.406,10.191,6922300
2010-12-15,9.963,10.293,10.017,8560500
2010-12-16,9.963,10.185,10.137,3572400
2010-12-17,10.071,10.377,10.329,9091000
2010-12-20,10.353,10.586,10.538,4839400
2010-12-21,10.502,10.658,10.658,4452500
2010-12-22,10.604,10.754,10.634,6341000
2010-12-23,10.502,10.736,10.514,3873500
2010-12-27,10.478,10.712,10.694,2878100
2010-12-28,10.61,10.754,10.658,3198600
2010-12-29,10.592,10.706,10.652,2302300
2010-12-30,10.604,10.724,10.67,3220000
2010-12-31,10.622,10.766,10.706,3073600
2011-01-03,10.76,11.005,10.993,5320800
2011-01-04,10.592,11.083,10.832,7241300
2011-01-05,10.706,11.089,11.053,5962700
2011-01-06,10.934,11.107,10.975,5692800
2011-01-07,10.784,11.095,10.928,4753300
2011-01-10,10.754,11.005,10.975,5186600
2011-01-11,10.898,11.089,10.999,4458100
2011-01-12,10.981,11.143,11.053,6396700
2011-01-13,10.952,11.113,11.023,4249700
2011-01-14,10.993,11.113,11.077,7390400
2011-01-18,10.964,11.143,11.119,5845800
2011-01-19,10.802,11.233,10.868,6218200
2011-01-20,10.736,10.999,10.772,7299500
2011-01-21,10.802,10.91,10.868,4551600
2011-01-24,10.754,10.964,10.826,9716300
2011-01-25,10.712,10.862,10.862,6620200
2011-01-26,10.808,10.916,10.85,7189000
2011-01-27,10.82,11.101,11.095,8126600
2011-01-28,10.682,11.167,10.712,6493100
2011-01-31,10.736,11.113,11.089,7700300
2011-02-01,11.107,11.389,11.389,6265300
2011-02-02,11.239,11.371,11.347,6137900
2011-02-03,11.251,11.461,11.359,5641400
2011-02-04,11.293,11.479,11.413,5522200
2011-02-07,11.395,11.652,11.646,5898900
2011-02-08,11.533,11.748,11.748,8517200
2011-02-09,11.539,11.73,11.676,5698400
2011-02-10,11.551,11.742,11.652,8864800
2011-02-11,11.533,11.898,11.844,6580900
2011-02-14,11.694,11.91,11.778,7423000
2011-02-15,11.233,11.605,11.305,14369900
2011-02-16,11.281,11.563,11.341,7771400
2011-02-17,11.281,11.443,11.353,6138400
2011-02-18,11.299,11.377,11.323,7878200
2011-02-22,10.892,11.275,10.91,9364700
2011-02-23,10.61,10.981,10.814,10298200
2011-02-24,10.55,10.868,10.748,6824000
2011-02-25,10.796,11.035,11.011,5986900
2011-02-28,10.892,11.113,11.023,10333200
2011-03-01,10.496,11.059,10.514,11558100
2011-03-02,10.49,10.73,10.568,8762200
2011-03-03,10.664,10.826,10.76,5476100
2011-03-04,10.49,10.784,10.586,6359800
2011-03-07,10.358,10.694,10.46,6130100
2011-03-08,10.484,10.736,10.61,6403200
2011-03-09,10.46,10.796,10.73,8640700
2011-03-10,10.466,10.742,10.496,8414100
2011-03-11,10.406,10.574,10.496,6175400
2011-03-14,10.304,10.514,10.388,4526200
2011-03-15,9.969,10.322,10.233,12464200
2011-03-16,9.957,10.287,10.119,12081900
2011-03-17,10.167,10.352,10.346,11372300
2011-03-18,10.382,10.598,10.472,9805400
2011-03-21,10.52,10.79,10.688,7670900
2011-03-22,10.532,10.73,10.562,6770100
2011-03-23,10.299,10.562,10.46,5014600
2011-03-24,10.424,10.652,10.61,6728700
2011-03-25,10.592,10.796,10.61,5170400
2011-03-28,10.125,10.646,10.304,11914900
2011-03-29,10.245,10.556,10.496,7004800
2011-03-30,10.436,10.64,10.514,5326000
2011-03-31,10.376,10.574,10.562,5832300
2011-04-01,10.382,10.658,10.448,6439700
2011-04-04,10.239,10.508,10.257,6425400
2011-04-05,10.107,10.263,10.143,8899900
2011-04-06,10.143,10.263,10.197,5927200
2011-04-07,10.047,10.185,10.137,7875700
2011-04-08,10.017,10.269,10.017,9285800
2011-04-11,9.861,10.077,9.897,8245900
2011-04-12,9.855,10.095,10.065,12411800
2011-04-13,9.987,10.155,10.053,6636500
2011-04-14,9.939,10.167,10.071,9192000
2011-04-15,10.059,10.227,10.209,6641500
2011-04-18,10.005,10.167,10.131,6442500
2011-04-19,10.113,10.424,10.382,8911200
2011-04-20,10.406,10.586,10.58,8538600
2011-04-21,10.496,10.766,10.742,7591100
2011-04-25,10.61,10.724,10.682,4673600
2011-04-26,10.604,10.73,10.7,4000000
2011-04-27,10.694,10.91,10.862,5350800
2011-04-28,10.724,10.976,10.742,6515100
2011-04-29,10.382,10.778,10.67,7244400
2011-05-02,10.394,10.73,10.508,7212600
2011-05-03,10.113,10.538,10.233,9060600
2011-05-04,10.131,10.394,10.191,7940700
2011-05-05,10.107,10.43,10.34,6994500
2011-05-06,10.334,10.496,10.412,11579100
2011-05-09,10.304,10.454,10.406,5312800
2011-05-10,10.358,10.514,10.484,9746800
2011-05-11,10.149,10.454,10.203,10056200
2011-05-12,10.125,10.394,10.287,9376600
2011-05-13,10.149,10.34,10.179,8353000
2011-05-16,10.119,10.269,10.179,7493200
2011-05-17,10.029,10.197,10.089,6395000
2011-05-18,10.041,10.197,10.179,6740200
2011-05-19,10.173,10.352,10.298,6570500
2011-05-20,10.185,10.334,10.191,6417300
2011-05-23,10.041,10.203,10.137,6661500
2011-05-24,10.041,10.221,10.083,4809400
2011-05-25,9.999,10.209,10.125,4142800
2011-05-26,10.298,10.652,10.514,12178100
2011-05-27,10.454,10.64,10.55,6386400
2011-05-31,10.448,10.634,10.544,10423500
2011-06-01,10.143,10.484,10.161,10633800
2011-06-02,10.077,10.239,10.149,6586700
2011-06-03,9.945,10.191,10.131,8628900
2011-06-06,9.903,10.173,9.909,8528800
2011-06-07,9.903,10.071,9.981,7588000
2011-06-08,9.849,10.005,9.867,10108400
2011-06-09,9.759,9.897,9.813,7346200
2011-06-10,9.465,9.771,9.477,7979200
2011-06-13,9.387,9.591,9.555,7504100
2011-06-14,9.591,9.759,9.669,6949000
2011-06-15,9.381,9.627,9.477,8126800
2011-06-16,9.357,9.609,9.507,8763400
2011-06-17,9.501,9.675,9.651,9264700
2011-06-20,9.585,9.795,9.777,6762300
2011-06-21,9.765,9.903,9.879,5960400
2011-06-22,9.801,9.999,9.843,6800500
2011-06-23,9.483,9.723,9.675,11206400
2011-06-24,9.651,9.801,9.681,7731500
2011-06-27,9.681,9.825,9.753,7406500
2011-06-28,9.747,9.975,9.903,10380600
2011-06-29,9.903,10.059,9.945,9491900
2011-06-30,9.963,10.245,10.185,8677400
2011-07-01,10.215,10.636,10.594,9217200
2011-07-05,10.384,10.57,10.486,7168900
2011-07-06,10.342,10.498,10.426,5540900
2011-07-07,10.528,10.702,10.546,5924700
2011-07-08,10.312,10.492,10.486,7021500
2011-07-11,10.179,10.384,10.203,6463800
2011-07-12,10.197,10.588,10.384,10310300
2011-07-13,10.342,10.516,10.36,6586200
2011-07-14,9.885,10.33,9.999,14379900
2011-07-15,9.969,10.113,10.095,5818300
2011-07-18,9.807,10.089,9.909,7229300
2011-07-19,9.861,10.005,9.921,13051700
2011-07-20,9.873,10.251,10.179,13617400
2011-07-21,10.143,10.48,10.197,12144600
2011-07-22,10.065,10.227,10.197,5647400
2011-07-25,10.011,10.143,10.035,5101000
2011-07-26,9.969,10.215,10.131,5358000
2011-07-27,9.687,10.095,9.705,8560200
2011-07-28,9.608,9.885,9.705,7540000
2011-07-29,9.41,9.663,9.524,9190500
2011-08-01,9.296,9.681,9.362,9423900
2011-08-02,8.965,9.38,8.972,8761800
2011-08-03,8.545,8.947,8.899,9643200
2011-08-04,8.208,8.827,8.226,15688000
2011-08-05,7.746,8.413,8.13,22271300
2011-08-08,7.115,7.986,7.127,19462700
2011-08-09,6.82,7.505,7.481,21398500
2011-08-10,7.133,7.637,7.211,24414000
2011-08-11,7.205,7.668,7.511,21862400
2011-08-12,7.229,7.68,7.271,11337300
2011-08-15,7.319,7.571,7.535,12006500
2011-08-16,7.271,7.511,7.409,11980500
2011-08-17,7.325,7.547,7.433,7677900
2011-08-18,6.7,7.217,6.784,16009000
2011-08-19,6.454,6.832,6.478,11230800
2011-08-22,6.285,6.694,6.37,11323100
2011-08-23,6.316,6.604,6.556,11324100
2011-08-24,6.442,6.694,6.61,10081600
2011-08-25,6.303,6.664,6.382,9612500
2011-08-26,6.123,6.502,6.382,13365100
2011-08-29,6.484,6.796,6.796,8368900
2011-08-30,6.658,7.013,6.964,11220200
2011-08-31,6.958,7.247,7.109,12321400
2011-09-01,6.995,7.241,7.031,13779800
2011-09-02,6.58,6.892,6.652,9719300
2011-09-06,6.37,6.556,6.448,11160600
2011-09-07,6.52,6.862,6.838,14206700
2011-09-08,6.574,6.82,6.604,6743300
2011-09-09,6.316,6.574,6.424,9280400
2011-09-12,6.279,6.466,6.46,9876500
2011-09-13,6.418,6.652,6.628,10711800
2011-09-14,6.58,6.958,6.88,14457700
2011-09-15,6.856,7.133,7.097,9860500
2011-09-16,7.013,7.289,7.283,14943900
2011-09-19,6.928,7.127,7.001,7356000
2011-09-20,6.916,7.133,6.916,5489400
2011-09-21,6.502,7.019,6.508,10488900
2011-09-22,6.177,6.424,6.303,13964700
2011-09-23,6.231,6.436,6.34,7810000
2011-09-26,6.358,6.736,6.724,9152800
2011-09-27,6.802,7.139,6.88,13463500
2011-09-28,6.597,6.971,6.627,13279800
2011-09-29,6.615,6.844,6.784,8030100
2011-09-30,6.555,6.76,6.597,11248700
2011-10-03,6.133,6.651,6.133,11605500
2011-10-04,5.897,6.428,6.416,12900000
2011-10-05,6.127,6.44,6.362,18519200
2011-10-06,6.265,6.573,6.567,10473400
2011-10-07,6.404,6.754,6.494,11630400
2011-10-10,6.591,6.929,6.929,7694600
2011-10-11,6.796,6.965,6.85,8237300
2011-10-12,6.597,7.441,7.14,18177400
2011-10-13,6.892,7.272,7.14,9600500
2011-10-14,7.266,7.459,7.459,10672900
2011-10-17,7.182,7.459,7.23,10173700
2011-10-18,7.17,7.845,7.779,15716000
2011-10-19,7.568,7.857,7.604,11344600
2011-10-20,7.453,7.706,7.67,6742000
2011-10-21,7.809,8.195,8.111,13623600
2011-10-24,8.086,8.358,8.334,9863300
2011-10-25,8.02,8.297,8.05,9216300
