,Low,High,Close,Volume
2010-12-09,17.44,17.757,17.513,438200
2010-12-10,17.328,17.596,17.508,296000
2010-12-13,17.264,17.581,17.269,259200
2010-12-14,17.255,17.494,17.303,469000
2010-12-15,16.889,17.513,16.991,466600
2010-12-16,16.864,17.318,17.299,724400
2010-12-17,17.069,17.338,17.269,581400
2010-12-20,17.138,17.474,17.401,295400
2010-12-21,17.479,17.65,17.489,310000
2010-12-22,17.294,17.586,17.435,279800
2010-12-23,17.211,17.464,17.284,137200
2010-12-27,17.079,17.391,17.357,125400
2010-12-28,17.118,17.411,17.177,209800
2010-12-29,17.157,17.401,17.352,133200
2010-12-30,17.279,17.396,17.303,168600
2010-12-31,17.142,17.391,17.142,214400
2011-01-03,17.381,18.138,18.074,549400
2011-01-04,17.625,18.25,17.669,456400
2011-01-05,17.352,17.835,17.791,311000
2011-01-06,17.659,17.899,17.703,347000
2011-01-07,17.391,17.938,17.552,274600
2011-01-10,17.196,17.869,17.659,266400
2011-01-11,17.479,17.801,17.747,411800
2011-01-12,17.811,18.338,17.962,553800
2011-01-13,17.699,18.025,17.869,206600
2011-01-14,17.63,17.981,17.747,245600
2011-01-18,17.567,17.82,17.733,232000
2011-01-19,17.181,17.938,17.22,641400
2011-01-20,17.089,17.513,17.094,325600
2011-01-21,16.674,17.274,16.874,208200
2011-01-24,16.752,16.972,16.845,296600
2011-01-25,16.528,16.845,16.786,248000
2011-01-26,16.801,17.928,17.928,807200
2011-01-27,17.586,18.103,18.069,704200
2011-01-28,16.416,17.967,16.962,1620000
2011-01-31,16.816,17.196,16.967,509600
2011-02-01,17.006,17.435,17.225,344200
2011-02-02,16.669,17.128,16.669,242800
2011-02-03,16.42,16.859,16.674,372200
2011-02-04,16.411,16.737,16.645,317400
2011-02-07,16.435,16.723,16.596,472200
2011-02-08,16.503,16.796,16.772,341000
2011-02-09,16.684,16.991,16.977,271400
2011-02-10,16.342,17.133,17.059,345800
2011-02-11,16.957,17.586,17.43,168800
2011-02-14,17.367,17.796,17.664,258000
2011-02-15,17.006,17.816,17.801,385200
2011-02-16,17.801,18.255,18.196,479000
2011-02-17,18.055,18.342,18.211,284200
2011-02-18,18.23,18.45,18.45,368200
2011-02-22,17.381,18.352,17.42,340200
2011-02-23,16.703,17.45,16.908,449600
2011-02-24,16.542,17.147,16.718,846600
2011-02-25,16.977,17.606,17.259,846800
2011-02-28,16.981,17.459,17.055,395800
2011-03-01,16.664,17.24,16.679,610800
2011-03-02,16.508,16.962,16.889,532600
2011-03-03,17.123,17.786,17.713,350400
2011-03-04,17.123,17.747,17.289,391800
2011-03-07,16.84,17.274,17.03,182400
2011-03-08,16.928,17.43,17.303,329200
2011-03-09,17.05,17.333,17.24,385000
2011-03-10,16.591,17.05,16.737,647000
2011-03-11,16.547,17.064,16.879,228000
2011-03-14,16.606,16.898,16.713,188800
2011-03-15,15.967,16.82,16.64,235800
2011-03-16,16.284,16.869,16.367,376200
2011-03-17,16.459,17.347,16.464,227200
2011-03-18,16.606,16.923,16.747,527400
2011-03-21,16.796,17.206,17.001,261600
2011-03-22,16.723,17.074,16.742,137400
2011-03-23,16.552,17.001,16.913,335000
2011-03-24,16.972,17.303,17.074,332800
2011-03-25,17.108,17.455,17.186,178200
2011-03-28,16.806,17.24,16.859,262000
2011-03-29,16.586,16.938,16.825,351200
2011-03-30,16.786,17.318,17.279,217600
2011-03-31,17.235,17.718,17.655,239600
2011-04-01,17.557,18.064,17.664,253200
2011-04-04,18.421,19.118,18.66,1155200
2011-04-05,18.596,19.064,18.845,736000
2011-04-06,18.699,19.167,18.713,438800
2011-04-07,18.816,19.108,18.977,898200
2011-04-08,18.162,19.152,18.299,295000
2011-04-11,18.05,18.699,18.342,247000
2011-04-12,18.099,18.581,18.328,388200
2011-04-13,17.952,18.391,18.162,401800
2011-04-14,17.952,18.703,18.65,816200
2011-04-15,18.547,18.986,18.923,631800
2011-04-18,18.094,18.782,18.372,431000
2011-04-19,17.981,18.518,18.308,314400
2011-04-20,18.811,19.933,19.333,810600
2011-04-21,19.235,19.513,19.435,393400
2011-04-25,19.172,19.489,19.362,230200
2011-04-26,19.308,19.786,19.513,308800
2011-04-27,19.303,19.625,19.547,320000
2011-04-28,19.499,19.718,19.65,424000
2011-04-29,19.572,19.757,19.65,432000
2011-05-02,18.933,19.738,18.982,428000
2011-05-03,18.391,19.191,18.938,574000
2011-05-04,18.85,19.338,18.879,447000
2011-05-05,18.303,18.918,18.66,415000
2011-05-06,18.699,19.196,18.874,402000
2011-05-09,18.689,19.094,19.079,310000
2011-05-10,19.108,19.425,19.269,261800
2011-05-11,18.933,19.328,19.147,430600
2011-05-12,18.738,19.055,18.884,351000
2011-05-13,18.323,18.928,18.528,232000
2011-05-16,18.064,18.503,18.079,281200
2011-05-17,17.567,17.981,17.899,407000
2011-05-18,17.825,18.45,18.425,270200
2011-05-19,18.308,18.65,18.406,169000
2011-05-20,18.055,18.503,18.289,241400
2011-05-23,17.713,18.05,17.889,182400
2011-05-24,17.625,17.986,17.757,267400
2011-05-25,17.586,17.957,17.884,378400
2011-05-26,17.752,18.362,18.347,396800
2011-05-27,18.328,18.528,18.43,190400
2011-05-31,18.191,18.83,18.616,644800
2011-06-01,18.06,18.708,18.172,812800
2011-06-02,17.811,18.26,17.947,265000
2011-06-03,17.303,17.864,17.523,482000
2011-06-06,17.138,17.562,17.181,294400
2011-06-07,17.098,17.377,17.133,261400
2011-06-08,16.596,17.162,16.703,517200
2011-06-09,16.689,17.162,17.055,602000
2011-06-10,16.918,17.284,17.157,687600
2011-06-13,16.996,17.196,17.069,346000
2011-06-14,17.259,17.606,17.45,312000
2011-06-15,17.133,17.377,17.177,388600
2011-06-16,17.157,17.469,17.416,229600
2011-06-17,17.206,17.581,17.313,403000
2011-06-20,17.25,17.64,17.503,220400
2011-06-21,17.464,18.025,17.967,319200
2011-06-22,17.796,18.181,17.977,476400
2011-06-23,17.562,18.016,17.952,250200
2011-06-24,17.518,18.02,17.645,536600
2011-06-27,17.601,17.918,17.908,353200
2011-06-28,17.869,18.235,18.235,364400
2011-06-29,18.074,18.401,18.264,468200
2011-06-30,18.133,18.43,18.372,408000
