,Low,High,Close,Volume
2010-12-09,5.821,5.942,5.9,19641
2010-12-10,5.865,5.916,5.916,11311
2010-12-13,5.833,5.917,5.895,27250
2010-12-14,5.809,5.975,5.917,41133
2010-12-15,5.898,5.944,5.914,8329
2010-12-16,5.83,5.952,5.902,11928
2010-12-17,5.891,5.968,5.968,19744
2010-12-20,5.891,5.986,5.952,10797
2010-12-21,5.933,6.014,5.94,29924
2010-12-22,5.916,5.956,5.938,17893
2010-12-23,5.937,5.998,5.977,9152
2010-12-27,5.937,6.0,5.986,15630
2010-12-28,5.938,6.001,6.0,8227
2010-12-29,5.952,6.007,6.005,14396
2010-12-30,5.952,6.159,6.131,23548
2010-12-31,6.082,6.241,6.173,17070
2011-01-03,6.129,6.259,6.259,19949
2011-01-04,6.189,6.282,6.255,15528
2011-01-05,6.201,6.303,6.303,33420
2011-01-06,6.238,6.301,6.299,24885
2011-01-07,6.28,6.434,6.432,28279
2011-01-10,6.408,6.478,6.441,27147
2011-01-11,6.252,6.443,6.276,18201
2011-01-12,6.297,6.346,6.313,10489
2011-01-13,6.171,6.39,6.308,34757
2011-01-14,6.289,6.45,6.436,27970
2011-01-18,6.374,6.434,6.399,18407
2011-01-19,6.275,6.43,6.399,16967
2011-01-20,6.276,6.401,6.345,8227
2011-01-21,6.285,6.355,6.32,6581
2011-01-24,6.296,6.362,6.339,41955
2011-01-25,6.317,6.779,6.73,88435
2011-01-26,6.698,7.085,6.907,108693
2011-01-27,6.703,6.971,6.826,38459
2011-01-28,6.415,6.793,6.761,51827
2011-01-31,6.434,7.09,7.09,105608
2011-02-01,7.012,7.213,7.12,35785
2011-02-02,7.073,7.213,7.199,20669
2011-02-03,7.134,7.276,7.213,19024
2011-02-04,7.176,7.253,7.246,11414
2011-02-07,7.199,7.323,7.281,18098
2011-02-08,7.167,7.344,7.344,32906
2011-02-09,7.25,7.437,7.33,15322
2011-02-10,7.18,7.42,7.328,15630
2011-02-11,7.349,7.414,7.379,6273
2011-02-14,7.378,7.469,7.42,22726
2011-02-15,7.355,7.427,7.379,4525
2011-02-16,7.414,7.528,7.453,14294
2011-02-17,7.4,7.493,7.467,15425
2011-02-18,7.39,7.516,7.516,30027
2011-02-22,7.393,7.528,7.395,9975
2011-02-23,7.311,7.441,7.406,11311
2011-02-24,7.302,7.472,7.472,17070
