,Low,High,Close,Volume
2018-04-10,7.837,7.837,7.837,850000
2018-04-11,7.828,7.828,7.828,380100
2018-04-12,7.82,7.82,7.82,260000
2018-04-13,7.82,7.82,7.82,200000
2018-04-16,7.82,7.82,7.82,0
2018-04-17,7.82,7.82,7.82,0
2018-04-18,7.82,7.82,7.82,0
2018-04-19,7.845,7.845,7.845,100000
2018-04-20,7.845,7.845,7.845,0
2018-04-23,7.845,7.845,7.845,0
2018-04-24,7.845,7.845,7.845,150000
2018-04-25,7.845,7.845,7.845,0
2018-04-26,7.845,7.845,7.845,0
2018-04-27,7.845,7.845,7.845,0
2018-04-30,7.845,7.861,7.845,800800
2018-05-01,7.845,7.845,7.845,0
2018-05-02,7.845,7.845,7.845,0
2018-05-03,7.845,7.845,7.845,0
2018-05-04,7.845,7.845,7.845,0
2018-05-07,7.845,7.943,7.894,18100
2018-05-08,7.894,7.894,7.894,0
2018-05-09,7.878,7.878,7.878,560700
2018-05-10,7.878,7.878,7.878,0
2018-05-11,7.845,7.845,7.845,5000
2018-05-14,7.853,7.853,7.853,200
2018-05-15,7.845,7.853,7.845,855500
2018-05-16,7.845,7.845,7.845,0
2018-05-17,7.845,7.845,7.845,0
2018-05-18,7.837,7.91,7.876,8900
2018-05-21,7.861,7.869,7.861,500
2018-05-22,7.837,7.976,7.853,406300
2018-05-23,7.861,7.861,7.861,1000
2018-05-24,7.853,7.869,7.853,125500
2018-05-25,7.853,7.853,7.853,0
2018-05-29,7.853,7.853,7.853,0
2018-05-30,7.853,7.853,7.853,0
2018-05-31,7.845,7.902,7.845,52000
2018-06-01,7.878,7.878,7.878,1000
2018-06-04,7.878,7.878,7.878,0
2018-06-05,7.861,7.894,7.894,27800
2018-06-06,7.894,7.894,7.894,200
2018-06-07,7.894,7.902,7.902,1000
2018-06-08,7.902,7.902,7.902,0
2018-06-11,7.902,7.902,7.902,0
2018-06-12,7.853,7.869,7.869,37100
2018-06-13,7.869,7.869,7.869,0
2018-06-14,7.869,7.869,7.869,0
2018-06-15,7.869,7.869,7.869,0
2018-06-18,7.869,7.869,7.869,0
2018-06-19,7.869,7.869,7.869,0
2018-06-20,7.869,7.869,7.869,0
2018-06-21,7.861,7.861,7.861,2100
2018-06-22,7.861,7.869,7.861,271900
2018-06-25,7.861,7.861,7.861,0
2018-06-26,7.853,7.861,7.861,1100
2018-06-27,7.861,7.861,7.861,0
2018-06-28,7.869,7.869,7.869,5000
2018-06-29,7.869,7.869,7.869,0
2018-07-02,7.869,7.869,7.869,0
2018-07-03,7.869,7.869,7.869,495000
2018-07-05,7.869,7.869,7.869,0
2018-07-06,7.869,7.869,7.869,0
2018-07-09,7.869,7.869,7.869,0
2018-07-10,7.869,7.869,7.869,0
2018-07-11,7.869,7.869,7.869,0
2018-07-12,7.869,7.869,7.869,0
2018-07-13,7.869,7.869,7.869,0
2018-07-16,7.869,7.869,7.869,0
2018-07-17,7.845,7.902,7.902,237000
2018-07-18,7.902,7.902,7.902,0
2018-07-19,7.845,7.845,7.845,148800
2018-07-20,7.845,7.845,7.845,0
2018-07-23,7.845,7.845,7.845,0
2018-07-24,7.845,7.845,7.845,0
2018-07-25,7.845,7.845,7.845,0
2018-07-26,7.828,7.828,7.828,150000
2018-07-27,7.828,7.828,7.828,1000
2018-07-30,7.828,7.828,7.828,0
2018-07-31,7.828,7.828,7.828,0
2018-08-01,7.845,7.845,7.845,65000
2018-08-02,7.845,7.845,7.845,0
2018-08-03,7.845,7.845,7.845,0
2018-08-06,7.853,7.853,7.853,100100
2018-08-07,7.861,7.878,7.861,260900
2018-08-08,7.861,7.861,7.861,0
2018-08-09,7.861,7.861,7.861,0
2018-08-10,7.861,7.861,7.861,0
2018-08-13,7.886,7.886,7.886,1000
2018-08-14,7.886,7.886,7.886,0
2018-08-15,7.886,7.886,7.886,100000
2018-08-16,7.886,7.886,7.886,0
2018-08-17,7.886,7.886,7.886,0
2018-08-20,7.861,7.902,7.861,5600
2018-08-21,7.878,7.878,7.878,1000
2018-08-22,7.878,7.878,7.878,20000
2018-08-23,7.878,7.902,7.902,601700
2018-08-24,7.902,7.902,7.902,37000
2018-08-27,7.894,7.902,7.902,87600
2018-08-28,7.894,7.902,7.902,1500
2018-08-29,7.902,7.919,7.902,27600
2018-08-30,7.919,7.919,7.919,1400
2018-08-31,7.902,7.984,7.984,30600
2018-09-04,7.984,7.984,7.984,0
2018-09-05,7.951,7.984,7.951,36200
2018-09-06,7.943,7.943,7.943,100
2018-09-07,7.943,7.943,7.943,100
2018-09-10,7.878,7.943,7.902,700
2018-09-11,7.902,7.902,7.902,0
2018-09-12,7.941,7.943,7.943,600
2018-09-13,7.943,7.943,7.943,0
2018-09-14,7.902,7.902,7.902,55000
2018-09-17,7.894,7.902,7.894,300
2018-09-18,7.894,7.902,7.894,23700
2018-09-19,7.894,7.894,7.894,0
