,Low,High,Close,Volume
2010-12-09,3.046,3.132,3.132,33828
2010-12-10,3.046,3.433,3.411,230128
2010-12-13,3.24,3.497,3.304,120180
2010-12-14,3.111,3.282,3.197,67453
2010-12-15,3.154,3.304,3.261,30085
2010-12-16,3.154,3.304,3.261,27952
2010-12-17,3.175,3.24,3.218,26727
2010-12-20,3.089,3.24,3.218,59648
2010-12-21,3.111,3.282,3.175,62393
2010-12-22,3.197,3.261,3.261,36029
2010-12-23,3.154,3.218,3.154,11616
2010-12-27,3.111,3.154,3.132,16041
2010-12-28,3.068,3.175,3.132,38457
2010-12-29,3.089,3.197,3.197,30153
2010-12-30,3.175,3.24,3.24,23142
2010-12-31,3.132,3.304,3.282,33465
2011-01-03,3.197,3.411,3.39,133226
2011-01-04,3.304,3.433,3.347,46262
2011-01-05,3.325,3.433,3.433,65569
2011-01-06,3.368,3.433,3.433,25570
2011-01-07,3.368,3.433,3.411,16653
2011-01-10,3.347,3.433,3.411,33148
2011-01-11,3.368,3.647,3.647,248597
2011-01-12,3.561,3.69,3.69,87123
2011-01-13,3.647,3.819,3.776,89574
2011-01-14,3.583,3.819,3.797,47963
2011-01-18,3.647,3.819,3.669,41883
2011-01-19,3.433,3.669,3.476,51004
2011-01-20,3.368,3.476,3.39,57447
2011-01-21,3.368,3.54,3.497,37118
2011-01-24,3.486,3.754,3.653,77867
2011-01-25,3.604,3.754,3.658,5990
2011-01-26,3.567,3.754,3.604,41293
2011-01-27,3.492,3.61,3.508,63346
2011-01-28,3.39,3.513,3.438,36483
2011-01-31,3.363,3.518,3.481,53000
2011-02-01,3.459,3.594,3.561,23868
2011-02-02,3.535,3.636,3.599,23414
2011-02-03,3.62,3.658,3.647,33125
2011-02-04,3.604,4.259,4.13,165081
2011-02-07,4.103,4.532,4.344,127327
2011-02-08,4.248,4.371,4.355,60896
2011-02-09,4.28,4.366,4.355,26319
2011-02-10,4.125,4.318,4.125,63346
2011-02-11,3.851,4.141,3.915,87940
2011-02-14,3.937,4.028,4.001,32218
2011-02-15,4.007,4.184,4.087,24866
2011-02-16,3.98,4.141,4.023,19421
2011-02-17,3.974,4.071,4.06,15428
2011-02-18,3.942,4.044,3.964,10527
2011-02-22,3.883,3.964,3.883,32036
2011-02-23,3.787,3.953,3.899,85490
2011-02-24,3.835,3.996,3.942,23142
2011-02-25,3.942,4.017,3.942,24413
2011-02-28,3.899,4.017,3.926,23142
2011-03-01,3.905,3.98,3.926,26228
2011-03-02,3.905,4.001,3.99,85399
2011-03-03,3.969,4.098,4.039,79954
2011-03-04,4.044,4.087,4.082,10981
2011-03-07,3.921,4.082,3.942,28950
2011-03-08,3.894,3.99,3.958,24231
2011-03-09,3.926,4.076,4.023,58718
2011-03-10,3.862,4.017,3.953,29495
2011-03-11,3.792,4.291,4.103,143209
2011-03-14,4.017,4.462,4.409,129052
2011-03-15,4.082,4.398,4.355,114985
2011-03-16,4.066,4.822,4.071,251387
2011-03-17,4.076,4.42,4.098,54271
2011-03-18,3.915,4.21,3.915,84310
2011-03-21,3.915,3.974,3.921,19421
2011-03-22,4.157,4.479,4.344,282062
2011-03-23,4.291,4.5,4.479,141848
2011-03-24,4.479,4.548,4.527,136403
2011-03-25,4.436,4.591,4.554,168166
2011-03-28,4.554,4.757,4.607,171434
2011-03-29,4.58,4.752,4.72,57084
2011-03-30,4.677,4.752,4.698,35212
2011-03-31,4.672,4.731,4.72,23596
2011-04-01,4.65,4.736,4.666,51094
2011-04-04,4.591,4.715,4.634,49461
2011-04-05,4.639,4.736,4.672,83675
2011-04-06,4.607,4.72,4.666,29676
2011-04-07,4.639,4.72,4.715,18060
2011-04-08,4.602,4.731,4.731,81951
2011-04-11,4.645,4.731,4.715,24231
2011-04-12,4.591,4.666,4.65,56267
2011-04-13,4.613,4.661,4.629,5990
2011-04-14,4.591,4.656,4.629,61712
2011-04-15,4.57,4.645,4.602,49461
2011-04-18,4.559,4.677,4.672,113624
2011-04-19,4.398,4.58,4.532,184865
2011-04-20,4.398,4.602,4.602,117798
2011-04-21,4.521,4.661,4.597,135495
2011-04-25,4.425,4.586,4.527,33488
2011-04-26,4.403,4.634,4.602,57901
2011-04-27,4.489,4.618,4.543,41747
2011-04-28,4.409,4.57,4.452,67158
2011-04-29,4.103,4.452,4.334,207826
2011-05-02,4.13,4.334,4.135,106182
2011-05-03,4.13,4.361,4.28,79863
2011-05-04,4.178,4.307,4.302,62892
2011-05-05,4.259,4.548,4.452,78593
2011-05-06,4.344,4.527,4.5,49007
2011-05-09,4.334,4.532,4.457,63528
2011-05-10,4.344,4.554,4.398,68610
2011-05-11,4.334,4.527,4.43,64344
2011-05-12,4.344,4.446,4.403,47373
2011-05-13,4.296,4.484,4.302,60805
2011-05-16,4.21,4.398,4.291,66885
2011-05-17,4.285,4.446,4.291,51367
2011-05-18,4.264,4.43,4.291,66069
2011-05-19,4.221,4.479,4.264,68519
2011-05-20,4.248,4.366,4.291,32581
2011-05-23,4.473,4.613,4.521,179420
2011-05-24,4.489,4.623,4.559,106272
2011-05-25,4.532,4.763,4.747,107089
2011-05-26,4.731,5.262,5.251,325079
2011-05-27,5.192,5.433,5.262,134497
2011-05-31,5.095,5.337,5.197,81951
2011-06-01,4.827,5.095,4.886,98014
2011-06-02,4.822,5.17,5.063,55087
2011-06-03,4.816,5.138,4.843,79863
2011-06-06,4.72,4.993,4.747,52365
2011-06-07,4.774,4.956,4.913,48644
2011-06-08,4.698,4.913,4.72,39659
2011-06-09,4.752,5.401,5.213,304841
2011-06-10,4.993,5.353,5.154,104367
2011-06-13,4.881,5.133,4.924,64344
2011-06-14,4.8,5.042,4.833,108178
2011-06-15,4.666,4.822,4.784,49007
2011-06-16,4.736,4.827,4.768,39115
2011-06-17,4.698,5.01,4.833,61894
2011-06-20,4.709,4.902,4.811,34668
2011-06-21,4.736,4.881,4.875,35485
2011-06-22,4.795,4.854,4.827,22053
2011-06-23,4.698,4.854,4.8,39659
2011-06-24,4.752,4.875,4.849,25411
2011-06-27,4.763,4.833,4.827,27589
2011-06-28,4.757,4.892,4.886,27952
2011-06-29,4.768,4.886,4.838,32490
2011-06-30,4.768,4.87,4.811,37209
2011-07-01,4.768,4.827,4.822,36846
2011-07-05,4.709,4.827,4.752,82404
2011-07-06,4.629,4.747,4.725,29586
2011-07-07,4.666,4.87,4.838,57447
2011-07-08,4.672,4.838,4.833,15247
2011-07-11,4.72,4.8,4.747,46466
2011-07-12,4.377,4.698,4.5,222074
2011-07-13,4.387,4.554,4.462,66613
2011-07-14,4.377,4.527,4.457,86942
2011-07-15,4.344,4.462,4.361,51185
2011-07-18,4.162,4.328,4.243,91026
2011-07-19,4.066,4.221,4.157,176334
2011-07-20,4.076,4.141,4.108,68428
2011-07-21,4.076,4.108,4.082,44469
2011-07-22,4.023,4.264,4.205,59988
2011-07-25,4.092,4.2,4.157,31764
2011-07-26,4.162,4.366,4.328,66341
2011-07-27,4.119,4.302,4.189,37209
2011-07-28,4.044,4.216,4.082,60986
2011-07-29,4.033,4.178,4.125,43562
2011-08-01,3.744,4.264,3.744,140668
2011-08-02,3.61,3.744,3.626,50187
2011-08-03,3.411,3.615,3.443,91661
2011-08-04,3.089,3.422,3.164,135223
2011-08-05,3.079,3.229,3.207,55087
2011-08-08,2.682,3.181,2.773,142302
2011-08-09,2.682,2.977,2.934,73510
2011-08-10,2.8,2.955,2.827,38933
2011-08-11,2.848,2.998,2.934,64980
2011-08-12,2.87,2.961,2.934,64798
2011-08-15,2.773,3.138,3.004,90391
2011-08-16,2.794,3.197,2.918,93476
2011-08-17,2.929,3.057,2.982,17969
2011-08-18,2.778,3.052,2.929,26228
2011-08-19,2.816,2.961,2.827,25956
2011-08-22,2.757,2.918,2.875,55632
2011-08-23,2.88,3.127,3.084,62983
2011-08-24,2.821,3.1,3.009,12070
2011-08-25,2.977,3.063,3.02,14158
2011-08-26,2.859,2.993,2.966,44832
2011-08-29,2.934,3.004,2.971,45468
2011-08-30,2.95,3.164,3.063,65706
2011-08-31,3.079,3.266,3.25,64435
2011-09-01,3.164,3.433,3.39,56267
2011-09-02,3.229,3.341,3.272,22325
2011-09-06,3.089,3.207,3.127,26046
2011-09-07,3.132,3.32,3.32,24503
2011-09-08,3.24,3.363,3.341,16517
2011-09-09,3.105,3.309,3.229,14339
2011-09-12,3.138,3.229,3.223,12524
2011-09-13,3.138,3.229,3.218,16880
2011-09-14,3.095,3.288,3.277,37481
2011-09-15,3.191,3.299,3.229,16426
2011-09-16,3.175,3.256,3.245,11889
2011-09-19,3.122,3.299,3.299,30765
2011-09-20,3.148,3.272,3.218,50459
2011-09-21,3.164,3.24,3.191,12161
2011-09-22,2.773,3.068,2.896,85671
2011-09-23,2.762,2.843,2.768,44288
2011-09-26,2.735,2.902,2.875,46557
2011-09-27,2.827,2.912,2.907,28769
2011-09-28,2.853,2.886,2.859,12706
2011-09-29,2.778,2.993,2.837,47918
2011-09-30,2.768,2.832,2.773,25230
2011-10-03,2.467,2.816,2.521,117254
2011-10-04,2.36,2.51,2.478,96108
2011-10-05,2.355,2.494,2.403,55995
2011-10-06,2.365,2.682,2.467,57356
2011-10-07,2.36,2.575,2.467,46829
2011-10-10,2.435,2.521,2.467,35938
2011-10-11,2.387,2.489,2.467,27408
2011-10-12,2.408,2.735,2.66,51094
2011-10-13,2.58,2.794,2.709,45740
2011-10-14,2.687,2.778,2.741,47283
2011-10-17,2.585,2.73,2.591,12070
2011-10-18,2.607,2.719,2.709,29041
2011-10-19,2.639,2.709,2.66,12796
2011-10-20,2.639,2.741,2.671,77413
2011-10-21,2.693,2.762,2.725,15519
2011-10-24,2.709,2.778,2.768,24322
2011-10-25,2.703,2.789,2.714,14248
2011-10-26,2.644,2.735,2.676,31128
2011-10-27,2.703,2.827,2.703,45377
2011-10-28,2.676,2.735,2.687,45014
2011-10-31,2.655,2.682,2.682,2541
2011-11-01,2.564,2.676,2.666,17243
2011-11-02,2.634,2.714,2.676,60896
2011-11-03,2.671,2.719,2.709,72149
2011-11-04,2.682,2.987,2.987,16699
2011-11-07,2.623,2.955,2.687,92569
2011-11-08,2.66,2.794,2.789,13885
2011-11-09,2.623,2.837,2.639,29404
2011-11-10,2.601,2.682,2.66,14339
2011-11-11,2.671,2.768,2.709,36029
2011-11-14,2.693,2.757,2.693,11344
2011-11-15,2.714,2.982,2.982,70606
2011-11-16,2.902,3.068,2.902,51639
2011-11-17,2.907,3.063,2.95,32399
2011-11-18,2.95,3.524,3.218,183867
2011-11-21,3.068,3.25,3.1,54724
2011-11-22,2.961,3.218,3.154,34396
2011-11-23,2.912,3.116,2.993,44106
2011-11-25,2.988,3.052,3.025,13613
2011-11-28,2.955,3.1,3.03,62257
2011-11-29,2.998,3.057,3.057,18514
2011-11-30,3.025,3.197,3.159,52002
2011-12-01,3.03,3.116,3.052,27226
2011-12-02,3.025,3.282,3.181,73601
2011-12-05,3.143,3.261,3.175,29313
2011-12-06,2.982,3.154,3.089,63346
2011-12-07,2.993,3.127,3.025,54452
2011-12-08,2.853,3.014,2.896,87123
2011-12-09,2.918,3.03,2.95,38389
2011-12-12,2.832,2.961,2.955,27135
2011-12-13,2.896,2.955,2.918,8168
2011-12-14,2.837,2.929,2.886,28678
2011-12-15,2.73,2.912,2.827,64617
2011-12-16,2.762,2.811,2.762,74509
2011-12-19,2.612,2.73,2.628,84219
2011-12-20,2.639,2.709,2.66,33670
2011-12-21,2.644,2.709,2.682,389968
2011-12-22,2.644,2.8,2.682,84038
2011-12-23,2.639,2.703,2.703,88213
2011-12-27,2.601,2.703,2.666,38661
2011-12-28,2.639,2.693,2.682,19966
2011-12-29,2.66,2.789,2.735,93930
2011-12-30,2.666,2.827,2.768,110810
2012-01-03,2.762,2.95,2.934,53363
2012-01-04,2.843,3.299,3.138,96017
2012-01-05,3.132,3.411,3.368,40748
2012-01-06,3.24,3.39,3.32,53272
2012-01-09,3.304,3.39,3.325,20057
2012-01-10,3.304,3.368,3.32,26228
2012-01-11,3.288,3.374,3.331,39750
2012-01-12,3.304,3.341,3.336,31128
2012-01-13,3.32,3.701,3.642,116074
2012-01-17,3.653,3.942,3.792,165444
2012-01-18,3.813,4.028,3.948,87577
2012-01-19,3.996,4.237,4.232,138308
2012-01-20,4.151,4.382,4.323,80408
2012-01-23,4.296,4.409,4.387,64980
2012-01-24,4.339,4.479,4.462,54271
2012-01-25,4.285,4.715,4.709,79863
2012-01-26,4.57,4.843,4.629,107271
2012-01-27,4.291,4.715,4.5,118343
2012-01-30,4.296,4.564,4.564,63528
2012-01-31,4.35,4.613,4.42,35938
2012-02-01,4.382,4.495,4.479,46466
2012-02-02,4.446,4.559,4.473,43380
2012-02-03,4.393,4.543,4.393,100827
2012-02-06,4.141,4.446,4.237,117526
2012-02-07,4.194,4.511,4.511,65706
2012-02-08,4.468,4.559,4.527,61349
2012-02-09,4.393,4.538,4.532,75325
2012-02-10,4.42,4.559,4.538,48281
2012-02-13,4.532,4.629,4.602,52456
2012-02-14,4.597,4.656,4.618,37935
2012-02-15,4.618,4.736,4.709,95382
2012-02-16,4.704,4.972,4.902,139035
2012-02-17,4.827,4.908,4.902,54815
2012-02-21,4.811,4.902,4.811,42926
2012-02-22,4.811,4.897,4.87,61894
2012-02-23,4.672,4.881,4.827,58445
2012-02-24,4.715,5.739,5.701,721400
2012-02-27,5.825,6.468,6.468,473825
2012-02-28,6.485,7.337,7.01,954002
2012-02-29,6.603,7.075,6.71,353667
2012-03-01,6.495,6.908,6.656,216447
2012-03-02,6.415,6.678,6.527,219351
2012-03-05,6.072,6.527,6.184,373905
2012-03-06,5.739,6.259,6.104,237321
2012-03-07,5.911,6.672,6.651,167894
2012-03-08,6.501,7.375,7.294,451953
2012-03-09,7.214,7.665,7.568,382980
2012-03-12,7.246,7.659,7.595,182233
2012-03-13,7.53,8.281,8.217,515208
2012-03-14,8.072,9.086,9.0,551782
2012-03-15,8.635,9.44,8.823,722217
2012-03-16,8.169,9.59,8.957,1276086
2012-03-19,9.016,10.239,10.212,1058732
2012-03-20,9.708,10.389,9.912,625928
2012-03-21,9.011,10.175,9.166,938937
2012-03-22,9.075,9.837,9.408,710056
2012-03-23,9.177,9.649,9.467,272170
2012-03-26,9.493,9.965,9.885,267542
2012-03-27,9.536,10.11,9.633,323990
2012-03-28,9.29,9.746,9.622,294949
2012-03-29,9.338,9.628,9.59,122154
2012-03-30,9.333,9.762,9.434,168348
2012-04-02,9.413,10.062,9.912,553869
2012-04-03,9.118,9.912,9.15,449866
2012-04-04,8.271,9.064,8.33,584453
2012-04-05,8.212,8.678,8.319,337513
2012-04-09,7.622,8.11,7.836,567755
2012-04-10,7.809,8.26,7.836,324807
