,Low,High,Close,Volume
2010-12-09,17.5,17.824,17.672,41600
2010-12-10,17.646,18.155,18.121,33600
2010-12-13,17.851,18.326,18.055,55500
2010-12-14,17.956,18.234,18.069,51900
2010-12-15,17.632,18.207,17.804,62400
2010-12-16,17.725,18.181,18.062,64200
2010-12-17,18.062,18.24,18.194,162900
2010-12-20,17.956,18.24,18.029,48000
2010-12-21,18.042,18.333,18.174,34700
2010-12-22,18.274,18.607,18.447,39100
2010-12-23,17.968,18.56,18.241,28200
2010-12-27,18.221,18.587,18.567,30200
2010-12-28,18.447,18.727,18.687,44300
2010-12-29,18.5,18.899,18.66,58700
2010-12-30,18.414,18.693,18.547,36200
2010-12-31,17.988,18.593,17.995,62800
2011-01-03,18.228,18.913,18.8,69600
2011-01-04,17.961,18.913,18.208,58500
2011-01-05,18.208,18.727,18.627,66900
2011-01-06,18.327,18.7,18.567,43800
2011-01-07,17.848,18.593,17.928,53300
2011-01-10,17.529,18.181,18.081,79200
2011-01-11,17.842,18.281,18.001,33500
2011-01-12,17.961,18.208,18.121,49000
2011-01-13,17.888,18.307,17.961,29400
2011-01-14,17.981,18.46,18.447,34300
2011-01-18,18.321,18.627,18.487,39900
2011-01-19,17.689,18.494,17.709,34900
2011-01-20,17.509,17.848,17.675,57600
2011-01-21,17.749,18.959,18.76,161300
2011-01-24,18.58,18.88,18.873,32300
2011-01-25,18.307,18.959,18.919,107100
2011-01-26,18.66,19.252,19.179,81400
2011-01-27,18.84,19.159,19.013,49300
2011-01-28,18.214,19.199,18.354,74400
2011-01-31,18.061,18.547,18.081,69600
2011-02-01,18.088,18.72,18.68,73200
2011-02-02,18.534,18.753,18.64,56900
2011-02-03,18.314,18.793,18.647,34000
2011-02-04,18.407,18.707,18.574,37600
2011-02-07,18.467,18.873,18.56,32700
2011-02-08,18.228,18.76,18.653,27100
2011-02-09,18.254,18.567,18.48,23500
2011-02-10,18.161,18.527,18.228,23400
2011-02-11,17.975,18.68,18.68,47200
2011-02-14,18.248,18.627,18.434,34700
2011-02-15,18.174,18.554,18.188,82200
2011-02-16,18.154,18.44,18.301,22900
2011-02-17,18.101,18.387,18.174,39700
2011-02-18,18.274,18.514,18.434,31400
2011-02-22,17.722,18.427,17.729,57800
2011-02-23,17.369,17.928,17.383,81300
2011-02-24,17.017,17.562,17.303,54400
2011-02-25,17.276,17.922,17.875,40200
2011-02-28,17.895,18.181,18.081,73900
2011-03-01,17.815,18.267,18.001,223900
2011-03-02,17.542,17.981,17.808,22000
2011-03-03,17.955,18.214,18.208,48900
2011-03-04,17.875,18.188,18.128,28800
2011-03-07,17.463,18.188,17.569,31800
2011-03-08,17.562,18.174,18.088,29900
2011-03-09,17.848,18.181,18.035,19900
2011-03-10,17.163,17.762,17.243,58300
2011-03-11,16.99,17.396,17.19,32200
2011-03-14,16.824,17.196,17.004,54000
2011-03-15,16.538,17.19,17.103,38800
2011-03-16,16.777,17.083,16.95,61800
2011-03-17,16.924,17.17,16.97,28500
2011-03-18,17.117,17.536,17.536,92000
2011-03-21,17.576,17.848,17.775,34900
2011-03-22,17.662,17.908,17.749,17300
2011-03-23,17.19,17.695,17.476,35700
2011-03-24,17.295,17.523,17.409,36200
2011-03-25,17.369,17.992,17.483,42400
2011-03-28,17.235,17.61,17.255,35100
2011-03-29,17.302,17.509,17.349,32200
2011-03-30,17.248,17.804,17.784,45900
2011-03-31,17.59,18.173,18.099,80900
2011-04-01,18.226,18.468,18.327,60600
2011-04-04,18.173,18.541,18.447,65800
2011-04-05,18.153,18.622,18.421,46800
2011-04-06,18.535,18.883,18.803,50800
2011-04-07,18.441,18.843,18.588,30800
2011-04-08,18.313,18.736,18.38,28400
2011-04-11,18.36,18.474,18.374,22600
2011-04-12,18.126,18.521,18.126,38200
2011-04-13,17.663,18.24,17.824,38200
2011-04-14,17.596,18.119,18.012,25300
2011-04-15,17.657,18.91,18.669,168400
2011-04-18,18.36,18.856,18.742,35100
2011-04-19,18.434,18.856,18.521,35300
2011-04-20,18.649,18.776,18.769,153700
2011-04-21,18.461,18.963,18.769,48000
2011-04-25,18.662,18.742,18.736,47800
2011-04-26,18.682,19.104,18.977,86100
2011-04-27,18.97,19.332,19.272,73000
2011-04-28,19.198,19.567,19.533,33000
2011-04-29,19.399,19.734,19.634,50000
2011-05-02,19.433,19.747,19.433,36000
2011-05-03,19.305,19.56,19.506,90000
2011-05-04,19.466,19.68,19.567,55100
2011-05-05,19.319,19.841,19.613,118100
2011-05-06,19.479,19.861,19.567,84000
2011-05-09,19.546,19.694,19.607,44000
2011-05-10,19.667,20.096,20.089,20200
2011-05-11,19.875,20.076,19.935,51600
2011-05-12,19.647,19.995,19.881,35400
2011-05-13,19.439,19.908,19.513,28000
2011-05-16,19.399,19.56,19.433,38000
2011-05-17,19.399,19.721,19.486,37700
2011-05-18,19.372,19.6,19.587,111400
2011-05-19,19.298,19.727,19.473,69600
2011-05-20,19.365,19.54,19.433,108200
2011-05-23,19.164,19.479,19.211,47700
2011-05-24,19.211,19.486,19.439,74000
2011-05-25,19.319,19.62,19.486,63200
2011-05-26,19.245,19.768,19.727,115200
2011-05-27,19.5,19.768,19.64,55200
2011-05-31,19.54,19.895,19.861,127200
2011-06-01,19.051,19.634,19.071,115000
2011-06-02,19.051,19.278,19.151,48800
2011-06-03,18.032,19.097,18.762,72000
2011-06-06,18.608,18.93,18.709,81000
2011-06-07,18.649,18.997,18.762,36300
2011-06-08,18.414,18.836,18.434,59800
2011-06-09,18.273,18.494,18.367,191300
2011-06-10,17.992,18.38,18.099,126600
2011-06-13,17.958,18.193,17.958,83300
2011-06-14,17.844,18.233,18.146,87100
2011-06-15,17.516,18.119,17.576,67500
2011-06-16,17.462,17.958,17.871,53400
2011-06-17,17.677,18.072,17.831,114600
2011-06-20,17.73,18.112,18.086,49500
2011-06-21,18.032,18.26,18.126,67900
2011-06-22,17.67,18.086,17.684,52900
2011-06-23,17.427,17.704,17.549,95600
2011-06-24,17.495,17.832,17.515,326200
2011-06-27,17.488,17.9,17.812,55200
2011-06-28,17.65,17.852,17.765,44400
2011-06-29,17.582,17.92,17.69,48800
2011-06-30,17.677,17.9,17.717,50000
2011-07-01,17.657,18.062,17.927,63300
2011-07-05,17.65,18.264,18.183,54000
2011-07-06,18.095,18.534,18.44,96800
2011-07-07,18.413,19.067,18.838,89300
2011-07-08,18.413,18.892,18.568,49000
2011-07-11,18.365,18.588,18.413,84400
2011-07-12,18.278,18.736,18.446,36200
2011-07-13,18.392,18.831,18.763,46300
2011-07-14,18.48,18.831,18.548,59200
2011-07-15,17.643,18.554,17.852,132400
2011-07-18,17.697,17.96,17.785,136900
2011-07-19,17.555,18.014,17.954,67200
2011-07-20,17.886,18.075,17.96,33600
2011-07-21,18.028,18.649,18.554,127400
2011-07-22,18.251,18.608,18.554,53100
2011-07-25,18.291,18.575,18.345,62100
2011-07-26,18.116,18.757,18.163,70300
2011-07-27,17.616,18.122,17.663,98400
2011-07-28,17.677,18.014,17.758,59300
2011-07-29,17.623,18.021,17.92,101000
2011-08-01,17.596,18.271,17.994,96900
2011-08-02,17.744,18.19,17.771,64900
2011-08-03,17.508,17.974,17.879,41200
2011-08-04,17.157,17.832,17.171,135300
2011-08-05,16.631,17.596,16.725,121900
2011-08-08,15.193,16.941,15.193,157500
2011-08-09,14.579,15.848,15.686,176200
2011-08-10,14.403,15.47,14.511,96500
2011-08-11,14.343,15.45,15.261,182300
2011-08-12,14.991,15.396,15.173,87600
2011-08-15,15.342,15.699,15.699,50800
2011-08-16,15.429,15.692,15.551,91200
2011-08-17,15.45,15.888,15.483,59900
2011-08-18,14.754,15.321,15.058,142500
2011-08-19,14.579,15.119,14.613,122900
2011-08-22,14.241,15.018,14.619,93800
2011-08-23,14.538,15.45,15.409,67800
2011-08-24,15.119,15.794,15.625,59000
2011-08-25,14.997,15.881,15.126,75600
2011-08-26,14.903,15.524,15.382,47900
2011-08-29,15.558,16.219,16.178,53700
2011-08-30,15.713,16.327,16.239,87300
2011-08-31,15.875,16.28,16.097,70900
2011-09-01,15.369,16.185,15.558,102000
2011-09-02,15.004,15.524,15.024,141200
2011-09-06,14.505,15.315,15.099,177300
2011-09-07,15.159,16.037,15.807,147900
2011-09-08,15.105,15.848,15.186,115200
2011-09-09,14.444,15.24,14.626,138300
2011-09-12,14.363,15.072,15.018,57700
2011-09-13,15.031,15.375,15.301,81600
2011-09-14,15.213,15.962,15.706,76400
2011-09-15,15.544,16.057,16.043,35800
2011-09-16,15.719,16.165,15.888,84600
2011-09-19,14.997,15.632,15.294,49000
2011-09-20,14.943,15.733,14.957,62200
2011-09-21,14.174,15.085,14.208,78100
2011-09-22,13.779,14.589,14.208,127000
2011-09-23,14.194,14.718,14.466,88400
2011-09-26,14.378,15.086,15.045,45500
2011-09-27,14.998,15.617,15.161,58900
2011-09-28,14.405,15.243,14.426,62600
2011-09-29,14.535,15.134,15.1,48200
2011-09-30,14.8,15.393,14.807,91800
2011-10-03,13.901,14.97,13.908,134800
2011-10-04,13.792,15.488,15.393,125900
2011-10-05,14.93,15.699,15.529,78200
2011-10-06,15.175,16.081,16.053,76100
2011-10-07,15.188,16.156,15.284,87000
2011-10-10,15.386,16.121,16.115,67400
2011-10-11,15.713,16.367,16.285,74000
2011-10-12,16.251,17.32,17.102,107600
2011-10-13,16.544,17.198,16.823,59900
2011-10-14,16.517,17.102,17.041,50600
2011-10-17,16.394,16.803,16.462,84400
2011-10-18,16.53,17.041,16.789,78500
2011-10-19,16.414,17.089,16.625,148200
2011-10-20,16.108,16.803,16.544,59900
2011-10-21,16.265,17.055,16.734,397400
2011-10-24,16.476,17.245,17.164,189100
2011-10-25,16.666,17.273,16.796,113900
2011-10-26,16.707,17.45,17.293,70200
2011-10-27,17.715,18.485,18.321,150600
2011-10-28,17.811,18.437,17.858,72100
2011-10-31,17.456,18.172,17.654,52800
2011-11-01,16.36,17.416,16.537,83000
2011-11-02,16.809,17.477,17.456,52600
2011-11-03,17.218,18.029,17.947,62100
2011-11-04,17.313,18.022,17.695,50200
2011-11-07,17.17,17.899,17.872,51900
2011-11-08,17.579,18.444,18.328,76600
2011-11-09,17.034,18.015,17.061,78600
2011-11-10,17.075,17.395,17.211,34100
2011-11-11,17.354,17.634,17.552,49900
2011-11-14,17.034,17.62,17.225,49100
2011-11-15,17.082,17.817,17.722,60600
2011-11-16,17.136,17.777,17.164,32700
2011-11-17,16.653,17.504,16.7,72700
2011-11-18,16.496,16.946,16.932,45900
2011-11-21,16.271,16.816,16.448,40000
2011-11-22,16.312,16.816,16.476,54600
2011-11-23,15.692,16.414,15.72,69100
2011-11-25,15.372,15.999,15.42,26800
2011-11-28,15.754,16.135,16.06,71500
2011-11-29,15.686,16.033,15.774,22200
2011-11-30,16.346,17.824,17.804,174400
2011-12-01,17.395,18.165,17.804,65500
2011-12-02,17.865,18.328,18.049,37400
2011-12-05,17.313,18.607,18.546,77900
2011-12-06,18.219,18.628,18.355,44700
2011-12-07,17.77,18.587,18.471,55400
2011-12-08,17.749,18.26,17.797,59400
2011-12-09,17.926,18.703,18.621,65900
2011-12-12,18.144,18.553,18.546,40200
2011-12-13,17.783,18.73,17.926,39200
2011-12-14,17.565,18.253,17.599,50900
2011-12-15,17.756,18.165,18.165,65000
2011-12-16,18.029,18.587,18.444,244100
2011-12-19,18.076,18.73,18.144,108300
2011-12-20,18.58,18.866,18.825,73400
2011-12-21,18.503,19.134,18.825,54000
2011-12-22,18.867,19.299,18.928,65900
2011-12-23,18.921,19.148,18.983,21500
2011-12-27,18.688,19.141,19.031,28200
2011-12-28,18.291,19.086,18.387,42000
2011-12-29,18.407,19.484,19.168,79900
2011-12-30,18.681,19.244,18.716,43600
2012-01-03,19.175,19.436,19.23,52700
2012-01-04,18.887,19.367,19.113,19200
2012-01-05,18.777,19.408,19.36,41600
2012-01-06,18.99,19.402,19.155,48500
2012-01-09,19.168,19.504,19.353,37800
2012-01-10,19.148,19.614,19.36,49100
2012-01-11,19.079,19.429,19.347,63500
2012-01-12,19.107,19.655,19.655,49100
2012-01-13,19.223,19.621,19.367,57100
2012-01-17,19.237,19.621,19.305,60900
2012-01-18,19.175,19.648,19.648,32900
2012-01-19,19.477,20.128,19.738,62700
2012-01-20,19.655,20.43,19.703,238200
2012-01-23,19.45,19.786,19.594,38900
2012-01-24,19.257,19.662,19.511,78200
2012-01-25,19.374,19.642,19.463,44900
2012-01-26,18.784,19.683,19.168,56500
2012-01-27,18.983,19.257,19.203,47300
2012-01-30,18.791,19.12,18.921,62900
2012-01-31,18.832,19.148,19.024,53700
2012-02-01,18.997,19.676,19.552,120700
2012-02-02,19.223,19.868,19.786,97500
2012-02-03,19.779,20.259,20.019,109500
2012-02-06,19.539,20.046,19.868,38700
2012-02-07,19.765,20.183,19.93,35000
2012-02-08,19.799,20.231,20.074,45400
2012-02-09,19.614,20.087,19.676,72400
2012-02-10,19.1,19.477,19.216,70200
2012-02-13,19.209,19.463,19.353,56200
2012-02-14,18.86,19.271,19.017,44800
2012-02-15,18.75,19.134,18.832,45900
2012-02-16,18.771,19.374,19.367,85600
2012-02-17,19.093,19.69,19.477,30200
2012-02-21,19.237,19.717,19.443,63200
2012-02-22,18.935,19.504,18.942,102900
2012-02-23,18.825,19.381,19.381,35400
2012-02-24,19.004,19.36,19.141,43800
2012-02-27,18.853,19.237,19.086,41800
2012-02-28,18.963,19.45,19.23,35100
2012-02-29,18.825,19.436,18.853,61000
2012-03-01,18.839,19.422,18.846,34700
2012-03-02,18.16,19.024,18.263,79600
2012-03-05,18.167,18.654,18.613,31800
2012-03-06,18.126,18.483,18.146,70600
2012-03-07,18.14,18.373,18.291,31000
2012-03-08,18.085,18.489,18.277,48600
2012-03-09,18.215,18.873,18.819,62100
2012-03-12,18.654,19.072,19.024,51200
2012-03-13,19.072,19.696,19.683,55900
2012-03-14,19.34,19.724,19.45,38300
2012-03-15,19.292,19.717,19.552,54600
2012-03-16,19.354,19.827,19.614,117000
2012-03-19,19.566,20.211,19.923,48600
2012-03-20,19.614,19.971,19.655,32700
2012-03-21,19.504,19.744,19.559,23400
2012-03-22,19.02,19.435,19.255,36800
2012-03-23,19.069,19.635,19.621,45000
2012-03-26,19.677,20.202,19.995,68900
2012-03-27,19.746,20.036,19.773,37200
2012-03-28,19.753,20.064,19.988,31900
2012-03-29,19.442,20.071,20.043,41900
2012-03-30,19.794,20.209,19.849,50500
2012-04-02,19.753,20.312,20.278,65700
2012-04-03,19.843,20.278,20.036,31900
2012-04-04,19.366,19.829,19.511,51900
2012-04-05,19.345,19.566,19.518,30800
2012-04-09,18.972,19.456,19.235,42600
2012-04-10,18.785,19.387,19.069,60100
2012-04-11,18.917,19.393,19.276,70000
2012-04-12,19.007,19.345,19.29,68200
2012-04-13,19.034,19.877,19.193,89600
2012-04-16,19.048,19.663,19.58,67600
2012-04-17,19.76,20.071,19.801,65800
2012-04-18,19.2,19.677,19.276,35400
2012-04-19,18.979,19.435,19.124,40700
2012-04-20,19.269,19.718,19.608,55500
2012-04-23,19.007,19.248,19.034,51300
2012-04-24,19.013,19.539,19.435,48100
2012-04-25,19.414,19.787,19.539,40600
2012-04-26,19.096,19.594,19.573,21000
2012-04-27,19.304,19.849,19.808,34900
2012-04-30,19.324,19.732,19.393,45000
2012-05-01,19.331,19.912,19.345,70000
2012-05-02,19.145,19.891,19.746,90000
2012-05-03,19.449,19.732,19.58,41000
2012-05-04,19.269,19.49,19.352,51200
2012-05-07,19.235,19.849,19.504,31000
2012-05-08,19.317,19.739,19.677,40500
2012-05-09,19.214,19.559,19.359,41000
2012-05-10,19.421,19.746,19.684,28000
2012-05-11,19.366,19.76,19.469,44400
2012-05-14,19.152,19.387,19.159,31800
2012-05-15,19.117,19.414,19.255,25000
2012-05-16,19.179,19.573,19.186,28600
2012-05-17,19.089,20.015,19.131,54300
2012-05-18,19.034,19.359,19.069,55400
2012-05-21,18.917,19.4,19.221,70700
2012-05-22,18.792,19.38,18.937,48000
2012-05-23,18.571,18.903,18.785,46000
2012-05-24,18.419,18.993,18.993,56500
2012-05-25,18.73,19.0,18.827,33300
2012-05-29,18.551,19.055,18.848,19400
2012-05-30,18.53,18.806,18.592,36500
2012-05-31,18.419,18.841,18.675,59700
2012-06-01,17.998,18.399,18.101,48300
2012-06-04,17.873,18.171,18.032,64800
2012-06-05,17.894,18.136,18.012,69600
2012-06-06,17.86,18.191,18.15,120100
2012-06-07,18.184,18.488,18.302,60100
2012-06-08,17.998,18.564,18.468,63100
2012-06-11,18.081,18.62,18.108,49100
2012-06-12,18.101,18.426,18.426,71700
2012-06-13,18.274,18.813,18.378,39600
2012-06-14,18.343,18.848,18.779,42500
2012-06-15,18.627,19.656,19.421,210900
2012-06-18,19.172,19.545,19.221,116100
2012-06-19,19.221,19.815,19.691,62700
2012-06-20,19.469,19.787,19.545,25900
2012-06-21,18.931,19.621,19.062,46600
2012-06-22,19.152,19.539,19.393,100200
2012-06-25,18.855,19.373,19.138,29100
2012-06-26,18.972,19.407,19.193,18800
2012-06-27,19.207,19.725,19.697,24500
2012-06-28,19.315,19.67,19.628,60300
2012-06-29,19.83,20.449,20.331,58800
2012-07-02,20.268,20.721,20.714,52500
2012-07-03,19.788,20.839,20.825,40700
2012-07-05,20.651,20.839,20.734,45200
2012-07-06,20.393,20.832,20.741,38900
2012-07-09,20.574,20.748,20.63,55600
2012-07-10,20.533,20.818,20.741,28300
2012-07-11,20.567,20.839,20.818,35500
2012-07-12,20.47,20.797,20.651,48200
2012-07-13,20.721,21.326,21.201,77300
2012-07-16,20.95,21.27,21.034,21800
2012-07-17,20.804,21.305,21.027,35700
2012-07-18,20.978,21.298,21.124,46500
2012-07-19,20.707,21.215,20.895,45900
2012-07-20,20.533,20.95,20.554,65700
2012-07-23,20.157,20.407,20.303,50600
2012-07-24,20.011,20.435,20.025,49300
2012-07-25,20.115,20.338,20.219,37800
2012-07-26,20.442,20.721,20.595,62600
2012-07-27,20.338,21.041,20.978,48000
2012-07-30,20.54,20.915,20.797,31400
2012-07-31,20.63,20.867,20.679,53700
2012-08-01,20.115,20.867,20.15,73000
2012-08-02,19.767,20.199,19.83,61500
2012-08-03,20.15,20.644,20.484,47300
2012-08-06,20.407,20.728,20.519,46000
2012-08-07,20.296,20.686,20.352,54200
2012-08-08,20.192,20.783,20.588,37700
2012-08-09,20.519,20.783,20.644,23400
2012-08-10,20.512,20.818,20.554,40000
2012-08-13,20.108,20.554,20.373,20400
2012-08-14,20.136,20.574,20.31,39000
