,Low,High,Close,Volume
2010-12-09,14.497,14.731,14.557,79874700
2010-12-10,14.551,14.671,14.624,52407700
2010-12-13,14.244,14.698,14.35,78296300
2010-12-14,14.217,14.391,14.33,41699300
2010-12-15,14.204,14.35,14.204,42701400
2010-12-16,14.184,14.277,14.217,35224900
2010-12-17,14.197,14.344,14.324,57138100
2010-12-20,14.15,14.304,14.17,34211900
2010-12-21,14.07,14.197,14.083,34102300
2010-12-22,13.89,14.03,13.943,49206900
2010-12-23,13.816,13.963,13.91,27960800
2010-12-27,13.783,13.923,13.91,18604300
2010-12-28,13.857,13.97,13.937,21169600
2010-12-29,13.937,14.057,13.977,20848400
2010-12-30,13.97,14.07,14.03,18876000
2010-12-31,13.977,14.057,14.037,15743700
2011-01-03,13.87,14.05,13.917,58223800
2011-01-04,14.05,14.15,14.117,75206200
2011-01-05,13.95,14.157,13.977,61810500
2011-01-06,13.716,13.897,13.863,116669000
2011-01-07,13.529,13.863,13.79,74806100
2011-01-10,13.73,13.863,13.81,51449700
2011-01-11,13.843,14.097,14.05,64452600
2011-01-12,14.063,14.237,14.217,53380600
2011-01-13,14.07,14.23,14.21,104066300
2011-01-14,13.997,14.297,14.07,154888800
2011-01-18,13.977,14.15,14.07,55272100
2011-01-19,13.983,14.104,14.023,43339000
2011-01-20,13.763,13.983,13.983,56170800
2011-01-21,13.89,14.043,13.897,63697600
2011-01-24,13.97,14.177,14.177,82375700
2011-01-25,14.13,14.397,14.384,72327200
2011-01-26,14.457,14.617,14.517,57196100
2011-01-27,14.451,14.644,14.517,58069200
2011-01-28,14.25,14.611,14.324,55193100
2011-01-31,14.037,14.444,14.324,90844300
2011-02-01,14.204,14.484,14.337,60971000
2011-02-02,14.33,14.491,14.391,46928100
2011-02-03,14.337,14.573,14.519,39846000
2011-02-04,14.425,14.607,14.593,39353500
2011-02-07,14.559,14.714,14.6,43643100
2011-02-08,14.405,14.593,14.566,48215100
2011-02-09,14.418,14.539,14.445,44601400
2011-02-10,14.371,14.701,14.674,56661800
2011-02-11,14.485,14.708,14.647,43716600
2011-02-14,14.472,14.674,14.519,45134600
2011-02-15,14.324,14.506,14.438,50640200
2011-02-16,14.425,14.728,14.64,55214100
2011-02-17,14.586,14.849,14.788,50185500
2011-02-18,14.815,14.95,14.903,55060500
2011-02-22,14.627,14.936,14.681,64515600
2011-02-23,14.142,14.62,14.236,83648300
2011-02-24,14.156,14.411,14.331,54496400
2011-02-25,14.445,14.809,14.714,53475700
2011-02-28,14.384,14.701,14.452,66390100
2011-03-01,14.371,14.6,14.398,57987400
2011-03-02,14.405,14.607,14.465,52192300
2011-03-03,14.573,14.728,14.667,50504000
2011-03-04,14.405,14.862,14.512,64664800
2011-03-07,14.189,14.634,14.277,57520200
2011-03-08,14.149,14.31,14.223,57165700
2011-03-09,14.095,14.364,14.27,60415900
2011-03-10,13.947,14.149,13.994,69121300
2011-03-11,13.873,14.108,14.048,45640700
2011-03-14,13.88,14.055,14.028,48954200
2011-03-15,13.469,13.684,13.583,80464000
2011-03-16,13.267,13.711,13.334,84812700
2011-03-17,13.328,13.503,13.395,59048300
2011-03-18,13.382,13.563,13.415,74001300
2011-03-21,13.382,13.725,13.59,43392300
2011-03-22,13.449,13.604,13.563,45962800
2011-03-23,13.469,13.705,13.657,37924600
2011-03-24,13.651,13.806,13.718,49378300
2011-03-25,13.604,13.866,13.711,52478400
2011-03-28,13.684,13.907,13.691,37109400
2011-03-29,13.449,13.657,13.651,59545200
2011-03-30,13.536,13.772,13.772,54565700
2011-03-31,13.422,13.711,13.583,87528000
2011-04-01,13.166,13.718,13.274,82621500
2011-04-04,13.031,13.328,13.119,69372800
2011-04-05,13.159,13.382,13.267,62605700
2011-04-06,13.267,13.429,13.429,56267400
2011-04-07,13.341,13.523,13.482,51606400
2011-04-08,13.429,13.597,13.476,46474900
2011-04-11,13.469,13.597,13.543,43166300
2011-04-12,13.254,13.509,13.301,52110300
2011-04-13,13.274,13.429,13.314,38977500
