,Low,High,Close,Volume
2010-12-09,41.942,42.437,42.119,2217700
2010-12-10,41.872,42.852,42.71,3680400
2010-12-13,42.401,42.975,42.631,3032400
2010-12-14,42.49,42.949,42.79,2244800
2010-12-15,42.039,43.037,42.287,3051200
2010-12-16,42.348,43.681,43.558,6051800
2010-12-17,43.099,43.875,43.593,5652000
2010-12-20,43.337,44.122,43.805,2318500
2010-12-21,43.769,44.423,44.202,2574600
2010-12-22,43.637,44.308,44.052,1733800
2010-12-23,43.849,44.264,43.946,1256400
2010-12-27,43.125,44.017,43.919,1894200
2010-12-28,43.672,44.034,43.928,1314600
2010-12-29,43.919,44.264,44.087,1382900
2010-12-30,43.664,44.255,43.716,1134200
2010-12-31,43.293,43.831,43.513,1397000
2011-01-03,43.849,44.608,43.981,3190300
2011-01-04,43.107,44.308,43.505,2220600
2011-01-05,42.578,43.708,43.019,3441500
2011-01-06,42.516,43.16,42.631,3327700
2011-01-07,42.331,43.019,42.71,2298700
2011-01-10,42.066,42.525,42.145,2698400
2011-01-11,41.448,42.225,41.528,4317700
2011-01-12,40.972,41.731,41.113,4392600
2011-01-13,40.733,41.519,40.919,3267500
2011-01-14,40.513,41.483,41.466,2512600
2011-01-18,41.042,41.925,41.792,4457200
2011-01-19,41.545,42.154,41.836,3161700
2011-01-20,41.351,41.96,41.642,3188500
2011-01-21,41.316,41.898,41.36,2523500
2011-01-24,41.174,41.801,41.589,1777800
2011-01-25,40.751,41.395,41.042,2805700
2011-01-26,40.751,41.775,41.589,3463800
2011-01-27,41.554,41.951,41.757,1995600
2011-01-28,40.618,42.075,41.28,2800800
2011-01-31,40.654,41.43,41.422,2264000
2011-02-01,41.466,42.075,41.987,2151700
2011-02-02,41.872,42.366,42.198,1906800
2011-02-03,41.916,42.631,42.543,1827000
2011-02-04,42.039,42.843,42.719,1988300
2011-02-07,42.481,43.16,43.063,1672700
2011-02-08,42.896,43.416,43.275,1863300
2011-02-09,42.878,43.593,43.134,2001500
2011-02-10,42.949,44.767,44.608,3493700
2011-02-11,44.193,44.749,44.679,2010500
2011-02-14,44.299,45.102,44.829,2391100
2011-02-15,43.884,44.952,43.937,3514900
2011-02-16,43.619,44.617,44.237,3215400
2011-02-17,43.884,44.714,44.52,3203800
2011-02-18,45.499,48.262,47.759,8126500
2011-02-22,46.25,47.379,46.638,4715000
2011-02-23,45.296,46.682,45.897,3148600
2011-02-24,44.723,46.117,45.614,4265600
2011-02-25,45.623,46.603,46.25,2252400
2011-02-28,46.064,46.753,46.408,2393900
2011-03-01,45.12,46.691,45.385,2226800
2011-03-02,45.314,45.914,45.702,1294000
2011-03-03,46.038,47.318,46.691,2808700
2011-03-04,45.994,46.938,46.611,1822100
2011-03-07,45.173,46.991,45.835,2070700
2011-03-08,45.473,46.382,45.994,2189100
2011-03-09,44.97,45.941,45.596,2086300
2011-03-10,43.778,44.961,43.999,5058300
2011-03-11,43.478,44.131,43.655,2855700
