,Low,High,Close,Volume
2010-12-09,14.208,14.502,14.396,43500
2010-12-10,14.457,14.864,14.706,45000
2010-12-13,14.6,14.781,14.638,36500
2010-12-14,14.547,14.819,14.706,40800
2010-12-15,14.585,14.811,14.638,65800
2010-12-16,14.592,14.811,14.781,39500
2010-12-17,14.494,14.819,14.721,90300
2010-12-20,14.653,14.773,14.69,74700
2010-12-21,14.442,14.796,14.555,117000
2010-12-22,14.449,14.562,14.517,62400
2010-12-23,14.366,14.577,14.457,75900
2010-12-27,14.223,14.608,14.517,56600
2010-12-28,14.178,14.615,14.509,36700
2010-12-29,14.415,14.574,14.438,12900
2010-12-30,14.347,14.574,14.354,28200
2010-12-31,14.241,14.551,14.264,20900
2011-01-03,14.317,14.604,14.551,87700
2011-01-04,14.059,14.566,14.324,56000
2011-01-05,14.188,14.415,14.407,61600
2011-01-06,14.324,14.528,14.392,35700
2011-01-07,14.286,14.566,14.407,39500
2011-01-10,14.006,14.332,14.18,34300
2011-01-11,14.044,14.422,14.135,51100
2011-01-12,13.953,14.362,14.09,45000
2011-01-13,13.885,14.112,14.059,66100
2011-01-14,13.953,14.264,14.248,35000
2011-01-18,13.711,14.294,14.15,49200
2011-01-19,13.696,14.142,13.726,63800
2011-01-20,13.628,13.999,13.636,67500
2011-01-21,13.386,13.734,13.477,56300
2011-01-24,13.431,13.628,13.499,28800
2011-01-25,13.386,13.757,13.658,76000
2011-01-26,13.719,14.286,14.279,69800
2011-01-27,14.074,14.286,14.195,52900
2011-01-28,13.25,14.18,13.454,83100
2011-01-31,13.295,13.764,13.499,41900
2011-02-01,13.499,13.651,13.514,84800
2011-02-02,13.431,13.484,13.446,27300
2011-02-03,13.272,13.613,13.545,62200
2011-02-04,13.34,13.567,13.461,40000
2011-02-07,13.469,13.711,13.62,48600
2011-02-08,13.431,13.711,13.59,34200
2011-02-09,13.499,13.673,13.545,31900
2011-02-10,13.499,13.696,13.62,85600
2011-02-11,13.499,13.802,13.802,63300
2011-02-14,13.764,14.112,14.006,34000
2011-02-15,13.673,13.953,13.878,110600
2011-02-16,13.847,14.067,13.999,54100
2011-02-17,13.938,14.09,14.052,20700
2011-02-18,13.938,14.15,14.037,66100
2011-02-22,13.643,13.999,13.764,59800
2011-02-23,13.484,13.847,13.507,43600
2011-02-24,13.484,13.681,13.666,57000
2011-02-25,13.537,13.893,13.825,41400
2011-02-28,13.583,13.825,13.673,73300
2011-03-01,13.469,13.764,13.673,156600
2011-03-02,13.636,13.976,13.885,37500
2011-03-03,13.9,14.211,14.188,39200
2011-03-04,13.885,14.211,14.006,17400
2011-03-07,13.507,14.052,13.779,25100
2011-03-08,13.741,14.271,14.105,73400
2011-03-09,13.878,14.127,13.953,90300
2011-03-10,13.454,13.87,13.628,120000
2011-03-11,13.636,13.9,13.817,147500
2011-03-14,13.492,13.787,13.651,85200
2011-03-15,13.272,13.628,13.469,97900
2011-03-16,13.234,13.469,13.295,141500
2011-03-17,13.129,13.537,13.25,55000
2011-03-18,13.265,13.522,13.514,63100
2011-03-21,13.62,13.772,13.757,30800
2011-03-22,13.583,13.779,13.673,12800
2011-03-23,13.393,13.749,13.59,19900
2011-03-24,13.371,13.704,13.393,36900
2011-03-25,13.371,13.923,13.757,62200
2011-03-28,13.583,13.9,13.636,41700
2011-03-29,13.499,13.848,13.848,25000
2011-03-30,13.712,14.016,13.909,30300
2011-03-31,13.894,14.114,14.069,41900
2011-04-01,14.023,14.517,14.517,74600
2011-04-04,14.411,14.57,14.441,77100
2011-04-05,14.259,14.517,14.297,34400
2011-04-06,14.19,14.434,14.206,94500
2011-04-07,14.023,14.274,14.152,80300
2011-04-08,14.031,14.274,14.061,38700
2011-04-11,14.061,14.236,14.114,44900
2011-04-12,13.871,14.145,14.046,37600
2011-04-13,13.864,14.13,13.94,41500
2011-04-14,13.605,13.955,13.894,153900
2011-04-15,13.75,13.856,13.795,85200
2011-04-18,13.598,13.765,13.689,75400
2011-04-19,13.506,13.924,13.803,55300
2011-04-20,13.985,14.137,14.054,62600
2011-04-21,13.75,14.168,13.894,63800
2011-04-25,13.75,13.894,13.795,33700
2011-04-26,13.772,14.099,14.016,21800
2011-04-27,14.046,14.244,14.206,141000
