,Low,High,Close,Volume
2010-12-09,8.995,9.242,9.071,256100
2010-12-10,8.757,9.223,8.909,372000
2010-12-13,8.938,9.166,8.957,560500
2010-12-14,8.957,9.262,9.004,531300
2010-12-15,8.909,9.061,8.947,440100
2010-12-16,8.461,8.957,8.528,808600
2010-12-17,8.385,8.566,8.48,899800
2010-12-20,7.956,8.356,8.204,923400
2010-12-21,7.985,8.28,8.013,599300
2010-12-22,7.918,8.07,8.042,352900
2010-12-23,7.947,8.232,7.975,389100
2010-12-27,7.861,7.994,7.937,269500
2010-12-28,7.775,7.975,7.785,509100
2010-12-29,7.737,7.985,7.88,373900
2010-12-30,7.67,7.87,7.747,330600
2010-12-31,7.708,7.889,7.861,370900
2011-01-03,7.794,7.985,7.823,546900
2011-01-04,7.727,7.861,7.756,457900
2011-01-05,7.766,7.947,7.928,254600
2011-01-06,7.804,7.975,7.889,247200
2011-01-07,7.766,7.947,7.861,201600
2011-01-10,7.785,7.985,7.956,408900
2011-01-11,7.928,8.032,7.985,342000
2011-01-12,7.889,8.137,8.099,434500
2011-01-13,7.994,8.252,8.051,235500
2011-01-14,7.956,8.194,8.109,196800
2011-01-18,7.937,8.166,8.118,248000
2011-01-19,7.937,8.118,8.032,254600
2011-01-20,7.985,8.099,7.985,242700
2011-01-21,7.632,8.08,7.851,477100
2011-01-24,7.804,8.004,7.804,352400
2011-01-25,7.708,7.947,7.937,128700
2011-01-26,7.88,8.07,8.023,178400
2011-01-27,7.813,8.023,7.813,153200
2011-01-28,7.632,7.861,7.642,274000
2011-01-31,7.289,7.775,7.318,656700
2011-02-01,7.394,7.689,7.651,403900
2011-02-02,7.508,7.68,7.546,221200
2011-02-03,7.499,7.842,7.842,306700
2011-02-04,7.489,7.851,7.594,300300
2011-02-07,7.527,7.661,7.556,303600
2011-02-08,7.537,7.804,7.794,534100
2011-02-09,7.689,7.794,7.737,159500
2011-02-10,7.699,7.899,7.88,294500
2011-02-11,7.794,8.004,7.918,297300
2011-02-14,7.67,7.909,7.699,195300
2011-02-15,7.661,7.813,7.794,309600
2011-02-16,7.613,7.823,7.632,312900
2011-02-17,7.775,8.137,7.956,651300
2011-02-18,7.889,8.08,7.918,372400
2011-02-22,8.213,8.547,8.471,2179700
2011-02-23,8.356,8.642,8.366,792500
2011-02-24,8.366,8.623,8.566,630100
2011-02-25,8.575,8.957,8.919,874600
2011-02-28,8.823,9.042,8.957,592300
2011-03-01,8.814,9.042,8.814,356000
2011-03-02,8.528,8.928,8.718,531500
2011-03-03,8.671,8.919,8.785,500500
2011-03-04,8.623,8.89,8.861,1058400
2011-03-07,8.852,9.566,8.861,1238700
2011-03-08,8.004,9.1,8.194,1646800
2011-03-09,7.985,8.194,8.004,770700
2011-03-10,7.832,8.013,7.947,483500
2011-03-11,7.718,7.909,7.813,563000
2011-03-14,7.718,8.004,7.889,327100
2011-03-15,7.689,7.813,7.708,355000
2011-03-16,7.518,7.737,7.585,497100
2011-03-17,7.585,7.737,7.604,285000
2011-03-18,7.594,7.88,7.756,294500
2011-03-21,7.775,7.994,7.899,237300
2011-03-22,7.804,7.956,7.823,232400
2011-03-23,7.766,9.223,8.69,4459200
2011-03-24,8.175,8.575,8.414,1600500
2011-03-25,8.337,8.623,8.347,833300
2011-03-28,8.29,8.518,8.433,454800
2011-03-29,8.29,8.48,8.309,421400
2011-03-30,7.727,8.137,7.747,4350300
2011-03-31,7.508,7.813,7.604,1707900
2011-04-01,7.546,7.851,7.565,906500
2011-04-04,7.604,7.718,7.661,821400
2011-04-05,7.67,7.785,7.737,696100
2011-04-06,7.737,7.832,7.804,618100
2011-04-07,7.737,7.842,7.775,225600
2011-04-08,7.775,7.861,7.823,391300
2011-04-11,7.775,7.88,7.823,600800
2011-04-12,7.623,7.832,7.766,511100
2011-04-13,7.594,7.766,7.632,480900
2011-04-14,7.384,7.632,7.565,754300
2011-04-15,7.442,7.623,7.565,704800
2011-04-18,7.442,7.575,7.451,387600
2011-04-19,7.47,7.585,7.518,346200
2011-04-20,7.461,7.604,7.537,300400
