,Low,High,Close,Volume
2014-07-16,7.296,10.355,9.097,902700
2014-07-17,8.169,9.051,8.27,144400
2014-07-18,8.086,8.545,8.086,22400
2014-07-21,7.81,8.242,8.077,39900
2014-07-22,7.59,8.178,8.04,12700
2014-07-23,7.994,8.351,8.26,18600
2014-07-24,8.04,8.729,8.472,14600
2014-07-25,8.273,8.591,8.463,37900
2014-07-28,8.297,8.499,8.499,47800
2014-07-29,8.468,8.591,8.591,60400
2014-07-30,8.499,8.711,8.545,14800
2014-07-31,8.389,8.55,8.389,27900
2014-08-01,8.398,8.628,8.61,14500
2014-08-04,8.444,8.674,8.665,14900
2014-08-05,8.387,8.593,8.591,24800
2014-08-06,8.407,9.078,8.619,20000
2014-08-07,8.619,8.959,8.729,13400
2014-08-08,8.821,10.631,10.135,37500
2014-08-11,10.117,12.496,10.144,34300
2014-08-12,9.418,10.126,9.62,30200
2014-08-13,9.51,10.107,10.107,7900
2014-08-14,9.832,10.337,9.96,7300
2014-08-15,9.859,10.107,9.878,8300
2014-08-18,9.878,11.476,10.006,23300
2014-08-19,9.887,10.309,10.089,22300
2014-08-20,9.969,10.181,10.181,11900
2014-08-21,10.126,10.374,10.374,3300
2014-08-22,10.071,10.383,10.199,4600
2014-08-25,10.061,10.383,10.245,17600
2014-08-26,10.034,10.328,10.199,9600
2014-08-27,9.924,10.273,10.061,13100
2014-08-28,9.648,10.245,9.988,10500
2014-08-29,9.841,10.236,9.924,15600
2014-09-02,9.198,10.948,9.556,20500
2014-09-03,5.752,9.087,6.57,653100
2014-09-04,6.34,7.066,7.057,151800
2014-09-05,6.891,7.397,7.075,108000
2014-09-08,7.075,7.314,7.268,17100
2014-09-09,7.038,7.479,7.038,19100
2014-09-10,6.432,7.185,7.029,32700
2014-09-11,6.845,7.351,7.167,91300
2014-09-12,6.662,7.351,7.034,27800
2014-09-15,6.662,6.965,6.772,26700
2014-09-16,6.57,6.827,6.597,14500
2014-09-17,6.597,6.928,6.731,16600
2014-09-18,6.57,6.919,6.579,34400
