,Low,High,Close,Volume
2025-06-26,16.595,19.085,18.099,3417000
2025-06-27,17.643,19.036,18.548,798700
2025-06-30,17.905,18.821,18.011,351100
2025-07-01,16.01,17.816,17.347,804100
2025-07-02,16.327,17.894,17.572,437400
2025-07-03,17.347,17.864,17.572,207900
2025-07-07,17.084,17.904,17.357,342600
2025-07-08,16.947,17.572,17.064,201700
2025-07-09,16.742,17.186,16.937,90400
2025-07-10,16.488,16.988,16.547,134800
2025-07-11,16.205,16.63,16.469,115500
2025-07-14,15.893,16.478,16.469,99200
2025-07-15,16.107,16.976,16.351,110600
2025-07-16,16.107,16.918,16.605,266900
2025-07-17,16.205,16.595,16.449,96400
2025-07-18,16.01,16.527,16.303,69300
2025-07-21,16.107,17.042,16.244,290000
2025-07-22,15.961,16.517,16.517,224900
2025-07-23,16.234,16.644,16.537,45500
2025-07-24,16.107,16.595,16.351,68600
2025-07-25,16.177,16.625,16.576,75000
2025-07-28,16.39,16.625,16.517,104600
2025-07-29,15.961,16.576,16.039,120600
2025-07-30,15.795,16.478,16.273,51400
2025-07-31,16.068,16.517,16.469,105100
2025-08-01,15.6,16.546,15.883,283200
2025-08-04,15.658,17.376,16.966,194800
2025-08-05,16.41,17.328,16.722,155200
2025-08-06,16.361,16.859,16.625,56800
2025-08-07,16.312,16.81,16.703,104300
2025-08-08,16.449,17.22,17.191,261300
2025-08-11,16.781,17.279,17.054,140500
2025-08-12,16.8,17.22,17.162,173900
2025-08-13,16.838,18.118,17.923,143100
2025-08-14,17.464,18.45,18.421,141500
2025-08-15,17.162,18.44,18.187,345200
2025-08-18,17.611,19.003,18.509,235200
2025-08-19,17.962,18.621,18.138,191200
2025-08-20,17.191,18.03,17.533,137600
2025-08-21,17.162,17.567,17.484,133500
2025-08-22,17.503,18.626,18.401,198100
2025-08-25,18.253,19.469,19.262,207500
2025-08-26,19.183,20.068,19.469,219500
2025-08-27,18.906,19.687,19.153,166000
2025-08-28,19.054,20.023,19.272,188800
2025-08-29,18.411,19.647,18.599,89600
2025-09-02,18.144,19.244,18.718,127400
2025-09-03,18.683,19.133,19.005,154900
2025-09-04,18.095,19.128,18.431,115400
2025-09-05,17.858,18.574,18.372,111500
2025-09-08,18.258,18.8,18.461,119300
2025-09-09,17.808,18.876,17.877,183900
2025-09-10,17.52,18.499,17.838,177200
2025-09-11,17.343,18.392,18.263,228000
2025-09-12,17.769,18.342,18.184,169500
2025-09-15,17.452,18.278,17.551,187900
2025-09-16,17.442,18.144,17.956,137500
2025-09-17,17.63,18.342,17.759,253800
2025-09-18,17.778,18.347,18.233,188200
2025-09-19,17.68,18.332,17.739,2262300
2025-09-22,17.561,17.907,17.788,175300
2025-09-23,16.978,17.828,17.076,196800
2025-09-24,16.699,17.24,17.067,187800
2025-09-25,16.641,17.007,16.809,99400
2025-09-26,16.824,17.165,16.958,80800
2025-09-29,16.72,17.136,17.067,144500
2025-09-30,16.711,17.126,17.067,199400
2025-10-01,16.839,17.511,17.413,167300
2025-10-02,17.279,18.154,18.016,315300
2025-10-03,17.516,18.105,17.956,200500
2025-10-06,17.719,18.154,17.769,113900
2025-10-07,17.422,18.125,17.858,293000
2025-10-08,17.67,17.976,17.769,104400
2025-10-09,17.62,18.026,17.689,115100
2025-10-10,17.269,17.838,17.284,123900
2025-10-13,17.195,18.026,17.996,103500
2025-10-14,17.734,18.105,17.778,185700
2025-10-15,17.689,18.055,17.956,97100
2025-10-16,17.462,18.036,17.511,60100
2025-10-17,17.331,18.036,17.858,131900
2025-10-20,17.655,18.036,17.897,90200
2025-10-21,17.759,18.263,18.026,115500
2025-10-22,17.759,18.095,18.085,88200
2025-10-23,17.907,18.233,18.184,98900
2025-10-24,18.026,18.678,18.599,149500
2025-10-27,18.515,19.356,19.252,133500
2025-10-28,18.698,19.4,18.925,135600
2025-10-29,18.194,19.276,18.639,106200
2025-10-30,18.016,18.866,18.233,65500
2025-10-31,17.828,18.698,18.668,91200
2025-11-03,18.312,19.034,18.975,141500
2025-11-04,18.5,19.281,19.192,195500
2025-11-05,18.762,19.529,19.42,90800
2025-11-06,18.906,19.568,19.103,88700
2025-11-07,18.233,19.336,19.232,88500
2025-11-10,19.251,20.142,19.988,97600
2025-11-11,19.776,20.557,20.488,100800
2025-11-12,19.934,20.883,20.013,119300
2025-11-13,19.489,20.725,20.547,321500
2025-11-14,19.926,22.277,21.902,269800
2025-11-17,21.684,22.663,21.803,140300
2025-11-18,21.051,22.116,21.219,122300
2025-11-19,20.765,22.193,21.15,93600
2025-11-20,20.28,21.704,20.517,149000
2025-11-21,20.048,21.585,20.774,148200
2025-11-24,20.271,21.279,21.17,161300
2025-11-25,20.67,21.24,21.11,142300
2025-11-26,20.698,21.44,20.92,128400
2025-11-28,20.45,21.035,20.97,85200
2025-12-01,20.41,20.995,20.76,183700
2025-12-02,20.425,21.33,20.7,175300
2025-12-03,20.545,21.51,21.07,169700
2025-12-04,20.73,21.295,20.91,157200
2025-12-05,20.16,21.08,20.35,132000
2025-12-08,20.205,21.045,20.82,159800
