,Low,High,Close,Volume
2014-05-22,18.366,20.689,18.965,84449700
2014-05-23,18.094,19.282,18.239,20890300
2014-05-27,18.375,20.852,20.843,15338100
2014-05-28,20.689,22.957,22.485,16783000
2014-05-29,21.995,23.311,23.048,8525900
2014-05-30,21.587,23.193,22.685,6302800
2014-06-02,21.841,23.084,22.322,3808800
2014-06-03,21.805,22.912,22.776,3388500
2014-06-04,22.177,22.939,22.268,2990800
2014-06-05,22.322,24.273,23.393,7933500
2014-06-06,23.874,24.536,24.119,4317500
2014-06-09,24.119,26.396,25.798,10659800
2014-06-10,25.135,26.188,25.725,5617200
2014-06-11,25.498,26.759,26.315,6555600
2014-06-12,23.901,26.859,24.654,9159600
2014-06-13,24.618,25.589,25.217,5161800
2014-06-16,23.937,24.899,24.4,6160000
2014-06-17,24.164,24.908,24.517,3652000
2014-06-18,23.62,25.308,24.064,5278300
2014-06-19,23.411,24.5,23.438,3716900
2014-06-20,22.613,23.565,23.093,7613400
2014-06-23,22.776,24.01,23.928,5590900
2014-06-24,24.055,24.808,24.536,5737700
2014-06-25,24.001,24.818,24.563,1923600
2014-06-26,24.328,25.725,25.68,3622300
2014-06-27,25.144,25.861,25.416,3066300
2014-06-30,25.117,25.888,25.87,3986200
2014-07-01,26.188,28.329,26.941,12626000
2014-07-02,25.861,27.594,26.278,6108200
2014-07-03,24.981,26.632,25.217,4398200
2014-07-07,24.908,26.07,25.072,3826200
2014-07-08,23.42,25.48,24.019,6454700
2014-07-09,23.638,24.636,23.919,4549900
2014-07-10,22.939,25.222,25.135,4717600
2014-07-11,24.364,25.317,24.536,3315400
2014-07-14,24.954,25.616,25.444,2850400
2014-07-15,25.18,25.77,25.598,3427000
2014-07-16,25.68,26.587,26.415,3785400
2014-07-17,24.954,26.669,25.008,3749200
2014-07-18,24.954,25.707,25.244,1993900
2014-07-21,25.108,26.006,25.897,2098800
2014-07-22,25.861,26.66,26.07,2304200
2014-07-23,25.235,26.369,25.298,2476900
2014-07-24,25.317,26.523,26.36,2733300
2014-07-25,25.861,26.75,26.342,3872000
2014-07-28,26.378,27.54,26.759,5040700
2014-07-29,26.768,27.422,26.877,3316500
2014-07-30,26.333,27.313,26.378,3085100
2014-07-31,25.498,26.224,25.934,2979500
2014-08-01,24.772,26.124,25.353,4572400
2014-08-04,25.008,25.68,25.217,5315300
2014-08-05,24.954,25.577,25.162,2893700
2014-08-06,24.772,25.162,24.963,2412100
2014-08-07,24.845,25.471,24.935,3863500
2014-08-08,25.044,25.752,25.734,3737900
2014-08-11,25.489,26.315,25.598,4218700
2014-08-12,25.68,26.297,26.106,2742600
2014-08-13,26.269,27.73,27.649,8378200
2014-08-14,26.959,27.857,27.231,5536900
2014-08-15,25.498,27.857,26.841,10580600
2014-08-18,26.787,27.776,27.258,6617900
2014-08-19,27.122,28.865,27.413,10274700
2014-08-20,27.286,28.266,28.066,4141000
2014-08-21,27.703,28.538,27.966,4314800
2014-08-22,27.957,28.311,28.093,2418200
2014-08-25,27.894,28.538,28.438,3470900
2014-08-26,28.238,29.11,29.046,5343000
2014-08-27,28.883,30.035,29.618,7758900
2014-08-28,28.474,29.318,28.529,6761400
2014-08-29,28.402,29.1,28.964,3442200
2014-09-02,27.513,29.355,28.193,7451100
2014-09-03,27.739,28.629,27.957,2753800
2014-09-04,26.931,28.556,27.458,3774500
2014-09-05,26.224,27.603,26.342,7136500
2014-09-08,26.251,26.859,26.433,3337100
2014-09-09,26.306,26.832,26.369,3332200
2014-09-10,25.425,26.523,25.725,7511800
2014-09-11,25.571,26.469,26.424,5500600
2014-09-12,26.324,27.122,26.542,4192600
2014-09-15,25.734,26.859,26.197,5209900
2014-09-16,24.545,26.097,25.226,7236700
2014-09-17,25.162,25.625,25.498,3438400
2014-09-18,25.289,27.013,26.814,7522900
2014-09-19,25.081,27.404,25.725,12505800
2014-09-22,24.21,25.707,24.473,8150400
2014-09-23,23.447,24.645,24.11,5964700
2014-09-24,24.318,24.892,24.663,2863900
2014-09-25,23.679,25.09,24.11,5455200
2014-09-26,24.073,24.5,24.436,2482700
2014-09-29,23.593,24.228,23.892,3475400
2014-09-30,22.957,23.91,23.429,5396500
2014-10-01,22.667,23.738,22.703,4900200
2014-10-02,22.676,23.756,23.311,4961200
2014-10-03,23.411,23.937,23.574,2125100
2014-10-06,23.456,24.313,23.556,2441900
2014-10-07,22.939,23.629,23.003,4094400
2014-10-08,22.694,23.983,23.955,4149300
2014-10-09,23.193,23.955,23.284,4066600
2014-10-10,21.868,23.057,22.694,5530100
2014-10-13,21.623,22.867,21.832,7505700
2014-10-14,20.507,22.141,21.687,7695200
2014-10-15,20.77,22.077,22.05,4349400
2014-10-16,21.17,22.73,22.703,3851500
2014-10-17,22.123,23.838,22.749,4941400
2014-10-20,22.331,23.384,23.057,3292300
2014-10-21,22.594,23.411,23.048,3216300
2014-10-22,22.758,23.593,23.084,2541400
2014-10-23,22.322,23.574,22.377,3985600
2014-10-24,21.143,22.449,21.796,8052100
2014-10-27,21.505,22.277,21.896,3532900
2014-10-28,21.923,22.504,22.485,2725800
2014-10-29,21.859,22.576,21.868,2875600
2014-10-30,21.333,22.095,21.669,4398500
2014-10-31,21.535,22.231,21.678,5523600
2014-11-03,21.388,23.048,22.476,5740700
2014-11-04,22.05,22.74,22.603,4505100
2014-11-05,21.669,23.012,21.696,4620700
2014-11-06,21.424,22.322,22.259,3420200
2014-11-07,22.141,22.649,22.449,2588600
2014-11-10,22.881,24.563,23.819,7731100
2014-11-11,23.048,24.001,23.42,3538900
2014-11-12,23.459,25.639,25.09,9204700
2014-11-13,24.418,25.77,24.79,5952800
2014-11-14,23.865,24.908,24.509,6201800
2014-11-17,22.504,25.407,22.685,11837600
2014-11-18,22.549,23.103,23.057,4693700
2014-11-19,22.222,23.502,22.231,3676700
2014-11-20,21.397,22.132,21.551,7410700
2014-11-21,21.596,22.921,21.85,4114600
2014-11-24,21.369,22.05,21.814,4637500
2014-11-25,21.306,21.858,21.587,3228300
2014-11-26,21.351,21.868,21.578,2227000
2014-11-28,21.115,21.887,21.342,1939700
2014-12-01,19.763,21.451,19.936,6087800
2014-12-02,20.054,22.449,21.696,14865000
2014-12-03,21.932,22.912,22.322,18634800
2014-12-04,21.959,22.449,22.204,5097600
2014-12-05,21.233,22.231,21.642,8307100
2014-12-08,20.743,21.505,21.088,17062300
2014-12-09,19.963,23.547,23.066,20204100
2014-12-10,21.95,22.83,22.458,11808900
2014-12-11,22.349,23.139,22.495,7112100
2014-12-12,21.732,22.322,21.75,4668800
2014-12-15,20.798,22.123,21.106,7204100
2014-12-16,20.607,21.052,20.988,7588500
2014-12-17,20.888,21.352,21.324,8794600
2014-12-18,21.596,22.349,22.023,7931100
2014-12-19,21.76,22.431,22.295,9375400
2014-12-22,21.728,22.703,22.594,8317100
2014-12-23,22.132,22.64,22.44,4739000
2014-12-24,22.222,22.64,22.331,1217000
2014-12-26,21.941,22.349,22.286,1405600
2014-12-29,21.351,21.941,21.85,4095400
2014-12-30,20.988,21.778,21.097,7023700
2014-12-31,20.734,21.306,20.997,5262600
2015-01-02,21.006,21.878,21.796,3358500
2015-01-05,21.778,22.64,22.304,5029600
2015-01-06,21.914,22.694,22.259,9797800
2015-01-07,22.295,22.767,22.513,9084400
2015-01-08,22.24,22.948,22.758,12821700
2015-01-09,22.458,23.189,22.631,8119800
2015-01-12,21.633,22.576,21.878,4228600
2015-01-13,21.406,22.077,21.633,4772100
2015-01-14,21.324,22.05,21.614,3829500
2015-01-15,20.834,21.805,21.161,5076800
2015-01-16,20.943,21.932,21.841,6879100
2015-01-20,21.605,22.485,22.286,6678800
2015-01-21,21.986,22.576,22.213,7540000
2015-01-22,21.778,22.222,22.086,4051200
2015-01-23,21.678,22.749,22.368,7164200
2015-01-26,22.204,22.721,22.694,7530100
2015-01-27,22.077,23.266,22.994,11316400
2015-01-28,23.03,23.892,23.583,14564800
2015-01-29,22.25,23.574,22.404,12245400
2015-01-30,22.25,22.685,22.54,5581400
2015-02-02,22.095,23.121,23.121,5630800
2015-02-03,23.103,23.992,23.883,10489600
2015-02-04,23.683,24.418,24.237,7972400
2015-02-05,23.983,24.491,24.328,4467900
2015-02-06,23.638,24.427,24.01,4904700
2015-02-09,24.028,24.818,24.146,8417700
2015-02-10,23.772,24.436,23.883,4944500
2015-02-11,23.763,24.328,24.001,6130200
2015-02-12,23.919,24.5,24.046,7894900
2015-02-13,23.71,24.373,23.801,3844400
2015-02-17,23.574,24.781,24.772,5805000
2015-02-18,24.672,25.852,25.407,12621900
2015-02-19,24.889,25.607,25.253,4433700
2015-02-20,24.908,25.652,25.598,4147400
2015-02-23,25.407,25.852,25.507,3698800
2015-02-24,24.935,25.534,24.945,3618600
2015-02-25,24.382,25.099,24.772,6402600
2015-02-26,24.681,25.725,25.407,5438000
2015-02-27,24.808,25.562,25.108,8232400
2015-03-02,25.108,25.607,25.543,10054900
2015-03-03,24.808,27.131,24.981,24166700
2015-03-04,24.772,25.589,25.153,7162000
2015-03-05,24.545,26.351,26.315,10052700
2015-03-06,25.861,26.569,25.97,11476100
2015-03-09,25.879,26.46,26.242,6116500
2015-03-10,25.18,26.097,25.634,8779700
2015-03-11,24.6,25.534,24.963,6990100
2015-03-12,24.981,25.643,25.589,6445100
2015-03-13,25.236,25.68,25.48,8797800
2015-03-16,24.872,25.58,25.153,10363300
2015-03-17,25.126,26.043,25.888,14498600
2015-03-18,25.425,26.369,26.324,9694200
2015-03-19,25.988,26.433,26.26,6348500
2015-03-20,26.17,26.46,26.415,8733200
2015-03-23,26.079,26.496,26.315,8168400
