,Low,High,Close,Volume
2010-12-09,37.977,38.884,38.41,74400
2010-12-10,38.21,39.077,38.764,41700
2010-12-13,37.908,39.116,38.641,39200
2010-12-14,38.463,38.971,38.649,46800
2010-12-15,38.286,39.027,38.842,39600
2010-12-16,38.641,39.518,39.462,37700
2010-12-17,38.826,39.8,39.535,148500
2010-12-20,38.947,39.736,39.212,66100
2010-12-21,39.148,39.639,39.43,27200
2010-12-22,39.229,39.68,39.325,21200
2010-12-23,39.188,39.897,39.543,48100
2010-12-27,39.406,39.792,39.752,10600
2010-12-28,39.704,40.243,40.163,17800
2010-12-29,40.123,40.251,40.203,8700
2010-12-30,39.68,40.469,39.68,28300
2010-12-31,38.85,39.736,38.85,24200
2011-01-03,38.786,40.098,39.816,93300
2011-01-04,38.423,40.042,38.52,31000
2011-01-05,37.682,38.633,38.254,57700
2011-01-06,37.876,38.335,38.085,30400
2011-01-07,37.086,38.286,37.892,48200
2011-01-10,37.553,38.576,38.544,40000
2011-01-11,38.504,39.333,39.245,73200
2011-01-12,39.188,39.688,39.382,49100
2011-01-13,38.995,39.51,39.285,32500
2011-01-14,38.778,39.639,39.317,70600
2011-01-18,38.89,39.382,39.301,45400
2011-01-19,38.407,39.333,38.463,48900
2011-01-20,37.851,38.657,37.956,54500
2011-01-21,35.701,38.117,35.774,93800
2011-01-24,34.67,35.629,35.347,94600
2011-01-25,34.896,35.532,35.298,67800
2011-01-26,34.807,35.532,35.379,48500
2011-01-27,34.864,35.419,35.041,37700
2011-01-28,34.163,35.21,34.324,85700
2011-01-31,33.752,34.686,34.203,118200
2011-02-01,34.243,35.226,34.96,113100
2011-02-02,34.348,35.186,34.783,22000
2011-02-03,34.533,34.992,34.856,33200
2011-02-04,34.372,34.968,34.799,105600
2011-02-07,34.574,35.113,34.944,36300
2011-02-08,34.622,35.194,35.194,31000
2011-02-09,34.558,35.097,34.976,35900
2011-02-10,34.783,35.451,34.936,53900
2011-02-11,34.791,35.468,35.371,17800
2011-02-14,35.371,35.774,35.596,52300
2011-02-15,35.427,35.951,35.5,77400
2011-02-16,35.468,36.039,35.975,108300
2011-02-17,35.87,36.893,36.458,55500
2011-02-18,36.595,36.974,36.877,53200
2011-02-22,36.587,37.006,36.901,50700
2011-02-23,35.854,36.949,35.854,78600
2011-02-24,36.039,36.708,36.402,73500
2011-02-25,36.217,37.521,36.957,102700
2011-02-28,35.017,36.869,35.411,183800
2011-03-01,34.727,35.5,35.033,181300
2011-03-02,34.751,35.258,35.081,50800
2011-03-03,35.218,36.225,35.725,136600
2011-03-04,35.307,35.798,35.798,40800
2011-03-07,35.073,36.072,35.435,38700
2011-03-08,35.0,36.337,36.273,118500
2011-03-09,35.621,36.595,36.345,43300
2011-03-10,35.548,36.096,35.693,44800
2011-03-11,35.134,35.796,35.288,35200
2011-03-14,34.884,35.909,35.603,47800
2011-03-15,34.755,35.643,35.409,31700
2011-03-16,34.868,35.562,35.078,50000
2011-03-17,34.997,35.683,35.102,54000
2011-03-18,35.094,36.119,36.119,70000
2011-03-21,36.337,36.887,36.887,25600
2011-03-22,36.741,37.298,37.137,25600
2011-03-23,36.895,37.993,37.387,84100
2011-03-24,37.589,38.001,37.839,47200
2011-03-25,37.0,38.033,37.072,52000
2011-03-28,36.782,37.605,36.927,65200
2011-03-29,36.983,37.678,37.411,24700
2011-03-30,37.169,37.936,37.702,32300
2011-03-31,37.516,38.114,38.009,33400
2011-04-01,37.823,38.905,38.485,27800
2011-04-04,38.639,39.091,38.954,23500
2011-04-05,38.744,39.374,39.083,34700
2011-04-06,38.695,39.374,39.067,17200
2011-04-07,38.477,39.164,38.776,30100
2011-04-08,38.235,39.196,38.235,42800
2011-04-11,37.856,38.332,37.928,37200
2011-04-12,37.242,38.009,37.452,29400
2011-04-13,37.137,37.767,37.573,60200
2011-04-14,37.177,37.993,37.888,51900
2011-04-15,37.759,38.566,38.437,70500
2011-04-18,37.629,38.138,38.074,37500
2011-04-19,37.936,38.179,38.074,34200
2011-04-20,38.033,38.744,38.695,54300
2011-04-21,38.292,39.131,39.026,39000
2011-04-25,38.025,38.833,38.784,27400
2011-04-26,37.032,38.728,38.615,59000
2011-04-27,38.55,39.681,39.64,40000
2011-04-28,39.632,40.375,40.375,46000
2011-04-29,40.294,41.166,41.037,50000
2011-05-02,40.343,41.772,40.771,32000
2011-05-03,39.955,40.851,40.722,48000
2011-05-04,40.31,41.061,40.722,40400
2011-05-05,40.294,41.029,40.504,27300
2011-05-06,39.987,41.021,39.995,51000
2011-05-09,39.656,40.65,40.569,67000
2011-05-10,40.633,41.861,41.74,37300
2011-05-11,41.247,41.732,41.586,33600
2011-05-12,41.086,43.153,42.604,35300
2011-05-13,41.514,42.822,41.95,20000
2011-05-16,41.417,42.184,41.651,83600
2011-05-17,41.142,42.216,41.828,22400
2011-05-18,41.061,41.845,41.304,39300
2011-05-19,40.981,41.901,41.586,50400
2011-05-20,40.617,41.627,41.053,54400
2011-05-23,40.351,40.892,40.383,40100
2011-05-24,39.697,40.536,40.076,47800
2011-05-25,39.454,40.149,39.971,42500
2011-05-26,39.608,40.536,40.512,32700
2011-05-27,40.335,40.997,40.755,12300
2011-05-31,40.593,41.748,41.602,66300
2011-06-01,39.955,41.562,40.222,35000
2011-06-02,39.366,40.997,39.963,32700
2011-06-03,39.01,39.761,39.018,51000
2011-06-06,38.816,39.842,38.841,41600
2011-06-07,38.639,39.406,39.002,21100
2011-06-08,38.631,39.446,39.244,28100
2011-06-09,38.074,39.462,38.542,49700
2011-06-10,37.71,38.534,37.912,24500
2011-06-13,37.611,38.315,37.87,37000
2011-06-14,37.53,38.582,38.51,32700
2011-06-15,37.781,38.429,38.064,24200
2011-06-16,37.805,38.898,38.817,24100
2011-06-17,38.518,39.319,38.841,49500
2011-06-20,38.429,39.06,39.052,34500
2011-06-21,39.084,39.999,39.78,40200
2011-06-22,39.376,39.975,39.376,18000
2011-06-23,38.898,39.635,39.57,25200
2011-06-24,39.125,39.748,39.279,71100
2011-06-27,39.319,39.87,39.57,30600
2011-06-28,39.327,39.894,39.853,28100
2011-06-29,39.036,40.12,39.959,21300
2011-06-30,39.813,40.461,40.355,25000
2011-07-01,40.258,41.302,41.1,52000
2011-07-05,40.817,41.302,41.149,31900
2011-07-06,40.89,41.634,41.553,29300
2011-07-07,41.529,42.42,41.966,25700
2011-07-08,41.165,41.91,41.804,20400
2011-07-11,40.614,41.489,41.23,22200
2011-07-12,40.914,41.748,41.391,30800
2011-07-13,40.477,41.651,41.513,52400
2011-07-14,40.784,41.529,41.027,29500
2011-07-15,40.703,41.4,41.246,25600
2011-07-18,40.477,41.181,40.574,16000
2011-07-19,40.477,41.23,41.084,40800
2011-07-20,40.169,41.06,40.962,33700
2011-07-21,40.979,42.007,41.95,39800
2011-07-22,40.962,42.031,41.4,26000
2011-07-25,40.598,41.529,41.076,23200
2011-07-26,40.582,44.994,42.986,91900
2011-07-27,42.104,43.731,42.322,71700
