,Low,High,Close,Volume
2010-12-09,6.581,6.782,6.73,1726200
2010-12-10,6.668,6.852,6.791,1168100
2010-12-13,6.581,6.852,6.581,1149400
2010-12-14,6.511,6.695,6.537,1534300
2010-12-15,6.292,6.502,6.292,1448500
2010-12-16,6.256,6.44,6.344,1468800
2010-12-17,6.283,6.537,6.537,2751100
2010-12-20,6.467,6.651,6.546,1232500
2010-12-21,6.528,6.66,6.589,633300
2010-12-22,6.511,6.624,6.546,751900
2010-12-23,6.493,6.572,6.519,324800
2010-12-27,6.458,6.703,6.677,635700
2010-12-28,6.554,6.73,6.563,1128500
2010-12-29,6.405,6.581,6.432,769300
2010-12-30,6.327,6.467,6.327,849000
2010-12-31,6.292,6.44,6.309,1172600
2011-01-03,6.292,6.607,6.309,2081800
2011-01-04,6.274,6.476,6.405,1663600
2011-01-05,6.309,6.414,6.379,1598900
2011-01-06,6.353,6.695,6.695,2019100
2011-01-07,7.001,7.667,7.588,7440900
2011-01-10,7.536,8.097,8.044,5443500
2011-01-11,7.886,8.193,7.913,3730700
2011-01-12,7.965,8.351,8.281,2805600
2011-01-13,8.158,8.324,8.246,1569600
2011-01-14,8.219,8.684,8.579,2816000
2011-01-18,8.333,8.614,8.43,1945000
2011-01-19,7.983,8.465,8.044,2509000
2011-01-20,7.685,8.035,7.991,2175900
2011-01-21,7.834,8.149,7.842,1432200
2011-01-24,7.851,8.184,8.105,1403000
2011-01-25,7.72,8.088,7.79,1372700
2011-01-26,7.913,8.351,8.298,2046600
2011-01-27,8.307,8.763,8.745,2533300
2011-01-28,8.237,8.763,8.246,2652100
2011-01-31,8.281,8.631,8.543,2535700
2011-02-01,8.631,9.271,9.017,5866700
2011-02-02,8.833,9.139,9.008,2394000
2011-02-03,8.754,9.034,8.815,1970200
2011-02-04,8.43,8.885,8.465,3462100
2011-02-07,8.482,8.938,8.736,1753600
2011-02-08,8.57,8.824,8.763,974000
2011-02-09,8.482,8.763,8.543,1114000
2011-02-10,8.377,8.684,8.64,1097100
2011-02-11,8.579,8.736,8.631,726100
2011-02-14,8.421,8.736,8.701,851800
2011-02-15,8.491,8.666,8.57,1219900
2011-02-16,8.587,8.763,8.649,833600
2011-02-17,8.649,9.069,8.973,1598300
2011-02-18,8.78,9.069,8.798,1294500
2011-02-22,8.351,8.929,8.351,2160700
2011-02-23,7.895,8.395,8.044,2155100
2011-02-24,7.939,8.237,8.158,1236200
2011-02-25,8.193,8.526,8.526,995500
2011-02-28,8.263,8.622,8.403,877700
2011-03-01,8.035,8.57,8.053,1158400
2011-03-02,8.035,8.473,8.359,979700
2011-03-03,8.465,8.736,8.622,984000
2011-03-04,8.386,8.692,8.508,978400
2011-03-07,7.991,8.543,8.105,1084700
2011-03-08,7.965,8.368,8.228,771900
2011-03-09,7.939,8.211,7.948,947500
2011-03-10,7.501,7.825,7.597,1374500
2011-03-11,7.448,7.729,7.632,835700
2011-03-14,7.431,7.658,7.527,922300
2011-03-15,7.054,7.483,7.413,1125800
2011-03-16,7.185,7.615,7.247,1120900
2011-03-17,7.343,7.545,7.352,779200
2011-03-18,7.369,7.562,7.536,1032500
2011-03-21,7.615,7.781,7.746,584500
2011-03-22,7.615,7.781,7.729,940400
2011-03-23,7.58,7.86,7.799,954300
2011-03-24,7.851,8.193,8.035,1174700
2011-03-25,8.07,8.5,8.359,1511800
2011-03-28,8.158,8.412,8.246,985800
2011-03-29,8.123,8.351,8.202,1113300
2011-03-30,8.079,8.307,8.149,1463900
2011-03-31,8.079,8.237,8.193,1196300
2011-04-01,7.956,8.307,8.035,900200
2011-04-04,7.772,8.149,7.842,806000
2011-04-05,7.807,8.088,7.974,1291800
2011-04-06,7.956,8.105,8.044,717800
2011-04-07,7.842,8.018,7.878,695300
2011-04-08,7.685,7.939,7.729,625700
2011-04-11,7.536,9.131,7.571,1069000
2011-04-12,7.168,7.518,7.229,1976400
2011-04-13,7.115,7.317,7.238,1007800
2011-04-14,7.054,7.369,7.369,944300
2011-04-15,7.203,7.361,7.343,670600
2011-04-18,6.949,7.194,7.063,1339600
2011-04-19,6.94,7.124,7.115,730700
2011-04-20,7.325,7.553,7.527,765800
2011-04-21,7.457,7.685,7.676,850100
2011-04-25,7.457,7.676,7.545,678500
2011-04-26,7.571,7.939,7.886,1393900
2011-04-27,7.807,7.991,7.965,639300
2011-04-28,7.571,7.948,7.676,1300000
2011-04-29,7.632,7.948,7.939,1354400
2011-05-02,7.878,8.044,7.913,1712600
2011-05-03,8.719,9.227,8.938,9900000
2011-05-04,8.938,9.446,9.332,5697900
2011-05-05,9.113,10.182,10.033,5200000
2011-05-06,9.858,10.55,10.498,4315000
2011-05-09,10.375,10.979,10.918,4234100
2011-05-10,10.769,11.128,10.927,2356500
2011-05-11,10.427,10.848,10.515,3100000
2011-05-12,10.41,11.146,10.839,2800000
2011-05-13,10.594,11.006,10.673,1769900
2011-05-16,10.48,10.936,10.498,1803200
2011-05-17,10.173,10.498,10.27,1729900
2011-05-18,10.27,10.734,10.655,1775000
2011-05-19,10.392,10.673,10.401,2324300
2011-05-20,10.296,10.603,10.401,1601900
2011-05-23,10.042,10.34,10.086,1900000
2011-05-24,10.051,10.322,10.059,1512500
2011-05-25,10.007,10.322,10.156,1657200
2011-05-26,9.893,10.261,10.173,1267400
2011-05-27,10.103,10.419,10.156,955200
2011-05-31,10.217,10.673,10.647,2100200
2011-06-01,10.165,10.603,10.217,3113600
2011-06-02,10.13,10.375,10.147,1150700
2011-06-03,9.691,10.103,9.805,1742000
2011-06-06,9.718,10.208,9.735,1395500
2011-06-07,9.761,9.963,9.77,918200
2011-06-08,9.35,9.761,9.385,1334000
2011-06-09,9.376,9.744,9.42,1162500
2011-06-10,8.824,9.35,9.183,2761700
2011-06-13,8.999,9.385,9.034,1315500
2011-06-14,9.157,9.761,9.648,1778300
2011-06-15,9.157,9.7,9.227,2077400
2011-06-16,8.841,9.332,8.99,1304100
2011-06-17,8.824,9.244,8.938,1322900
2011-06-20,8.833,9.104,9.025,1390000
2011-06-21,9.034,9.613,9.56,1625300
2011-06-22,9.393,9.613,9.437,1421900
2011-06-23,9.052,9.551,9.516,1437000
2011-06-24,9.464,9.849,9.648,4335800
2011-06-27,9.393,9.639,9.472,1365300
2011-06-28,9.253,9.577,9.323,1459500
2011-06-29,9.306,9.534,9.385,1500800
2011-06-30,9.464,9.832,9.761,1385200
2011-07-01,9.639,10.103,9.998,1274900
2011-07-05,9.858,10.226,9.972,1511100
2011-07-06,9.709,10.059,9.902,1229300
2011-07-07,10.007,10.427,10.296,1578500
2011-07-08,9.84,10.2,9.937,1564400
2011-07-11,9.332,9.832,9.367,1882000
2011-07-12,8.421,9.28,8.5,3412200
2011-07-13,8.517,8.763,8.64,2196800
2011-07-14,8.377,8.789,8.447,1830600
2011-07-15,8.324,8.543,8.412,1402100
2011-07-18,8.088,8.333,8.149,1968100
2011-07-19,8.237,8.859,8.78,1882200
2011-07-20,8.237,8.85,8.316,2029800
2011-07-21,8.316,8.675,8.5,1676600
2011-07-22,8.833,9.148,9.025,2639200
2011-07-25,8.657,8.912,8.675,1392800
2011-07-26,8.5,8.771,8.631,1418400
2011-07-27,8.211,8.535,8.272,2386100
2011-07-28,8.193,8.614,8.368,1536600
2011-07-29,7.983,8.246,8.062,3400300
2011-08-01,7.974,8.535,8.123,3282200
2011-08-02,7.29,8.035,7.562,5289700
2011-08-03,7.474,7.939,7.895,2949100
2011-08-04,7.615,8.035,7.702,4024100
2011-08-05,7.22,7.983,7.536,3523900
2011-08-08,6.896,7.518,6.914,3789000
2011-08-09,6.607,7.343,7.343,3186800
2011-08-10,6.922,7.492,6.966,2495000
2011-08-11,6.966,7.825,7.685,3161300
2011-08-12,7.51,7.869,7.571,1350400
2011-08-15,7.492,7.86,7.807,886000
2011-08-16,7.483,7.79,7.58,979200
2011-08-17,7.396,7.764,7.474,1176900
2011-08-18,6.984,7.255,7.08,1743300
2011-08-19,6.817,7.317,6.887,1469500
2011-08-22,6.896,7.194,7.106,1443100
2011-08-23,7.15,7.65,7.615,1311100
2011-08-24,7.334,7.711,7.527,1049600
2011-08-25,7.255,7.632,7.255,1109200
2011-08-26,7.124,7.623,7.58,1012700
2011-08-29,7.667,8.053,8.027,1005900
2011-08-30,7.772,8.079,7.895,1335700
2011-08-31,7.545,8.027,7.623,1706600
2011-09-01,7.282,7.702,7.299,1138000
2011-09-02,6.949,7.282,6.993,1416100
2011-09-06,6.686,7.019,6.957,1531900
2011-09-07,7.089,7.632,7.615,1868600
2011-09-08,7.325,7.711,7.396,1074200
2011-09-09,7.089,7.501,7.185,1215300
2011-09-12,7.071,7.527,7.518,1133600
2011-09-13,7.413,7.764,7.72,1476700
2011-09-14,7.746,8.14,8.0,1662100
2011-09-15,7.755,8.14,8.009,1004400
2011-09-16,7.799,8.114,7.86,954100
2011-09-19,7.404,7.825,7.72,824500
2011-09-20,7.413,7.816,7.466,801800
2011-09-21,7.247,7.658,7.255,995700
2011-09-22,6.887,7.247,7.045,1510800
2011-09-23,6.905,7.299,7.185,1149400
2011-09-26,6.922,7.264,7.22,910900
2011-09-27,7.282,7.641,7.369,924700
2011-09-28,6.809,7.501,6.817,1663500
2011-09-29,6.502,7.028,6.914,2204100
2011-09-30,6.528,6.922,6.537,1119700
2011-10-03,6.002,6.624,6.02,1762800
2011-10-04,5.88,6.773,6.721,1938200
2011-10-05,6.572,7.098,6.949,2156600
2011-10-06,6.844,7.299,7.29,1380600
2011-10-07,7.098,7.545,7.159,1638700
2011-10-10,7.343,7.65,7.632,1029300
2011-10-11,7.334,7.597,7.501,1099000
2011-10-12,7.606,8.0,7.878,1390700
2011-10-13,7.597,7.86,7.842,981600
2011-10-14,7.729,8.026,7.965,777300
2011-10-17,7.501,7.86,7.597,1015500
2011-10-18,7.431,7.921,7.904,1024500
2011-10-19,7.65,8.035,7.781,1051200
2011-10-20,7.536,7.921,7.886,971300
2011-10-21,7.816,8.149,7.948,713600
2011-10-24,7.974,8.587,8.552,1428300
2011-10-25,8.517,8.947,8.57,2221200
2011-10-26,8.342,8.859,8.57,1073000
2011-10-27,8.771,9.288,9.236,1860900
2011-10-28,8.666,9.236,8.798,1587100
2011-10-31,8.447,8.719,8.456,1169300
2011-11-01,7.904,8.368,8.14,1430500
2011-11-02,8.123,8.473,8.377,1032100
2011-11-03,8.149,8.657,8.587,1128200
2011-11-04,8.237,8.692,8.587,602300
2011-11-07,8.263,8.587,8.447,882800
2011-11-08,8.263,8.666,8.508,1136200
2011-11-09,7.974,8.386,8.009,1672900
2011-11-10,7.58,8.666,8.403,3062700
2011-11-11,8.5,9.376,9.218,2867500
2011-11-14,9.034,9.726,9.42,3089800
2011-11-15,9.157,9.595,9.358,2339100
2011-11-16,9.043,9.367,9.078,1782400
2011-11-17,8.5,9.034,8.692,1815100
2011-11-18,8.491,8.78,8.587,1316300
2011-11-21,8.088,8.579,8.324,1499100
2011-11-22,7.965,8.395,7.983,1093900
2011-11-23,7.606,8.009,7.606,1028000
2011-11-25,7.247,7.658,7.264,902300
2011-11-28,7.089,7.737,7.325,3278300
2011-11-29,7.22,7.545,7.466,2526900
2011-11-30,7.694,8.009,7.974,1573000
2011-12-01,7.685,8.035,7.939,977400
2011-12-02,7.991,8.316,8.114,864800
2011-12-05,8.114,8.526,8.342,1594300
2011-12-06,8.167,8.412,8.254,1057600
2011-12-07,7.991,8.316,8.263,986900
2011-12-08,7.886,8.316,7.913,934500
2011-12-09,7.799,8.342,8.263,819700
2011-12-12,7.834,8.114,7.965,815400
2011-12-13,7.518,8.149,7.658,1511800
2011-12-14,7.466,7.658,7.501,863800
2011-12-15,7.597,7.886,7.676,1190600
2011-12-16,7.51,7.956,7.545,1658400
2011-12-19,7.545,7.869,7.553,907900
2011-12-20,7.72,8.123,8.105,1905800
2011-12-21,7.799,8.105,8.062,1850600
2011-12-22,8.07,8.281,8.114,617300
2011-12-23,7.983,8.272,8.219,528900
2011-12-27,8.149,8.395,8.307,447200
2011-12-28,8.053,8.517,8.07,557300
2011-12-29,8.053,8.254,8.184,399200
2011-12-30,8.105,8.254,8.105,450800
