,Low,High,Close,Volume
2017-02-01,5.639,6.197,6.164,10697800
2017-02-02,5.932,6.137,6.048,1666500
2017-02-03,6.002,6.188,6.174,1202100
2017-02-06,6.076,6.239,6.225,724200
2017-02-07,6.146,6.304,6.239,459800
2017-02-08,6.016,6.202,6.109,809000
2017-02-09,6.046,6.262,6.109,379800
2017-02-10,6.109,6.211,6.169,998700
2017-02-13,6.141,6.258,6.192,478500
2017-02-14,6.118,6.244,6.146,182600
2017-02-15,6.023,6.244,6.095,319400
2017-02-16,6.048,6.109,6.09,530200
2017-02-17,6.048,6.127,6.099,177700
2017-02-21,6.048,6.234,6.23,715900
2017-02-22,5.839,6.258,6.104,1166000
2017-02-23,6.048,6.183,6.132,595100
2017-02-24,6.004,6.174,6.16,855700
2017-02-27,6.062,6.239,6.123,1240400
2017-02-28,6.016,6.164,6.057,839600
2017-03-01,5.983,6.132,6.039,665300
2017-03-02,5.788,6.16,5.848,656400
2017-03-03,5.671,5.904,5.816,517900
2017-03-06,5.681,6.153,5.988,1084700
2017-03-07,5.857,6.095,5.955,527300
2017-03-08,5.867,6.109,5.974,692100
2017-03-09,5.729,6.025,5.829,1282600
2017-03-10,5.797,5.978,5.936,671700
2017-03-13,5.913,6.057,6.034,682400
2017-03-14,5.862,6.039,5.955,321600
2017-03-15,5.909,6.085,6.076,625200
2017-03-16,5.918,6.113,6.02,641300
2017-03-17,6.02,6.374,6.248,3525700
2017-03-20,6.174,6.49,6.402,643000
2017-03-21,6.369,6.509,6.453,631900
2017-03-22,6.281,6.453,6.388,479800
2017-03-23,6.225,6.425,6.351,810900
2017-03-24,6.155,6.462,6.206,472500
2017-03-27,6.109,6.462,6.309,1012500
2017-03-28,6.304,6.492,6.467,1005100
2017-03-29,5.885,6.723,6.579,2600800
2017-03-30,6.504,6.741,6.532,1050000
2017-03-31,6.453,6.672,6.639,3901400
2017-04-03,6.434,6.693,6.597,986200
2017-04-04,6.504,6.732,6.713,1448300
2017-04-05,6.532,6.769,6.579,931200
2017-04-06,6.537,6.662,6.639,915600
2017-04-07,6.551,6.774,6.727,735900
2017-04-10,6.709,6.974,6.918,983000
2017-04-11,6.788,6.979,6.858,274000
2017-04-12,6.793,6.881,6.853,212400
2017-04-13,6.746,6.895,6.793,445900
2017-04-17,6.788,6.974,6.9,253300
2017-04-18,6.816,6.918,6.853,216600
2017-04-19,6.676,6.895,6.751,430900
2017-04-20,6.686,6.858,6.732,392500
2017-04-21,6.583,6.772,6.634,505200
2017-04-24,6.579,6.702,6.634,412700
2017-04-25,6.569,6.723,6.579,469700
2017-04-26,6.565,6.69,6.569,374700
2017-04-27,6.485,6.639,6.527,212600
2017-04-28,6.397,6.565,6.425,444100
2017-05-01,6.318,6.448,6.327,931000
2017-05-02,6.092,6.304,6.113,1006300
2017-05-03,6.09,6.211,6.178,199300
2017-05-04,5.96,6.211,6.188,572900
2017-05-05,6.104,6.313,6.309,303600
2017-05-08,6.271,6.337,6.313,267800
2017-05-09,6.29,6.388,6.299,499100
2017-05-10,6.285,6.43,6.383,184200
2017-05-11,6.188,7.114,7.044,1026600
2017-05-12,6.844,7.379,7.155,1267100
2017-05-15,6.927,7.221,7.062,599200
2017-05-16,6.89,7.221,7.039,277900
2017-05-17,6.811,7.388,7.29,1846300
2017-05-18,6.927,7.295,7.058,732400
2017-05-19,7.03,7.276,7.248,418800
2017-05-22,7.114,7.407,7.393,174300
2017-05-23,7.351,7.63,7.625,245300
2017-05-24,7.523,7.677,7.602,229100
2017-05-25,7.546,7.723,7.625,236500
2017-05-26,7.565,7.788,7.644,184000
2017-05-30,7.467,7.742,7.695,405100
2017-05-31,7.523,7.956,7.779,730500
2017-06-01,7.723,8.142,8.114,620600
2017-06-02,8.156,8.43,8.277,880800
2017-06-05,8.188,8.36,8.212,144600
2017-06-06,8.109,8.379,8.174,562200
2017-06-07,7.816,8.174,7.904,192500
2017-06-08,7.825,8.002,7.965,170400
2017-06-09,7.914,8.346,8.193,318000
2017-06-12,8.077,8.365,8.156,293100
2017-06-13,8.105,8.319,8.249,246500
2017-06-14,8.1,8.328,8.323,376500
2017-06-15,8.109,8.305,8.253,162700
2017-06-16,7.986,8.681,8.453,928700
2017-06-19,8.472,8.705,8.621,583200
2017-06-20,8.421,8.626,8.491,199300
2017-06-21,8.053,8.686,8.607,270400
2017-06-22,8.405,8.654,8.449,323300
2017-06-23,8.426,8.607,8.57,1122900
2017-06-26,8.467,8.686,8.556,447300
2017-06-27,8.523,8.663,8.598,268500
2017-06-28,8.514,8.821,8.598,1480100
2017-06-29,8.235,8.579,8.365,403100
2017-06-30,8.151,8.446,8.156,514100
2017-07-03,8.151,8.314,8.188,68200
2017-07-05,7.914,8.165,8.044,406600
2017-07-06,7.695,8.165,8.007,285200
2017-07-07,7.932,8.105,8.063,341300
2017-07-10,7.956,8.212,8.002,233200
2017-07-11,7.932,8.105,8.021,273100
2017-07-12,8.1,8.225,8.156,204200
2017-07-13,8.114,8.486,8.295,551500
2017-07-14,8.063,8.314,8.179,397100
2017-07-17,8.049,8.23,8.174,272700
2017-07-18,8.053,8.267,8.151,220300
2017-07-19,8.025,8.179,8.039,142700
2017-07-20,7.946,8.105,8.049,108900
2017-07-21,7.993,8.184,8.067,171100
2017-07-24,7.96,8.184,7.998,530100
2017-07-25,7.956,8.114,8.067,155900
2017-07-26,7.974,8.16,8.021,140300
2017-07-27,7.621,8.053,7.732,494500
2017-07-28,7.653,7.891,7.788,304900
2017-07-31,7.732,8.011,7.918,419600
2017-08-01,7.932,8.174,8.091,503800
2017-08-02,7.835,8.13,7.914,241200
2017-08-03,7.909,8.063,7.937,254500
2017-08-04,7.935,8.105,8.025,487600
2017-08-07,7.835,8.095,7.904,474800
2017-08-08,7.704,8.002,7.839,567500
2017-08-09,7.13,7.877,7.262,1075400
2017-08-10,7.16,7.481,7.216,518500
2017-08-11,7.053,7.221,7.095,718900
2017-08-14,7.002,7.188,7.025,802000
2017-08-15,6.9,7.058,6.923,590700
2017-08-16,6.751,6.946,6.788,707800
2017-08-17,6.537,6.815,6.574,516800
2017-08-18,6.467,6.634,6.588,1162300
2017-08-21,6.411,6.655,6.616,976300
2017-08-22,6.532,6.751,6.672,1044900
2017-08-23,6.448,6.662,6.546,930700
2017-08-24,6.541,6.672,6.606,457400
2017-08-25,6.495,6.611,6.565,480000
2017-08-28,6.492,6.639,6.606,327800
2017-08-29,6.472,6.644,6.565,534300
2017-08-30,6.551,6.718,6.686,451200
2017-08-31,6.583,6.867,6.811,565800
2017-09-01,6.751,6.965,6.937,722400
2017-09-05,6.69,6.872,6.765,702900
2017-09-06,6.727,6.904,6.825,1623600
2017-09-07,6.672,6.844,6.783,488300
2017-09-08,6.727,6.923,6.844,926800
2017-09-11,6.816,6.918,6.839,504400
2017-09-12,6.83,7.025,6.993,562700
2017-09-13,6.872,7.072,6.895,805900
2017-09-14,6.683,6.951,6.82,1302200
2017-09-15,6.63,6.802,6.686,1820300
2017-09-18,6.69,6.951,6.862,1489300
2017-09-19,6.513,6.853,6.699,1072200
2017-09-20,6.686,6.862,6.816,447200
2017-09-21,6.537,6.839,6.695,580500
2017-09-22,6.541,6.793,6.704,572100
2017-09-25,6.434,6.741,6.56,755600
2017-09-26,6.555,6.672,6.574,539700
2017-09-27,6.569,6.82,6.765,583600
2017-09-28,6.686,6.797,6.769,306700
2017-09-29,6.644,6.818,6.769,375300
2017-10-02,6.695,6.853,6.825,377500
2017-10-03,6.732,6.881,6.746,261100
2017-10-04,6.62,6.765,6.653,175600
2017-10-05,6.62,6.718,6.686,251000
2017-10-06,6.611,6.73,6.704,145200
2017-10-09,6.551,6.704,6.606,227000
2017-10-10,6.481,6.625,6.518,205400
2017-10-11,6.402,6.513,6.453,206900
2017-10-12,6.337,6.453,6.402,477600
2017-10-13,6.388,6.523,6.49,270400
2017-10-16,6.485,6.658,6.62,390500
2017-10-17,6.495,6.672,6.513,285800
2017-10-18,6.485,6.574,6.537,168500
2017-10-19,6.374,6.625,6.504,227900
2017-10-20,6.444,6.592,6.467,300400
2017-10-23,6.304,6.485,6.365,852600
2017-10-24,6.23,6.416,6.234,168300
2017-10-25,6.151,6.281,6.234,424400
2017-10-26,6.192,6.295,6.211,291300
2017-10-27,6.202,6.337,6.248,151600
2017-10-30,6.071,6.313,6.216,318300
2017-10-31,6.09,6.323,6.22,488300
2017-11-01,6.076,6.271,6.174,259900
2017-11-02,6.053,6.29,6.216,412800
2017-11-03,6.113,6.23,6.164,217700
