,Low,High,Close,Volume
2020-12-22,20.038,20.389,20.038,3200
2020-12-23,20.164,20.248,20.164,600
2020-12-24,20.241,20.248,20.248,1800
2020-12-28,19.904,20.248,20.042,5600
2020-12-29,20.122,20.248,20.154,1300
2020-12-30,20.313,20.563,20.313,2900
2020-12-31,20.277,20.42,20.327,2000
2021-01-04,20.284,20.434,20.348,3800
2021-01-05,20.084,20.22,20.206,1100
2021-01-06,20.206,20.206,20.206,0
2021-01-07,20.313,20.456,20.456,2600
2021-01-08,20.498,20.541,20.541,300
2021-01-11,20.277,20.413,20.277,3700
2021-01-12,20.206,20.291,20.291,3800
2021-01-13,20.384,20.491,20.491,2300
2021-01-14,19.87,20.498,19.991,24100
2021-01-15,20.206,20.281,20.281,1500
2021-01-19,20.134,20.563,20.358,5200
2021-01-20,20.066,20.363,20.227,6400
2021-01-21,20.341,20.341,20.341,600
2021-01-22,19.999,20.341,20.206,2800
2021-01-25,20.277,20.277,20.277,1700
2021-01-26,20.206,20.341,20.206,2600
2021-01-27,19.999,20.113,20.049,1500
2021-01-28,19.999,20.213,20.213,1700
2021-01-29,20.106,20.249,20.249,6800
2021-02-01,19.991,20.213,20.127,2300
2021-02-02,20.027,20.265,20.027,5500
2021-02-03,20.063,20.077,20.07,4400
2021-02-04,19.927,20.348,20.348,7700
2021-02-05,20.284,20.42,20.284,3500
2021-02-08,20.277,20.348,20.32,3800
2021-02-09,20.298,20.563,20.563,1200
2021-02-10,20.266,20.541,20.427,3100
2021-02-11,20.291,20.398,20.291,7500
2021-02-12,20.063,20.348,20.341,2600
2021-02-16,20.077,20.32,20.099,8500
2021-02-17,20.063,20.084,20.063,3800
2021-02-18,20.041,20.206,20.206,1300
2021-02-19,19.634,20.034,19.949,5900
2021-02-22,19.813,19.913,19.813,900
2021-02-23,19.749,19.963,19.963,1000
2021-02-24,19.537,19.834,19.813,9600
2021-02-25,19.502,19.834,19.535,10800
2021-02-26,19.606,19.656,19.656,1300
2021-03-01,19.57,20.169,19.881,6900
2021-03-02,19.916,19.916,19.916,700
2021-03-03,19.807,20.044,19.807,1600
2021-03-04,19.634,19.799,19.656,27900
2021-03-05,19.542,19.827,19.563,29900
2021-03-08,19.375,19.634,19.456,38300
2021-03-09,19.349,19.613,19.382,54800
2021-03-10,19.163,19.42,19.17,89200
2021-03-11,18.853,19.235,19.099,28100
2021-03-12,19.049,19.399,19.099,44300
2021-03-15,18.849,19.192,18.992,28100
2021-03-16,18.992,19.456,19.456,15600
2021-03-17,19.392,19.456,19.424,5100
2021-03-18,19.235,19.418,19.242,7600
2021-03-19,18.835,19.217,19.106,35400
2021-03-22,19.306,19.449,19.394,5300
2021-03-23,19.099,19.356,19.099,14300
2021-03-24,19.352,19.449,19.449,6400
