,Low,High,Close,Volume
2010-12-09,24.389,24.593,24.493,403000
2010-12-10,24.509,25.002,24.979,311800
2010-12-13,24.936,25.295,25.144,257800
2010-12-14,25.083,25.522,25.433,317600
2010-12-15,25.187,25.549,25.372,528800
2010-12-16,25.283,25.484,25.468,257800
2010-12-17,25.341,25.564,25.41,543400
2010-12-20,25.329,25.568,25.345,230400
2010-12-21,25.387,25.638,25.541,244200
2010-12-22,25.618,25.888,25.776,191200
2010-12-23,25.669,25.873,25.684,158400
2010-12-27,25.437,25.8,25.68,79000
2010-12-28,25.376,25.792,25.634,148200
2010-12-29,25.626,25.897,25.645,125200
2010-12-30,25.417,25.735,25.421,179000
2010-12-31,25.258,25.634,25.27,184200
2011-01-03,25.309,25.959,25.835,252400
2011-01-04,25.324,25.893,25.626,282000
2011-01-05,25.367,25.959,25.793,134200
2011-01-06,25.494,25.905,25.603,280200
2011-01-07,25.487,25.816,25.611,259200
2011-01-10,25.405,26.013,25.893,276800
2011-01-11,25.951,26.733,26.532,415000
2011-01-12,26.35,26.819,26.586,327600
2011-01-13,26.393,26.718,26.594,225200
2011-01-14,26.493,26.687,26.644,171800
2011-01-18,26.548,27.159,27.105,562400
2011-01-19,26.257,27.144,26.389,352600
2011-01-20,26.013,26.559,26.122,226200
2011-01-21,25.847,26.323,25.913,153800
2011-01-24,25.653,26.23,26.141,270800
2011-01-25,25.363,26.044,25.951,231600
2011-01-26,26.067,26.617,26.428,300200
2011-01-27,26.118,26.443,26.358,187400
2011-01-28,25.607,26.412,25.661,198000
2011-01-31,25.669,26.385,26.218,324400
2011-02-01,26.137,26.71,26.679,189000
2011-02-02,26.559,27.051,26.749,336600
2011-02-03,26.385,26.807,26.753,230400
2011-02-04,26.625,26.908,26.869,116200
2011-02-07,26.842,27.062,27.043,306800
2011-02-08,26.946,27.272,27.237,172200
2011-02-09,26.822,27.252,27.186,362000
2011-02-10,26.942,27.287,27.202,207600
2011-02-11,27.074,27.566,27.5,172800
2011-02-14,27.469,27.701,27.539,115000
2011-02-15,27.318,27.647,27.349,135400
2011-02-16,27.461,27.821,27.771,329800
2011-02-17,27.779,28.166,28.03,240000
2011-02-18,28.096,29.811,28.449,498000
2011-02-22,27.755,28.65,27.875,364600
2011-02-23,26.451,27.972,26.815,754600
2011-02-24,26.617,27.264,26.973,450000
2011-02-25,26.95,27.411,27.287,238000
2011-02-28,27.322,27.786,27.635,260600
2011-03-01,26.946,27.775,27.186,327400
2011-03-02,27.039,27.601,27.395,231200
2011-03-03,27.585,28.801,28.716,304400
2011-03-04,27.922,28.789,28.181,199200
2011-03-07,27.701,28.371,28.011,254400
2011-03-08,27.821,28.677,28.441,275600
2011-03-09,28.236,28.638,28.561,206600
2011-03-10,27.663,28.247,27.752,308600
2011-03-11,27.411,27.829,27.767,377400
2011-03-14,27.291,27.891,27.628,334800
2011-03-15,26.327,27.423,27.272,400400
2011-03-16,26.923,27.519,27.213,383200
2011-03-17,27.303,27.864,27.45,340200
2011-03-18,27.604,27.852,27.748,415800
2011-03-21,27.647,28.65,28.437,298200
2011-03-22,28.131,28.65,28.298,248800
2011-03-23,27.829,28.421,28.177,154200
2011-03-24,28.026,28.538,28.383,246000
2011-03-25,28.023,28.983,28.75,424400
2011-03-28,28.363,28.863,28.414,293000
2011-03-29,28.239,28.9,28.876,270200
2011-03-30,28.966,29.405,29.09,265200
2011-03-31,28.713,29.568,29.518,420800
2011-04-01,29.397,29.825,29.813,251400
2011-04-04,29.693,30.136,29.767,305000
2011-04-05,29.588,30.194,29.946,257200
2011-04-06,29.65,30.295,29.992,146200
2011-04-07,29.588,30.07,29.724,180800
2011-04-08,29.238,29.876,29.456,351000
2011-04-11,29.195,29.619,29.362,153000
2011-04-12,28.624,29.168,28.845,239000
2011-04-13,28.686,29.11,29.009,232400
2011-04-14,28.577,29.02,28.977,98200
2011-04-15,28.907,29.355,29.265,182600
2011-04-18,27.71,28.83,28.176,528400
2011-04-19,28.157,28.666,28.608,240200
2011-04-20,28.974,29.413,29.316,224800
2011-04-21,29.25,29.658,29.588,142400
2011-04-25,29.106,29.584,29.533,152600
2011-04-26,29.615,30.673,30.28,440000
2011-04-27,29.405,30.412,30.385,276000
2011-04-28,29.984,30.746,30.42,182000
2011-04-29,30.202,30.673,30.552,308000
2011-05-02,30.307,30.805,30.311,244000
2011-05-03,29.724,30.509,29.911,238000
2011-05-04,29.156,29.984,29.23,207000
2011-05-05,28.915,29.37,29.063,260800
2011-05-06,29.051,30.07,29.238,436000
2011-05-09,29.16,29.848,29.763,358000
2011-05-10,29.677,29.996,29.833,200400
2011-05-11,29.23,29.914,29.335,226800
2011-05-12,28.989,29.623,29.549,199600
2011-05-13,29.028,29.607,29.129,140000
2011-05-16,28.806,29.378,28.876,320400
2011-05-17,28.184,28.834,28.289,339400
2011-05-18,28.134,28.966,28.814,347000
2011-05-19,28.942,29.339,29.098,282800
2011-05-20,28.977,29.829,29.051,421200
2011-05-23,28.223,28.985,28.289,330200
2011-05-24,27.834,28.515,28.107,295000
2011-05-25,27.706,28.274,28.2,425400
2011-05-26,27.978,28.441,28.371,336000
2011-05-27,28.449,28.767,28.686,170400
2011-05-31,28.573,29.063,29.024,1214200
2011-06-01,28.173,29.907,28.204,679400
2011-06-02,28.227,29.129,28.857,563400
2011-06-03,27.994,28.81,28.305,386200
2011-06-06,27.885,28.538,27.97,255600
2011-06-07,27.924,28.328,27.978,353600
2011-06-08,27.652,27.916,27.737,465300
2011-06-09,27.551,27.978,27.815,283400
2011-06-10,27.123,27.698,27.193,451200
2011-06-13,27.162,27.698,27.263,264100
2011-06-14,27.309,28.048,27.877,191800
2011-06-15,27.317,27.768,27.364,453900
2011-06-16,26.913,27.504,27.239,306600
2011-06-17,27.084,27.644,27.185,456800
2011-06-20,25.117,26.952,26.042,1330800
2011-06-21,26.019,26.866,26.796,785700
2011-06-22,26.369,26.897,26.4,550300
2011-06-23,25.544,26.703,26.586,814200
2011-06-24,25.84,26.734,25.871,938000
2011-06-27,25.676,26.431,26.252,461100
2011-06-28,26.287,26.803,26.771,266200
2011-06-29,26.709,27.607,27.584,660600
2011-06-30,27.474,28.076,28.006,505100
2011-07-01,27.857,28.709,28.646,341200
2011-07-05,28.162,28.849,28.459,267600
2011-07-06,28.318,29.185,29.146,462900
2011-07-07,29.287,29.529,29.498,295900
2011-07-08,28.795,29.404,29.248,341300
2011-07-11,28.529,29.021,28.678,321900
2011-07-12,28.256,28.701,28.349,219000
2011-07-13,28.185,28.748,28.224,256100
2011-07-14,27.326,28.396,27.404,335400
2011-07-15,27.248,27.826,27.771,316700
2011-07-18,26.99,27.826,27.271,212200
2011-07-19,27.506,28.107,28.037,310400
2011-07-20,27.474,28.185,27.928,334300
2011-07-21,28.709,30.607,30.029,1031700
2011-07-22,29.537,30.31,29.623,539200
2011-07-25,29.31,30.115,29.802,412600
2011-07-26,28.568,29.92,28.631,251200
2011-07-27,27.435,28.646,27.748,384600
2011-07-28,26.982,27.834,27.014,317000
2011-07-29,26.342,27.006,26.732,286800
2011-08-01,26.217,27.498,26.631,387300
2011-08-02,25.732,26.74,25.756,370900
2011-08-03,25.147,26.318,26.146,435200
2011-08-04,24.662,25.787,24.678,603300
2011-08-05,23.904,25.404,24.436,615600
2011-08-08,21.819,24.022,21.866,658000
2011-08-09,21.459,23.522,23.506,709200
2011-08-10,22.569,23.694,22.662,516900
2011-08-11,22.662,25.436,25.029,694200
2011-08-12,24.795,25.787,25.061,495900
2011-08-15,25.006,25.686,25.592,321300
2011-08-16,25.014,25.631,25.397,332100
2011-08-17,25.053,25.686,25.373,246500
2011-08-18,23.537,24.483,23.756,348800
2011-08-19,23.108,24.326,23.147,449900
2011-08-22,23.053,24.147,23.194,505100
2011-08-23,23.045,24.475,24.475,260500
2011-08-24,24.076,25.131,25.053,197200
2011-08-25,24.35,25.389,24.561,293400
2011-08-26,23.858,25.561,25.482,205000
2011-08-29,25.553,26.271,26.186,320600
2011-08-30,25.787,26.42,26.256,476700
2011-08-31,26.248,27.084,26.584,285800
2011-09-01,25.646,26.865,25.826,286400
2011-09-02,24.42,25.522,24.654,256900
2011-09-06,23.545,24.428,24.318,439200
2011-09-07,24.623,25.272,25.217,450000
2011-09-08,24.592,25.365,24.733,351000
2011-09-09,23.834,24.834,24.014,335200
2011-09-12,23.412,24.053,24.045,287100
2011-09-13,23.943,24.686,24.545,258000
2011-09-14,24.201,25.607,25.139,277500
2011-09-15,25.154,25.889,25.756,259100
2011-09-16,25.412,25.998,25.639,632700
2011-09-19,24.951,26.662,26.295,773700
2011-09-20,25.889,26.928,25.904,562200
2011-09-21,23.842,25.857,23.936,828200
2011-09-22,22.655,23.733,23.061,648900
2011-09-23,22.74,23.451,23.069,391700
2011-09-26,22.584,23.858,23.803,390300
2011-09-27,24.131,25.318,24.545,256400
2011-09-28,23.269,24.973,23.348,350600
2011-09-29,23.159,24.204,23.944,254700
2011-09-30,22.759,23.599,22.775,475400
2011-10-03,21.33,23.167,21.432,398200
2011-10-04,21.071,22.995,22.932,547200
2011-10-05,22.712,23.63,23.505,236100
2011-10-06,23.348,24.337,24.298,372900
2011-10-07,23.56,24.463,24.101,367700
2011-10-10,24.565,25.208,25.193,202900
2011-10-11,24.879,25.687,25.609,217900
2011-10-12,25.75,26.3,25.946,222000
2011-10-13,25.334,26.229,26.174,297200
2011-10-14,25.891,26.629,26.472,193900
2011-10-17,25.365,26.629,25.46,243000
2011-10-18,25.208,26.684,26.307,204800
2011-10-19,25.42,26.339,25.585,177700
2011-10-20,25.036,26.064,25.687,220600
2011-10-21,25.774,26.7,26.629,365000
2011-10-24,26.747,28.364,28.309,376000
2011-10-25,27.485,28.309,27.556,487800
2011-10-26,27.21,28.411,28.396,316200
2011-10-27,28.451,30.021,29.565,550200
2011-10-28,29.212,29.628,29.408,257300
2011-10-31,28.576,29.463,28.576,329400
2011-11-01,26.881,28.254,27.218,458200
2011-11-02,27.375,28.231,27.909,249100
2011-11-03,28.27,29.832,29.495,383300
2011-11-04,28.78,29.44,29.338,232600
2011-11-07,28.545,29.558,29.361,178500
2011-11-08,29.032,29.856,29.777,224900
2011-11-09,28.215,29.314,28.521,265500
2011-11-10,28.49,29.259,29.047,442200
2011-11-11,29.118,30.154,29.825,305900
2011-11-14,28.977,29.723,29.408,342600
2011-11-15,29.22,30.445,30.264,489100
2011-11-16,29.511,30.633,29.997,341500
2011-11-17,29.087,30.068,29.275,356700
2011-11-18,29.11,29.895,29.691,357900
2011-11-21,28.553,29.479,28.828,320100
2011-11-22,28.317,28.977,28.678,414600
2011-11-23,27.752,28.584,27.815,217000
2011-11-25,27.681,28.309,27.76,104700
2011-11-28,28.678,29.361,29.11,276800
2011-11-29,28.914,29.558,29.016,374800
2011-11-30,30.115,31.089,30.994,1137900
2011-12-01,30.61,31.293,30.617,275400
2011-12-02,30.539,31.073,30.672,225900
2011-12-05,30.892,31.481,31.049,280200
2011-12-06,30.633,31.387,31.214,246900
2011-12-07,30.123,31.128,30.578,312600
2011-12-08,29.581,30.861,29.77,257000
2011-12-09,29.636,30.563,30.484,204600
2011-12-12,29.204,30.099,29.754,274000
2011-12-13,29.087,30.429,29.259,221900
2011-12-14,28.419,29.165,28.796,286600
2011-12-15,29.008,29.456,29.361,303100
2011-12-16,29.408,30.256,29.927,738800
2011-12-19,29.197,30.303,29.291,184500
2011-12-20,29.715,30.822,30.508,218600
2011-12-21,29.832,30.767,30.727,255700
2011-12-22,30.547,30.971,30.672,214700
2011-12-23,30.563,31.041,30.939,162000
2011-12-27,30.5,31.191,31.041,192000
2011-12-28,30.308,31.207,30.434,202600
2011-12-29,30.592,31.262,31.026,153500
2011-12-30,30.702,31.089,30.844,273700
2012-01-03,31.01,31.877,31.128,264800
2012-01-04,30.955,31.499,31.365,217300
2012-01-05,30.718,31.578,31.522,225700
2012-01-06,31.144,31.578,31.404,142000
2012-01-09,31.451,32.051,31.924,132800
2012-01-10,31.964,32.366,32.019,251600
2012-01-11,31.546,32.516,32.319,228900
2012-01-12,32.019,32.808,32.697,153400
2012-01-13,32.074,32.697,32.603,141200
2012-01-17,32.532,33.407,32.674,216000
2012-01-18,32.461,33.154,33.107,251000
2012-01-19,33.099,33.509,33.257,173700
2012-01-20,33.076,33.651,33.304,254600
2012-01-23,33.115,33.699,33.194,179300
2012-01-24,32.768,33.367,33.107,385900
2012-01-25,32.587,33.541,33.501,342600
2012-01-26,33.423,33.769,33.62,263100
2012-01-27,33.494,33.911,33.864,243800
2012-01-30,33.32,34.132,34.006,310600
2012-01-31,33.572,34.298,33.864,358600
2012-02-01,33.99,34.999,34.881,412500
2012-02-02,34.558,35.055,34.605,280100
2012-02-03,34.692,35.946,35.796,351900
2012-02-06,35.488,35.953,35.756,239200
2012-02-07,35.425,36.064,35.693,316400
2012-02-08,35.488,36.095,35.67,229600
2012-02-09,35.26,35.93,35.48,300400
2012-02-10,34.85,35.402,35.197,251700
2012-02-13,35.197,36.127,36.111,198700
2012-02-14,35.701,36.158,36.009,254900
2012-02-15,35.252,36.214,35.362,395200
2012-02-16,35.275,35.946,35.851,416800
2012-02-17,35.969,37.649,36.111,370400
2012-02-21,36.293,36.971,36.773,298200
2012-02-22,36.387,37.152,36.624,269900
2012-02-23,36.072,36.986,36.568,296100
2012-02-24,36.285,37.026,36.829,290700
2012-02-27,35.89,36.868,36.608,295900
2012-02-28,36.222,36.86,36.513,234200
2012-02-29,36.332,36.986,36.419,307700
2012-03-01,36.474,36.963,36.773,264800
2012-03-02,36.143,36.923,36.308,346500
2012-03-05,36.064,36.482,36.222,232600
2012-03-06,35.394,36.056,35.488,417200
2012-03-07,35.488,36.072,35.938,234500
2012-03-08,36.127,36.837,36.639,427000
2012-03-09,36.584,37.381,36.971,226600
2012-03-12,36.647,37.16,36.726,224300
2012-03-13,36.868,37.452,37.444,384400
2012-03-14,37.239,37.617,37.286,225400
2012-03-15,37.262,37.743,37.31,327600
2012-03-16,37.002,37.428,37.057,431900
2012-03-19,36.844,37.333,36.923,385700
2012-03-20,36.017,36.852,36.293,308500
