,Low,High,Close,Volume
2010-12-09,5.356,5.524,5.432,12100
2010-12-10,5.415,5.49,5.482,13300
2010-12-13,5.297,5.616,5.616,70900
2010-12-14,5.323,5.616,5.482,63500
2010-12-15,5.314,5.549,5.549,10200
2010-12-16,5.398,5.524,5.448,51600
2010-12-17,5.381,5.557,5.448,63300
2010-12-20,5.348,5.473,5.448,239500
2010-12-21,5.448,5.658,5.658,36100
2010-12-22,5.473,5.616,5.541,20200
2010-12-23,5.381,5.633,5.633,5200
2010-12-27,5.574,5.7,5.666,36700
2010-12-28,5.591,5.792,5.591,4100
2010-12-29,5.616,5.666,5.616,700
2010-12-30,5.549,5.7,5.633,17100
2010-12-31,5.582,5.725,5.675,22800
2011-01-03,5.717,5.842,5.817,57900
2011-01-04,5.75,5.884,5.884,21100
2011-01-05,5.851,6.035,6.027,15200
2011-01-06,5.976,6.035,6.002,7200
2011-01-07,5.867,5.993,5.876,11200
2011-01-10,5.725,5.758,5.742,11400
2011-01-11,5.532,5.784,5.784,7600
2011-01-12,5.7,5.884,5.758,5300
2011-01-13,5.742,5.867,5.867,6100
2011-01-14,5.851,6.01,6.01,14200
2011-01-18,5.842,6.018,6.018,13600
2011-01-19,5.884,6.035,6.035,22300
2011-01-20,5.893,6.027,6.002,600
2011-01-21,5.884,6.018,5.993,5000
2011-01-24,5.909,5.985,5.926,37900
2011-01-25,5.884,5.968,5.96,4100
2011-01-26,5.876,6.002,5.968,9500
2011-01-27,5.918,6.035,5.993,8800
2011-01-28,5.867,5.993,5.909,20800
2011-01-31,5.826,5.951,5.943,9400
2011-02-01,5.893,5.893,5.893,10800
2011-02-02,5.867,5.951,5.909,32500
2011-02-03,5.817,5.96,5.884,42000
2011-02-04,5.817,5.951,5.867,3400
2011-02-07,5.75,5.909,5.909,4900
2011-02-08,5.826,5.951,5.951,60600
2011-02-09,5.775,6.018,5.893,36200
2011-02-10,5.784,6.035,6.035,22200
2011-02-11,5.784,5.893,5.867,15400
2011-02-14,5.834,5.985,5.851,1000
2011-02-15,5.784,5.8,5.8,800
2011-02-16,5.767,5.867,5.826,63100
2011-02-17,5.767,5.826,5.792,9100
2011-02-18,5.658,5.817,5.767,36300
2011-02-22,5.7,5.742,5.7,700
2011-02-23,5.281,5.7,5.658,44300
2011-02-24,5.532,5.725,5.641,13100
2011-02-25,5.649,5.784,5.758,3600
2011-02-28,5.616,5.758,5.616,11900
2011-03-01,5.7,5.943,5.901,98300
2011-03-02,5.725,5.951,5.951,39000
2011-03-03,5.809,6.035,6.035,134400
2011-03-04,5.767,5.993,5.817,14200
2011-03-07,5.742,5.867,5.867,20600
2011-03-08,5.817,5.968,5.968,17000
2011-03-09,5.742,5.951,5.951,19700
2011-03-10,5.784,5.867,5.867,40300
2011-03-11,5.717,5.8,5.784,5800
2011-03-14,5.775,6.085,5.775,15700
2011-03-15,5.649,5.775,5.7,8500
2011-03-16,5.557,5.7,5.574,14000
2011-03-17,5.616,5.658,5.616,27600
2011-03-18,5.599,5.641,5.633,5800
2011-03-21,5.633,5.675,5.633,13400
2011-03-22,5.465,5.641,5.566,50200
2011-03-23,5.473,5.666,5.666,12000
2011-03-24,5.549,5.692,5.692,7100
2011-03-25,5.65,5.776,5.717,9500
2011-03-28,5.742,5.851,5.801,2600
2011-03-29,5.566,5.742,5.708,12800
2011-03-30,5.599,5.717,5.717,8900
2011-03-31,5.658,5.734,5.725,3900
2011-04-01,5.322,5.835,5.347,108600
2011-04-04,5.339,5.582,5.49,6000
2011-04-05,5.339,5.532,5.532,12000
2011-04-06,5.515,5.582,5.582,6400
2011-04-07,5.616,5.658,5.633,12800
2011-04-08,5.54,5.675,5.624,8500
2011-04-11,5.574,5.65,5.633,2700
2011-04-12,5.616,5.666,5.624,1900
2011-04-13,5.54,5.608,5.54,900
2011-04-14,5.523,5.666,5.666,6900
2011-04-15,5.616,5.65,5.641,4600
2011-04-18,5.591,5.633,5.616,3000
2011-04-19,5.582,5.666,5.633,3700
2011-04-20,5.515,5.624,5.574,15700
2011-04-21,5.532,5.574,5.574,10100
2011-04-25,5.473,5.624,5.473,12400
2011-04-26,5.473,5.633,5.473,452900
2011-04-27,5.549,5.7,5.7,7100
2011-04-28,5.582,5.7,5.7,9900
2011-04-29,5.473,5.776,5.75,297000
2011-05-02,5.725,5.902,5.902,25400
2011-05-03,5.759,5.902,5.868,14600
2011-05-04,5.835,5.885,5.877,19000
2011-05-05,5.75,5.801,5.801,800
2011-05-06,5.717,5.801,5.801,11000
2011-05-09,5.759,5.919,5.893,63600
2011-05-10,5.793,5.969,5.919,59200
2011-05-11,5.801,5.91,5.893,51200
2011-05-12,5.809,5.91,5.851,3800
2011-05-13,5.843,5.91,5.91,23800
2011-05-16,5.902,6.003,5.952,53000
2011-05-17,5.91,5.961,5.944,15500
2011-05-18,5.944,5.986,5.944,4300
2011-05-19,5.944,6.037,6.028,37800
2011-05-20,5.994,6.062,6.053,12800
2011-05-23,5.758,5.994,5.944,36800
2011-05-24,5.902,6.011,5.986,14000
2011-05-25,5.986,6.028,6.028,6800
2011-05-26,5.86,5.994,5.986,21600
2011-05-27,5.969,6.028,5.994,3700
2011-05-31,5.952,5.986,5.952,2200
2011-06-01,5.902,5.986,5.927,6400
2011-06-02,5.902,5.935,5.91,7600
2011-06-03,5.885,5.91,5.902,12500
2011-06-06,5.876,5.919,5.893,10500
2011-06-07,5.868,5.893,5.885,9200
2011-06-08,5.843,5.919,5.902,12200
2011-06-09,5.902,5.919,5.919,16600
2011-06-10,5.86,5.91,5.91,3500
2011-06-13,5.817,5.986,5.944,27200
2011-06-14,5.843,5.91,5.843,2700
2011-06-15,5.868,5.885,5.876,1800
2011-06-16,5.817,5.91,5.893,6100
2011-06-17,5.792,5.919,5.919,10600
2011-06-20,5.902,5.919,5.902,6100
2011-06-21,5.902,5.961,5.952,8900
2011-06-22,5.851,5.935,5.86,8900
2011-06-23,5.691,5.944,5.944,22900
2011-06-24,5.767,6.028,5.952,19700
2011-06-27,5.944,5.986,5.961,3200
2011-06-28,5.851,6.028,6.003,9600
2011-06-29,5.834,5.961,5.961,10300
2011-06-30,5.834,5.961,5.961,6900
2011-07-01,5.902,5.944,5.935,17700
2011-07-05,5.902,5.935,5.91,11600
2011-07-06,5.902,5.935,5.91,4200
2011-07-07,5.902,5.944,5.944,57700
2011-07-08,5.91,6.028,6.028,11400
2011-07-11,5.919,6.112,6.104,15800
2011-07-12,5.885,6.07,6.037,22000
2011-07-13,6.045,6.264,6.247,31700
2011-07-14,6.104,6.23,6.138,5700
2011-07-15,6.053,6.323,6.323,5100
2011-07-18,6.02,6.273,6.273,18300
2011-07-19,5.86,6.155,6.121,35300
2011-07-20,5.935,6.096,6.003,11300
2011-07-21,5.834,6.273,6.273,4800
2011-07-22,6.062,6.171,6.087,2300
2011-07-25,5.994,6.062,6.037,8900
2011-07-26,5.893,6.062,5.986,9000
2011-07-27,5.944,5.986,5.952,9500
2011-07-28,5.598,5.91,5.725,12800
2011-07-29,5.354,5.758,5.581,45700
2011-08-01,5.362,5.632,5.632,82100
2011-08-02,5.362,5.674,5.649,22000
2011-08-03,5.387,5.59,5.48,7900
2011-08-04,5.421,5.893,5.893,19600
2011-08-05,5.185,5.876,5.497,64700
2011-08-08,4.241,5.733,5.632,66800
2011-08-09,5.143,5.767,5.767,15600
2011-08-10,5.455,5.716,5.455,6900
2011-08-11,5.489,5.623,5.623,2600
2011-08-12,5.337,5.649,5.337,4300
2011-08-15,5.607,5.657,5.632,9900
2011-08-16,5.564,5.632,5.632,8900
2011-08-17,5.497,5.615,5.556,17000
2011-08-18,5.539,5.691,5.581,5800
2011-08-19,5.581,5.581,5.581,2100
2011-08-22,5.497,5.581,5.539,8400
2011-08-23,5.395,5.725,5.708,20900
2011-08-24,5.7,5.902,5.75,3900
2011-08-25,5.497,5.835,5.793,317400
2011-08-26,5.716,5.869,5.869,6700
2011-08-29,5.793,5.987,5.902,7900
2011-08-30,5.835,5.886,5.852,1300
2011-08-31,5.835,5.962,5.962,10300
2011-09-01,5.674,5.894,5.725,7100
2011-09-02,5.674,6.004,6.004,3500
2011-09-06,5.429,5.894,5.894,205300
2011-09-07,5.657,5.919,5.826,10900
2011-09-08,5.657,5.784,5.767,12200
2011-09-09,5.437,5.826,5.7,38900
2011-09-12,5.649,5.809,5.801,11300
2011-09-13,5.573,5.818,5.809,2900
2011-09-14,5.742,5.869,5.869,14900
2011-09-15,5.708,5.919,5.919,10000
2011-09-16,5.64,5.919,5.784,9700
2011-09-19,5.615,5.784,5.767,6400
2011-09-20,5.716,5.843,5.835,8000
2011-09-21,5.793,5.818,5.793,1100
2011-09-22,5.598,5.809,5.598,5700
2011-09-23,5.7,6.038,5.708,25700
2011-09-26,5.708,5.767,5.75,2500
2011-09-27,5.742,5.86,5.86,7600
2011-09-28,5.598,5.86,5.598,15100
2011-09-29,5.336,5.691,5.497,10500
2011-09-30,5.209,5.59,5.26,9400
2011-10-03,5.268,5.522,5.336,7600
2011-10-04,5.201,5.429,5.429,5400
2011-10-05,5.285,5.463,5.37,21500
2011-10-06,5.133,5.497,5.344,11100
2011-10-07,5.015,5.437,5.167,6700
2011-10-10,4.82,5.218,5.057,22700
2011-10-11,4.913,5.108,4.972,5700
2011-10-12,4.812,4.972,4.964,9100
2011-10-13,4.778,4.93,4.845,15700
2011-10-14,4.854,4.947,4.905,3200
2011-10-17,4.761,4.803,4.803,1100
2011-10-18,4.778,5.031,5.031,3700
2011-10-19,4.896,5.031,5.006,5900
2011-10-20,4.896,4.955,4.955,400
2011-10-21,4.922,5.074,5.074,3300
2011-10-24,4.998,5.006,4.998,400
2011-10-25,4.998,4.998,4.998,0
2011-10-26,4.871,5.057,5.006,6500
2011-10-27,4.938,5.015,4.989,2800
2011-10-28,4.922,5.074,5.074,150200
2011-10-31,4.854,4.981,4.888,15300
2011-11-01,4.719,4.803,4.727,700
2011-11-02,4.736,4.854,4.82,18400
2011-11-03,4.659,4.854,4.82,7300
2011-11-04,4.778,4.812,4.812,2100
2011-11-07,4.786,4.82,4.82,6500
2011-11-08,4.744,4.82,4.82,5900
2011-11-09,4.744,4.82,4.761,7000
2011-11-10,4.744,4.82,4.82,8300
2011-11-11,4.71,4.845,4.82,7600
2011-11-14,4.651,4.871,4.736,11300
2011-11-15,4.702,4.736,4.727,7100
2011-11-16,4.651,4.736,4.676,3700
2011-11-17,4.736,4.736,4.736,4800
2011-11-18,4.659,4.736,4.736,4300
2011-11-21,4.668,4.752,4.668,25400
2011-11-22,4.685,4.736,4.702,2400
2011-11-23,4.651,4.71,4.71,4600
2011-11-25,4.651,4.651,4.651,500
2011-11-28,4.651,4.752,4.752,9400
2011-11-29,4.642,4.71,4.668,3700
2011-11-30,4.634,4.702,4.668,11400
2011-12-01,4.651,4.668,4.668,3900
2011-12-02,4.642,4.651,4.651,2100
2011-12-05,4.464,4.634,4.583,26300
2011-12-06,4.583,4.668,4.583,28600
2011-12-07,4.583,4.625,4.583,800
2011-12-08,4.455,4.625,4.481,5200
2011-12-09,4.371,4.668,4.668,17000
2011-12-12,4.515,4.668,4.668,6300
2011-12-13,4.583,4.668,4.625,6900
2011-12-14,4.523,4.625,4.523,15000
2011-12-15,4.43,4.608,4.583,41500
2011-12-16,4.6,4.625,4.608,55000
2011-12-19,4.651,4.676,4.676,3800
2011-12-20,4.634,4.922,4.922,7400
2011-12-21,4.752,5.092,5.092,9000
2011-12-22,4.922,5.083,5.075,3800
2011-12-23,4.965,5.05,4.982,2800
2011-12-27,4.837,4.888,4.888,500
2011-12-28,4.812,4.837,4.837,200
2011-12-29,4.668,4.939,4.939,7500
2011-12-30,4.854,5.024,5.024,3400
2012-01-03,4.668,5.033,4.871,4800
2012-01-04,4.786,4.88,4.88,6200
2012-01-05,4.786,4.914,4.871,5100
2012-01-06,4.761,4.914,4.914,6400
2012-01-09,4.88,5.033,5.024,3100
2012-01-10,4.999,5.262,5.245,13200
2012-01-11,4.965,5.194,5.075,12000
2012-01-12,4.897,5.075,5.05,9600
2012-01-13,4.854,4.982,4.922,11600
2012-01-17,4.905,4.939,4.922,5400
2012-01-18,4.719,4.922,4.922,14600
2012-01-19,4.786,4.956,4.846,34800
2012-01-20,4.668,4.914,4.769,154800
2012-01-23,4.778,4.922,4.922,7700
2012-01-24,4.769,4.922,4.837,4100
2012-01-25,4.871,4.88,4.88,800
2012-01-26,4.871,4.922,4.88,2500
2012-01-27,4.837,4.854,4.837,2300
2012-01-30,4.922,4.948,4.931,4600
2012-01-31,4.837,4.922,4.922,9100
2012-02-01,4.676,4.965,4.88,18300
2012-02-02,4.837,4.888,4.88,8500
2012-02-03,4.837,4.837,4.837,2200
2012-02-06,4.82,4.939,4.939,4300
2012-02-07,4.837,4.931,4.905,11400
2012-02-08,4.668,4.871,4.693,31300
2012-02-09,4.693,4.693,4.693,0
2012-02-10,4.6,4.727,4.608,13200
2012-02-13,4.617,4.668,4.625,120700
2012-02-14,4.6,4.685,4.668,3700
2012-02-15,4.693,4.702,4.702,1900
2012-02-16,4.668,4.812,4.795,138700
2012-02-17,4.752,4.786,4.752,600
2012-02-21,4.608,4.778,4.778,4100
2012-02-22,4.617,4.803,4.736,23100
2012-02-23,4.668,4.829,4.803,6200
2012-02-24,4.642,4.795,4.795,600
2012-02-27,4.642,4.778,4.778,600
2012-02-28,4.6,4.82,4.752,9300
2012-02-29,4.752,4.752,4.752,10900
2012-03-01,4.625,4.625,4.625,500
2012-03-02,4.634,4.786,4.786,23300
2012-03-05,4.617,4.965,4.948,11900
2012-03-06,4.888,4.888,4.888,2100
2012-03-07,4.778,4.837,4.778,700
2012-03-08,4.71,4.812,4.71,1700
2012-03-09,4.736,4.752,4.752,3900
2012-03-12,4.914,4.948,4.914,2600
2012-03-13,4.897,4.922,4.914,10600
2012-03-14,4.769,4.922,4.897,11800
2012-03-15,4.897,4.897,4.897,0
2012-03-16,4.679,4.816,4.679,1600
2012-03-19,4.688,4.833,4.756,4200
2012-03-20,4.705,4.978,4.978,14500
2012-03-21,4.722,4.978,4.944,7000
2012-03-22,4.824,4.944,4.867,3800
2012-03-23,4.748,4.927,4.824,12000
2012-03-26,4.739,5.012,4.901,4600
2012-03-27,4.901,4.961,4.901,3700
2012-03-28,4.79,4.893,4.841,4300
2012-03-29,4.875,5.097,4.969,4200
2012-03-30,4.85,5.114,5.02,11600
2012-04-02,4.833,5.037,5.037,2400
2012-04-03,4.824,4.978,4.944,3900
2012-04-04,4.748,4.927,4.748,4200
2012-04-05,4.824,4.944,4.944,3100
2012-04-09,4.748,4.935,4.927,1500
2012-04-10,4.901,4.944,4.91,1800
2012-04-11,4.739,4.91,4.91,6100
2012-04-12,4.858,4.969,4.969,2800
2012-04-13,4.688,4.969,4.765,12800
2012-04-16,4.688,4.893,4.893,78300
2012-04-17,4.773,4.858,4.824,4500
2012-04-18,4.739,4.816,4.773,2200
