,Low,High,Close,Volume
2010-12-09,31.775,32.19,32.157,403200
2010-12-10,32.019,32.718,32.694,379800
2010-12-13,32.23,32.799,32.32,363100
2010-12-14,32.247,32.645,32.295,296200
2010-12-15,31.743,32.588,31.93,502800
2010-12-16,31.824,32.49,32.344,284500
2010-12-17,32.141,32.637,32.295,509300
2010-12-20,31.816,32.531,32.011,341600
2010-12-21,31.986,32.637,32.531,343300
2010-12-22,32.222,33.271,33.027,475000
2010-12-23,32.718,33.206,33.124,394200
2010-12-27,32.921,33.23,33.108,168400
2010-12-28,32.994,33.311,33.222,270600
2010-12-29,33.092,33.702,33.303,359900
2010-12-30,33.068,33.466,33.279,135700
2010-12-31,33.108,33.507,33.279,231600
2011-01-03,33.352,34.011,33.563,280500
2011-01-04,32.954,33.693,33.279,258100
2011-01-05,32.938,33.433,33.23,236800
2011-01-06,33.116,33.645,33.604,313700
2011-01-07,33.003,33.759,33.49,373800
2011-01-10,33.068,33.637,33.588,307500
2011-01-11,33.734,34.693,33.97,624000
2011-01-12,33.954,34.328,34.076,347900
2011-01-13,33.962,34.449,34.401,302400
2011-01-14,34.197,34.58,34.271,328700
2011-01-18,34.173,34.669,34.62,393000
2011-01-19,33.897,34.58,34.124,313400
2011-01-20,33.807,34.23,34.035,320700
2011-01-21,33.726,34.409,33.84,287400
2011-01-24,33.791,34.124,33.978,225300
2011-01-25,33.409,33.994,33.702,406600
2011-01-26,33.547,34.132,33.978,297700
2011-01-27,33.807,34.311,34.238,455600
2011-01-28,33.068,34.287,33.165,299900
2011-01-31,33.059,33.677,33.677,315700
2011-02-01,33.555,34.921,34.547,1143100
2011-02-02,32.938,34.466,33.677,805800
2011-02-03,33.482,34.62,34.458,764800
2011-02-04,34.506,35.214,34.953,516200
2011-02-07,34.677,35.287,34.872,261000
2011-02-08,34.758,35.018,34.799,124200
2011-02-09,34.612,35.149,35.14,353600
2011-02-10,34.994,35.612,35.385,468200
2011-02-11,35.344,36.174,36.117,383600
2011-02-14,35.669,36.206,36.027,243600
2011-02-15,35.604,36.215,36.027,302300
2011-02-16,35.979,37.053,36.744,620400
2011-02-17,36.28,37.151,36.971,402100
2011-02-18,36.63,37.159,36.906,329200
2011-02-22,35.816,36.906,35.905,417800
2011-02-23,34.603,36.044,35.238,759100
2011-02-24,34.839,36.158,35.498,780400
2011-02-25,35.238,36.589,36.272,648000
2011-02-28,35.995,36.825,36.19,441100
2011-03-01,34.937,36.402,35.173,470700
2011-03-02,35.059,35.946,35.547,431300
2011-03-03,35.857,37.11,36.915,460600
2011-03-04,35.848,36.76,35.987,819900
2011-03-07,35.181,36.386,35.523,467900
2011-03-08,35.58,36.532,36.158,750800
2011-03-09,35.686,36.76,36.377,347600
2011-03-10,35.197,36.28,35.726,481300
2011-03-11,35.409,35.832,35.564,443500
2011-03-14,35.059,35.767,35.311,441800
2011-03-15,34.473,35.572,35.222,447800
2011-03-16,34.823,35.482,34.823,415100
2011-03-17,35.043,35.743,35.336,388500
2011-03-18,35.132,35.824,35.352,481500
2011-03-21,35.629,36.329,36.158,422800
2011-03-22,35.808,36.32,35.946,258200
2011-03-23,35.442,36.068,36.044,382500
2011-03-24,35.857,36.386,36.141,361800
2011-03-25,36.044,36.735,36.532,500400
2011-03-28,35.881,36.784,36.003,333500
2011-03-29,35.637,36.166,36.109,232300
2011-03-30,36.036,36.817,36.703,208700
2011-03-31,36.402,37.305,37.175,310900
2011-04-01,36.939,37.883,37.883,556600
2011-04-04,37.924,38.461,38.241,547500
2011-04-05,37.924,38.615,38.217,287200
2011-04-06,38.184,38.648,38.444,429500
2011-04-07,38.461,39.12,38.892,804900
2011-04-08,37.777,39.112,37.94,309900
2011-04-11,37.704,38.314,38.062,204700
2011-04-12,37.688,38.355,38.078,216100
2011-04-13,37.875,38.379,37.997,291500
2011-04-14,37.671,38.729,38.412,328600
2011-04-15,38.208,38.632,38.526,167000
2011-04-18,37.663,38.363,38.16,245400
2011-04-19,38.176,38.624,38.355,388100
2011-04-20,38.168,39.096,38.542,423400
2011-04-21,38.379,39.242,38.778,307400
2011-04-25,37.997,38.681,38.607,501400
2011-04-26,38.485,39.315,38.86,394300
2011-04-27,38.469,39.266,39.03,481500
2011-04-28,38.575,39.307,38.965,318300
2011-04-29,38.485,39.128,38.575,296000
2011-05-02,38.225,38.843,38.404,306500
2011-05-03,37.711,38.665,38.388,329800
2011-05-04,38.143,38.681,38.412,264200
2011-05-05,38.29,38.999,38.485,308300
2011-05-06,37.948,38.876,38.314,379300
2011-05-09,37.923,38.282,38.062,202000
2011-05-10,37.996,38.493,38.445,167000
2011-05-11,37.972,38.754,38.013,199500
2011-05-12,37.638,38.355,38.298,158100
2011-05-13,37.63,38.477,37.719,225000
2011-05-16,37.312,37.752,37.467,249400
2011-05-17,36.799,37.304,37.117,236100
2011-05-18,37.035,38.379,38.265,250300
2011-05-19,37.923,38.665,38.355,168900
2011-05-20,37.711,38.33,37.972,174800
2011-05-23,37.011,37.695,37.361,220100
2011-05-24,36.937,37.662,37.565,280300
2011-05-25,37.28,37.817,37.605,336000
2011-05-26,37.214,38.428,38.298,223600
2011-05-27,38.208,39.104,38.265,355300
2011-05-31,38.013,38.884,38.55,398900
2011-06-01,37.068,38.632,37.141,369600
2011-06-02,37.125,37.622,37.174,190000
2011-06-03,35.968,36.726,36.139,621500
2011-06-06,35.601,36.587,35.667,627200
2011-06-07,35.455,35.927,35.65,351000
2011-06-08,35.015,35.699,35.21,462400
2011-06-09,34.974,35.96,35.748,221400
2011-06-10,35.349,35.65,35.447,283100
2011-06-13,34.941,35.601,35.178,294900
2011-06-14,35.577,36.921,36.831,519200
2011-06-15,36.383,36.889,36.497,391300
2011-06-16,36.383,37.149,36.612,386000
2011-06-17,36.53,37.043,36.726,381400
2011-06-20,36.522,37.035,36.799,136300
2011-06-21,36.831,37.548,37.312,232200
2011-06-22,36.815,37.63,36.88,460300
2011-06-23,36.098,37.06,37.027,272100
2011-06-24,36.392,37.32,36.652,432100
2011-06-27,36.449,36.978,36.783,441000
2011-06-28,36.677,37.198,37.003,307500
2011-06-29,36.726,37.581,37.353,222000
2011-06-30,37.532,38.119,37.866,219000
2011-07-01,37.825,38.689,38.526,211000
2011-07-05,38.216,38.844,38.241,206600
2011-07-06,38.412,39.495,39.487,415000
2011-07-07,39.21,40.066,39.259,621600
2011-07-08,38.583,39.08,39.007,305000
2011-07-11,38.184,38.754,38.412,255400
2011-07-12,38.021,38.632,38.053,260100
2011-07-13,38.265,38.844,38.33,279100
2011-07-14,37.353,38.681,37.801,258600
2011-07-15,37.434,38.102,37.891,437700
2011-07-18,37.312,38.037,37.361,212000
2011-07-19,37.337,37.939,37.752,375500
2011-07-20,37.223,38.168,38.086,364100
2011-07-21,38.135,40.457,38.184,659600
2011-07-22,38.241,38.893,38.713,341100
2011-07-25,38.404,39.153,38.681,438400
2011-07-26,37.565,38.73,37.948,429200
2011-07-27,36.97,37.939,37.149,382500
2011-07-28,36.815,37.956,36.897,435100
2011-07-29,35.992,37.108,36.538,381300
2011-08-01,35.626,37.125,35.846,637500
2011-08-02,34.233,36.041,34.306,785300
2011-08-03,33.394,34.925,34.876,888200
2011-08-04,33.233,34.758,33.257,531300
2011-08-05,32.629,34.521,34.089,910100
2011-08-08,31.772,33.436,31.838,908700
2011-08-09,31.609,33.779,33.698,960600
2011-08-10,31.895,33.29,31.985,800500
2011-08-11,31.797,32.825,32.425,995400
2011-08-12,32.441,33.412,33.045,625100
2011-08-15,32.27,33.543,32.882,827800
2011-08-16,32.14,32.898,32.376,553800
2011-08-17,31.356,32.678,31.968,435100
2011-08-18,30.108,31.152,30.761,718900
2011-08-19,30.182,31.642,30.231,762800
2011-08-22,29.888,30.949,30.304,462700
2011-08-23,30.182,31.356,31.348,324300
2011-08-24,31.006,32.025,31.723,403600
2011-08-25,30.818,32.033,31.03,281800
2011-08-26,30.304,32.197,32.066,420200
2011-08-29,32.197,33.127,33.061,231400
2011-08-30,32.392,33.502,33.282,236200
2011-08-31,32.833,33.836,33.029,297800
2011-09-01,32.89,33.6,32.972,432000
2011-09-02,31.87,32.735,32.188,569400
2011-09-06,31.022,31.805,31.609,434600
2011-09-07,32.066,33.061,33.004,415700
2011-09-08,32.498,33.208,32.604,254600
2011-09-09,31.683,32.711,32.164,323400
2011-09-12,31.161,32.156,31.985,339800
2011-09-13,31.96,33.2,33.012,465900
2011-09-14,32.531,34.171,33.828,333000
2011-09-15,33.396,34.203,34.007,183300
2011-09-16,33.526,34.252,34.122,325200
2011-09-19,33.135,33.877,33.591,234000
2011-09-20,32.702,34.089,32.776,568500
2011-09-21,31.014,32.784,31.046,370900
2011-09-22,29.913,30.932,30.451,401200
2011-09-23,30.329,31.617,31.414,339900
2011-09-26,31.128,32.278,32.229,557900
2011-09-27,32.458,33.853,33.069,420400
2011-09-28,32.188,33.502,32.474,439200
2011-09-29,31.952,33.51,32.898,213300
2011-09-30,32.197,33.078,32.27,392500
2011-10-03,31.707,33.037,31.895,553300
2011-10-04,31.414,33.738,33.681,561600
2011-10-05,33.412,34.301,33.608,485600
2011-10-06,33.053,33.991,33.885,378100
2011-10-07,33.045,34.187,33.314,389100
2011-10-10,33.689,34.636,34.521,368800
2011-10-11,34.097,35.215,35.15,295600
2011-10-12,35.305,35.924,35.427,262500
2011-10-13,34.644,35.46,35.419,141400
2011-10-14,35.419,36.3,36.292,262400
2011-10-17,35.035,36.577,35.174,248000
2011-10-18,34.636,36.398,36.096,312200
2011-10-19,35.003,36.708,35.329,285000
2011-10-20,34.962,35.712,35.639,216900
2011-10-21,35.721,36.495,36.055,321900
2011-10-24,36.455,37.752,37.327,669500
2011-10-25,35.394,36.96,36.259,447700
2011-10-26,35.321,36.756,36.202,448200
2011-10-27,36.691,37.899,37.303,367800
2011-10-28,36.911,37.483,37.148,342300
2011-10-31,36.34,37.026,36.406,470900
2011-11-01,34.937,36.145,35.647,406600
2011-11-02,35.321,36.447,35.957,237300
2011-11-03,35.9,37.034,36.765,509100
2011-11-04,35.903,37.283,36.744,236800
2011-11-07,35.862,36.777,36.703,261400
2011-11-08,36.124,37.12,36.965,499800
2011-11-09,35.699,36.834,36.246,298700
2011-11-10,36.222,37.055,36.467,184800
2011-11-11,36.524,37.504,37.406,260300
2011-11-14,36.948,37.528,37.161,184600
2011-11-15,36.94,38.035,37.904,307000
2011-11-16,37.202,37.904,37.267,221400
2011-11-17,37.087,37.994,37.316,298100
2011-11-18,37.055,37.626,37.365,263400
2011-11-21,35.968,37.177,36.687,310900
2011-11-22,36.026,36.736,36.45,298500
2011-11-23,35.233,36.124,35.805,287000
2011-11-25,35.397,35.838,35.568,112100
2011-11-28,35.454,36.467,35.813,348400
2011-11-29,35.544,36.524,36.377,237200
2011-11-30,37.251,37.79,37.79,344900
2011-12-01,37.112,38.01,37.12,180600
2011-12-02,37.308,37.83,37.504,159800
2011-12-05,37.626,38.639,37.879,378900
2011-12-06,37.308,38.206,38.067,200600
2011-12-07,37.463,38.28,38.1,172700
2011-12-08,36.981,38.051,37.242,479200
2011-12-09,37.177,38.5,38.419,243100
2011-12-12,37.928,38.549,38.141,295600
2011-12-13,37.961,39.162,38.206,502900
2011-12-14,37.52,38.378,37.52,465300
2011-12-15,37.659,38.386,37.896,214800
2011-12-16,38.075,38.762,38.345,465700
2011-12-19,37.365,38.9,37.463,217200
2011-12-20,38.116,39.17,39.113,253500
2011-12-21,38.745,39.358,39.194,235200
2011-12-22,38.86,39.586,39.17,176000
2011-12-23,38.949,39.309,39.219,110300
2011-12-27,38.998,39.766,39.554,111200
2011-12-28,38.819,39.562,39.047,117800
2011-12-29,38.9,39.595,39.431,118900
2011-12-30,39.072,39.586,39.137,122200
2012-01-03,38.696,39.913,38.745,348100
2012-01-04,38.525,38.868,38.704,276800
2012-01-05,37.961,39.015,38.476,351400
2012-01-06,38.28,38.737,38.37,188600
2012-01-09,38.149,38.557,38.321,237100
2012-01-10,38.427,39.407,39.284,360300
2012-01-11,39.056,40.003,39.987,255900
2012-01-12,39.676,40.15,39.929,209100
2012-01-13,39.235,39.848,39.848,121900
2012-01-17,39.57,40.109,39.962,114200
2012-01-18,39.693,40.346,39.905,223400
2012-01-19,39.709,40.534,40.452,260300
2012-01-20,40.036,40.452,40.436,135700
2012-01-23,39.807,40.542,40.289,146300
2012-01-24,39.717,40.861,40.722,250700
2012-01-25,40.468,41.547,41.4,289000
2012-01-26,41.677,42.306,42.037,400600
2012-01-27,41.538,42.126,42.102,319500
2012-01-30,41.375,41.767,41.53,276100
2012-01-31,40.999,41.898,41.775,256500
2012-02-01,41.547,42.608,42.412,351200
2012-02-02,41.808,43.286,42.151,416300
2012-02-03,42.551,43.082,42.567,271100
2012-02-06,41.947,42.927,42.543,281700
2012-02-07,42.159,42.616,42.461,301400
2012-02-08,41.751,42.584,42.347,233100
2012-02-09,42.175,43.049,42.755,270000
2012-02-10,41.922,42.584,42.249,187700
2012-02-13,42.527,43.123,43.057,255700
2012-02-14,42.51,43.066,42.731,115400
2012-02-15,42.146,43.078,42.359,209600
2012-02-16,42.22,44.133,43.863,366400
2012-02-17,43.479,44.296,43.585,389200
2012-02-21,42.424,43.74,42.882,532100
2012-02-22,42.334,43.242,42.481,484300
2012-02-23,42.064,43.43,43.422,288200
2012-02-24,43.185,43.879,43.332,350300
2012-02-27,42.71,43.708,43.536,307600
2012-02-28,43.291,44.068,43.92,428200
2012-02-29,43.691,44.296,44.198,472200
2012-03-01,44.149,45.531,45.245,669400
2012-03-02,44.19,44.803,44.378,718800
2012-03-05,43.961,44.623,44.566,341600
2012-03-06,43.806,44.485,44.403,392300
2012-03-07,44.002,44.599,44.403,339400
2012-03-08,44.517,45.343,45.22,414400
2012-03-09,44.934,45.989,45.899,353800
2012-03-12,45.466,46.087,45.817,172900
2012-03-13,45.744,46.488,46.479,316500
2012-03-14,45.768,46.594,46.234,230400
2012-03-15,46.169,47.918,47.46,420500
2012-03-16,46.823,47.469,47.019,455200
2012-03-19,46.798,47.698,47.076,344900
2012-03-20,46.373,46.97,46.929,148100
2012-03-21,46.7,47.771,47.738,319300
2012-03-22,46.488,47.191,47.15,181400
2012-03-23,46.349,47.191,46.905,300400
2012-03-26,47.125,47.591,47.362,351800
2012-03-27,47.166,47.591,47.542,179900
2012-03-28,46.88,47.616,47.526,229600
2012-03-29,46.88,47.706,47.55,311800
2012-03-30,47.076,47.837,47.191,190500
2012-04-02,46.929,48.254,47.927,397000
2012-04-03,47.869,48.245,48.098,254100
2012-04-04,46.954,47.763,47.289,468000
2012-04-05,47.052,47.632,47.371,170400
2012-04-09,46.389,47.06,46.913,157000
2012-04-10,45.359,46.831,45.793,424800
