,Low,High,Close,Volume
2010-12-09,33.253,33.631,33.478,2344810
2010-12-10,33.486,33.895,33.679,2332184
2010-12-13,33.462,33.863,33.526,2555843
2010-12-14,33.261,33.598,33.374,2020144
2010-12-15,32.804,33.655,32.836,2390221
2010-12-16,32.699,33.285,33.117,3204432
2010-12-17,32.98,33.478,33.43,2994036
2010-12-20,33.422,34.257,34.144,2956477
2010-12-21,33.791,34.224,34.016,2489530
2010-12-22,33.711,34.152,33.871,1671818
2010-12-23,33.671,33.984,33.783,1165402
2010-12-27,33.317,33.687,33.534,1288160
2010-12-28,33.285,33.639,33.574,1483384
2010-12-29,33.51,33.839,33.51,1202644
2010-12-30,33.205,33.494,33.277,1714788
2010-12-31,33.133,33.606,33.342,1796061
2011-01-03,33.486,33.823,33.703,2777168
2011-01-04,32.804,33.839,33.037,3297164
2011-01-05,32.764,33.454,33.366,2201787
2011-01-06,32.643,33.494,32.804,2548416
2011-01-07,32.37,33.358,32.756,3162523
2011-01-10,32.194,32.699,32.531,2237437
2011-01-11,32.483,33.053,32.699,2095793
2011-01-12,32.603,33.101,32.764,2120409
2011-01-13,32.699,33.101,33.012,2996264
2011-01-14,32.876,33.655,33.622,1802639
2011-01-18,33.149,33.783,33.237,2066934
2011-01-19,32.579,33.269,32.788,2214625
2011-01-20,32.073,32.683,32.218,3957954
2011-01-21,31.784,32.707,31.953,3653129
2011-01-24,31.664,32.322,32.314,2843268
2011-01-25,31.624,32.298,32.001,3001357
2011-01-26,31.736,32.435,31.825,4783731
2011-01-27,31.744,32.378,32.266,2665444
2011-01-28,30.934,32.394,30.982,3135892
2011-01-31,31.014,31.809,31.696,3482839
2011-02-01,31.752,32.475,32.402,2848255
2011-02-02,32.122,32.451,32.258,3189897
2011-02-03,31.881,32.804,32.13,4284530
2011-02-04,31.801,32.258,32.106,2867353
2011-02-07,31.913,32.402,32.073,3753181
2011-02-08,31.496,32.154,31.905,5534600
2011-02-09,31.696,32.386,31.865,3758911
2011-02-10,31.584,32.146,32.106,2244439
2011-02-11,31.76,33.117,33.085,2782048
2011-02-14,32.635,33.309,32.908,3553607
2011-02-15,33.181,34.337,33.277,6524620
2011-02-16,32.932,33.647,33.229,3781510
2011-02-17,32.475,33.085,32.876,2830324
2011-02-18,32.651,33.069,32.844,2565498
2011-02-22,31.166,32.402,31.327,5586165
2011-02-23,30.424,31.671,30.81,5020228
2011-02-24,30.424,30.979,30.947,3799653
2011-02-25,30.971,31.687,31.623,2732075
2011-02-28,31.398,31.728,31.543,3740449
2011-03-01,30.344,31.671,30.521,5260862
2011-03-02,30.159,30.883,30.593,4026495
2011-03-03,30.835,31.213,31.156,3426924
2011-03-04,30.304,31.164,30.569,4079863
2011-03-07,30.28,30.851,30.529,3568992
2011-03-08,30.448,31.454,31.341,3347455
2011-03-09,30.971,31.607,31.543,2541413
2011-03-10,30.891,31.301,30.963,2438496
2011-03-11,30.537,30.996,30.69,3357535
2011-03-14,30.207,30.65,30.513,3527825
2011-03-15,29.33,30.288,30.119,4974286
2011-03-16,29.499,30.28,29.749,5210253
2011-03-17,29.724,30.352,29.869,3092391
2011-03-18,30.167,30.634,30.545,4057582
2011-03-21,30.698,31.148,31.068,2347144
2011-03-22,29.668,31.004,29.749,4632432
2011-03-23,29.153,29.974,29.901,3404643
2011-03-24,29.708,30.239,29.926,3253132
2011-03-25,29.918,30.44,30.296,2951702
2011-03-28,28.116,30.095,28.397,18056204
2011-03-29,28.518,28.92,28.759,7179681
2011-03-30,28.799,29.314,28.823,5053861
2011-03-31,28.437,28.92,28.622,3687612
2011-04-01,28.365,29.025,28.486,5529189
2011-04-04,28.228,28.566,28.349,4204425
2011-04-05,28.003,28.453,28.26,4479754
2011-04-06,28.172,28.59,28.566,3722094
2011-04-07,28.14,28.574,28.188,4231374
2011-04-08,27.617,28.293,27.81,4203470
2011-04-11,27.4,27.939,27.496,3693872
2011-04-12,27.247,27.834,27.617,3900979
2011-04-13,27.432,27.826,27.504,3657479
2011-04-14,27.263,27.512,27.4,2985017
2011-04-15,27.199,27.593,27.432,4378217
2011-04-18,26.989,28.116,28.059,7074430
2011-04-19,27.906,28.47,28.091,4912642
2011-04-20,28.285,28.679,28.381,5699904
2011-04-21,28.26,29.427,28.856,7248752
2011-04-25,28.421,29.282,28.526,5094179
2011-04-26,28.26,28.751,28.381,4137900
2011-04-27,28.212,28.679,28.309,4432752
2011-04-28,28.244,28.655,28.534,3638381
2011-04-29,28.244,28.542,28.397,2823003
2011-05-02,28.47,28.671,28.558,3582573
2011-05-03,28.236,28.679,28.413,3467560
2011-05-04,28.051,28.558,28.212,2964434
2011-05-05,27.882,28.96,28.566,3840926
2011-05-06,28.767,29.733,29.194,6152527
2011-05-09,29.073,29.459,29.242,3983100
2011-05-10,29.338,29.974,29.893,3798062
2011-05-11,29.097,29.845,29.226,6910930
2011-05-12,28.944,29.539,29.419,3905329
2011-05-13,29.121,29.523,29.362,3658965
2011-05-16,28.767,29.338,28.815,3876576
2011-05-17,28.566,28.96,28.856,3687718
2011-05-18,28.831,29.541,29.501,3712015
2011-05-19,29.477,30.025,29.969,4057688
2011-05-20,29.872,30.267,29.977,3777266
2011-05-23,29.259,29.59,29.283,3413449
2011-05-24,29.364,29.759,29.461,3268623
2011-05-25,29.299,29.848,29.614,3604854
2011-05-26,29.67,30.63,30.501,4373760
2011-05-27,30.388,31.074,30.542,4305962
2011-05-31,30.243,30.824,30.501,3433820
2011-06-01,29.711,30.396,29.727,4324742
2011-06-02,29.525,30.074,29.896,3326235
2011-06-03,29.122,29.67,29.243,3598275
2011-06-06,29.09,29.84,29.186,5159219
2011-06-07,28.646,29.42,28.67,5193701
2011-06-08,27.871,28.565,28.057,6304250
2011-06-09,27.734,28.162,27.912,4267024
2011-06-10,27.242,27.888,27.299,4437633
2011-06-13,26.984,27.5,27.242,4273920
2011-06-14,27.46,27.984,27.928,4401877
2011-06-15,27.008,27.791,27.008,4455139
2011-06-16,26.581,27.121,26.903,3900873
2011-06-17,26.557,27.266,26.742,4336201
2011-06-20,26.605,27.008,26.718,3041569
2011-06-21,26.831,27.71,27.678,4213868
2011-06-22,27.468,28.097,27.726,3343105
2011-06-23,27.0,27.646,27.621,4180128
2011-06-24,27.25,27.654,27.396,2360831
2011-06-27,26.992,27.581,27.492,2356693
2011-06-28,27.597,28.71,28.694,4193496
2011-06-29,28.299,29.041,28.404,4977363
2011-06-30,28.412,28.735,28.63,3843791
2011-07-01,28.63,29.759,29.703,3703314
2011-07-05,29.122,29.8,29.558,3874348
2011-07-06,29.42,29.638,29.541,3226713
2011-07-07,29.832,30.493,30.292,3951695
2011-07-08,29.525,29.993,29.985,3078916
2011-07-11,29.283,29.687,29.42,4109571
2011-07-12,29.315,30.106,29.703,5818418
2011-07-13,29.912,30.574,29.961,7257771
2011-07-14,27.387,29.122,27.984,21593472
2011-07-15,27.638,28.186,28.186,9931384
2011-07-18,27.573,28.089,27.621,7048860
2011-07-19,27.678,27.912,27.71,7083979
2011-07-20,27.581,27.928,27.629,5313276
2011-07-21,27.759,28.307,28.114,4020023
2011-07-22,28.049,28.477,28.323,2552766
2011-07-25,27.904,28.17,28.057,3014725
2011-07-26,27.589,28.025,27.638,5600807
2011-07-27,26.855,27.742,26.928,7835485
2011-07-28,26.363,27.081,26.395,6001547
2011-07-29,25.556,26.282,26.218,8687999
2011-08-01,25.758,26.565,25.831,6516450
2011-08-02,24.556,25.734,24.572,7101485
2011-08-03,24.007,25.25,25.113,15403068
2011-08-04,23.604,24.701,23.661,12438421
2011-08-05,23.233,24.532,23.798,15760306
2011-08-08,22.104,23.08,22.192,13873424
2011-08-09,21.579,22.934,22.822,15773250
2011-08-10,21.539,22.555,21.636,11767551
2011-08-11,21.676,22.999,22.692,6701170
2011-08-12,22.426,23.08,22.765,5226274
2011-08-15,22.676,23.249,23.249,3761776
2011-08-16,22.804,23.306,23.12,5606112
2011-08-17,23.128,23.557,23.427,7604399
2011-08-18,21.46,22.771,21.687,8768635
2011-08-19,21.144,21.978,21.242,6323136
2011-08-22,21.047,21.889,21.136,6064464
2011-08-23,21.152,22.051,22.035,7945935
2011-08-24,21.832,23.039,23.022,5553274
2011-08-25,22.027,23.265,22.083,4477526
2011-08-26,21.468,22.618,22.278,4704156
2011-08-29,22.593,23.541,23.541,3760078
2011-08-30,23.055,23.727,23.532,4146600
2011-08-31,23.5,24.18,23.702,3991058
2011-09-01,23.128,24.059,23.273,4301825
2011-09-02,22.043,22.82,22.083,3735463
2011-09-06,20.991,21.533,21.501,6221810
2011-09-07,21.671,22.423,22.383,3443263
2011-09-08,21.606,22.213,21.703,3039235
2011-09-09,20.982,21.509,21.112,5886640
2011-09-12,20.634,21.209,21.08,6160378
2011-09-13,20.966,22.302,22.059,6554540
2011-09-14,22.132,23.281,22.901,6999205
2011-09-15,23.014,23.476,23.33,5338209
2011-09-16,23.217,23.67,23.638,4263416
2011-09-19,22.812,23.411,23.265,3371328
2011-09-20,23.16,23.783,23.16,3705224
2011-09-21,22.48,23.613,22.48,4078802
2011-09-22,21.128,21.978,21.695,6820957
2011-09-23,21.476,22.512,21.994,6414488
2011-09-26,21.565,22.496,22.415,5006116
2011-09-27,22.869,23.435,23.022,5515609
2011-09-28,22.464,23.184,22.504,4326440
2011-09-29,22.804,23.565,23.233,7552835
2011-09-30,22.051,22.869,22.051,6402286
2011-10-03,20.958,22.634,21.193,7672091
2011-10-04,20.691,21.978,21.938,7108700
2011-10-05,21.622,22.869,22.812,6149556
2011-10-06,22.383,23.476,23.298,7948906
2011-10-07,22.529,23.508,22.804,5362612
2011-10-10,23.192,24.261,23.978,5208555
2011-10-11,23.524,23.897,23.694,5054180
2011-10-12,23.816,25.006,24.471,5693644
2011-10-13,23.848,24.512,24.407,4020023
2011-10-14,24.212,24.852,24.811,2652288
2011-10-17,23.694,24.682,23.759,2974938
2011-10-18,23.557,24.957,24.69,3554987
2011-10-19,24.051,24.658,24.131,4276148
2011-10-20,23.848,24.552,24.399,3823844
2011-10-21,24.682,25.305,25.062,4153921
2011-10-24,25.038,25.896,25.783,4788399
2011-10-25,24.99,25.904,25.184,3487825
2011-10-26,24.86,25.888,25.686,6147328
2011-10-27,26.293,27.175,26.957,5270624
2011-10-28,26.301,27.038,26.536,4681026
2011-10-31,25.459,26.317,25.5,5989876
2011-11-01,24.431,25.257,24.795,5054816
2011-11-02,25.062,26.034,25.483,4993809
2011-11-03,24.9,26.139,26.066,5135983
2011-11-04,25.37,26.066,25.589,3628090
2011-11-07,25.2,25.831,25.767,3160401
2011-11-08,24.998,25.904,25.629,3114141
2011-11-09,24.407,25.135,24.471,4734606
2011-11-10,24.261,25.071,24.504,5927489
2011-11-11,24.909,25.702,25.597,2614728
2011-11-14,25.022,25.58,25.232,2557859
2011-11-15,24.973,25.605,25.273,2916052
2011-11-16,24.722,25.394,24.771,3820661
2011-11-17,24.488,25.046,24.69,3499602
2011-11-18,24.698,25.135,25.03,4085062
2011-11-21,24.204,24.682,24.463,3968671
2011-11-22,24.444,25.251,24.796,5145600
2011-11-23,23.997,24.538,24.032,3158400
2011-11-25,23.73,24.54,24.066,1588600
2011-11-28,24.626,25.316,25.238,3829100
2011-11-29,25.17,25.626,25.247,2859000
2011-11-30,25.919,26.445,26.394,3478800
2011-12-01,26.281,26.652,26.359,2415700
2011-12-02,26.514,26.988,26.652,3413000
2011-12-05,26.781,27.376,26.997,3801100
2011-12-06,26.704,27.057,26.704,3011500
2011-12-07,25.971,26.678,26.29,4855800
2011-12-08,25.307,26.256,25.368,4998000
2011-12-09,25.506,26.014,25.79,3693700
2011-12-12,25.195,25.618,25.566,2869400
2011-12-13,24.73,25.782,24.859,4662200
2011-12-14,24.351,24.773,24.385,4075000
2011-12-15,24.342,24.764,24.394,3612400
2011-12-16,24.566,24.954,24.618,4761900
2011-12-19,24.075,24.928,24.127,3546200
2011-12-20,24.566,24.902,24.678,4530000
2011-12-21,24.437,25.04,24.989,3452900
2011-12-22,25.006,25.497,25.376,2057700
2011-12-23,25.471,25.713,25.609,2753900
2011-12-27,25.575,26.014,25.868,2332500
2011-12-28,25.04,25.825,25.126,3115000
2011-12-29,25.014,25.342,25.23,1929900
2011-12-30,25.109,25.376,25.144,1346800
2012-01-03,25.704,26.1,25.859,3290500
2012-01-04,25.626,26.35,26.264,5360800
2012-01-05,25.885,27.238,27.126,7517800
2012-01-06,26.885,27.574,27.359,5495200
2012-01-09,27.324,28.014,27.73,5306000
2012-01-10,27.954,28.686,28.186,6334900
2012-01-11,28.264,28.652,28.462,3041800
2012-01-12,28.411,29.264,29.178,4931800
2012-01-13,28.479,29.014,28.902,3526000
2012-01-17,28.79,29.367,28.988,5470800
2012-01-18,28.919,29.393,29.255,5251600
2012-01-19,29.316,30.126,29.876,5047500
2012-01-20,29.669,30.057,30.031,3112800
2012-01-23,29.557,30.091,30.031,2236900
2012-01-24,29.652,30.178,30.117,2344800
2012-01-25,29.867,30.462,30.307,4070700
2012-01-26,29.807,30.6,29.85,3640600
2012-01-27,29.548,30.117,29.798,2724400
2012-01-30,29.247,29.962,29.867,2887800
2012-01-31,29.479,29.928,29.695,2903700
2012-02-01,29.902,30.419,30.281,3719300
2012-02-02,29.626,30.453,30.315,4928200
2012-02-03,30.548,31.333,31.143,4055300
2012-02-06,30.85,31.229,31.16,2107100
2012-02-07,30.729,31.367,31.177,3213500
2012-02-08,31.057,31.35,31.221,2749600
2012-02-09,30.841,31.315,31.074,2295800
2012-02-10,30.359,30.919,30.79,2753200
2012-02-13,30.557,31.16,30.979,2765700
2012-02-14,30.048,30.815,30.281,6386700
2012-02-15,29.747,30.453,29.936,5984400
2012-02-16,29.488,30.859,30.014,6667300
2012-02-17,29.953,30.462,30.109,3146800
2012-02-21,29.479,30.29,29.583,4524700
2012-02-22,29.574,29.989,29.773,4438200
2012-02-23,29.419,29.851,29.652,3975200
2012-02-24,29.989,30.274,30.024,4188000
2012-02-27,29.669,30.361,30.171,3392600
2012-02-28,30.05,30.715,30.612,4298200
2012-02-29,30.369,30.94,30.499,4138400
2012-03-01,30.603,31.009,30.905,2832600
2012-03-02,30.759,31.251,30.905,2817300
2012-03-05,30.828,31.251,31.182,2771000
2012-03-06,30.698,31.044,30.931,4518000
2012-03-07,30.88,31.165,31.035,4195300
2012-03-08,31.459,32.124,31.761,5444700
2012-03-09,31.701,32.695,32.453,5830500
2012-03-12,32.28,32.704,32.401,3504400
2012-03-13,32.617,33.162,33.162,3979500
2012-03-14,32.937,33.395,33.188,4159600
2012-03-15,32.92,33.378,33.179,2269200
2012-03-16,32.902,33.309,32.972,3448300
2012-03-19,32.557,33.093,32.92,3989200
2012-03-20,32.453,32.859,32.539,3414300
2012-03-21,32.453,32.972,32.747,2507400
2012-03-22,32.341,32.825,32.6,2058400
2012-03-23,32.194,32.686,32.609,2099200
2012-03-26,32.928,33.395,33.387,2917300
2012-03-27,33.119,33.568,33.326,3751600
2012-03-28,32.652,33.3,32.894,3109000
2012-03-29,32.228,32.825,32.539,2531900
2012-03-30,32.617,32.963,32.721,2901700
2012-04-02,32.427,32.989,32.885,3121300
2012-04-03,32.73,33.127,33.127,3119600
2012-04-04,32.366,32.773,32.557,2871200
2012-04-05,32.332,32.773,32.66,3660300
2012-04-09,31.917,32.626,32.41,3015300
2012-04-10,31.502,32.462,31.528,4654000
2012-04-11,31.64,32.384,32.28,2483800
2012-04-12,32.176,32.557,32.479,2678200
2012-04-13,32.133,32.453,32.254,2377900
2012-04-16,32.064,32.539,32.254,3025800
2012-04-17,32.297,32.902,32.773,2666600
2012-04-18,32.557,33.006,32.704,2484600
2012-04-19,33.534,34.484,34.104,6224100
2012-04-20,33.534,34.312,33.629,6021300
2012-04-23,32.807,33.413,33.291,3506900
2012-04-24,33.015,33.464,33.196,2910400
2012-04-25,33.326,33.732,33.732,3001900
2012-04-26,33.767,34.467,34.381,3790300
2012-04-27,34.078,34.467,34.173,3718300
2012-04-30,33.568,34.052,33.793,2195700
2012-05-01,33.732,34.493,34.277,3007700
2012-05-02,33.853,34.856,34.571,5474400
2012-05-03,34.415,34.969,34.657,4310200
2012-05-04,33.905,34.51,33.957,3147500
2012-05-07,33.559,34.182,33.966,3090000
2012-05-08,32.825,33.845,33.559,3682600
2012-05-09,32.946,34.087,33.871,3807300
2012-05-10,33.663,34.45,33.923,2588000
2012-05-11,33.464,34.277,34.009,2533600
2012-05-14,33.283,33.802,33.447,2754500
2012-05-15,33.291,34.113,33.75,3569700
2012-05-16,33.455,34.175,33.455,3205000
2012-05-17,32.058,33.576,32.11,4081200
2012-05-18,31.763,32.726,31.946,4519200
2012-05-21,31.98,33.012,32.969,2356600
2012-05-22,32.7,33.446,32.856,3337600
2012-05-23,32.344,33.203,33.056,3547600
2012-05-24,32.917,33.394,33.299,2502100
2012-05-25,33.09,33.654,33.515,2423400
2012-05-29,33.489,33.993,33.949,2770700
2012-05-30,32.952,33.628,33.212,3553500
2012-05-31,32.431,33.81,33.576,4218300
2012-06-01,31.512,32.874,31.651,5971500
2012-06-04,31.13,31.911,31.512,4315300
2012-06-05,30.948,31.928,31.841,3491500
2012-06-06,32.076,32.778,32.57,4044800
2012-06-07,32.466,33.463,32.561,3173300
2012-06-08,32.232,32.787,32.787,2349800
2012-06-11,31.945,33.125,31.972,2632000
2012-06-12,31.867,32.544,32.527,2469100
2012-06-13,31.928,32.527,32.067,2062600
2012-06-14,31.989,32.856,32.657,1821700
2012-06-15,32.466,32.986,32.943,2160700
2012-06-18,32.509,33.446,33.29,2099800
2012-06-19,33.602,34.686,34.365,3663800
2012-06-20,34.105,34.695,34.53,3074800
2012-06-21,33.489,34.634,33.515,2986900
2012-06-22,33.385,33.923,33.654,2761700
2012-06-25,32.57,33.377,32.77,1851400
2012-06-26,32.388,33.047,32.848,2132900
2012-06-27,32.674,33.125,33.099,2614300
2012-06-28,32.18,33.16,32.561,2630400
2012-06-29,33.385,34.071,34.001,3076700
2012-07-02,33.793,34.244,34.045,2979100
2012-07-03,33.819,34.157,34.045,1328800
2012-07-05,33.585,34.582,34.331,2475900
2012-07-06,33.732,34.253,34.175,2479900
2012-07-09,33.776,34.305,33.793,3503800
2012-07-10,32.874,34.261,33.108,4015100
2012-07-11,32.735,33.897,32.986,6297000
2012-07-12,30.801,32.397,30.861,9569800
2012-07-13,30.801,31.52,31.468,4893300
2012-07-16,31.286,31.555,31.33,2911800
2012-07-17,31.13,31.893,31.833,4987100
2012-07-18,31.425,32.214,31.833,3592600
2012-07-19,31.815,32.683,32.345,2938000
2012-07-20,31.919,32.44,31.963,3511100
2012-07-23,30.792,31.416,31.052,4389000
2012-07-24,30.089,31.208,30.384,4963200
2012-07-25,30.341,30.922,30.653,3613200
2012-07-26,30.688,31.356,31.278,3666400
2012-07-27,31.477,32.18,31.998,2820200
2012-07-30,31.382,32.145,31.659,2371900
2012-07-31,31.382,31.798,31.59,2415400
2012-08-01,31.286,31.911,31.529,2083800
2012-08-02,30.939,31.694,31.503,2363600
2012-08-03,31.937,32.709,32.57,2070700
2012-08-06,32.362,32.813,32.397,2670000
2012-08-07,32.579,33.186,33.064,2639300
2012-08-08,32.162,32.743,32.301,3094200
2012-08-09,32.266,32.665,32.345,2284900
2012-08-10,31.763,32.284,32.041,2075800
2012-08-13,31.876,32.206,32.032,1567000
2012-08-14,31.72,32.457,31.798,2042700
2012-08-15,31.59,32.015,31.911,1578400
2012-08-16,31.859,32.934,32.796,1837000
2012-08-17,32.77,33.09,33.004,2067900
2012-08-20,32.501,32.96,32.57,2588700
2012-08-21,32.291,32.779,32.379,2190600
2012-08-22,31.987,32.526,32.413,2483200
