,Low,High,Close,Volume
2010-12-09,18.734,19.09,18.889,3044200
2010-12-10,18.734,19.119,18.897,2656100
2010-12-13,18.793,19.468,18.837,3478000
2010-12-14,18.778,18.993,18.882,2910700
2010-12-15,18.645,18.934,18.748,3632000
2010-12-16,18.57,18.912,18.808,3106100
2010-12-17,18.652,19.075,19.03,4782700
2010-12-20,18.919,19.134,19.03,16342100
2010-12-21,19.001,19.29,19.186,3129500
2010-12-22,19.216,19.802,19.453,5775400
2010-12-23,19.097,19.498,19.193,1542100
2010-12-27,18.993,19.305,19.201,1165400
2010-12-28,18.919,19.305,19.06,1615800
2010-12-29,18.993,19.164,19.067,1313900
2010-12-30,18.971,19.171,18.971,1789900
2010-12-31,18.83,19.045,18.86,1992500
2011-01-03,19.03,19.193,19.119,3735800
2011-01-04,18.593,19.231,18.748,5322400
2011-01-05,18.556,18.949,18.889,2288000
2011-01-06,18.311,18.86,18.43,6187000
2011-01-07,17.859,18.637,17.933,5939400
2011-01-10,17.51,17.918,17.725,6099700
2011-01-11,17.695,17.896,17.829,3923800
2011-01-12,17.569,17.985,17.762,4575200
2011-01-13,17.695,17.903,17.836,2767800
2011-01-14,17.369,17.844,17.762,6533800
2011-01-18,17.547,17.755,17.688,6296900
2011-01-19,17.54,17.732,17.673,2767000
2011-01-20,17.488,17.718,17.621,3453600
2011-01-21,17.362,17.681,17.436,3600700
2011-01-24,17.376,17.592,17.54,3941700
2011-01-25,17.354,17.621,17.606,2807000
2011-01-26,17.562,17.866,17.799,2868200
2011-01-27,17.799,18.081,18.014,2464000
2011-01-28,17.421,18.103,17.436,2820200
2011-01-31,17.369,17.762,17.562,2663800
2011-02-01,17.629,17.97,17.91,4603300
2011-02-02,18.029,18.778,18.074,9228900
2011-02-03,18.059,18.719,18.593,5521000
2011-02-04,18.452,18.793,18.726,3552900
2011-02-07,18.519,18.889,18.823,3537800
2011-02-08,18.674,18.978,18.964,2502600
2011-02-09,18.882,19.127,19.067,2752300
2011-02-10,18.748,19.119,19.008,2622400
2011-02-11,18.719,18.978,18.956,2300600
2011-02-14,18.645,18.941,18.793,2266300
2011-02-15,18.474,18.771,18.771,2999300
2011-02-16,18.734,19.09,18.964,3731400
2011-02-17,18.815,19.201,19.171,3204000
2011-02-18,18.934,19.179,18.941,4341400
2011-02-22,18.642,19.031,18.754,3141800
2011-02-23,18.26,18.769,18.612,5248500
2011-02-24,18.148,18.642,18.432,4055400
2011-02-25,18.35,18.724,18.649,3438000
2011-02-28,18.597,18.829,18.754,3440000
2011-03-01,18.582,18.956,18.597,4381000
2011-03-02,18.515,18.829,18.769,3188000
2011-03-03,18.889,19.218,19.143,3182500
2011-03-04,18.881,19.166,19.098,3223900
2011-03-07,18.792,19.301,18.986,3107100
2011-03-08,18.732,19.226,19.143,2723900
2011-03-09,18.896,19.263,19.128,3056900
2011-03-10,18.694,18.971,18.762,3847700
2011-03-11,18.612,18.851,18.762,2641300
2011-03-14,18.462,18.874,18.717,3143100
2011-03-15,18.26,18.664,18.567,3217200
2011-03-16,18.096,18.47,18.283,4653200
2011-03-17,18.298,18.605,18.35,3420600
2011-03-18,18.26,18.545,18.44,6149200
2011-03-21,18.522,18.851,18.56,4567200
2011-03-22,18.373,18.627,18.395,4138400
2011-03-23,18.245,18.672,18.612,3028500
2011-03-24,18.41,18.941,18.904,3132800
2011-03-25,18.814,19.113,18.859,2602400
2011-03-28,18.724,19.016,18.732,2337200
2011-03-29,18.56,18.784,18.709,3075300
2011-03-30,18.627,18.784,18.694,3540000
2011-03-31,18.612,18.769,18.657,3227900
2011-04-01,18.724,19.061,18.904,3418900
2011-04-04,18.851,19.024,18.964,2053700
2011-04-05,18.851,19.083,19.046,3565400
2011-04-06,18.979,19.338,19.136,4309500
2011-04-07,18.986,19.315,19.188,3474300
2011-04-08,18.904,19.308,18.986,3372900
2011-04-11,19.016,19.383,19.293,4198100
2011-04-12,18.859,19.48,18.949,5929100
2011-04-13,18.829,19.061,19.031,4125200
2011-04-14,18.851,19.263,19.263,5443100
2011-04-15,19.817,20.752,20.056,12554500
2011-04-18,19.428,19.832,19.637,4725300
2011-04-19,19.667,20.019,19.862,4306200
2011-04-20,19.937,20.206,20.154,5883600
2011-04-21,19.585,20.176,19.959,5414600
2011-04-25,19.787,20.064,19.899,2235800
2011-04-26,19.847,20.071,20.011,4192300
2011-04-27,19.952,20.199,20.161,3323500
2011-04-28,20.011,20.311,20.251,3200000
2011-04-29,19.989,20.273,19.996,5937700
2011-05-02,19.862,20.146,19.982,3898000
2011-05-03,19.69,20.071,19.727,3500000
2011-05-04,19.72,20.026,20.019,8446800
2011-05-05,19.779,20.056,19.937,4000000
2011-05-06,19.809,20.169,19.944,4336700
2011-05-09,19.877,20.094,20.019,3713000
2011-05-10,20.004,20.146,20.109,2046100
2011-05-11,19.727,20.199,19.794,2605000
2011-05-12,19.712,20.131,20.041,2600000
2011-05-13,19.787,20.079,19.869,2101900
2011-05-16,19.66,19.869,19.794,2811400
2011-05-17,19.675,20.041,19.996,4267000
2011-05-18,19.854,20.109,20.071,2777300
2011-05-19,19.996,20.243,20.191,3252700
2011-05-20,19.869,20.184,19.974,2026600
2011-05-23,19.732,19.989,19.868,2509500
2011-05-24,19.702,19.982,19.883,2828600
2011-05-25,19.725,20.019,19.899,2398800
2011-05-26,19.582,19.891,19.778,2415800
2011-05-27,19.634,19.853,19.71,1762100
2011-05-31,19.702,19.929,19.929,3902100
2011-06-01,19.717,20.201,19.732,3428900
2011-06-02,19.665,19.846,19.732,2414500
2011-06-03,19.325,19.627,19.393,3425900
2011-06-06,19.204,19.461,19.423,2686100
2011-06-07,19.363,19.566,19.378,2868100
2011-06-08,19.0,19.325,19.046,3208800
2011-06-09,19.03,19.287,19.264,2612300
2011-06-10,19.083,19.257,19.151,3271500
2011-06-13,19.159,19.393,19.317,2606600
2011-06-14,19.34,19.582,19.453,2852600
2011-06-15,19.242,19.619,19.347,3564600
2011-06-16,19.317,19.634,19.468,2638900
2011-06-17,19.581,19.876,19.717,4407400
2011-06-20,19.77,20.268,20.246,6811900
2011-06-21,20.178,20.533,20.51,4391500
2011-06-22,20.299,20.57,20.306,3386000
2011-06-23,20.057,20.374,20.329,3917600
2011-06-24,19.944,20.374,20.193,5912000
2011-06-27,20.034,20.382,20.291,2135700
2011-06-28,20.268,20.661,20.638,2239200
2011-06-29,20.518,20.842,20.593,2877800
2011-06-30,20.585,20.759,20.752,2860200
2011-07-01,20.752,21.137,21.129,2224800
2011-07-05,20.955,21.212,21.069,3049300
2011-07-06,20.827,21.265,20.857,3560400
2011-07-07,20.827,21.25,21.137,5392300
2011-07-08,20.767,21.091,20.872,3217300
2011-07-11,20.374,20.669,20.48,3833700
2011-07-12,20.367,20.684,20.593,4832800
2011-07-13,20.336,20.759,20.404,3174700
2011-07-14,20.072,20.472,20.223,4258700
2011-07-15,20.427,21.506,20.601,8728700
2011-07-18,20.102,20.752,20.284,5466500
2011-07-19,20.208,20.555,20.397,3705800
2011-07-20,19.989,20.487,20.148,3892600
2011-07-21,20.155,20.382,20.253,3456800
2011-07-22,20.193,20.45,20.389,2736800
2011-07-25,20.231,20.525,20.465,3647900
2011-07-26,20.306,20.578,20.435,3276600
2011-07-27,20.125,20.608,20.17,3897700
2011-07-28,20.072,20.472,20.095,2469900
2011-07-29,19.732,20.201,20.125,4084500
2011-08-01,19.665,20.268,19.914,3939700
2011-08-02,19.234,19.77,19.234,3933700
2011-08-03,18.94,19.438,19.423,3474800
2011-08-04,18.585,19.408,18.585,7333500
2011-08-05,17.943,18.947,18.494,7891600
2011-08-08,17.279,18.381,17.317,7811500
2011-08-09,17.136,18.276,18.276,8731300
2011-08-10,17.392,18.117,17.392,7795200
2011-08-11,17.445,18.389,18.177,5260100
2011-08-12,18.042,18.57,18.434,3055200
2011-08-15,18.313,18.751,18.728,3510400
2011-08-16,18.517,18.947,18.812,3011100
2011-08-17,18.54,19.098,18.706,2305000
2011-08-18,17.815,18.411,17.981,4373200
2011-08-19,17.74,18.306,17.875,2941300
2011-08-22,18.019,18.374,18.155,3583900
2011-08-23,18.125,18.872,18.872,3645400
2011-08-24,18.766,19.249,19.212,3422300
2011-08-25,18.812,19.347,18.887,3381900
2011-08-26,18.57,19.438,19.264,4419900
2011-08-29,19.386,20.133,20.087,4395600
2011-08-30,20.003,20.925,20.765,7184800
