,Low,High,Close,Volume
2017-10-27,9.881,10.501,10.203,4083150
2017-10-30,10.07,10.926,10.385,618900
2017-10-31,10.326,10.674,10.422,240150
2017-11-01,10.331,10.674,10.574,77550
2017-11-02,10.589,11.236,10.926,207150
2017-11-03,10.719,11.637,10.792,75150
2017-11-06,10.719,11.388,10.969,98250
2017-11-07,10.719,10.999,10.841,117750
2017-11-08,10.75,10.926,10.896,52650
2017-11-09,10.659,10.829,10.72,78750
2017-11-10,10.628,10.75,10.634,116550
2017-11-13,10.477,10.72,10.671,138150
2017-11-14,10.513,10.774,10.744,79800
2017-11-15,10.513,10.762,10.659,97200
2017-11-16,10.543,10.774,10.647,47400
2017-11-17,10.58,10.738,10.707,59850
2017-11-20,10.593,10.738,10.738,54000
2017-11-21,10.598,10.871,10.653,169950
2017-11-22,10.598,10.839,10.72,75300
2017-11-24,10.634,10.859,10.792,18750
2017-11-27,10.726,10.841,10.817,72900
2017-11-28,10.719,10.841,10.78,63300
2017-11-29,10.719,10.92,10.823,274650
2017-11-30,10.78,11.327,11.132,178650
2017-12-01,10.999,11.484,11.388,142650
2017-12-04,11.2,12.359,11.545,238350
2017-12-05,11.582,11.916,11.728,281100
2017-12-06,11.527,12.025,11.922,114750
2017-12-07,11.573,12.268,12.147,370650
2017-12-08,11.916,12.626,12.189,460500
2017-12-11,11.242,13.343,12.724,232350
2017-12-12,12.517,12.815,12.736,122400
2017-12-13,12.244,12.736,12.542,137700
2017-12-14,12.542,12.785,12.657,186150
2017-12-15,12.231,12.572,12.268,1386450
2017-12-18,12.012,12.359,12.061,149400
2017-12-19,12.048,12.207,12.146,104250
2017-12-20,12.067,12.465,12.261,82500
2017-12-21,12.213,12.42,12.341,133800
2017-12-22,11.762,12.328,12.042,736350
2017-12-26,12.018,12.176,12.085,67200
2017-12-27,11.987,12.176,12.024,70050
2017-12-28,11.799,12.176,12.024,94800
2017-12-29,11.951,12.079,11.981,27750
2018-01-02,11.933,12.219,12.152,126600
2018-01-03,11.902,12.146,11.945,63150
2018-01-04,11.933,12.092,11.957,40500
2018-01-05,11.933,12.085,11.981,55500
2018-01-08,11.981,12.432,12.371,76950
