,Low,High,Close,Volume
2010-12-09,14.629,14.734,14.705,7647900
2010-12-10,14.488,14.767,14.544,8904000
2010-12-13,14.521,14.663,14.606,6556300
2010-12-14,14.629,14.899,14.847,9021600
2010-12-15,14.776,14.942,14.89,8873000
2010-12-16,14.804,14.97,14.965,7204400
2010-12-17,14.913,15.112,15.102,11699500
2010-12-20,14.994,15.126,15.008,9979700
2010-12-21,15.046,15.126,15.06,7235900
2010-12-22,15.013,15.121,15.079,5854300
2010-12-23,15.05,15.121,15.079,4491200
2010-12-27,14.937,15.06,14.951,4520700
2010-12-28,14.951,15.084,15.069,4900000
2010-12-29,15.065,15.189,15.065,5259600
2010-12-30,14.945,15.088,15.041,4033200
2010-12-31,14.974,15.098,15.041,3398900
2011-01-03,15.026,15.16,15.117,8525800
2011-01-04,14.969,15.155,15.084,11578300
2011-01-05,15.017,15.155,15.05,10456100
2011-01-06,14.883,15.084,14.926,7661500
2011-01-07,14.864,15.003,14.888,6747800
2011-01-10,14.745,14.912,14.898,5462800
2011-01-11,14.883,15.012,14.936,6619200
2011-01-12,14.95,15.141,15.036,6225800
2011-01-13,14.979,15.136,15.007,6647000
2011-01-14,14.931,15.045,14.96,6005400
2011-01-18,14.745,15.045,14.821,11693500
2011-01-19,14.745,14.917,14.883,8479500
2011-01-20,14.859,14.979,14.907,10411400
2011-01-21,14.812,14.964,14.964,10612400
2011-01-24,14.926,15.165,15.003,12116800
2011-01-25,14.802,15.017,14.883,9323800
2011-01-26,14.788,14.931,14.812,10967900
2011-01-27,14.559,14.812,14.578,11887300
2011-01-28,14.559,14.668,14.573,11356900
2011-01-31,14.42,14.797,14.592,10801100
2011-02-01,14.53,14.692,14.64,6914300
2011-02-02,14.544,14.668,14.587,5522200
2011-02-03,14.554,14.707,14.673,4926800
2011-02-04,14.664,14.902,14.888,6594900
2011-02-07,14.625,14.883,14.735,10193000
2011-02-08,14.668,14.859,14.859,9267100
2011-02-09,14.773,14.917,14.912,6390100
2011-02-10,14.683,14.912,14.85,16277900
2011-02-11,14.435,14.668,14.635,23766300
2011-02-14,14.506,14.673,14.554,11068800
2011-02-15,14.444,14.64,14.64,7831300
2011-02-16,14.525,14.702,14.702,12013600
2011-02-17,14.611,14.764,14.721,7257600
2011-02-18,14.635,14.788,14.754,7860600
2011-02-22,14.635,15.05,15.022,14453400
2011-02-23,15.012,15.37,15.122,18315200
2011-02-24,15.103,15.26,15.17,9432400
2011-02-25,15.098,15.256,15.136,8249900
2011-02-28,15.041,15.198,15.198,9314400
2011-03-01,15.026,15.217,15.06,8171500
2011-03-02,14.936,15.15,15.031,6816200
2011-03-03,15.088,15.213,15.184,11585400
2011-03-04,14.993,15.213,15.074,19309400
2011-03-07,14.883,15.074,14.955,12234400
2011-03-08,14.921,15.022,15.012,8472200
2011-03-09,14.95,15.136,15.117,5943800
2011-03-10,14.979,15.093,15.036,8637300
2011-03-11,14.993,15.174,15.131,6473000
2011-03-14,14.921,15.084,14.969,6791200
2011-03-15,14.721,14.898,14.859,10119400
2011-03-16,14.659,14.821,14.726,11389000
2011-03-17,14.535,14.888,14.683,12837400
2011-03-18,14.692,14.835,14.793,10564700
2011-03-21,14.525,14.802,14.745,14984300
2011-03-22,14.745,14.835,14.812,6296500
2011-03-23,14.683,14.864,14.85,7489900
2011-03-24,14.831,14.964,14.931,6051100
2011-03-25,14.912,15.031,14.921,7123400
2011-03-28,14.936,15.084,15.022,6950800
