,Low,High,Close,Volume
2010-12-09,64.807,67.171,65.359,495700
2010-12-10,65.553,66.725,65.998,444300
2010-12-13,64.089,70.475,70.233,2825300
2010-12-14,68.421,71.59,68.644,1237900
2010-12-15,67.491,70.533,67.52,777400
2010-12-16,66.183,67.84,66.822,594000
2010-12-17,66.425,68.004,67.878,497700
2010-12-20,65.659,68.537,65.892,868600
2010-12-21,65.679,67.132,66.851,549800
2010-12-22,64.632,67.374,67.103,578600
2010-12-23,66.871,67.791,67.694,365400
2010-12-27,66.289,67.646,67.433,547600
2010-12-28,66.396,68.217,66.793,499300
2010-12-29,66.648,68.353,67.655,408700
2010-12-30,67.064,68.702,68.004,311300
2010-12-31,62.859,68.411,64.574,1555200
2011-01-03,66.619,68.363,67.936,973300
2011-01-04,66.841,69.119,68.45,732800
2011-01-05,67.452,70.049,69.874,480200
2011-01-06,69.632,73.528,72.229,1072300
2011-01-07,69.923,72.985,71.56,609200
2011-01-10,71.405,73.595,72.016,336900
2011-01-11,71.706,73.595,71.9,179900
2011-01-12,70.63,72.568,71.018,334500
2011-01-13,70.32,71.696,71.076,316000
2011-01-14,69.903,73.227,72.869,461800
2011-01-18,72.869,76.909,72.888,1430600
2011-01-19,70.32,73.188,70.882,917000
2011-01-20,67.016,70.33,68.741,940100
2011-01-21,68.169,69.962,68.77,480300
2011-01-24,67.869,69.438,69.128,333700
2011-01-25,66.609,69.06,67.316,459600
2011-01-26,66.386,68.121,67.752,575700
2011-01-27,67.791,68.692,67.956,441300
2011-01-28,65.01,68.595,65.059,851600
2011-01-31,64.971,66.57,65.679,560200
2011-02-01,65.892,67.81,66.628,427900
2011-02-02,66.008,68.353,67.52,359700
2011-02-03,66.066,67.714,66.512,204800
2011-02-04,65.504,67.491,67.365,238400
2011-02-07,66.948,68.072,67.791,305200
2011-02-08,66.425,67.646,66.958,267700
2011-02-09,66.338,67.597,66.648,236700
2011-02-10,65.533,68.411,68.237,367000
2011-02-11,68.072,70.543,69.874,409600
2011-02-14,69.622,71.483,70.475,265600
2011-02-15,68.828,70.669,69.845,257800
2011-02-16,69.642,70.747,70.591,189400
2011-02-17,69.865,72.81,71.686,333100
2011-02-18,70.146,72.181,70.543,391900
2011-02-22,66.434,69.622,66.715,637500
2011-02-23,63.421,66.715,64.971,1167600
2011-02-24,63.857,66.357,65.02,1193100
2011-02-25,64.031,66.861,64.196,770800
2011-02-28,62.5,65.252,63.741,1036500
2011-03-01,62.529,65.378,63.44,1140000
2011-03-02,62.568,64.807,63.343,989000
2011-03-03,63.382,64.632,64.332,728700
2011-03-04,63.431,65.223,64.933,600000
2011-03-07,64.671,66.977,66.425,970200
2011-03-08,64.962,68.101,67.355,557900
2011-03-09,66.58,68.256,67.374,583000
2011-03-10,65.175,67.161,66.163,483800
2011-03-11,65.039,66.202,65.659,354600
2011-03-14,64.768,65.931,65.475,341700
2011-03-15,63.053,65.882,65.301,409900
2011-03-16,62.965,65.805,63.944,521100
2011-03-17,63.741,64.807,64.245,302600
2011-03-18,62.888,65.349,62.956,501400
2011-03-21,62.258,64.729,64.361,397300
2011-03-22,63.644,65.863,65.184,443600
2011-03-23,64.516,66.202,65.902,198100
2011-03-24,65.824,71.105,70.717,1025200
2011-03-25,70.543,71.929,71.512,594600
2011-03-28,71.25,74.099,73.663,812900
2011-03-29,72.907,77.582,76.282,1835000
2011-03-30,75.632,78.562,78.232,983400
2011-03-31,77.029,79.571,79.183,798000
2011-04-01,78.31,81.773,80.463,892600
2011-04-04,81.132,84.76,82.781,1485000
2011-04-05,80.9,83.499,83.034,1022000
2011-04-06,78.863,84.333,81.22,842000
2011-04-07,80.589,82.684,82.034,464100
2011-04-08,82.17,84.198,82.83,455100
2011-04-11,81.996,83.858,82.937,365000
2011-04-12,79.842,82.937,80.24,536300
2011-04-13,80.657,84.042,82.781,1125200
2011-04-14,81.579,83.955,82.675,640400
2011-04-15,81.976,83.674,83.577,524300
2011-04-18,81.976,86.332,84.78,798400
2011-04-19,84.886,88.0,87.835,1263600
2011-04-20,85.915,89.717,86.545,875600
2011-04-21,84.935,87.622,87.243,519200
2011-04-25,85.885,88.019,87.234,541100
2011-04-26,86.283,88.456,87.117,332700
2011-04-27,85.177,88.737,88.078,501700
2011-04-28,87.37,89.95,88.504,639100
2011-04-29,88.301,89.348,88.66,324000
2011-05-02,87.166,89.756,89.436,498700
2011-05-03,83.528,89.281,84.159,751600
2011-05-04,81.967,85.342,83.198,1234200
2011-05-05,79.629,88.204,86.235,1555600
2011-05-06,84.838,88.0,86.05,625800
2011-05-09,85.323,86.749,86.07,459900
2011-05-10,85.497,87.098,85.847,589100
2011-05-11,83.955,86.138,84.983,406600
2011-05-12,83.15,85.488,84.275,412000
2011-05-13,82.801,85.119,83.024,376600
2011-05-16,81.268,83.955,82.199,448100
2011-05-17,81.229,84.45,83.829,399400
2011-05-18,83.829,85.856,85.362,971100
2011-05-19,85.4,87.224,86.303,925900
2011-05-20,85.371,86.991,85.546,360100
2011-05-23,83.024,85.061,83.616,377800
2011-05-24,82.849,85.032,83.334,377200
2011-05-25,81.986,84.576,84.401,365300
2011-05-26,83.664,84.915,84.469,357300
2011-05-27,84.052,85.818,85.391,600300
2011-05-31,83.412,87.302,85.478,809800
2011-06-01,85.197,89.484,85.362,1282500
2011-06-02,84.615,87.117,87.011,624700
2011-06-03,85.09,89.484,86.991,872600
2011-06-06,79.221,87.554,79.697,1633800
2011-06-07,76.661,80.124,79.289,1148600
2011-06-08,75.186,79.231,75.982,835500
2011-06-09,75.07,78.077,77.524,647000
2011-06-10,74.992,77.475,76.496,644100
2011-06-13,72.994,76.932,74.992,758300
2011-06-14,75.768,78.164,77.863,439600
2011-06-15,73.489,76.806,73.915,656700
2011-06-16,72.169,75.07,73.634,444400
2011-06-17,73.227,74.74,73.741,599400
2011-06-20,71.151,72.965,72.102,1066700
2011-06-21,72.596,77.301,76.893,1188800
2011-06-22,74.507,76.796,74.585,475700
2011-06-23,72.751,76.059,76.059,310200
2011-06-24,74.691,77.155,74.992,269000
2011-06-27,74.827,77.097,76.214,225800
2011-06-28,73.398,75.981,73.758,1360200
2011-06-29,72.67,74.661,72.932,834400
2011-06-30,74.272,77.273,77.04,1053000
2011-07-01,75.574,79.487,79.186,653800
2011-07-05,78.215,80.098,79.836,438600
2011-07-06,79.205,80.691,80.458,440900
2011-07-07,80.895,83.215,82.594,538200
2011-07-08,78.797,81.535,80.632,469400
2011-07-11,77.438,80.195,78.147,422700
2011-07-12,75.933,77.962,76.243,537600
2011-07-13,76.69,78.419,77.011,518500
2011-07-14,75.069,77.875,75.389,253000
2011-07-15,75.942,77.37,76.69,346600
2011-07-18,73.33,76.438,73.797,395900
2011-07-19,74.583,76.768,76.185,388700
2011-07-20,73.699,77.001,74.505,228600
2011-07-21,74.486,79.05,78.02,706900
2011-07-22,78.04,79.943,79.661,370300
2011-07-25,77.817,80.38,78.02,209600
2011-07-26,77.884,79.623,78.525,244300
2011-07-27,75.573,79.069,76.156,426300
2011-07-28,74.787,78.001,77.156,319000
2011-07-29,74.185,78.147,77.117,380100
2011-08-01,75.651,78.836,76.564,289700
2011-08-02,71.864,76.884,72.165,539000
2011-08-03,69.039,73.272,70.194,1122100
2011-08-04,60.601,67.504,62.203,2256100
2011-08-05,56.823,63.115,60.435,1493800
2011-08-08,56.318,59.513,56.619,1127400
2011-08-09,56.318,61.62,61.387,1297300
2011-08-10,58.532,63.086,60.717,764200
2011-08-11,60.746,65.3,64.271,573700
2011-08-12,65.669,67.436,66.514,885500
2011-08-15,66.029,67.883,67.135,441000
2011-08-16,64.659,66.766,65.883,548300
2011-08-17,65.873,67.699,66.65,564300
2011-08-18,59.542,63.98,60.406,1016400
2011-08-19,58.144,61.513,58.455,449600
2011-08-22,57.979,60.29,58.406,337000
2011-08-23,57.289,61.746,61.746,347500
2011-08-24,60.96,63.271,62.378,534800
2011-08-25,60.736,63.096,60.931,215200
2011-08-26,59.969,63.562,63.028,215700
2011-08-29,63.698,66.077,65.572,206400
2011-08-30,64.824,67.495,66.776,220700
2011-08-31,64.553,67.903,65.426,411000
2011-09-01,64.815,67.116,66.252,283400
2011-09-02,64.174,66.699,65.834,397200
2011-09-06,61.64,64.086,63.883,357400
2011-09-07,64.689,67.271,67.135,355200
2011-09-08,66.281,68.126,67.417,410400
2011-09-09,63.115,66.524,63.853,494200
2011-09-12,61.173,64.271,64.057,621500
2011-09-13,64.164,65.776,65.446,155600
2011-09-14,65.446,67.524,66.718,285200
2011-09-15,65.562,67.631,67.029,439700
2011-09-16,65.999,66.951,66.397,397100
2011-09-19,64.436,67.203,66.563,343200
2011-09-20,65.737,68.825,66.291,633000
2011-09-21,61.97,66.553,62.242,375800
2011-09-22,56.328,60.426,58.921,1079600
2011-09-23,56.804,59.892,57.27,573100
2011-09-26,52.444,57.989,55.056,1755800
2011-09-27,55.833,58.251,57.008,850600
2011-09-28,54.528,57.319,54.694,443800
2011-09-29,52.7,56.386,55.258,607700
2011-09-30,50.61,54.742,52.263,774000
2011-10-03,46.964,51.495,48.16,933500
2011-10-04,47.605,51.718,51.66,969500
2011-10-05,49.978,54.11,53.702,680200
2011-10-06,54.208,55.656,55.199,335300
2011-10-07,54.237,56.609,55.579,628400
2011-10-10,56.308,58.447,57.64,405500
2011-10-11,56.522,59.128,58.33,429900
2011-10-12,57.28,59.176,57.358,476600
2011-10-13,56.434,58.641,58.457,324600
2011-10-14,59.468,60.897,60.129,333400
2011-10-17,58.554,60.09,59.39,302500
2011-10-18,57.62,59.73,59.448,516900
