,Low,High,Close,Volume
2010-12-09,6.025,6.094,6.078,608567
2010-12-10,6.03,6.148,6.137,669433
2010-12-13,6.148,6.223,6.18,592700
2010-12-14,6.158,6.235,6.185,600300
2010-12-15,6.027,6.224,6.048,522733
2010-12-16,6.054,6.131,6.103,376167
2010-12-17,5.999,6.12,6.01,976333
2010-12-20,5.972,6.043,6.016,537767
2010-12-21,6.048,6.191,6.185,401200
2010-12-22,6.169,6.246,6.196,245267
2010-12-23,6.163,6.224,6.202,300667
2010-12-27,6.125,6.191,6.158,315833
2010-12-28,6.125,6.191,6.153,280167
2010-12-29,6.081,6.185,6.092,311000
2010-12-30,6.07,6.142,6.081,272967
2010-12-31,6.048,6.12,6.065,364500
2011-01-03,6.114,6.3,6.18,511433
2011-01-04,6.163,6.262,6.235,606233
2011-01-05,6.191,6.328,6.328,348233
2011-01-06,6.224,6.322,6.235,439700
2011-01-07,6.103,6.284,6.213,295100
2011-01-10,6.18,6.399,6.339,672467
2011-01-11,6.344,6.421,6.383,376600
2011-01-12,6.448,6.574,6.552,781467
2011-01-13,6.47,6.574,6.498,456733
2011-01-14,6.492,6.624,6.596,500567
2011-01-18,6.481,6.673,6.673,623267
2011-01-19,6.372,6.629,6.41,718567
2011-01-20,6.125,6.3,6.224,1261867
2011-01-21,6.262,6.476,6.421,1240700
2011-01-24,6.311,6.514,6.492,503467
2011-01-25,6.333,6.514,6.383,659233
2011-01-26,6.355,6.552,6.531,593833
2011-01-27,6.492,6.574,6.509,700067
2011-01-28,6.273,6.542,6.295,696167
2011-01-31,6.251,6.465,6.465,591067
2011-02-01,6.465,6.607,6.58,582400
2011-02-02,6.542,6.657,6.629,415833
2011-02-03,6.52,6.64,6.607,307000
2011-02-04,6.416,6.596,6.596,653000
2011-02-07,6.509,6.646,6.574,471433
2011-02-08,6.514,6.635,6.635,515633
2011-02-09,6.525,6.602,6.547,349067
2011-02-10,6.514,6.585,6.542,525933
2011-02-11,6.498,6.624,6.624,423200
2011-02-14,6.542,6.657,6.607,262267
2011-02-15,6.574,6.662,6.64,291533
2011-02-16,6.629,6.728,6.706,505333
2011-02-17,6.684,6.794,6.794,545233
2011-02-18,6.673,6.821,6.695,437967
2011-02-22,6.492,6.673,6.503,669167
2011-02-23,6.421,6.668,6.459,386100
2011-02-24,6.416,6.613,6.613,659367
2011-02-25,6.607,6.804,6.794,402133
2011-02-28,6.744,6.826,6.777,480933
2011-03-01,6.58,6.821,6.596,427400
2011-03-02,6.525,6.646,6.618,374900
2011-03-03,6.657,6.783,6.722,623000
2011-03-04,6.607,6.761,6.662,385300
2011-03-07,6.574,6.755,6.64,381167
2011-03-08,6.585,6.783,6.766,443800
2011-03-09,6.673,6.788,6.744,400200
2011-03-10,6.607,6.711,6.613,530000
2011-03-11,6.58,6.673,6.651,416267
2011-03-14,6.569,6.668,6.602,545633
2011-03-15,6.226,6.495,6.372,908700
2011-03-16,6.26,6.462,6.265,662767
2011-03-17,6.293,6.417,6.344,357167
2011-03-18,6.316,6.529,6.372,676867
2011-03-21,6.456,6.585,6.579,390067
2011-03-22,6.411,6.613,6.45,370167
2011-03-23,6.394,6.568,6.546,430300
2011-03-24,6.495,6.613,6.579,324933
2011-03-25,6.557,6.725,6.635,413167
2011-03-28,6.591,6.703,6.647,252733
2011-03-29,6.534,6.692,6.652,239233
2011-03-30,6.68,6.748,6.748,401267
2011-03-31,6.708,6.792,6.77,473000
2011-04-01,6.792,6.865,6.843,252367
2011-04-04,6.787,6.893,6.809,260833
2011-04-05,6.748,6.843,6.77,305733
2011-04-06,6.787,6.871,6.86,320433
2011-04-07,6.787,6.882,6.826,301467
2011-04-08,6.703,6.882,6.731,259033
2011-04-11,6.602,6.809,6.613,261733
2011-04-12,6.484,6.635,6.484,303400
2011-04-13,6.428,6.574,6.49,324467
2011-04-14,6.422,6.501,6.484,234000
2011-04-15,6.45,6.568,6.563,317967
2011-04-18,6.355,6.478,6.462,446433
2011-04-19,6.316,6.501,6.377,364833
2011-04-20,6.417,6.551,6.484,335533
2011-04-21,6.428,6.54,6.534,310433
2011-04-25,6.473,6.669,6.641,400333
2011-04-26,6.484,6.692,6.692,1033333
2011-04-27,6.523,6.658,6.563,655467
2011-04-28,6.546,6.602,6.579,269333
2011-04-29,6.585,6.686,6.647,466667
2011-05-02,6.523,6.686,6.529,333800
2011-05-03,6.45,6.557,6.523,352200
2011-05-04,6.355,6.551,6.484,900933
2011-05-05,6.338,6.467,6.383,453233
2011-05-06,6.355,6.506,6.366,359767
2011-05-09,6.305,6.411,6.389,261000
2011-05-10,6.394,6.518,6.518,189567
2011-05-11,6.355,6.512,6.428,283767
2011-05-12,6.338,6.506,6.484,253667
2011-05-13,6.31,6.478,6.321,386500
2011-05-16,6.254,6.344,6.254,307967
2011-05-17,6.013,6.26,6.075,753867
2011-05-18,6.018,6.22,6.198,593267
2011-05-19,6.22,6.355,6.338,358633
2011-05-20,6.248,6.383,6.276,416200
2011-05-23,6.131,6.254,6.192,900000
2011-05-24,6.114,6.232,6.136,366667
2011-05-25,6.114,6.26,6.232,410300
2011-05-26,6.131,6.276,6.271,261700
2011-05-27,6.248,6.31,6.271,234900
2011-05-31,6.299,6.4,6.4,514300
2011-06-01,6.114,6.445,6.125,925133
2011-06-02,6.058,6.299,6.119,766833
2011-06-03,6.002,6.181,6.069,665767
2011-06-06,6.03,6.153,6.041,532700
2011-06-07,6.035,6.153,6.052,418200
2011-06-08,5.951,6.114,5.968,741133
2011-06-09,5.951,6.063,5.962,484767
2011-06-10,5.805,6.007,5.822,1011167
2011-06-13,5.805,5.912,5.873,770267
2011-06-14,5.855,5.965,5.948,507333
2011-06-15,5.688,5.936,5.746,735200
2011-06-16,5.705,5.878,5.734,606933
2011-06-17,5.717,5.827,5.752,746167
2011-06-20,5.717,5.815,5.792,898600
2011-06-21,5.775,5.913,5.85,587733
