,Low,High,Close,Volume
2010-12-09,19.258,19.462,19.429,108900
2010-12-10,19.267,19.536,19.513,101550
2010-12-13,19.494,19.637,19.568,114600
2010-12-14,19.545,19.739,19.582,150600
2010-12-15,19.6,19.892,19.702,94200
2010-12-16,19.661,19.929,19.841,113400
2010-12-17,19.707,19.934,19.887,180450
2010-12-20,19.952,20.119,20.077,77100
2010-12-21,19.855,20.179,19.957,76500
2010-12-22,19.934,20.165,20.095,76800
2010-12-23,19.971,20.091,20.063,36300
2010-12-27,19.91,19.998,19.98,29400
2010-12-28,19.855,20.095,20.021,50400
2010-12-29,19.873,20.1,20.017,57900
2010-12-30,19.887,20.045,19.887,40350
2010-12-31,19.739,19.947,19.781,39750
2011-01-03,19.878,20.105,19.966,59250
2011-01-04,19.661,20.077,19.772,104250
2011-01-05,19.679,19.827,19.776,63600
2011-01-06,19.587,19.79,19.762,49050
2011-01-07,19.526,19.79,19.781,53850
2011-01-10,19.563,19.883,19.832,86550
2011-01-11,19.698,19.887,19.855,73050
2011-01-12,19.799,20.058,19.934,89550
2011-01-13,19.748,19.947,19.892,76050
2011-01-14,19.739,19.989,19.822,150000
2011-01-18,19.656,19.961,19.906,76950
2011-01-19,19.684,19.952,19.716,76650
2011-01-20,19.522,19.776,19.596,76800
2011-01-21,19.429,19.725,19.476,86850
2011-01-24,19.429,19.684,19.596,55800
2011-01-25,19.499,19.651,19.642,40800
2011-01-26,19.633,19.846,19.813,58200
2011-01-27,19.651,19.887,19.735,38100
2011-01-28,19.082,19.721,19.133,103950
2011-01-31,18.717,19.23,18.828,101100
2011-02-01,18.902,19.337,19.267,66150
2011-02-02,19.031,19.249,19.166,19650
2011-02-03,18.953,19.179,19.022,36900
2011-02-04,18.916,19.11,18.981,56400
2011-02-07,18.967,19.087,19.059,27600
2011-02-08,18.888,19.124,19.124,62850
2011-02-09,18.981,19.092,19.064,32700
2011-02-10,18.967,19.082,19.082,34650
2011-02-11,18.967,19.235,19.235,56550
2011-02-14,19.064,19.304,19.087,37950
2011-02-15,19.05,19.189,19.087,30900
2011-02-16,19.068,19.203,19.138,59850
2011-02-17,19.092,19.207,19.193,50700
2011-02-18,19.17,19.318,19.244,83700
2011-02-22,19.142,19.582,19.161,88350
2011-02-23,18.967,19.281,18.971,117750
2011-02-24,18.953,19.156,19.031,124050
2011-02-25,18.926,19.193,19.076,89850
2011-02-28,18.87,19.211,19.127,133050
2011-03-01,18.852,19.272,18.898,257250
2011-03-02,18.59,18.898,18.838,162450
2011-03-03,18.497,19.108,19.08,150450
2011-03-04,18.772,19.108,18.922,80700
2011-03-07,18.758,19.108,18.842,97050
2011-03-08,18.749,19.141,19.085,64200
2011-03-09,19.034,19.295,19.281,51150
2011-03-10,18.847,19.193,18.847,105750
2011-03-11,18.791,19.052,18.866,95550
2011-03-14,18.679,19.258,18.866,128100
2011-03-15,18.572,18.782,18.572,120150
2011-03-16,18.329,18.642,18.371,108900
2011-03-17,18.217,18.525,18.221,122400
2011-03-18,18.203,18.497,18.315,176700
2011-03-21,18.39,18.642,18.586,69450
2011-03-22,18.506,18.754,18.698,91950
2011-03-23,18.511,18.744,18.698,55800
2011-03-24,18.688,18.894,18.842,140550
2011-03-25,18.707,18.95,18.707,181800
2011-03-28,18.623,18.889,18.632,92100
2011-03-29,18.632,18.828,18.726,90150
2011-03-30,18.768,18.94,18.856,150900
2011-03-31,18.852,19.01,18.903,157650
2011-04-01,18.922,19.295,19.253,152250
2011-04-04,19.146,19.347,19.305,40350
2011-04-05,19.211,19.468,19.351,89250
2011-04-06,19.197,19.515,19.473,102000
2011-04-07,19.3,19.491,19.3,80550
2011-04-08,19.094,19.421,19.141,62700
2011-04-11,18.842,19.15,18.978,82050
2011-04-12,18.768,18.945,18.768,86250
2011-04-13,18.679,18.875,18.768,79350
2011-04-14,18.674,18.894,18.884,65250
2011-04-15,18.777,19.15,19.099,86250
2011-04-18,18.772,19.071,18.88,48300
2011-04-19,18.707,18.908,18.758,58650
2011-04-20,18.94,19.118,19.029,61350
2011-04-21,18.945,19.169,19.085,100650
2011-04-25,18.954,19.16,19.034,30900
2011-04-26,19.034,19.375,19.225,59100
2011-04-27,19.197,19.477,19.44,46500
2011-04-28,19.263,19.585,19.566,33000
2011-04-29,19.398,19.678,19.613,88500
