,Low,High,Close,Volume
2010-12-09,17.668,18.037,17.889,194400
2010-12-10,17.84,18.218,18.201,213300
2010-12-13,18.021,18.324,18.144,231800
2010-12-14,18.045,18.39,18.119,161800
2010-12-15,17.832,18.439,18.062,168700
2010-12-16,18.136,18.759,18.694,253300
2010-12-17,18.825,20.179,19.818,1349100
2010-12-20,19.76,20.409,19.9,506100
2010-12-21,19.9,20.335,20.212,216300
2010-12-22,20.089,20.409,20.187,159800
2010-12-23,19.941,20.351,20.122,189100
2010-12-27,19.637,19.99,19.826,200700
2010-12-28,19.613,19.949,19.843,135200
2010-12-29,19.777,20.236,20.097,188400
2010-12-30,19.802,20.187,19.916,109700
2010-12-31,19.777,20.245,20.105,238900
2011-01-03,20.269,20.959,20.581,576900
2011-01-04,20.015,20.901,20.097,523000
2011-01-05,19.621,20.195,19.67,437200
2011-01-06,19.58,19.916,19.711,450600
2011-01-07,18.948,19.875,19.408,272300
2011-01-10,19.12,19.793,19.736,359300
2011-01-11,19.719,20.187,20.048,284500
2011-01-12,20.343,20.835,20.794,278100
2011-01-13,20.803,21.008,20.901,243400
2011-01-14,20.959,22.427,22.419,846400
2011-01-18,21.828,22.296,22.042,457300
2011-01-19,21.664,22.116,21.755,459600
2011-01-20,21.262,21.82,21.517,312800
2011-01-21,21.41,21.837,21.59,259700
2011-01-24,21.64,22.592,22.403,398500
2011-01-25,22.034,22.633,22.608,415400
2011-01-26,22.641,23.42,23.1,443100
2011-01-27,22.912,23.905,23.855,394700
2011-01-28,23.182,23.987,23.207,750200
2011-01-31,22.986,23.798,23.56,440800
2011-02-01,23.626,24.216,24.216,377800
2011-02-02,23.978,24.619,24.372,374600
2011-02-03,24.282,25.62,24.446,848000
2011-02-04,24.29,25.743,25.595,710100
2011-02-07,24.307,25.784,24.643,775500
2011-02-08,24.413,24.922,24.709,523700
2011-02-09,24.545,24.939,24.586,273900
2011-02-10,24.356,24.742,24.643,507000
2011-02-11,24.372,25.037,24.947,309200
2011-02-14,24.577,25.316,24.783,429200
2011-02-15,24.192,24.906,24.2,279400
2011-02-16,24.413,25.119,24.783,386900
2011-02-17,24.783,25.3,25.136,359100
2011-02-18,24.725,25.431,25.119,283400
2011-02-22,23.511,24.873,23.617,426700
2011-02-23,22.46,23.839,22.854,394000
2011-02-24,22.575,23.306,23.24,412200
2011-02-25,23.347,24.469,24.436,287100
2011-02-28,24.279,24.923,24.766,477200
2011-03-01,24.345,25.335,24.576,600800
2011-03-02,24.345,25.335,25.253,512900
2011-03-03,25.443,26.581,26.49,575300
2011-03-04,26.061,26.482,26.441,499500
2011-03-07,25.401,26.598,26.004,527300
2011-03-08,25.344,26.606,26.226,488500
2011-03-09,25.063,26.094,25.236,476900
2011-03-10,24.164,25.113,24.362,576000
2011-03-11,23.628,24.246,23.974,412900
2011-03-14,23.454,24.222,23.941,291300
2011-03-15,22.398,23.958,23.702,322100
2011-03-16,23.207,23.916,23.52,493000
2011-03-17,23.793,24.304,23.974,304400
2011-03-18,24.733,25.418,25.286,884100
2011-03-21,25.319,26.004,25.566,588800
2011-03-22,25.583,25.971,25.715,422500
2011-03-23,25.294,25.698,25.525,354400
2011-03-24,25.591,26.449,26.35,300300
2011-03-25,26.276,27.043,26.284,332000
2011-03-28,25.674,26.977,26.664,250100
2011-03-29,25.987,27.183,27.051,364700
2011-03-30,26.87,27.786,27.72,414500
2011-03-31,27.192,27.769,27.472,379500
2011-04-01,27.315,27.802,27.431,372400
2011-04-04,27.109,27.794,27.472,348100
2011-04-05,27.159,27.909,27.505,266600
2011-04-06,27.373,27.885,27.794,222400
2011-04-07,26.763,27.926,26.763,419400
2011-04-08,26.193,27.134,26.424,417300
2011-04-11,25.979,26.721,26.037,378800
2011-04-12,24.799,25.905,24.824,473200
2011-04-13,24.296,25.162,24.37,768300
2011-04-14,23.925,24.436,24.362,452100
2011-04-15,24.213,24.642,24.527,439800
2011-04-18,23.512,24.189,23.809,366700
2011-04-19,23.388,24.09,23.751,353100
2011-04-20,24.131,24.75,24.37,587500
2011-04-21,23.454,24.288,23.801,664900
2011-04-25,23.314,23.974,23.347,442400
2011-04-26,23.034,23.817,23.355,519300
2011-04-27,23.116,23.859,23.685,467100
2011-04-28,23.306,23.892,23.339,274000
2011-04-29,23.331,23.76,23.413,250000
2011-05-02,21.549,23.504,21.672,862100
2011-05-03,21.169,22.002,21.326,1000000
2011-05-04,21.128,22.035,21.243,639900
2011-05-05,20.872,21.829,21.474,647100
2011-05-06,21.689,22.258,22.085,570500
2011-05-09,21.87,22.299,22.258,434800
2011-05-10,22.275,22.761,22.473,491300
2011-05-11,21.87,22.514,21.936,465300
2011-05-12,21.615,22.258,22.101,250100
2011-05-13,21.821,22.44,21.829,314500
2011-05-16,21.177,22.019,21.21,286200
2011-05-17,20.93,21.417,21.26,348400
2011-05-18,21.243,21.747,21.606,289800
2011-05-19,20.839,21.705,21.144,282700
2011-05-20,21.103,21.499,21.235,340600
2011-05-23,20.79,21.202,21.078,411100
2011-05-24,20.823,21.128,20.889,458600
