,Low,High,Close,Volume
2010-12-09,16.878,17.279,17.053,440300
2010-12-10,16.98,17.14,17.068,635700
2010-12-13,16.878,17.177,16.893,304700
2010-12-14,16.827,17.068,16.922,428200
2010-12-15,16.74,17.184,16.842,433800
2010-12-16,16.907,18.429,18.385,1294800
2010-12-17,18.217,18.64,18.378,837000
2010-12-20,18.348,18.96,18.676,431400
2010-12-21,18.618,18.923,18.916,181500
2010-12-22,18.654,19.025,18.771,327300
2010-12-23,18.632,18.996,18.953,178300
2010-12-27,18.756,19.011,18.953,172800
2010-12-28,18.763,19.047,18.96,186500
2010-12-29,18.756,18.996,18.814,106100
2010-12-30,18.625,19.011,18.763,130800
2010-12-31,18.341,18.742,18.414,287300
2011-01-03,18.203,19.04,18.8,233300
2011-01-04,18.145,18.931,18.931,693600
2011-01-05,18.611,19.513,19.484,587600
2011-01-06,18.763,19.557,18.894,305300
2011-01-07,18.385,19.28,18.822,259900
2011-01-10,18.276,19.054,18.938,312800
2011-01-11,18.771,19.178,18.909,163000
2011-01-12,18.625,19.12,18.923,170000
2011-01-13,18.712,19.011,18.865,131400
2011-01-14,18.669,19.033,19.011,190100
2011-01-18,18.698,19.076,19.076,395000
2011-01-19,18.137,18.96,18.239,332400
2011-01-20,17.977,18.443,18.072,172400
2011-01-21,17.861,18.196,17.926,210500
2011-01-24,17.65,18.181,18.072,207200
2011-01-25,17.621,18.05,17.861,260700
2011-01-26,17.89,18.414,18.247,303500
2011-01-27,17.875,18.217,18.152,225500
2011-01-28,17.3,18.116,17.475,323300
2011-01-31,16.893,17.708,17.562,344100
2011-02-01,17.475,17.832,17.679,342900
2011-02-02,17.533,17.854,17.548,279700
2011-02-03,17.089,17.504,17.148,277500
2011-02-04,17.06,17.642,17.577,449300
2011-02-07,17.475,18.006,17.948,386800
2011-02-08,17.715,18.501,18.494,434000
2011-02-09,18.458,19.069,18.945,811300
2011-02-10,18.749,18.996,18.96,568000
2011-02-11,18.763,19.28,19.273,375800
2011-02-14,19.215,19.862,19.491,481200
2011-02-15,18.989,19.564,19.309,307100
2011-02-16,19.236,19.455,19.338,252700
2011-02-17,19.164,19.753,19.651,244000
2011-02-18,19.615,19.972,19.906,408800
2011-02-22,19.324,19.811,19.397,307100
2011-02-23,18.874,19.551,19.027,379800
2011-02-24,18.772,19.347,19.019,363100
2011-02-25,18.874,19.252,19.201,286800
2011-02-28,19.179,19.624,19.624,315100
2011-03-01,18.99,19.777,19.114,558300
2011-03-02,18.946,19.376,19.121,173200
2011-03-03,19.23,19.74,19.558,246700
2011-03-04,19.121,19.653,19.23,196000
2011-03-07,18.509,19.442,18.939,586100
2011-03-08,18.386,19.624,19.507,364900
2011-03-09,18.99,19.631,19.347,154600
2011-03-10,18.48,19.114,18.619,305000
2011-03-11,18.356,18.983,18.859,183700
2011-03-14,18.291,18.852,18.728,210400
2011-03-15,18.152,18.888,18.64,259100
2011-03-16,18.262,18.684,18.356,469400
2011-03-17,16.914,18.939,17.22,1113400
2011-03-18,17.125,17.482,17.3,531500
2011-03-21,17.162,17.839,17.592,434900
2011-03-22,17.388,17.817,17.599,343300
2011-03-23,17.417,17.832,17.592,347000
2011-03-24,17.577,18.021,17.97,243700
2011-03-25,17.883,18.721,18.67,507300
