,Low,High,Close,Volume
2024-04-25,18.307,19.232,18.492,7269100
2024-04-26,18.258,18.784,18.502,1387000
2024-04-29,18.414,18.891,18.833,580000
2024-04-30,18.57,18.969,18.755,198200
2024-05-01,18.18,18.852,18.502,537000
2024-05-02,18.219,18.531,18.355,487300
2024-05-03,18.015,18.789,18.433,525200
2024-05-06,18.463,18.823,18.648,375500
2024-05-07,18.511,18.784,18.667,363000
2024-05-08,18.502,18.774,18.502,426800
2024-05-09,18.502,18.696,18.502,208300
2024-05-10,18.502,18.57,18.54,201500
2024-05-13,18.502,18.696,18.638,134500
2024-05-14,18.502,19.027,18.998,129800
2024-05-15,18.784,19.621,18.842,402700
2024-05-16,18.502,19.999,18.502,215300
2024-05-17,18.502,19.057,18.579,127800
2024-05-20,18.657,19.553,19.31,556700
2024-05-21,19.349,20.517,20.274,547900
2024-05-22,20.274,21.228,21.092,961300
2024-05-23,19.728,21.793,20.011,429000
2024-05-24,19.875,20.78,19.962,158100
2024-05-28,20.4,22.46,22.397,609100
2024-05-29,21.189,22.835,21.413,337800
2024-05-30,20.936,21.686,20.936,165800
2024-05-31,19.631,21.549,19.69,309600
2024-06-03,18.984,20.124,19.105,472700
2024-06-04,18.132,20.352,18.219,465600
2024-06-05,17.654,19.719,19.563,607300
2024-06-06,19.193,20.118,19.485,169000
2024-06-07,18.949,19.602,19.485,134200
2024-06-10,18.599,19.621,18.852,336200
2024-06-11,18.307,18.988,18.891,324800
2024-06-12,18.307,19.125,18.745,440300
2024-06-13,18.492,18.993,18.901,249800
2024-06-14,18.112,18.716,18.589,105600
2024-06-17,18.219,18.735,18.687,57100
2024-06-18,18.482,19.086,18.891,95000
2024-06-20,18.628,19.027,18.988,117700
2024-06-21,18.618,19.013,18.959,107600
2024-06-24,18.589,19.222,18.862,100700
2024-06-25,18.258,18.988,18.55,336500
2024-06-26,18.355,18.823,18.745,148100
2024-06-27,18.56,19.066,18.988,186400
2024-06-28,18.988,20.001,19.475,462900
2024-07-01,18.161,19.368,18.92,375400
2024-07-02,18.638,18.998,18.706,46000
2024-07-03,18.487,18.833,18.716,39000
2024-07-05,18.55,19.066,18.823,126300
2024-07-08,18.487,19.105,18.521,163800
2024-07-09,18.424,18.823,18.745,228800
2024-07-10,18.609,19.358,19.271,139900
2024-07-11,18.794,19.573,18.979,165800
2024-07-12,18.745,19.417,19.242,72500
2024-07-15,18.862,19.816,19.728,106700
2024-07-16,19.49,20.449,20.449,192900
2024-07-17,20.22,20.936,20.439,206900
2024-07-18,20.089,20.605,20.284,72300
2024-07-19,20.108,20.439,20.128,44400
2024-07-22,20.001,20.907,20.712,64300
2024-07-23,20.176,20.936,20.595,110000
2024-07-24,20.176,20.936,20.517,84100
2024-07-25,20.322,20.897,20.546,66500
2024-07-26,20.133,21.413,21.228,182900
2024-07-29,20.566,21.345,21.082,48700
2024-07-30,20.527,21.657,21.14,186300
2024-07-31,20.79,21.403,20.819,85500
2024-08-01,20.062,20.926,20.225,52200
2024-08-02,18.502,20.128,19.066,140100
2024-08-05,17.654,18.726,18.482,118800
2024-08-06,18.502,19.212,19.057,167600
2024-08-07,19.086,19.397,19.281,33800
2024-08-08,19.164,19.826,19.466,60300
2024-08-09,18.628,20.654,20.537,248200
2024-08-12,19.933,20.751,20.05,95800
2024-08-13,19.69,20.497,20.332,133400
2024-08-14,20.936,23.935,23.468,1279300
2024-08-15,22.387,24.169,23.331,356000
2024-08-16,23.039,23.37,23.176,122300
2024-08-19,22.591,23.205,22.825,145900
2024-08-20,22.27,23.02,22.582,229800
2024-08-21,22.27,22.733,22.513,230000
2024-08-22,22.192,23.146,23.146,458100
2024-08-23,23.049,23.857,23.604,281700
2024-08-26,23.409,23.857,23.448,300200
2024-08-27,23.361,24.422,24.422,294500
2024-08-28,23.77,24.773,23.809,88300
2024-08-29,23.706,24.48,24.256,89500
2024-08-30,23.835,24.642,24.159,57700
2024-09-03,23.483,24.785,24.002,269100
2024-09-04,23.992,24.756,24.727,306800
2024-09-05,24.364,24.795,24.501,108900
2024-09-06,23.977,24.648,24.472,99900
2024-09-09,24.188,24.854,24.188,176300
2024-09-10,24.051,24.501,24.394,270700
2024-09-11,24.139,24.482,24.364,267500
2024-09-12,24.139,24.526,24.374,204300
2024-09-13,24.276,25.197,24.678,382800
2024-09-16,24.198,25.49,24.492,532200
2024-09-17,24.345,24.638,24.472,406600
2024-09-18,23.287,24.482,23.316,326200
2024-09-19,22.939,23.977,23.277,136200
2024-09-20,22.709,23.248,22.856,113900
2024-09-23,22.494,23.16,22.748,95000
2024-09-24,22.229,23.179,22.709,139700
2024-09-25,21.867,22.739,22.151,362900
2024-09-26,21.877,22.866,22.65,202200
2024-09-27,22.523,23.502,23.091,382300
2024-09-30,22.288,23.532,23.13,248600
2024-10-01,22.621,23.395,23.052,255600
2024-10-02,22.866,23.532,23.307,190900
2024-10-03,22.626,23.405,23.385,120700
2024-10-04,23.297,23.845,23.728,152600
2024-10-07,23.708,24.844,24.648,664700
2024-10-08,24.482,25.157,24.952,399500
2024-10-09,24.168,25.324,24.687,314100
2024-10-10,24.403,25.118,24.815,321800
2024-10-11,24.727,25.451,24.971,346500
2024-10-14,24.315,25.006,24.443,112200
2024-10-15,24.11,24.849,24.54,191300
2024-10-16,24.589,25.044,24.707,123500
2024-10-17,24.58,25.461,25.04,98100
2024-10-18,24.286,25.138,25.04,148300
2024-10-21,25.001,26.244,25.206,488200
2024-10-22,22.69,24.942,23.992,551000
2024-10-23,23.218,24.315,24.188,454400
2024-10-24,24.159,25.216,24.629,4167900
2024-10-25,24.305,25.069,24.893,545500
2024-10-28,24.707,25.461,25.05,472300
2024-10-29,24.893,25.87,25.569,870700
2024-10-30,25.471,26.244,26.0,543400
2024-10-31,25.559,26.205,25.794,529100
2024-11-01,25.735,26.313,25.853,382300
2024-11-04,25.53,26.685,26.519,607900
2024-11-05,26.342,27.038,26.685,433800
2024-11-06,26.959,27.601,27.478,802900
2024-11-07,26.088,28.33,27.85,512000
2024-11-08,27.743,28.653,28.036,450800
2024-11-11,28.154,28.644,28.399,497500
