,Low,High,Close,Volume
2010-12-09,7.929,8.067,7.977,3619317
2010-12-10,7.889,7.998,7.958,3296082
2010-12-13,7.878,8.008,7.897,1828744
2010-12-14,7.884,7.985,7.897,2893703
2010-12-15,7.815,7.953,7.828,3587449
2010-12-16,7.714,7.836,7.804,4477307
2010-12-17,7.817,7.923,7.921,4367344
2010-12-20,7.839,7.995,7.897,3684104
2010-12-21,7.923,8.109,8.016,2543503
2010-12-22,7.926,8.04,7.958,1283483
2010-12-23,7.862,7.974,7.889,1353173
2010-12-27,7.809,7.958,7.921,1808083
2010-12-28,7.865,7.963,7.929,1322355
2010-12-29,7.878,7.998,7.971,1356675
2010-12-30,7.799,7.987,7.804,2280152
2010-12-31,7.589,7.844,7.621,3087713
2011-01-03,7.695,8.006,7.977,4080180
2011-01-04,7.732,7.961,7.815,2616694
2011-01-05,7.754,7.942,7.881,3664143
2011-01-06,7.831,7.931,7.87,1793374
2011-01-07,7.748,7.913,7.839,2850278
2011-01-10,7.74,7.923,7.881,2001393
2011-01-11,7.807,7.921,7.9,2942731
2011-01-12,7.833,7.945,7.889,2274899
2011-01-13,7.886,7.987,7.939,2284355
2011-01-14,7.714,7.839,7.801,6206244
2011-01-18,7.629,7.777,7.674,4472054
2011-01-19,7.488,7.695,7.52,7786697
2011-01-20,7.469,7.573,7.538,5406738
2011-01-21,7.472,7.57,7.493,5040078
2011-01-24,7.504,7.647,7.568,5593394
2011-01-25,7.512,7.594,7.565,7929929
2011-01-26,7.523,7.586,7.552,5922933
2011-01-27,7.549,7.61,7.576,5242844
2011-01-28,7.448,7.679,7.48,5256502
2011-01-31,7.461,7.552,7.512,6250370
2011-02-01,7.501,7.674,7.581,5667287
2011-02-02,7.517,7.78,7.634,7319530
2011-02-03,7.815,7.934,7.841,10390784
2011-02-04,7.831,8.125,8.078,11312861
2011-02-07,8.075,8.232,8.173,6469945
2011-02-08,8.181,8.316,8.29,4581667
2011-02-09,8.253,8.338,8.29,2474163
2011-02-10,8.218,8.335,8.29,2850978
2011-02-11,8.263,8.433,8.391,3299935
2011-02-14,8.348,8.431,8.399,2545254
2011-02-15,8.29,8.457,8.306,2820861
2011-02-16,8.324,8.46,8.42,3144796
2011-02-17,8.346,8.532,8.457,4487113
2011-02-18,8.447,8.529,8.478,2722455
2011-02-22,8.247,8.409,8.274,5018366
2011-02-23,8.152,8.335,8.263,5584289
2011-02-24,8.232,8.335,8.303,3313592
2011-02-25,8.282,8.37,8.327,2224821
2011-02-28,8.247,8.447,8.25,4931516
2011-03-01,8.072,8.319,8.107,4401314
2011-03-02,8.003,8.287,8.277,3581846
2011-03-03,8.303,8.46,8.425,3128687
2011-03-04,8.316,8.455,8.364,3710369
2011-03-07,8.088,8.372,8.194,4236369
2011-03-08,8.123,8.213,8.131,4116601
2011-03-09,8.04,8.136,8.125,2210813
2011-03-10,7.953,8.083,7.993,3001214
2011-03-11,7.9,8.016,8.003,1580102
2011-03-14,7.825,7.974,7.955,3262113
2011-03-15,7.775,7.929,7.873,4713692
2011-03-16,7.605,7.886,7.685,6095581
2011-03-17,7.594,7.788,7.65,4274541
2011-03-18,7.682,7.783,7.743,2273849
2011-03-21,7.775,7.87,7.833,2274549
2011-03-22,7.754,7.849,7.791,1936256
2011-03-23,7.7,7.905,7.881,2899656
2011-03-24,7.905,7.979,7.966,3800370
