,Low,High,Close,Volume
2010-12-09,14.486,14.659,14.529,94100
2010-12-10,14.474,14.801,14.783,85300
2010-12-13,14.579,14.907,14.634,79400
2010-12-14,14.498,14.876,14.783,63500
2010-12-15,14.783,15.105,14.882,125200
2010-12-16,14.87,15.309,15.049,69000
2010-12-17,14.87,15.142,14.975,336300
2010-12-20,14.832,15.111,14.845,62700
2010-12-21,14.882,15.154,15.117,65000
2010-12-22,15.111,15.408,15.265,51100
2010-12-23,15.142,15.315,15.191,27900
2010-12-27,15.067,15.42,15.358,35200
2010-12-28,15.216,15.439,15.352,22800
2010-12-29,15.142,15.426,15.302,28800
2010-12-30,15.197,15.395,15.222,25300
2010-12-31,14.938,15.29,14.938,69800
2011-01-03,14.987,15.445,15.327,95800
2011-01-04,14.783,15.42,15.006,71100
2011-01-05,14.944,15.154,15.142,49400
2011-01-06,14.931,15.123,15.055,84400
2011-01-07,14.511,15.123,14.777,60400
2011-01-10,14.566,14.907,14.832,67600
2011-01-11,14.795,14.968,14.931,53900
2011-01-12,14.931,15.123,15.043,38000
2011-01-13,14.87,15.123,14.968,47600
2011-01-14,14.863,15.401,15.364,60000
2011-01-18,15.129,15.451,15.395,78600
2011-01-19,14.863,15.42,14.888,99500
2011-01-20,14.696,15.049,14.733,62100
2011-01-21,14.579,14.876,14.696,83500
2011-01-24,14.597,14.771,14.622,41200
2011-01-25,14.523,14.857,14.826,46400
2011-01-26,14.746,15.173,15.037,107100
2011-01-27,14.814,15.166,15.012,79200
2011-01-28,14.412,15.03,14.573,115200
2011-01-31,14.338,14.684,14.338,107400
2011-02-01,14.375,14.814,14.696,53800
2011-02-02,14.381,14.715,14.511,24000
2011-02-03,14.257,14.573,14.393,35400
2011-02-04,14.201,14.418,14.257,58400
2011-02-07,14.201,14.56,14.523,57000
2011-02-08,14.406,14.74,14.604,59400
2011-02-09,14.35,14.579,14.461,44000
2011-02-10,14.375,14.573,14.449,53200
2011-02-11,14.307,14.733,14.733,31000
2011-02-14,14.48,14.727,14.61,33700
2011-02-15,14.381,14.665,14.406,109700
2011-02-16,14.437,14.715,14.517,50800
2011-02-17,14.3,14.523,14.331,68000
2011-02-18,14.245,14.443,14.35,74500
2011-02-22,14.016,14.313,14.109,100400
2011-02-23,13.793,14.164,13.799,98800
2011-02-24,13.608,13.855,13.769,99700
2011-02-25,13.7,13.981,13.937,74400
2011-02-28,13.793,14.031,13.887,76700
2011-03-01,13.7,13.999,13.744,165000
2011-03-02,13.575,13.781,13.725,103700
2011-03-03,13.862,14.38,14.068,306000
2011-03-04,13.769,14.037,13.974,70100
2011-03-07,13.731,14.074,13.875,88600
2011-03-08,13.881,14.399,14.305,45000
2011-03-09,14.168,14.418,14.224,22600
2011-03-10,13.812,14.056,13.837,99300
2011-03-11,13.694,13.887,13.812,78800
2011-03-14,13.637,13.818,13.694,55500
2011-03-15,13.469,13.818,13.744,110600
2011-03-16,13.575,13.868,13.631,141200
2011-03-17,13.644,13.968,13.644,78200
2011-03-18,13.7,14.018,13.812,145800
2011-03-21,13.85,14.012,13.993,60800
2011-03-22,13.825,14.049,13.9,48500
2011-03-23,13.669,13.875,13.818,60200
2011-03-24,13.706,14.106,13.775,50700
2011-03-25,13.825,14.193,13.925,54400
2011-03-28,13.8,14.012,13.812,44200
2011-03-29,13.45,13.993,13.981,41600
2011-03-30,13.956,14.106,14.081,59300
2011-03-31,14.031,14.23,14.224,84800
2011-04-01,14.131,14.349,14.249,62800
2011-04-04,14.187,14.355,14.349,47400
2011-04-05,14.268,14.436,14.324,39800
2011-04-06,14.318,14.524,14.493,40200
2011-04-07,14.318,14.555,14.349,50100
2011-04-08,14.162,14.443,14.249,78600
2011-04-11,14.155,14.368,14.187,33100
2011-04-12,13.85,14.243,13.987,71600
2011-04-13,13.625,14.106,13.75,69700
2011-04-14,13.619,13.862,13.85,48100
2011-04-15,13.731,13.974,13.956,80200
2011-04-18,13.669,13.912,13.8,58400
2011-04-19,13.612,13.875,13.631,38500
2011-04-20,13.625,13.812,13.781,33600
2011-04-21,13.65,13.906,13.75,29400
2011-04-25,13.575,13.781,13.687,31500
2011-04-26,13.637,13.918,13.793,99800
2011-04-27,13.75,14.112,14.043,69000
2011-04-28,13.962,14.118,14.118,38000
2011-04-29,14.037,14.18,14.106,37000
2011-05-02,13.9,14.068,13.9,47000
2011-05-03,13.793,14.024,13.906,76000
2011-05-04,13.756,13.943,13.8,57800
2011-05-05,13.619,13.912,13.675,80100
2011-05-06,13.6,13.887,13.612,48000
2011-05-09,13.519,13.731,13.65,73000
2011-05-10,13.731,13.95,13.943,70200
2011-05-11,13.706,13.937,13.712,64600
2011-05-12,13.606,13.956,13.912,63000
2011-05-13,13.538,13.931,13.6,61000
2011-05-16,13.481,13.637,13.519,90000
2011-05-17,13.481,13.719,13.625,88100
2011-05-18,13.569,13.725,13.706,72700
2011-05-19,13.556,13.831,13.706,66900
2011-05-20,13.5,13.725,13.513,99000
2011-05-23,13.319,13.569,13.4,72500
2011-05-24,13.226,13.463,13.263,79100
2011-05-25,13.107,13.413,13.338,63200
2011-05-26,13.25,13.5,13.494,94000
2011-05-27,13.5,13.752,13.595,76000
2011-05-31,13.595,13.859,13.853,173700
2011-06-01,13.242,13.91,13.28,187000
