,Low,High,Close,Volume
2010-12-09,36.569,37.517,36.629,502000
2010-12-10,36.616,37.65,37.59,234600
2010-12-13,37.265,37.859,37.355,324600
2010-12-14,37.283,37.628,37.423,484200
2010-12-15,37.223,37.919,37.227,527000
2010-12-16,38.115,38.863,38.692,1313000
2010-12-17,38.302,39.432,39.047,1337800
2010-12-20,38.991,39.805,39.578,542200
2010-12-21,39.578,40.353,40.327,387000
2010-12-22,40.139,40.46,40.284,425000
2010-12-23,39.869,40.503,40.045,211600
2010-12-27,39.822,40.434,40.284,100800
2010-12-28,39.591,40.498,40.002,286600
2010-12-29,39.711,40.13,39.869,103800
2010-12-30,39.497,40.237,39.715,145600
2010-12-31,39.33,39.937,39.33,247800
2011-01-03,39.848,40.931,40.734,646400
2011-01-04,39.488,41.016,39.938,355600
2011-01-05,39.462,40.293,40.1,249600
2011-01-06,39.18,40.164,39.454,226000
2011-01-07,38.461,39.972,39.218,225000
2011-01-10,38.563,40.109,40.04,425600
2011-01-11,39.856,40.391,40.177,303000
2011-01-12,40.079,40.665,40.28,261600
2011-01-13,39.852,40.541,40.164,182200
2011-01-14,39.723,40.353,40.045,340400
2011-01-18,39.42,40.079,40.057,690600
2011-01-19,38.85,39.98,39.081,379800
2011-01-20,38.2,39.231,38.628,292200
2011-01-21,38.255,39.06,38.294,477600
2011-01-24,38.315,39.33,39.124,236800
2011-01-25,38.302,39.026,39.026,285600
2011-01-26,38.983,40.104,40.023,318400
2011-01-27,39.616,40.318,39.985,265800
2011-01-28,39.056,40.237,39.411,425600
2011-01-31,39.107,40.126,39.514,261200
2011-02-01,39.428,40.845,40.717,442200
2011-02-02,40.545,41.393,40.965,350400
2011-02-03,40.485,41.226,41.063,201800
2011-02-04,40.785,41.397,41.119,289200
2011-02-07,41.127,41.932,41.684,375000
2011-02-08,41.436,41.894,41.598,235000
2011-02-09,40.794,41.508,41.162,173200
2011-02-10,40.815,41.718,41.44,376600
2011-02-11,41.307,42.035,41.966,293200
2011-02-14,41.59,42.215,41.924,412800
2011-02-15,41.714,42.163,41.907,286000
2011-02-16,41.83,42.27,42.168,273800
2011-02-17,41.954,42.72,42.536,335400
2011-02-18,42.416,42.912,42.835,516600
2011-02-22,41.183,42.891,41.307,313200
2011-02-23,45.224,48.708,46.427,2196800
2011-02-24,46.123,47.938,47.009,806200
2011-02-25,46.636,47.627,47.108,513600
2011-02-28,46.353,48.021,46.709,487400
2011-03-01,45.525,47.176,45.701,471400
2011-03-02,45.709,46.919,46.1,474000
2011-03-03,46.383,47.605,47.343,523400
2011-03-04,46.885,47.944,47.352,344800
2011-03-07,46.606,47.605,47.099,422000
2011-03-08,46.769,48.596,47.892,327200
2011-03-09,46.996,48.248,47.185,242000
2011-03-10,44.809,46.893,44.98,517200
2011-03-11,44.359,45.804,45.452,315000
2011-03-14,44.624,45.851,45.641,323800
2011-03-15,43.025,46.722,45.109,365400
2011-03-16,44.208,45.572,44.419,449600
2011-03-17,44.513,45.444,44.942,427400
2011-03-18,44.972,45.804,45.251,488000
2011-03-21,44.95,47.086,46.777,308600
2011-03-22,46.027,47.159,46.263,157000
2011-03-23,45.332,46.666,46.46,236200
2011-03-24,46.263,47.326,47.09,231400
2011-03-25,47.176,48.737,48.227,451200
2011-03-28,47.867,49.621,48.167,342800
2011-03-29,47.609,49.321,48.986,339400
2011-03-30,48.712,49.655,49.265,166800
2011-03-31,48.875,49.424,49.346,229600
2011-04-01,48.896,50.174,49.398,346000
2011-04-04,49.175,49.754,49.608,273400
2011-04-05,49.428,50.311,49.917,284600
2011-04-06,49.882,50.65,50.389,297600
2011-04-07,49.235,50.963,49.351,414200
2011-04-08,48.386,50.346,48.935,285200
2011-04-11,48.72,49.363,48.832,225800
2011-04-12,47.622,48.754,47.652,249400
2011-04-13,46.533,48.137,47.519,489900
2011-04-14,46.816,47.545,47.511,221000
2011-04-15,46.962,48.257,47.691,336800
2011-04-18,45.581,47.116,46.018,335600
2011-04-19,45.675,46.833,46.404,310800
2011-04-20,46.627,47.459,47.365,227400
2011-04-21,47.065,48.214,47.322,255600
2011-04-25,46.379,47.305,46.816,230900
2011-04-26,46.979,47.957,47.451,364400
2011-04-27,46.807,47.862,47.759,426600
2011-04-28,47.494,48.068,47.811,249000
2011-04-29,48.008,49.415,48.866,335000
2011-05-02,47.528,49.758,47.545,315200
2011-05-03,46.181,48.411,46.636,392100
2011-05-04,44.62,46.833,45.298,400100
2011-05-05,44.226,45.847,45.058,282500
2011-05-06,44.491,46.095,44.757,242000
2011-05-09,44.44,46.13,45.607,249000
2011-05-10,45.452,46.284,45.761,159300
2011-05-11,44.286,45.667,44.38,305900
2011-05-12,43.557,45.221,44.826,225300
2011-05-13,44.028,45.315,44.5,387100
2011-05-16,43.72,44.817,43.754,256700
2011-05-17,42.999,43.848,43.582,320800
2011-05-18,43.411,44.903,44.835,399500
2011-05-19,45.289,46.876,46.67,923200
2011-05-20,43.368,45.409,43.454,1522700
2011-05-23,42.244,43.574,43.111,542200
2011-05-24,42.373,43.325,42.39,406500
2011-05-25,41.712,43.008,42.656,482700
2011-05-26,42.287,43.248,43.145,365500
2011-05-27,43.106,43.863,43.338,308000
2011-05-31,43.373,44.731,44.713,767000
2011-06-01,43.381,45.307,43.544,572300
2011-06-02,42.685,44.112,43.931,345400
2011-06-03,42.728,44.224,43.751,460000
2011-06-06,43.226,43.974,43.441,475000
2011-06-07,43.244,44.112,43.656,367000
2011-06-08,43.244,43.802,43.519,443200
2011-06-09,43.347,43.991,43.347,385300
2011-06-10,42.083,43.33,42.1,439700
2011-06-13,41.911,42.676,42.109,479400
2011-06-14,42.771,44.37,44.198,828100
2011-06-15,43.183,44.267,43.493,650300
2011-06-16,42.771,44.043,43.304,362900
2011-06-17,43.244,44.387,43.424,559800
2011-06-20,43.029,43.837,43.373,585900
2011-06-21,43.519,44.774,44.585,554100
2011-06-22,44.129,45.1,44.258,512500
2011-06-23,42.599,44.696,44.559,590400
2011-06-24,43.613,44.911,44.129,8337900
2011-06-27,43.957,45.014,44.361,656200
2011-06-28,44.378,46.08,45.9,642000
2011-06-29,45.573,46.716,46.424,381000
2011-06-30,46.364,47.61,47.146,315200
2011-07-01,47.232,48.418,48.238,355100
2011-07-05,47.928,48.495,48.212,348800
2011-07-06,47.971,49.441,49.441,453000
2011-07-07,49.372,50.773,50.722,827900
2011-07-08,49.776,50.636,50.412,499300
2011-07-11,48.607,49.974,48.831,266400
2011-07-12,47.911,49.046,48.014,351500
2011-07-13,47.713,49.003,48.006,346300
2011-07-14,47.249,48.865,47.352,279300
2011-07-15,46.613,47.696,47.12,573100
2011-07-18,45.736,47.06,46.132,471100
2011-07-19,46.261,47.567,47.455,433000
2011-07-20,46.484,48.349,47.498,299500
2011-07-21,47.069,48.556,47.937,322800
2011-07-22,47.369,48.444,48.091,239700
2011-07-25,47.438,48.805,48.547,458500
2011-07-26,47.344,48.934,47.49,280300
2011-07-27,45.092,47.258,45.212,387900
2011-07-28,43.966,45.986,44.077,557600
2011-07-29,42.848,44.241,43.863,477600
2011-08-01,42.797,44.516,43.407,516500
2011-08-02,41.585,43.648,41.671,575700
2011-08-03,40.184,41.825,41.181,608200
2011-08-04,38.155,40.536,38.181,975000
2011-08-05,36.127,38.903,37.072,779000
2011-08-08,33.015,36.436,33.092,769600
2011-08-09,32.749,35.929,35.895,1123800
2011-08-10,34.21,35.654,34.287,577300
2011-08-11,34.33,37.528,36.96,804800
2011-08-12,36.874,38.559,37.872,635800
2011-08-15,38.121,38.955,38.937,440400
2011-08-16,37.949,38.972,38.267,835200
2011-08-17,37.364,38.86,37.734,464600
2011-08-18,35.13,37.545,35.491,505500
2011-08-19,31.047,35.353,33.789,1680000
2011-08-22,32.706,34.743,32.843,773400
2011-08-23,32.568,34.442,34.442,670900
2011-08-24,33.591,35.026,34.872,570300
2011-08-25,33.771,35.542,34.15,349000
2011-08-26,33.369,36.051,35.982,563600
2011-08-29,36.111,37.965,37.879,448500
2011-08-30,37.146,38.336,37.974,354500
2011-08-31,37.482,39.017,37.853,286500
2011-09-01,36.982,38.465,37.155,341200
2011-09-02,35.551,36.982,35.741,622400
2011-09-06,33.947,35.37,35.016,933300
2011-09-07,35.603,37.043,36.749,713400
2011-09-08,35.801,36.974,35.904,944400
2011-09-09,34.568,36.525,34.93,1205300
2011-09-12,33.749,35.24,34.844,617300
2011-09-13,35.059,36.827,36.646,729000
2011-09-14,36.12,38.362,37.724,577500
2011-09-15,37.819,38.689,38.431,428000
2011-09-16,37.948,38.914,38.474,1556000
2011-09-19,37.249,38.5,38.051,455200
2011-09-20,37.189,38.319,37.215,696500
2011-09-21,36.111,37.37,36.172,667800
2011-09-22,33.55,34.913,34.068,605700
2011-09-23,33.516,34.706,33.714,515400
2011-09-26,33.076,35.344,35.292,472900
2011-09-27,35.991,37.474,36.292,283900
2011-09-28,34.413,36.698,34.508,317900
2011-09-29,34.464,35.697,35.534,524400
2011-09-30,34.206,35.215,34.266,446100
2011-10-03,32.033,34.404,32.085,510400
2011-10-04,31.567,34.913,34.844,579300
2011-10-05,34.378,35.344,34.835,652800
2011-10-06,34.24,35.473,35.447,1196400
2011-10-07,34.749,36.051,35.051,323300
2011-10-10,35.818,36.724,36.698,317100
2011-10-11,36.284,37.318,37.103,177800
2011-10-12,37.198,39.095,38.543,388100
2011-10-13,37.068,38.853,37.543,389800
2011-10-14,37.706,39.112,38.94,345600
2011-10-17,37.362,38.896,37.612,258400
2011-10-18,37.267,39.56,38.948,273300
2011-10-19,37.448,38.931,37.638,398300
2011-10-20,36.37,38.336,37.293,282900
2011-10-21,37.431,38.37,38.319,333300
2011-10-24,38.12,39.957,39.862,163600
2011-10-25,38.224,39.828,38.353,259000
2011-10-26,37.569,39.328,38.974,497100
2011-10-27,40.336,41.992,41.38,356400
2011-10-28,40.561,41.578,41.018,283600
2011-10-31,39.672,41.19,39.983,351100
2011-11-01,38.207,39.819,38.974,349600
2011-11-02,39.0,40.293,39.871,227300
2011-11-03,39.457,41.207,41.035,340800
2011-11-04,39.819,41.224,41.121,149600
2011-11-07,39.103,41.293,39.69,379800
2011-11-08,39.44,40.647,40.336,238200
2011-11-09,37.586,39.716,37.939,349600
2011-11-10,37.862,38.836,38.31,228000
2011-11-11,38.552,39.552,39.233,181200
2011-11-14,37.922,39.379,38.439,232100
2011-11-15,37.862,39.414,39.164,164200
2011-11-16,38.517,39.69,38.664,177100
2011-11-17,37.543,38.845,37.767,310100
2011-11-18,37.431,38.043,37.775,146700
2011-11-21,36.499,37.258,36.982,237100
2011-11-22,36.68,37.551,37.155,218900
2011-11-23,36.129,36.836,36.284,268600
2011-11-25,36.025,36.956,36.396,170500
2011-11-28,37.112,38.086,37.706,405800
2011-11-29,37.603,38.37,37.974,263500
2011-11-30,39.578,40.586,40.578,571100
2011-12-01,39.922,40.974,40.112,229100
2011-12-02,40.379,41.121,40.586,188800
2011-12-05,40.759,41.88,41.354,244200
2011-12-06,41.087,42.216,41.725,269000
2011-12-07,40.509,41.811,41.431,232300
2011-12-08,39.621,41.138,39.871,262300
2011-12-09,39.81,41.138,40.802,458200
2011-12-12,39.621,40.293,40.224,272600
2011-12-13,39.629,41.069,39.862,325600
2011-12-14,38.232,39.69,38.396,562400
2011-12-15,33.956,38.207,34.861,1830800
2011-12-16,34.58,36.137,34.813,1138400
2011-12-19,34.165,35.064,34.295,469900
2011-12-20,34.831,36.284,35.756,290600
2011-12-21,34.468,35.756,35.471,311100
2011-12-22,35.229,35.938,35.428,250800
2011-12-23,35.41,36.44,35.774,180800
2011-12-27,35.454,36.042,35.652,124900
2011-12-28,34.822,35.713,34.926,139600
2011-12-29,34.943,35.912,35.808,142800
2011-12-30,35.566,36.033,35.618,202100
2012-01-03,35.851,36.941,35.972,412100
2012-01-04,35.306,36.111,35.981,470100
2012-01-05,35.505,36.63,36.362,378500
2012-01-06,36.007,36.509,36.197,336400
2012-01-09,35.67,36.483,35.739,444300
2012-01-10,35.998,36.44,36.336,314900
2012-01-11,36.258,36.621,36.318,692400
2012-01-12,36.076,36.837,36.69,621600
2012-01-13,36.102,36.569,36.465,283000
2012-01-17,36.993,37.469,37.071,306000
2012-01-18,36.898,38.005,37.815,341700
2012-01-19,37.849,39.078,38.922,381700
2012-01-20,38.429,39.008,38.853,336100
2012-01-23,38.758,39.415,39.268,239300
2012-01-24,38.611,39.588,39.398,202900
2012-01-25,38.931,39.795,39.735,196200
2012-01-26,39.545,40.288,39.64,298200
2012-01-27,39.328,39.908,39.882,189000
2012-01-30,38.74,39.631,39.493,162400
2012-01-31,38.913,39.925,39.216,230100
2012-02-01,39.354,40.375,40.09,199100
2012-02-02,39.917,40.384,40.211,230700
2012-02-03,40.401,41.482,41.43,415000
2012-02-06,40.868,41.975,41.958,335900
2012-02-07,41.534,42.408,42.39,286800
2012-02-08,42.114,42.684,42.434,306800
2012-02-09,42.321,43.809,43.714,527400
2012-02-10,42.468,43.298,43.151,438200
2012-02-13,42.892,43.748,43.463,313600
2012-02-14,42.978,43.913,43.835,210300
2012-02-15,43.653,44.509,44.267,396900
2012-02-16,44.129,45.236,45.158,332600
