,Low,High,Close,Volume
2010-12-09,30.499,31.098,30.727,352400
2010-12-10,30.176,30.756,30.746,279000
2010-12-13,30.442,30.908,30.746,197600
2010-12-14,30.756,31.307,31.279,234700
2010-12-15,31.298,32.162,31.659,261800
2010-12-16,31.621,32.02,31.744,154800
2010-12-17,31.583,31.839,31.63,202700
2010-12-20,31.174,31.64,31.592,150800
2010-12-21,31.801,32.466,32.153,184000
2010-12-22,32.229,32.476,32.476,66900
2010-12-23,32.457,32.96,32.875,111900
2010-12-27,32.514,32.78,32.704,75800
2010-12-28,32.485,32.713,32.599,49700
2010-12-29,32.837,33.293,33.245,96700
2010-12-30,33.008,33.445,33.112,75300
2010-12-31,32.894,33.293,33.16,82700
2011-01-03,33.454,34.034,33.91,150200
2011-01-04,33.16,34.015,33.53,130000
2011-01-05,33.036,33.473,33.198,162800
2011-01-06,33.027,33.445,33.141,73400
2011-01-07,32.523,33.226,32.732,90100
2011-01-10,31.906,32.457,32.352,207700
2011-01-11,32.276,32.913,32.77,193600
2011-01-12,33.074,33.644,33.397,121000
2011-01-13,33.34,33.663,33.635,140800
2011-01-14,33.54,33.844,33.644,142500
2011-01-18,33.445,34.072,34.072,146900
2011-01-19,33.739,34.424,34.005,198900
2011-01-20,32.827,33.768,32.875,238000
2011-01-21,32.951,33.302,33.093,131000
2011-01-24,33.036,33.312,33.207,169900
2011-01-25,32.191,32.932,32.504,106600
2011-01-26,31.934,32.666,32.618,378000
2011-01-27,32.362,33.454,33.274,139300
2011-01-28,31.602,33.103,31.735,180800
2011-01-31,30.794,31.241,31.089,411300
2011-02-01,30.414,31.478,31.222,456100
2011-02-02,31.174,31.896,31.421,191300
2011-02-03,31.184,31.915,31.896,115700
2011-02-04,31.431,32.067,31.868,264300
2011-02-07,32.02,32.637,32.229,112000
2011-02-08,32.001,32.4,32.314,115200
2011-02-09,32.162,32.438,32.352,62500
2011-02-10,31.431,32.922,32.599,249700
2011-02-11,32.343,32.941,32.875,345100
2011-02-14,32.419,32.951,32.637,219900
2011-02-15,33.179,34.138,33.293,413000
2011-02-16,33.502,33.939,33.815,176300
2011-02-17,33.454,33.91,33.454,92200
2011-02-18,33.103,33.654,33.188,187300
2011-02-22,32.191,33.103,32.4,255100
2011-02-23,32.115,32.723,32.238,222900
2011-02-24,31.355,31.972,31.63,213900
2011-02-25,31.678,32.78,32.751,243200
2011-02-28,32.647,33.122,32.922,130300
2011-03-01,31.839,32.827,31.915,240400
2011-03-02,31.402,31.763,31.611,170000
2011-03-03,31.478,32.571,32.495,405900
2011-03-04,31.611,32.4,31.668,213400
2011-03-07,31.155,31.592,31.174,124200
2011-03-08,30.851,31.383,31.174,167000
2011-03-09,30.48,31.079,31.022,191000
2011-03-10,30.784,31.611,31.355,226400
2011-03-11,30.88,31.412,31.298,207600
2011-03-14,31.336,32.238,32.2,364000
2011-03-15,31.231,32.495,32.333,291700
2011-03-16,31.991,32.713,32.409,373600
2011-03-17,32.751,33.35,32.846,327400
2011-03-18,33.008,33.397,33.15,259100
2011-03-21,33.749,34.129,33.853,419600
2011-03-22,33.939,34.29,33.967,409600
2011-03-23,33.122,33.901,33.502,142300
2011-03-24,33.587,34.481,34.357,250600
2011-03-25,34.11,34.585,34.31,137400
2011-03-28,34.386,34.832,34.766,402000
2011-03-29,34.709,35.136,34.87,257100
2011-03-30,34.756,35.222,35.098,182700
2011-03-31,34.918,35.488,35.098,144300
2011-04-01,35.032,35.63,35.393,138800
2011-04-04,35.649,36.039,35.782,142000
2011-04-05,34.946,35.355,35.355,216600
2011-04-06,34.747,35.64,35.279,241900
2011-04-07,34.87,35.317,35.184,133200
2011-04-08,34.965,35.621,35.022,118700
