,Low,High,Close,Volume
2010-12-09,35.776,36.53,36.449,2535700
2010-12-10,36.252,36.816,36.789,1475300
2010-12-13,36.653,37.149,37.034,1943800
2010-12-14,36.918,37.435,37.061,1601200
2010-12-15,36.823,37.462,36.823,1538600
2010-12-16,36.816,37.279,37.197,1629700
2010-12-17,36.741,37.197,36.898,2686700
2010-12-20,36.714,37.272,36.891,1538500
2010-12-21,36.789,37.347,37.333,1812000
2010-12-22,37.34,38.061,37.897,1587500
2010-12-23,37.496,37.959,37.605,961600
2010-12-27,37.401,37.843,37.795,1094000
2010-12-28,37.598,37.911,37.877,666700
2010-12-29,37.741,38.115,37.748,942400
2010-12-30,37.585,37.891,37.741,788800
2010-12-31,37.619,37.897,37.68,1072000
2011-01-03,37.938,38.394,38.033,2223900
2011-01-04,37.809,38.21,38.081,1555700
2011-01-05,37.734,38.666,38.455,2388600
2011-01-06,38.108,38.523,38.319,1190300
2011-01-07,37.415,38.435,37.578,2060100
2011-01-10,37.183,37.68,37.204,1564600
2011-01-11,37.265,37.591,37.299,1298500
2011-01-12,37.489,38.203,38.013,2003300
2011-01-13,37.734,38.176,37.741,1400100
2011-01-14,37.646,38.176,37.999,2056100
2011-01-18,37.714,38.149,37.836,2693000
2011-01-19,35.68,36.993,35.694,4939800
2011-01-20,35.633,36.15,35.98,2665800
2011-01-21,35.823,36.265,35.98,2194100
2011-01-24,35.544,36.177,35.742,2276600
2011-01-25,35.368,35.932,35.762,1791600
2011-01-26,35.606,35.939,35.735,1735900
2011-01-27,35.49,36.231,35.708,1717800
2011-01-28,34.966,36.068,35.15,2161200
2011-01-31,35.096,35.572,35.347,1610500
2011-02-01,35.497,35.905,35.565,1779000
2011-02-02,35.191,35.68,35.279,1751000
2011-02-03,35.204,35.578,35.374,1858300
2011-02-04,35.218,35.49,35.252,2608500
2011-02-07,35.279,35.66,35.442,2531600
2011-02-08,35.354,35.952,35.694,1824600
2011-02-09,35.252,35.653,35.436,1401900
2011-02-10,35.238,35.66,35.374,1673700
2011-02-11,34.973,35.973,35.946,1890200
