,Low,High,Close,Volume
2010-12-09,10.484,10.574,10.562,3241300
2010-12-10,10.52,10.616,10.568,2153200
2010-12-13,10.466,10.634,10.526,2423000
2010-12-14,10.46,10.61,10.538,2635600
2010-12-15,10.664,10.844,10.682,5302900
2010-12-16,10.658,10.736,10.7,2747900
2010-12-17,10.664,10.832,10.82,4405700
2010-12-20,10.808,10.995,10.964,3429300
2010-12-21,10.928,11.067,11.031,3259300
2010-12-22,10.983,11.067,11.013,2358300
2010-12-23,10.886,10.983,10.934,1393600
2010-12-27,10.844,10.928,10.916,1262200
2010-12-28,10.82,10.946,10.838,1718800
2010-12-29,10.802,10.88,10.832,2388500
2010-12-30,10.772,10.886,10.832,933400
2010-12-31,10.766,10.952,10.928,1476900
2011-01-03,10.922,11.013,10.977,2572200
2011-01-04,10.778,11.013,10.88,2339400
2011-01-05,10.814,10.977,10.977,2851400
2011-01-06,10.868,11.031,11.001,2719300
2011-01-07,10.802,11.073,10.862,3759300
2011-01-10,10.61,10.88,10.868,3450800
2011-01-11,10.604,10.862,10.742,4612300
2011-01-12,10.778,10.946,10.946,2812300
2011-01-13,10.67,10.964,10.688,5840500
2011-01-14,10.598,10.718,10.676,3572600
2011-01-18,10.622,10.772,10.76,2869700
2011-01-19,10.562,10.778,10.604,5310200
2011-01-20,10.58,10.748,10.682,2425000
2011-01-21,10.61,10.778,10.64,2649200
2011-01-24,10.61,10.748,10.736,2769000
2011-01-25,10.646,10.826,10.802,3192000
2011-01-26,10.79,11.031,10.971,4851700
2011-01-27,10.977,11.716,11.626,14123400
2011-01-28,11.56,11.866,11.626,6679000
2011-01-31,11.536,11.716,11.572,3631700
2011-02-01,11.602,11.752,11.704,3611400
2011-02-02,11.59,11.734,11.644,2323500
2011-02-03,11.572,11.692,11.68,2369800
2011-02-04,11.602,11.818,11.788,2269100
2011-02-07,11.752,11.884,11.83,1641000
2011-02-08,11.782,11.884,11.878,2021600
2011-02-09,11.716,11.872,11.83,2109800
2011-02-10,11.692,11.968,11.938,2395900
2011-02-11,11.866,12.034,12.034,2545700
2011-02-14,11.914,12.028,11.98,1559300
2011-02-15,11.794,12.016,11.956,3647100
2011-02-16,11.896,12.083,11.986,2038800
2011-02-17,11.92,12.125,12.083,1651600
2011-02-18,12.016,12.251,12.149,2440900
2011-02-22,11.83,12.089,11.89,2330900
2011-02-23,11.59,11.92,11.758,3033900
2011-02-24,11.439,11.818,11.589,4123200
2011-02-25,11.595,11.77,11.704,2195000
2011-02-28,11.571,11.794,11.656,3570700
2011-03-01,11.463,11.776,11.487,4126400
2011-03-02,11.39,11.565,11.457,3536700
2011-03-03,11.547,11.728,11.607,2912000
2011-03-04,11.384,11.631,11.541,3201300
2011-03-07,11.433,11.601,11.475,2466100
2011-03-08,11.445,11.776,11.746,1735900
2011-03-09,11.625,11.83,11.8,1675300
2011-03-10,11.517,11.68,11.541,2858600
2011-03-11,11.499,11.788,11.776,2627700
2011-03-14,11.692,11.866,11.758,3769500
2011-03-15,11.354,11.559,11.475,4097700
2011-03-16,11.173,11.493,11.234,4465500
2011-03-17,11.306,11.523,11.33,2128600
2011-03-18,11.3,11.511,11.372,2389200
2011-03-21,11.487,11.607,11.547,1918900
2011-03-22,11.433,11.595,11.481,1709100
2011-03-23,11.366,11.541,11.517,1931900
2011-03-24,11.433,11.619,11.577,3661100
2011-03-25,11.595,11.836,11.764,2936600
2011-03-28,11.601,11.812,11.601,1703500
2011-03-29,11.469,11.625,11.607,2747400
2011-03-30,11.595,11.704,11.668,2129100
2011-03-31,11.408,11.68,11.529,3605900
2011-04-01,11.523,11.728,11.601,2240200
2011-04-04,11.469,11.643,11.553,1732800
2011-04-05,11.39,11.631,11.583,3050700
2011-04-06,11.553,11.668,11.589,2247800
2011-04-07,11.408,11.613,11.463,2348800
