,Low,High,Close,Volume
2013-06-19,13.348,14.271,13.875,31981500
2013-06-20,13.392,14.376,13.436,9274200
2013-06-21,13.524,13.875,13.717,8323500
2013-06-24,13.348,13.91,13.638,4279700
2013-06-25,13.48,13.823,13.805,3577300
2013-06-26,13.331,13.779,13.524,14755100
2013-06-27,13.041,13.937,13.612,12121700
2013-06-28,13.392,13.849,13.392,16988100
2013-07-01,12.953,13.691,12.988,25839400
2013-07-02,12.901,13.278,13.173,30520100
2013-07-03,12.936,13.252,13.059,8542600
2013-07-05,13.076,14.007,13.752,12427000
2013-07-08,13.612,14.086,14.016,15345100
2013-07-09,13.612,14.025,13.796,9936400
2013-07-10,13.305,13.673,13.515,16327000
2013-07-11,13.138,13.7,13.287,17029600
2013-07-12,13.085,13.278,13.111,10426300
2013-07-15,12.637,13.199,12.883,20636400
2013-07-16,12.795,13.471,13.419,9328500
2013-07-17,13.427,14.016,13.954,13411100
2013-07-18,13.463,14.139,13.586,10825700
2013-07-19,13.401,14.121,14.025,11658700
2013-07-22,13.708,14.165,13.814,6141600
2013-07-23,13.647,13.937,13.744,9298400
2013-07-24,13.542,13.954,13.796,6205200
2013-07-25,13.568,13.937,13.673,7069700
2013-07-26,13.445,14.025,13.954,5884800
2013-07-29,13.524,13.937,13.621,9020200
2013-07-30,13.577,14.016,14.007,12798200
2013-07-31,13.902,14.235,13.99,7681500
2013-08-01,13.998,14.297,14.235,10303300
2013-08-02,14.156,14.464,14.35,8258600
2013-08-05,13.954,14.341,14.051,8754100
2013-08-06,13.893,14.271,14.209,6232000
2013-08-07,13.919,14.183,14.007,4755000
2013-08-08,13.972,14.323,14.165,7110400
2013-08-09,14.016,14.191,14.033,4293800
2013-08-12,13.823,14.104,13.981,4882400
2013-08-13,13.875,14.007,13.902,3615400
2013-08-14,13.752,14.06,13.963,3940500
2013-08-15,13.788,14.218,14.139,5160000
2013-08-16,14.016,14.271,14.033,6373200
2013-08-19,13.779,14.104,13.788,6123600
2013-08-20,13.629,13.902,13.788,4265600
2013-08-21,13.603,13.858,13.84,5040000
2013-08-22,13.726,13.893,13.796,3731700
2013-08-23,13.673,13.867,13.831,3981300
2013-08-26,13.796,13.963,13.928,4125000
2013-08-27,13.779,14.051,13.814,9059500
2013-08-28,13.77,13.884,13.84,11099300
2013-08-29,13.735,13.954,13.849,2795500
2013-08-30,13.691,13.858,13.788,5386300
2013-09-03,13.779,14.077,13.858,3783600
2013-09-04,13.84,14.121,14.077,4992000
2013-09-05,13.946,14.288,14.262,3521200
2013-09-06,14.121,14.35,14.218,3358700
2013-09-09,14.191,14.35,14.35,3668900
2013-09-10,14.271,14.552,14.534,4292100
2013-09-11,14.49,14.982,14.973,7562700
2013-09-12,14.876,15.158,15.026,4836500
2013-09-13,14.727,14.999,14.833,2717700
2013-09-16,14.736,15.105,14.894,5758300
2013-09-17,14.833,15.078,14.929,2538500
2013-09-18,14.789,15.087,14.973,3862600
2013-09-19,14.631,15.017,14.815,3286100
2013-09-20,14.464,14.929,14.613,4594000
2013-09-23,14.376,14.613,14.516,2360000
2013-09-24,14.49,15.105,14.964,5611800
2013-09-25,14.648,14.964,14.754,4389700
2013-09-26,14.139,14.815,14.306,12737900
2013-09-27,14.042,14.271,14.2,7098300
2013-09-30,13.972,14.279,14.104,6237900
2013-10-01,13.875,14.174,13.972,8815300
2013-10-02,13.788,14.288,14.174,17758200
2013-10-03,13.867,14.271,13.937,17833500
2013-10-04,13.867,14.06,13.91,13660000
2013-10-07,13.779,14.033,13.972,8663200
2013-10-08,13.621,14.033,13.875,4825300
2013-10-09,13.831,14.007,13.946,4210300
2013-10-10,13.998,14.271,14.244,5506700
2013-10-11,14.174,14.578,14.411,5085700
2013-10-14,14.253,14.595,14.543,3606300
2013-10-15,14.42,14.639,14.56,4406800
2013-10-16,14.552,14.745,14.736,4511900
2013-10-17,14.604,14.762,14.754,3972000
2013-10-18,14.71,14.841,14.797,5809100
2013-10-21,14.745,14.912,14.797,3107000
2013-10-22,14.745,14.982,14.929,7274300
2013-10-23,14.754,15.14,15.026,5145800
2013-10-24,14.947,15.28,15.184,4734900
2013-10-25,15.008,15.412,15.061,6197900
2013-10-28,14.956,15.21,15.184,4131800
2013-10-29,15.14,15.377,15.333,6582700
2013-10-30,15.201,15.377,15.237,8031100
2013-10-31,15.228,15.605,15.456,4697900
2013-11-01,15.324,15.64,15.605,3714000
2013-11-04,15.518,15.684,15.597,2870800
2013-11-05,15.351,15.676,15.526,3820200
2013-11-06,15.237,15.649,15.289,3922700
2013-11-07,15.149,15.474,15.158,3888200
2013-11-08,15.078,15.474,15.456,1787500
2013-11-11,15.237,15.5,15.298,5387300
2013-11-12,14.683,15.201,15.061,12944400
2013-11-13,14.885,15.184,15.122,3673400
2013-11-14,15.087,15.263,15.149,2920600
2013-11-15,15.21,15.641,15.597,4606300
2013-11-18,15.254,15.649,15.298,4431400
2013-11-19,15.263,15.509,15.351,2961800
2013-11-20,15.324,15.623,15.518,6256400
2013-11-21,15.403,15.588,15.421,4075000
2013-11-22,15.368,15.535,15.412,3624500
2013-11-25,15.245,15.526,15.351,3397600
2013-11-26,15.254,15.553,15.535,5585700
2013-11-27,15.377,15.755,15.684,5083300
2013-11-29,15.667,15.781,15.772,1506100
2013-12-02,15.456,15.781,15.5,4610200
2013-12-03,15.28,15.482,15.368,3120100
2013-12-04,15.263,15.474,15.439,2676000
2013-12-05,14.525,15.412,15.333,2562600
2013-12-06,15.386,15.684,15.614,4483700
2013-12-09,15.333,15.72,15.386,4088800
2013-12-10,15.316,15.561,15.491,2618000
2013-12-11,15.351,15.579,15.456,3255300
2013-12-12,15.359,15.509,15.359,4073000
2013-12-13,15.21,15.544,15.509,4320800
2013-12-16,15.439,15.632,15.605,1885100
2013-12-17,15.078,15.43,15.237,4023000
2013-12-18,14.991,15.395,15.368,2539200
2013-12-19,15.184,15.342,15.245,2475900
2013-12-20,15.201,15.781,15.588,7055200
2013-12-23,15.57,15.781,15.72,1974600
2013-12-24,15.614,15.816,15.72,683100
2013-12-26,15.5,15.869,15.605,2259900
2013-12-27,15.421,15.649,15.57,2691300
2013-12-30,15.544,15.746,15.728,1918400
2013-12-31,15.667,15.886,15.825,2612000
2014-01-02,15.649,15.957,15.763,3673400
2014-01-03,15.614,15.816,15.649,2016600
2014-01-06,15.351,15.772,15.439,3388300
2014-01-07,15.219,15.5,15.28,3266000
2014-01-08,15.061,15.28,15.184,4109600
2014-01-09,15.166,15.351,15.228,2852700
2014-01-10,15.175,15.386,15.28,2063700
2014-01-13,14.991,15.316,15.061,2655600
2014-01-14,15.043,15.237,15.193,1935000
2014-01-15,15.017,15.219,15.114,2209400
2014-01-16,14.973,15.158,14.999,2833400
2014-01-17,14.876,15.087,14.999,2102700
2014-01-21,14.657,15.061,14.718,4664700
2014-01-22,14.543,14.92,14.622,3109900
2014-01-23,14.367,14.56,14.516,3085400
2014-01-24,14.06,14.341,14.2,6995600
2014-01-27,14.218,14.543,14.393,6241000
2014-01-28,14.253,14.455,14.262,4468400
2014-01-29,14.06,14.297,14.244,5574400
2014-01-30,14.191,14.314,14.227,9436500
2014-01-31,14.007,14.262,14.016,3040200
2014-02-03,13.594,14.104,13.629,4729900
2014-02-04,13.559,13.805,13.629,8117500
2014-02-05,13.656,13.963,13.708,5805700
2014-02-06,13.708,14.148,14.069,4984700
2014-02-07,14.991,15.807,15.289,13191600
2014-02-10,14.903,15.447,15.377,6085100
2014-02-11,15.289,15.807,15.746,6908500
2014-02-12,15.456,15.851,15.5,3310200
2014-02-13,15.289,15.649,15.509,2168600
2014-02-14,15.403,15.667,15.526,1827600
2014-02-18,15.421,15.649,15.588,2359300
2014-02-19,15.421,15.684,15.447,2217500
2014-02-20,15.201,15.491,15.368,2549700
2014-02-21,15.316,15.597,15.526,3193600
2014-02-24,15.579,15.851,15.755,2473300
2014-02-25,15.72,15.904,15.772,2396900
2014-02-26,15.658,15.93,15.834,2275700
2014-02-27,15.684,15.86,15.825,2363300
2014-02-28,15.737,16.159,16.097,2515100
2014-03-03,15.763,16.106,15.913,3592200
2014-03-04,15.939,16.167,16.159,3160600
2014-03-05,15.922,16.273,16.071,2321700
2014-03-06,15.974,16.185,16.053,1897600
2014-03-07,15.667,16.124,15.728,2501200
2014-03-10,15.553,15.807,15.597,1937800
2014-03-11,15.386,15.641,15.553,1971000
2014-03-12,15.28,15.711,15.658,2782300
2014-03-13,15.201,15.728,15.228,2515200
2014-03-14,15.149,15.491,15.307,2372300
2014-03-17,15.184,15.641,15.272,1707100
2014-03-18,15.263,15.579,15.553,3081100
2014-03-19,15.333,15.632,15.412,2405600
2014-03-20,15.21,15.43,15.377,1290800
2014-03-21,15.219,15.57,15.439,4658500
2014-03-24,15.272,15.518,15.342,2295500
2014-03-25,15.166,15.447,15.245,2258900
2014-03-26,14.947,15.298,14.956,3216400
2014-03-27,14.92,15.131,14.947,4109800
2014-03-28,14.929,15.175,14.956,2012300
2014-03-31,14.929,15.149,15.122,2399300
2014-04-01,15.105,15.368,15.316,3302700
2014-04-02,15.166,15.386,15.316,2373600
2014-04-03,15.008,15.386,15.026,3712800
2014-04-04,15.026,15.403,15.035,2828900
2014-04-07,14.929,15.263,14.999,3028700
2014-04-08,14.859,15.114,14.973,2520200
2014-04-09,14.894,15.122,15.105,1704500
2014-04-10,14.78,15.21,14.78,2395300
2014-04-11,14.464,15.07,14.525,3203000
2014-04-14,14.49,14.762,14.727,2453400
2014-04-15,14.332,14.885,14.604,2191900
2014-04-16,14.446,14.841,14.745,1600400
2014-04-17,14.683,14.947,14.824,1113000
