,Low,High,Close,Volume
2010-12-09,4.093,4.263,4.255,24700
2010-12-10,4.064,4.307,4.307,15600
2010-12-13,4.196,4.307,4.307,13700
2010-12-14,4.277,4.417,4.41,30600
2010-12-15,4.344,4.41,4.373,18300
2010-12-16,4.314,4.447,4.439,23100
2010-12-17,4.329,4.432,4.366,41000
2010-12-20,4.358,4.432,4.41,20900
2010-12-21,4.358,4.454,4.425,20500
2010-12-22,4.344,4.454,4.454,5800
2010-12-23,4.373,4.454,4.41,15000
2010-12-27,4.344,4.447,4.417,3800
2010-12-28,4.388,4.417,4.417,19300
2010-12-29,4.27,4.417,4.402,11300
2010-12-30,4.366,4.41,4.366,15900
2010-12-31,4.329,4.41,4.41,10200
2011-01-03,4.358,4.439,4.417,36500
2011-01-04,4.344,4.447,4.366,15400
2011-01-05,3.961,4.402,4.402,18700
2011-01-06,4.314,4.388,4.344,9400
2011-01-07,4.336,4.373,4.373,6500
2011-01-10,4.233,4.351,4.292,8500
2011-01-11,4.263,4.358,4.277,3400
2011-01-12,4.314,4.395,4.366,5200
2011-01-13,4.277,4.321,4.277,7300
2011-01-14,4.233,4.314,4.263,11100
2011-01-18,4.123,4.307,4.13,14000
2011-01-19,3.917,4.167,3.953,33700
2011-01-20,3.637,3.931,3.85,21900
2011-01-21,3.755,3.961,3.828,31400
2011-01-24,3.806,3.931,3.931,8900
2011-01-25,3.843,3.917,3.865,11800
2011-01-26,3.894,3.975,3.939,6900
2011-01-27,3.791,3.939,3.813,6000
2011-01-28,3.556,3.865,3.563,24000
2011-01-31,3.607,3.696,3.615,13600
2011-02-01,3.504,3.902,3.813,36300
2011-02-02,3.607,3.99,3.637,78600
2011-02-03,3.497,3.666,3.526,25400
2011-02-04,3.401,3.865,3.46,59000
2011-02-07,3.46,3.512,3.467,54100
2011-02-08,3.379,3.696,3.688,154600
2011-02-09,3.666,4.307,4.034,75800
2011-02-10,3.71,4.248,4.071,35100
2011-02-11,4.049,4.528,4.388,226300
2011-02-14,4.24,4.557,4.351,22800
2011-02-15,4.277,4.417,4.314,10200
2011-02-16,4.248,4.469,4.469,23000
2011-02-17,4.425,4.586,4.579,29300
2011-02-18,4.528,4.748,4.638,38100
2011-02-22,4.285,4.594,4.292,42400
2011-02-23,3.902,4.586,4.41,60800
2011-02-24,4.174,4.601,4.601,32600
2011-02-25,4.432,4.874,4.844,37200
2011-02-28,4.91,5.153,5.139,40300
2011-03-01,5.028,5.19,5.109,43900
2011-03-02,4.807,5.153,5.146,21700
2011-03-03,5.146,5.234,5.234,18900
2011-03-04,5.006,5.264,5.227,23700
2011-03-07,5.043,5.301,5.175,32600
2011-03-08,5.168,5.315,5.315,38600
2011-03-09,5.278,5.389,5.301,19500
2011-03-10,5.102,5.794,5.131,83900
2011-03-11,5.028,5.264,5.198,44500
2011-03-14,5.021,5.264,5.22,17000
2011-03-15,4.991,5.249,5.183,28200
2011-03-16,4.947,5.234,5.058,37100
2011-03-17,5.102,5.278,5.124,19000
2011-03-18,5.043,5.22,5.161,32300
2011-03-21,5.278,5.485,5.485,60300
2011-03-22,5.47,5.683,5.536,46400
2011-03-23,5.433,5.661,5.595,37500
2011-03-24,5.573,5.705,5.632,26900
2011-03-25,5.566,5.794,5.794,24700
2011-03-28,5.786,5.948,5.897,33400
2011-03-29,5.867,6.206,6.044,30000
2011-03-30,6.088,6.368,6.346,28600
2011-03-31,6.265,6.398,6.383,19700
2011-04-01,5.89,6.405,5.89,43600
2011-04-04,5.963,6.265,6.221,29200
2011-04-05,5.941,6.398,6.368,41900
2011-04-06,6.029,6.353,6.236,11500
2011-04-07,6.199,6.817,6.618,31100
2011-04-08,6.132,6.626,6.302,7600
2011-04-11,5.705,6.28,5.764,20700
2011-04-12,5.139,5.735,5.293,50300
2011-04-13,5.153,5.382,5.19,32500
2011-04-14,4.859,5.264,4.918,94800
2011-04-15,4.866,5.448,5.065,74300
2011-04-18,4.734,5.065,4.91,31400
2011-04-19,4.932,5.198,5.028,16200
2011-04-20,5.153,5.271,5.271,22200
2011-04-21,5.286,5.389,5.374,11500
2011-04-25,5.352,5.573,5.389,14200
2011-04-26,5.477,5.823,5.801,19500
2011-04-27,5.617,5.831,5.691,14200
2011-04-28,5.639,5.934,5.912,58100
2011-04-29,5.801,6.177,6.14,278000
2011-05-02,6.14,6.464,6.184,74000
2011-05-03,6.11,6.361,6.191,72900
2011-05-04,5.993,6.243,6.007,45000
2011-05-05,5.735,6.25,5.993,286600
2011-05-06,5.58,6.191,5.897,25000
2011-05-09,5.941,6.191,6.044,18000
2011-05-10,5.882,6.103,6.0,27600
2011-05-11,5.455,6.147,5.705,98600
2011-05-12,5.44,5.772,5.654,34200
2011-05-13,5.514,5.823,5.757,74000
2011-05-16,5.227,5.669,5.352,45100
2011-05-17,5.161,5.345,5.183,27000
2011-05-18,5.087,5.323,5.315,45100
