,Low,High,Close,Volume
2010-12-09,6.531,6.632,6.542,1634400
2010-12-10,6.501,6.621,6.615,928800
2010-12-13,6.469,6.664,6.476,1707300
2010-12-14,6.409,6.578,6.508,1829700
2010-12-15,6.471,6.58,6.499,1808100
2010-12-16,6.476,6.647,6.589,1846800
2010-12-17,6.476,6.617,6.542,2570400
2010-12-20,6.478,6.595,6.563,1034550
2010-12-21,6.602,6.783,6.762,1294200
2010-12-22,6.704,6.826,6.751,599400
2010-12-23,6.709,6.803,6.77,591300
2010-12-27,6.713,6.847,6.803,583200
2010-12-28,6.7,6.815,6.738,657450
2010-12-29,6.736,6.8,6.76,346950
2010-12-30,6.773,6.879,6.845,715050
2010-12-31,6.811,6.888,6.835,952650
2011-01-03,6.869,7.055,6.939,874800
2011-01-04,6.709,7.208,6.939,8187300
2011-01-05,6.858,7.044,6.929,2298600
2011-01-06,6.931,7.104,6.976,2028600
2011-01-07,6.873,7.067,6.993,1154250
2011-01-10,6.869,7.023,6.98,1084050
2011-01-11,6.862,7.02,6.926,1117350
2011-01-12,6.901,7.012,6.988,1466550
2011-01-13,6.792,7.108,7.052,1788300
2011-01-14,6.95,7.119,7.095,1597050
2011-01-18,6.988,7.161,7.063,1513350
2011-01-19,6.869,7.076,6.899,1875150
2011-01-20,6.768,6.892,6.817,915750
2011-01-21,6.783,6.888,6.798,873450
2011-01-24,6.777,6.941,6.86,1207350
2011-01-25,6.811,6.933,6.911,889650
2011-01-26,6.873,7.121,6.98,2556900
2011-01-27,6.95,7.179,7.129,1236150
2011-01-28,6.875,7.104,6.877,1342800
2011-01-31,6.783,6.922,6.873,1139400
2011-02-01,6.914,7.018,6.984,1093050
2011-02-02,6.061,6.862,6.576,9990000
2011-02-03,6.341,6.582,6.429,4199400
2011-02-04,6.356,6.559,6.514,3020850
2011-02-07,6.377,6.514,6.45,3338100
2011-02-08,6.409,6.516,6.467,1125450
2011-02-09,6.354,6.597,6.422,2032200
2011-02-10,6.367,6.615,6.557,2101050
2011-02-11,6.499,6.642,6.64,3124350
2011-02-14,6.585,6.762,6.728,1442700
2011-02-15,6.683,6.832,6.745,2180700
2011-02-16,6.706,6.815,6.766,2319750
2011-02-17,6.704,6.879,6.813,1350000
2011-02-18,6.762,6.916,6.901,1590750
2011-02-22,6.653,6.815,6.676,1525500
2011-02-23,6.414,6.67,6.503,1380150
2011-02-24,6.386,6.585,6.469,1507500
2011-02-25,6.469,6.715,6.597,1118700
2011-02-28,6.538,6.704,6.574,819000
2011-03-01,6.422,6.615,6.469,811350
2011-03-02,6.422,6.576,6.478,2018250
2011-03-03,6.542,6.873,6.85,3351150
2011-03-04,6.813,6.935,6.888,1804500
2011-03-07,6.702,6.978,6.847,2486250
2011-03-08,6.798,7.035,7.029,1105650
