,Low,High,Close,Volume
2010-12-09,7.283,7.416,7.378,29500
2010-12-10,7.359,7.497,7.497,44000
2010-12-13,7.492,7.645,7.621,68100
2010-12-14,7.564,7.716,7.616,91200
2010-12-15,7.573,7.683,7.573,89000
2010-12-16,7.616,7.683,7.664,200900
2010-12-17,7.602,7.678,7.673,5200
2010-12-20,7.621,7.711,7.654,11000
2010-12-21,7.611,7.697,7.692,1800
2010-12-22,7.659,7.75,7.745,14400
2010-12-23,7.692,7.74,7.74,8300
2010-12-27,7.664,7.754,7.678,3600
2010-12-28,7.564,7.754,7.588,6700
2010-12-29,7.569,7.692,7.607,57800
2010-12-30,7.426,7.607,7.45,9200
2010-12-31,7.359,7.445,7.359,4200
2011-01-03,7.35,7.54,7.469,16100
2011-01-04,7.392,7.511,7.45,19800
2011-01-05,7.416,7.502,7.478,141200
2011-01-06,7.402,7.492,7.45,16200
2011-01-07,7.412,7.492,7.454,25800
2011-01-10,7.369,7.473,7.435,15800
2011-01-11,7.421,7.488,7.473,11600
2011-01-12,7.537,7.686,7.648,65800
2011-01-13,7.599,7.672,7.652,21900
2011-01-14,7.571,7.686,7.657,10600
2011-01-18,7.59,7.667,7.623,57000
2011-01-19,7.503,7.686,7.686,7700
2011-01-20,7.383,7.595,7.402,8600
2011-01-21,7.34,7.412,7.359,6000
2011-01-24,7.354,7.431,7.412,6200
2011-01-25,7.34,7.402,7.383,32700
2011-01-26,7.407,7.59,7.518,73400
2011-01-27,7.412,7.537,7.532,7200
2011-01-28,7.359,7.455,7.417,49200
2011-01-31,7.268,7.484,7.296,7500
2011-02-01,7.258,7.614,7.532,20800
2011-02-02,7.301,7.59,7.33,14300
2011-02-03,7.234,7.436,7.239,72700
2011-02-04,7.147,7.301,7.147,20600
2011-02-07,7.075,7.191,7.167,8300
2011-02-08,7.07,7.258,7.239,21300
2011-02-09,7.157,7.229,7.181,46600
2011-02-10,6.984,7.114,7.032,21800
2011-02-11,7.013,7.123,7.094,5400
2011-02-14,7.061,7.2,7.109,7100
2011-02-15,6.763,7.041,7.027,3100
2011-02-16,6.969,7.109,7.075,15600
2011-02-17,7.013,7.215,7.215,21500
2011-02-18,7.085,7.277,7.085,35500
2011-02-22,6.657,6.974,6.714,171200
2011-02-23,6.561,6.926,6.926,15700
2011-02-24,6.791,7.09,6.811,7400
2011-02-25,6.772,6.902,6.854,45000
2011-02-28,6.839,6.945,6.888,33100
2011-03-01,6.873,7.33,7.167,157300
2011-03-02,7.046,7.316,7.123,28800
2011-03-03,6.989,7.167,7.138,37400
2011-03-04,7.085,7.152,7.128,13400
2011-03-07,6.998,7.147,7.027,24000
2011-03-08,6.95,7.075,7.037,45100
2011-03-09,7.022,7.195,7.104,11300
2011-03-10,6.936,7.253,6.998,46200
2011-03-11,6.965,7.311,7.114,33000
2011-03-14,6.921,7.181,7.167,12800
2011-03-15,6.787,7.224,7.085,71300
2011-03-16,6.787,7.118,6.806,54900
2011-03-17,6.791,6.998,6.969,32400
2011-03-18,6.955,7.042,6.974,91600
2011-03-21,6.907,7.037,7.003,19200
2011-03-22,7.017,7.114,7.051,43300
2011-03-23,7.022,7.07,7.022,1600
2011-03-24,7.017,7.099,7.066,24500
2011-03-25,7.032,7.109,7.061,3100
2011-03-28,7.032,7.075,7.066,14400
2011-03-29,7.013,7.09,7.09,51500
2011-03-30,7.085,7.219,7.171,3900
2011-03-31,7.157,7.272,7.244,12100
2011-04-01,7.311,7.551,7.479,21300
2011-04-04,7.431,7.513,7.513,22200
2011-04-05,7.45,7.498,7.498,3300
2011-04-06,7.479,7.551,7.513,47500
2011-04-07,7.311,7.561,7.465,28300
2011-04-08,7.407,7.518,7.508,62500
2011-04-11,7.421,7.662,7.575,64700
