,Low,High,Close,Volume
2020-05-18,16.918,17.056,17.021,121600
2020-05-19,16.967,17.021,16.987,46500
2020-05-20,16.953,17.09,17.083,112700
2020-05-21,17.021,17.159,17.159,25500
2020-05-22,17.159,17.33,17.179,27300
2020-05-26,17.227,17.433,17.358,27900
2020-05-27,17.269,17.358,17.303,64100
2020-05-28,17.296,17.433,17.31,121600
2020-05-29,17.296,17.433,17.413,44600
2020-06-01,17.344,17.433,17.433,64900
2020-06-02,17.001,17.426,17.399,106500
2020-06-03,17.193,17.399,17.296,16900
2020-06-04,17.166,17.33,17.289,57600
2020-06-05,17.289,17.399,17.365,78100
2020-06-08,17.262,17.365,17.351,37300
2020-06-09,17.214,17.365,17.365,44800
2020-06-10,17.258,17.536,17.399,82000
2020-06-11,16.665,17.33,16.98,47200
2020-06-12,16.846,17.159,17.056,28100
2020-06-15,16.829,17.152,16.967,12600
2020-06-16,17.09,17.399,17.282,36600
2020-06-17,16.967,17.31,17.042,51700
2020-06-18,16.788,17.159,17.159,54900
2020-06-19,17.056,17.262,17.2,44400
2020-06-22,17.166,17.447,17.447,32900
2020-06-23,17.378,17.495,17.495,23400
2020-06-24,17.303,17.468,17.468,36900
2020-06-25,17.323,17.495,17.468,34500
2020-06-26,17.334,17.464,17.392,24800
2020-06-29,17.347,17.468,17.433,61100
2020-06-30,16.898,17.461,16.898,169100
2020-07-01,16.829,17.118,16.967,119300
2020-07-02,16.949,17.07,16.949,28700
2020-07-06,16.905,17.028,16.925,51900
2020-07-07,16.816,16.974,16.891,54500
2020-07-08,16.836,16.96,16.857,35500
2020-07-09,16.829,16.932,16.898,34000
2020-07-10,16.87,16.912,16.912,25300
2020-07-13,16.787,16.912,16.822,34900
2020-07-14,16.829,16.901,16.864,16000
2020-07-15,16.953,17.138,17.083,18900
2020-07-16,17.08,17.289,17.2,26000
2020-07-17,17.159,17.365,17.296,24600
2020-07-20,17.269,17.344,17.296,8000
2020-07-21,16.994,17.42,17.219,14600
2020-07-22,17.241,17.371,17.296,13000
2020-07-23,17.296,17.351,17.296,6800
2020-07-24,17.227,17.392,17.227,15000
2020-07-27,17.227,17.337,17.241,18600
2020-07-28,17.262,17.344,17.262,4200
2020-07-29,17.337,17.502,17.413,14900
2020-07-30,17.433,17.55,17.518,14900
2020-07-31,17.321,17.662,17.323,31700
2020-08-03,17.334,17.485,17.378,14000
2020-08-04,17.408,17.566,17.524,17200
2020-08-05,17.524,17.656,17.628,17400
2020-08-06,17.6,17.628,17.6,5500
2020-08-07,17.545,17.614,17.6,25100
2020-08-10,17.6,17.701,17.701,12900
2020-08-11,17.698,17.754,17.698,5900
2020-08-12,17.635,17.768,17.767,23200
2020-08-13,17.699,17.74,17.74,12000
2020-08-14,17.726,17.908,17.89,16700
2020-08-17,17.95,18.152,18.145,10400
2020-08-18,18.02,18.152,18.152,24100
2020-08-19,17.984,18.152,18.124,29300
2020-08-20,17.929,18.058,18.033,29400
2020-08-21,17.985,18.054,18.054,11900
2020-08-24,17.985,18.054,18.047,37800
2020-08-25,17.985,18.082,18.082,15600
2020-08-26,18.054,18.159,18.089,20800
2020-08-27,17.992,18.243,18.159,25200
2020-08-28,18.159,18.264,18.159,6800
2020-08-31,18.061,18.48,18.404,36700
2020-09-01,18.385,18.557,18.501,16700
2020-09-02,18.306,18.578,18.379,30100
2020-09-03,18.348,18.578,18.48,20200
2020-09-04,18.348,18.522,18.508,6700
2020-09-08,18.348,18.536,18.425,10000
2020-09-09,18.229,18.469,18.271,31800
2020-09-10,18.271,18.468,18.334,8200
2020-09-11,18.271,18.334,18.313,31100
2020-09-14,18.201,18.334,18.264,35000
2020-09-15,18.061,18.327,18.208,28900
2020-09-16,18.103,18.285,18.173,58500
2020-09-17,18.088,18.285,18.285,28500
2020-09-18,18.117,18.285,18.222,17200
2020-09-21,18.089,18.334,18.293,19000
2020-09-22,18.194,18.334,18.334,11800
2020-09-23,18.207,18.334,18.229,21700
2020-09-24,17.985,18.215,18.201,14500
2020-09-25,18.096,18.334,18.107,51800
2020-09-28,18.131,18.264,18.152,38800
2020-09-29,18.089,18.229,18.194,25200
2020-09-30,18.131,19.158,19.144,263500
2020-10-01,18.872,18.99,18.955,185400
2020-10-02,18.823,18.874,18.865,42400
2020-10-05,18.648,18.872,18.753,34000
2020-10-06,18.683,18.927,18.927,16400
2020-10-07,18.851,19.186,19.186,46200
2020-10-08,18.941,19.2,19.2,19000
2020-10-09,19.032,19.5,19.123,24200
2020-10-12,19.022,19.298,19.27,17700
2020-10-13,19.074,19.277,19.277,15700
2020-10-14,19.179,19.416,19.326,11300
2020-10-15,19.137,19.249,19.207,6300
2020-10-16,19.144,19.354,19.259,12400
2020-10-19,19.165,19.295,19.263,21800
2020-10-20,19.158,19.333,19.221,26100
2020-10-21,19.053,19.312,19.053,12700
2020-10-22,18.99,19.207,18.99,53500
2020-10-23,18.893,18.997,18.976,5900
2020-10-26,18.851,18.997,18.997,14900
2020-10-27,18.753,18.997,18.816,32800
2020-10-28,18.648,18.9,18.746,30200
2020-10-29,18.795,18.927,18.809,20000
2020-10-30,18.568,19.067,19.046,28600
2020-11-02,18.858,19.207,19.172,13100
2020-11-03,18.721,19.263,19.161,8500
2020-11-04,18.865,19.426,19.235,8300
