,Low,High,Close,Volume
2018-07-27,9.678,12.3,10.324,6904400
2018-07-30,9.332,10.198,9.457,2284600
2018-07-31,9.457,9.686,9.52,418300
2018-08-01,9.45,9.607,9.56,354200
2018-08-02,9.434,9.591,9.505,634200
2018-08-03,9.056,9.56,9.056,1117300
2018-08-06,9.048,10.788,10.56,1117900
2018-08-07,10.261,11.214,10.733,718500
2018-08-08,9.922,11.001,10.576,466900
2018-08-09,10.198,10.741,10.623,246700
2018-08-10,10.048,10.647,10.521,260800
2018-08-13,10.182,10.812,10.324,119800
2018-08-14,10.048,10.473,10.15,123500
2018-08-15,8.048,9.607,8.355,881900
2018-08-16,8.544,9.056,9.056,213500
2018-08-17,8.3,9.103,8.639,181000
2018-08-20,8.623,8.922,8.891,135800
2018-08-21,8.859,9.78,9.599,168100
2018-08-22,9.56,10.017,9.93,147100
2018-08-23,9.709,9.969,9.891,139500
2018-08-24,10.213,10.631,10.489,1430000
2018-08-27,10.521,10.788,10.686,326300
2018-08-28,9.702,10.678,9.788,219400
2018-08-29,9.741,10.221,9.78,119200
2018-08-30,9.41,10.001,9.599,299800
2018-08-31,9.261,9.709,9.292,98200
2018-09-04,9.292,9.599,9.528,66200
2018-09-05,8.969,9.473,9.158,96200
2018-09-06,8.969,9.221,9.056,51300
2018-09-07,8.741,9.654,8.954,53500
2018-09-10,8.82,9.001,8.891,37200
2018-09-11,8.646,8.946,8.733,41000
2018-09-12,8.615,8.749,8.678,64200
2018-09-13,8.686,9.135,9.017,68600
2018-09-14,8.639,9.166,8.702,73300
2018-09-17,8.268,8.78,8.505,177300
2018-09-18,7.946,8.513,7.985,86400
2018-09-19,7.796,8.079,7.812,231500
2018-09-20,7.497,7.946,7.867,116700
2018-09-21,7.599,7.859,7.599,116200
2018-09-24,7.095,7.638,7.134,165100
2018-09-25,6.945,7.268,6.945,77400
2018-09-26,6.835,7.339,7.174,170400
2018-09-27,7.087,7.481,7.111,28200
2018-09-28,7.008,7.174,7.079,46400
2018-10-01,6.867,7.26,7.008,102300
2018-10-02,6.961,7.638,7.213,167300
2018-10-03,7.205,7.654,7.276,214800
2018-10-04,6.93,7.213,7.048,105800
2018-10-05,6.89,7.575,6.93,243700
2018-10-08,6.418,6.93,6.725,124200
2018-10-09,6.544,6.89,6.693,53700
2018-10-10,6.355,6.733,6.418,132600
2018-10-11,6.032,6.441,6.087,140900
2018-10-12,6.064,6.237,6.119,89600
2018-10-15,5.961,6.245,6.087,119100
2018-10-16,6.04,6.221,6.158,292400
2018-10-17,5.827,6.134,5.851,118400
2018-10-18,5.394,5.977,5.646,294300
2018-10-19,5.355,5.906,5.363,201000
2018-10-22,5.166,5.819,5.221,650500
2018-10-23,5.0,5.449,5.268,359500
2018-10-24,5.079,5.394,5.134,218900
2018-10-25,5.0,5.693,5.52,295100
2018-10-26,5.174,5.709,5.544,179900
2018-10-29,5.402,5.882,5.591,289800
2018-10-30,5.323,5.725,5.339,256100
2018-10-31,5.079,5.402,5.197,180000
2018-11-01,5.308,5.717,5.552,903300
2018-11-02,5.119,5.654,5.315,302300
2018-11-05,5.205,5.536,5.347,415900
2018-11-06,4.906,5.434,5.15,389800
2018-11-07,5.048,5.292,5.095,142000
2018-11-08,4.969,5.867,5.843,1289400
2018-11-09,5.252,5.804,5.434,920100
2018-11-12,5.134,5.552,5.245,267300
2018-11-13,4.922,5.347,5.126,580600
2018-11-14,5.056,5.441,5.315,370500
2018-11-15,5.158,5.371,5.221,216100
2018-11-16,5.166,5.394,5.308,120200
2018-11-19,5.166,5.347,5.252,161100
2018-11-20,5.134,5.3,5.205,135900
2018-11-21,5.26,5.591,5.497,117900
2018-11-23,5.394,5.63,5.473,45400
2018-11-26,5.371,5.536,5.481,102800
2018-11-27,5.142,5.434,5.197,110400
2018-11-28,5.134,5.355,5.347,98500
2018-11-29,5.189,5.434,5.339,172900
2018-11-30,5.268,5.497,5.434,153400
2018-12-03,5.355,5.583,5.457,138700
2018-12-04,4.796,5.512,5.0,434100
2018-12-06,4.835,5.119,5.032,153800
2018-12-07,4.748,5.008,4.804,184200
2018-12-10,4.685,4.922,4.709,108400
2018-12-11,4.41,4.772,4.449,85300
2018-12-12,4.449,4.599,4.457,124500
2018-12-13,4.292,4.489,4.37,64300
2018-12-14,4.315,4.591,4.496,64800
2018-12-17,4.268,4.575,4.504,116500
2018-12-18,4.378,4.552,4.449,131100
2018-12-19,4.244,4.481,4.315,163900
2018-12-20,4.181,4.473,4.41,115600
2018-12-21,4.292,4.544,4.331,78500
2018-12-24,4.213,4.449,4.339,16700
2018-12-26,4.197,4.41,4.402,61300
2018-12-27,4.213,4.41,4.339,106300
2018-12-28,4.237,4.662,4.536,100900
2018-12-31,4.331,4.544,4.378,18300
2019-01-02,4.339,4.969,4.78,99600
2019-01-03,4.741,4.953,4.764,135000
2019-01-04,4.772,4.906,4.796,103200
2019-01-07,4.859,4.977,4.914,126200
2019-01-08,4.859,5.205,5.126,180000
2019-01-09,5.197,5.977,5.882,346700
2019-01-10,5.646,6.268,6.111,247800
2019-01-11,5.906,6.213,5.93,230100
2019-01-14,5.528,5.977,5.67,132500
2019-01-15,5.67,6.032,5.717,96800
2019-01-16,5.512,5.906,5.78,96900
2019-01-17,5.772,5.961,5.914,79600
2019-01-18,5.914,6.292,5.945,307000
2019-01-22,5.686,6.095,5.93,156600
2019-01-23,5.882,6.103,6.079,120300
2019-01-24,5.945,6.245,6.016,159200
2019-01-25,5.701,6.221,5.938,184600
2019-01-28,5.749,6.142,5.788,338600
2019-01-29,5.756,6.457,6.371,177100
2019-01-30,6.205,6.583,6.378,168700
2019-01-31,6.284,6.812,6.473,178000
2019-02-01,6.079,6.709,6.142,353200
2019-02-04,6.071,6.536,6.127,170500
2019-02-05,6.103,6.402,6.292,84400
2019-02-06,6.142,6.418,6.245,123700
2019-02-07,5.993,6.284,6.134,65000
2019-02-08,6.064,6.292,6.197,29400
2019-02-11,6.008,6.292,6.182,26900
2019-02-12,6.197,6.567,6.339,91600
2019-02-13,6.268,6.693,6.63,152700
2019-02-14,6.41,6.709,6.449,32000
2019-02-15,6.213,6.646,6.402,79300
2019-02-19,6.308,6.607,6.536,42500
2019-02-20,6.426,6.804,6.741,87500
2019-02-21,6.457,7.717,6.678,247800
2019-02-22,6.772,7.473,7.04,183700
2019-02-25,6.914,7.402,7.182,105800
2019-02-26,7.064,7.308,7.142,90500
2019-02-27,6.953,7.253,7.134,53400
2019-02-28,6.867,7.26,7.079,198300
2019-03-01,6.812,7.087,6.914,248300
2019-03-04,6.221,6.922,6.292,128000
2019-03-05,6.032,6.308,6.205,105100
2019-03-06,6.008,6.292,6.087,69700
2019-03-07,5.843,6.213,6.056,62000
2019-03-08,5.67,6.142,5.843,141700
2019-03-11,5.662,6.142,6.016,166300
2019-03-12,6.016,6.142,6.04,55100
2019-03-13,5.945,6.095,6.024,68400
2019-03-14,5.796,6.04,5.882,55600
2019-03-15,5.749,5.945,5.819,31600
2019-03-18,5.717,5.898,5.78,34000
2019-03-19,5.457,5.835,5.528,69500
2019-03-20,5.497,5.804,5.67,104500
2019-03-21,5.638,5.882,5.709,106200
2019-03-22,5.394,5.709,5.434,132100
2019-03-25,5.197,5.544,5.268,61500
2019-03-26,5.268,5.434,5.426,57700
2019-03-27,5.237,5.504,5.276,80500
2019-03-28,5.008,5.355,5.111,78400
2019-03-29,5.103,5.284,5.174,62100
2019-04-01,5.087,5.284,5.197,116600
2019-04-02,5.126,5.276,5.197,159600
2019-04-03,5.197,5.67,5.567,455500
2019-04-04,5.276,5.78,5.749,606500
2019-04-05,5.489,5.835,5.796,157900
2019-04-08,5.662,5.875,5.812,153200
2019-04-09,5.717,6.103,6.032,190200
2019-04-10,5.985,6.339,6.268,189400
2019-04-11,6.087,6.253,6.182,26800
2019-04-12,6.158,6.347,6.26,114200
2019-04-15,6.3,6.654,6.591,151000
2019-04-16,6.599,7.245,7.095,169100
2019-04-17,6.812,7.174,7.079,152500
2019-04-18,6.772,7.119,6.819,109600
2019-04-22,5.945,6.898,6.749,297900
2019-04-23,6.749,7.142,7.103,130700
2019-04-24,6.819,7.111,6.969,73500
2019-04-25,6.827,7.347,7.268,114700
2019-04-26,6.717,7.276,6.922,136300
2019-04-29,6.693,7.237,7.087,128300
2019-04-30,7.048,7.709,7.591,262500
2019-05-01,7.41,7.914,7.883,193800
2019-05-02,7.536,8.04,7.591,160700
2019-05-03,7.426,7.662,7.465,53300
2019-05-06,6.993,7.725,7.473,67200
2019-05-07,7.347,7.82,7.394,95700
2019-05-08,7.111,7.631,7.497,93900
2019-05-09,7.213,7.717,7.465,58700
2019-05-10,7.174,7.804,7.512,51600
2019-05-13,7.221,7.772,7.434,119200
2019-05-14,7.442,7.717,7.544,42000
2019-05-15,7.253,7.859,7.725,168600
2019-05-16,7.528,7.804,7.686,138600
2019-05-17,7.56,8.072,7.638,144100
2019-05-20,7.284,7.686,7.339,193500
2019-05-21,7.19,7.56,7.52,114600
2019-05-22,7.182,8.379,7.709,143100
2019-05-23,7.276,7.757,7.402,206700
2019-05-24,7.473,8.615,8.528,241600
2019-05-28,8.591,9.599,9.45,435400
2019-05-29,9.095,9.45,9.237,322600
2019-05-30,9.284,9.796,9.591,816000
2019-05-31,8.513,9.528,9.032,549800
2019-06-03,7.78,9.024,8.237,290100
2019-06-04,8.103,8.552,8.434,207600
2019-06-05,7.772,8.788,7.938,154400
2019-06-06,7.339,7.993,7.638,428900
2019-06-07,7.552,7.717,7.591,51500
2019-06-10,7.213,7.985,7.694,237300
2019-06-11,7.56,8.048,7.851,111300
2019-06-12,7.481,7.985,7.749,138800
2019-06-13,7.638,8.253,8.119,72300
2019-06-14,7.938,8.528,7.946,86100
2019-06-17,7.906,8.158,7.993,42100
2019-06-18,8.032,8.394,8.087,50400
2019-06-19,7.93,8.426,8.064,90500
2019-06-20,8.095,8.568,8.505,63900
2019-06-21,8.465,9.324,9.135,122600
2019-06-24,8.591,9.45,8.702,165000
2019-06-25,8.016,8.741,8.229,63300
2019-06-26,8.095,8.489,8.182,60700
2019-06-27,8.103,8.465,8.158,35300
2019-06-28,8.119,8.371,8.221,40100
2019-07-01,8.056,8.473,8.166,23100
2019-07-02,8.04,8.41,8.072,65900
2019-07-03,7.875,8.229,7.898,45100
2019-07-05,7.686,8.072,7.875,62900
2019-07-08,7.568,8.009,7.662,41800
2019-07-09,7.67,7.788,7.717,34500
2019-07-10,7.796,8.339,8.237,44700
2019-07-11,8.064,9.001,8.591,60100
2019-07-12,8.394,8.678,8.497,18200
2019-07-15,8.3,8.733,8.394,59000
2019-07-16,8.032,8.623,8.182,37200
2019-07-17,8.355,9.276,8.977,277800
2019-07-18,8.749,9.253,9.119,166600
2019-07-19,8.505,9.174,8.977,43000
2019-07-22,8.741,8.969,8.867,34600
2019-07-23,8.528,8.93,8.599,90700
