,Low,High,Close,Volume
2010-12-09,8.692,8.781,8.725,1066400
2010-12-10,8.731,8.915,8.859,1259200
2010-12-13,8.827,8.925,8.877,940400
2010-12-14,8.871,9.109,9.017,2484400
2010-12-15,8.881,9.103,8.923,1426800
2010-12-16,8.76,8.923,8.902,642800
2010-12-17,8.771,9.003,8.998,1656800
2010-12-20,8.957,9.109,9.048,894000
2010-12-21,9.03,9.167,9.119,1502000
2010-12-22,9.015,9.163,9.023,1037600
2010-12-23,8.988,9.069,9.025,655200
2010-12-27,8.936,9.023,8.996,121200
2010-12-28,8.9,9.005,8.921,139600
2010-12-29,8.911,9.111,8.996,661600
2010-12-30,8.927,9.009,8.978,220000
2010-12-31,8.844,9.005,8.844,260400
2011-01-03,8.765,9.028,9.023,1972400
2011-01-04,8.89,9.113,8.954,824800
2011-01-05,8.875,9.003,8.988,452400
2011-01-06,8.915,9.119,9.094,844800
2011-01-07,8.978,9.171,9.042,830000
2011-01-10,8.911,9.063,8.988,424400
2011-01-11,8.938,9.048,9.028,311200
2011-01-12,8.996,9.132,9.015,1090800
2011-01-13,9.0,9.098,9.032,1930400
2011-01-14,9.017,9.249,9.236,1596000
2011-01-18,9.199,9.343,9.28,2523600
2011-01-19,9.201,9.347,9.215,2844400
2011-01-20,9.092,9.228,9.147,2666000
2011-01-21,8.977,9.234,9.002,2106800
2011-01-24,8.959,9.082,8.998,1470400
2011-01-25,8.904,8.986,8.98,879600
2011-01-26,8.954,9.265,9.203,869600
2011-01-27,9.401,9.7,9.474,1867200
2011-01-28,9.378,9.578,9.384,1133200
2011-01-31,9.324,9.505,9.483,615200
2011-02-01,9.516,9.714,9.629,1258400
2011-02-02,9.654,9.783,9.754,1416800
2011-02-03,10.785,11.406,10.801,9828000
2011-02-04,10.643,10.927,10.684,3382000
2011-02-07,10.693,10.824,10.724,1959600
2011-02-08,10.751,11.045,11.045,1534400
2011-02-09,10.981,11.298,11.148,2591200
2011-02-10,11.012,11.25,11.208,1047200
2011-02-11,11.119,11.283,11.235,1059600
2011-02-14,11.252,11.421,11.338,1077200
2011-02-15,11.056,11.352,11.062,1128400
2011-02-16,10.949,11.148,11.121,1655600
2011-02-17,10.972,11.175,11.071,1126000
2011-02-18,10.901,11.1,11.079,1654000
2011-02-22,10.927,11.281,10.935,1023200
2011-02-23,10.647,10.997,10.964,1844800
2011-02-24,10.924,11.214,11.07,1796000
2011-02-25,11.123,11.24,11.214,875600
2011-02-28,11.214,11.34,11.313,906000
2011-03-01,10.82,11.319,10.856,1487600
2011-03-02,10.853,11.031,10.92,1224400
2011-03-03,11.008,11.217,11.214,2060000
2011-03-04,11.137,11.375,11.258,1243200
2011-03-07,10.874,11.279,10.897,1482400
2011-03-08,10.762,11.131,11.073,1202800
2011-03-09,10.856,11.118,10.872,843200
2011-03-10,10.509,10.843,10.785,1873200
2011-03-11,10.645,10.883,10.824,625600
2011-03-14,10.653,10.829,10.772,521600
2011-03-15,10.252,10.73,10.709,1137200
2011-03-16,10.609,10.795,10.697,1254000
2011-03-17,10.597,10.816,10.781,828400
2011-03-18,10.73,10.914,10.776,616800
2011-03-21,10.881,11.094,11.052,670000
2011-03-22,10.916,11.085,11.05,536400
2011-03-23,10.97,11.108,11.081,480000
2011-03-24,11.152,11.396,11.336,534400
2011-03-25,11.3,11.417,11.319,518000
2011-03-28,11.141,11.415,11.215,772000
2011-03-29,11.181,11.747,11.73,2800400
2011-03-30,11.828,12.231,11.876,3060400
2011-03-31,11.809,11.995,11.966,1994800
2011-04-01,12.037,12.327,12.302,2742400
2011-04-04,12.3,12.809,12.352,2421200
2011-04-05,11.747,12.36,11.993,2858400
