,Low,High,Close,Volume
2010-12-09,12.534,12.765,12.735,91100
2010-12-10,12.682,13.02,13.008,120800
2010-12-13,13.025,13.274,13.203,167600
2010-12-14,13.138,13.363,13.339,138000
2010-12-15,13.304,13.499,13.357,133000
2010-12-16,13.298,13.6,13.535,134600
2010-12-17,13.387,13.594,13.57,257500
2010-12-20,13.529,13.683,13.552,128100
2010-12-21,13.487,13.641,13.552,92900
2010-12-22,13.523,13.653,13.618,60700
2010-12-23,13.606,13.689,13.659,42600
2010-12-27,13.576,13.813,13.724,64200
2010-12-28,13.57,13.718,13.641,133500
2010-12-29,13.529,13.665,13.535,76100
2010-12-30,13.375,13.6,13.422,118500
2010-12-31,13.316,13.428,13.345,88600
2011-01-03,13.321,13.582,13.446,107200
2011-01-04,13.239,13.511,13.393,98500
2011-01-05,13.316,13.475,13.416,102500
2011-01-06,13.215,13.458,13.345,72900
2011-01-07,13.025,13.333,13.268,128600
2011-01-10,13.079,13.41,13.387,124800
2011-01-11,13.239,13.393,13.327,77000
2011-01-12,13.333,13.588,13.57,97000
2011-01-13,13.481,13.612,13.517,94600
2011-01-14,13.428,13.606,13.588,75600
2011-01-18,13.387,13.588,13.57,78500
2011-01-19,13.458,13.588,13.529,119300
2011-01-20,13.398,13.558,13.434,85500
2011-01-21,13.262,13.464,13.327,147000
2011-01-24,13.262,13.469,13.422,83900
2011-01-25,13.28,13.464,13.452,72300
2011-01-26,13.416,13.665,13.606,116300
2011-01-27,13.582,13.742,13.7,107600
2011-01-28,13.398,13.73,13.434,137500
2011-01-31,13.375,13.582,13.422,114100
2011-02-01,13.422,13.748,13.724,88600
2011-02-02,13.618,13.766,13.677,63800
2011-02-03,13.499,13.671,13.623,69000
2011-02-04,13.511,13.694,13.564,67800
2011-02-07,13.582,13.73,13.683,70300
2011-02-08,13.535,13.742,13.742,126900
2011-02-09,13.564,13.807,13.789,107700
2011-02-10,13.469,13.872,13.736,198400
2011-02-11,13.495,13.675,13.585,153200
2011-02-14,13.483,13.573,13.507,72200
2011-02-15,13.465,13.561,13.507,69100
2011-02-16,13.339,13.531,13.423,95500
2011-02-17,13.345,13.459,13.459,82600
2011-02-18,13.399,13.537,13.519,86600
2011-02-22,13.357,13.543,13.387,112200
2011-02-23,13.153,13.405,13.165,100200
2011-02-24,13.009,13.219,13.183,111000
2011-02-25,12.781,13.405,13.399,84400
2011-02-28,13.471,13.603,13.507,79500
2011-03-01,13.225,13.585,13.225,113200
2011-03-02,13.153,13.339,13.285,96200
2011-03-03,13.225,13.543,13.477,85700
2011-03-04,13.249,13.477,13.369,66100
2011-03-07,13.129,13.465,13.285,121700
2011-03-08,13.255,13.567,13.489,80300
2011-03-09,13.423,13.579,13.567,80800
2011-03-10,13.267,13.561,13.315,151300
2011-03-11,13.201,13.429,13.207,110500
2011-03-14,12.997,13.225,13.165,88300
2011-03-15,12.601,13.069,12.979,99600
2011-03-16,12.733,13.015,12.787,135900
2011-03-17,12.745,12.889,12.751,102500
2011-03-18,12.757,12.979,12.973,169400
2011-03-21,13.063,13.255,13.255,89200
2011-03-22,13.159,13.297,13.207,51300
2011-03-23,13.105,13.291,13.249,58000
2011-03-24,13.195,13.345,13.309,88300
2011-03-25,13.315,13.495,13.411,103000
2011-03-28,13.363,13.525,13.363,69000
2011-03-29,13.327,13.465,13.459,52400
2011-03-30,13.447,13.651,13.651,123100
2011-03-31,13.543,13.663,13.633,93700
2011-04-01,13.633,13.747,13.723,113700
2011-04-04,13.675,13.867,13.777,108900
2011-04-05,13.663,13.855,13.765,68600
2011-04-06,13.753,13.855,13.807,71100
2011-04-07,13.687,13.849,13.693,71000
2011-04-08,13.585,13.801,13.609,65300
2011-04-11,13.399,13.603,13.429,77700
2011-04-12,13.249,13.495,13.249,64000
2011-04-13,13.189,13.351,13.225,67900
2011-04-14,13.141,13.387,13.381,65500
2011-04-15,13.315,13.651,13.585,278400
2011-04-18,13.333,13.531,13.447,131200
2011-04-19,13.357,13.531,13.405,169800
2011-04-20,13.507,13.639,13.639,96300
2011-04-21,13.555,13.705,13.615,64800
2011-04-25,13.561,13.639,13.621,49000
2011-04-26,13.615,13.885,13.837,103400
2011-04-27,13.783,13.921,13.909,56000
2011-04-28,13.795,13.993,13.987,67000
2011-04-29,13.927,14.053,14.023,100000
2011-05-02,13.825,14.083,13.825,87000
2011-05-03,13.747,13.951,13.795,64000
2011-05-04,13.663,13.837,13.663,72800
2011-05-05,13.555,13.753,13.603,99900
2011-05-06,13.615,13.843,13.669,54000
2011-05-09,13.591,13.777,13.741,88000
2011-05-10,13.609,13.825,13.675,151100
2011-05-11,13.564,13.795,13.607,173400
2011-05-12,13.516,13.759,13.734,79700
2011-05-13,13.412,13.783,13.497,87000
2011-05-16,13.388,13.534,13.418,108100
2011-05-17,13.309,13.497,13.333,172900
2011-05-18,13.187,13.339,13.285,163000
2011-05-19,13.157,13.43,13.351,206500
2011-05-20,13.23,13.491,13.345,176600
2011-05-23,13.084,13.242,13.121,98500
2011-05-24,12.896,13.175,12.896,166000
2011-05-25,12.811,13.066,13.035,84000
2011-05-26,12.859,13.072,13.048,87300
2011-05-27,13.017,13.157,13.06,53800
2011-05-31,13.072,13.327,13.321,368800
2011-06-01,13.005,13.303,13.005,174000
2011-06-02,12.908,13.096,12.969,106700
2011-06-03,12.768,12.95,12.835,191000
2011-06-06,12.756,12.871,12.774,91700
2011-06-07,12.695,12.853,12.701,116300
2011-06-08,12.683,12.811,12.732,115800
2011-06-09,12.683,12.841,12.701,86700
2011-06-10,12.543,12.689,12.598,130000
2011-06-13,12.592,12.713,12.592,111800
2011-06-14,12.64,12.811,12.738,106600
2011-06-15,12.482,12.738,12.537,102600
2011-06-16,12.537,12.853,12.762,120500
2011-06-17,12.713,12.938,12.744,172500
2011-06-20,12.671,12.932,12.896,56800
2011-06-21,12.756,13.017,12.902,185500
2011-06-22,12.725,12.89,12.744,76200
2011-06-23,12.519,12.732,12.695,93100
2011-06-24,12.598,12.798,12.653,194200
2011-06-27,12.653,12.805,12.78,79900
2011-06-28,12.756,12.835,12.829,78400
2011-06-29,12.725,12.823,12.744,85100
2011-06-30,12.719,12.835,12.823,162000
2011-07-01,12.817,12.987,12.95,211800
2011-07-05,12.853,12.999,12.92,104800
2011-07-06,12.877,13.066,13.048,96700
2011-07-07,12.999,13.248,13.242,125100
2011-07-08,13.048,13.279,13.2,99400
2011-07-11,13.011,13.139,13.029,104900
2011-07-12,12.92,13.187,13.072,87600
2011-07-13,13.06,13.26,13.139,131000
2011-07-14,13.054,13.193,13.072,121600
2011-07-15,13.09,13.272,13.181,145600
2011-07-18,12.975,13.181,13.011,88400
2011-07-19,13.011,13.236,13.224,85100
2011-07-20,13.09,13.272,13.108,80600
2011-07-21,13.163,13.412,13.333,182700
2011-07-22,13.206,13.364,13.224,77000
2011-07-25,13.102,13.303,13.139,108500
2011-07-26,12.969,13.175,12.975,56600
2011-07-27,12.719,12.914,12.732,168900
2011-07-28,12.659,12.792,12.695,93900
2011-07-29,12.464,12.732,12.628,129300
2011-08-01,12.61,12.774,12.725,137300
2011-08-02,12.397,12.762,12.409,96300
2011-08-03,12.258,12.659,12.537,89500
2011-08-04,12.148,12.574,12.148,158800
2011-08-05,11.972,12.549,12.142,162300
2011-08-08,11.364,12.33,11.364,281700
2011-08-09,11.516,13.096,13.029,376000
2011-08-10,11.954,12.689,12.13,455700
2011-08-11,11.913,12.709,12.499,273300
2011-08-12,12.326,12.77,12.511,126400
2011-08-15,12.524,12.838,12.82,99900
2011-08-16,12.554,12.894,12.813,135700
2011-08-17,12.733,12.974,12.801,121400
2011-08-18,12.32,12.647,12.406,175700
2011-08-19,12.11,12.548,12.289,146100
2011-08-22,12.19,12.61,12.246,138800
2011-08-23,12.258,12.48,12.462,237600
2011-08-24,12.419,12.684,12.542,192400
2011-08-25,12.209,12.653,12.271,123900
2011-08-26,12.036,12.419,12.332,136100
2011-08-29,12.468,12.739,12.709,174000
2011-08-30,12.517,12.727,12.665,132600
2011-08-31,12.554,12.813,12.684,185600
2011-09-01,12.394,12.813,12.45,169100
2011-09-02,12.116,12.388,12.184,176500
2011-09-06,11.907,12.172,12.129,181100
2011-09-07,12.147,12.4,12.375,153800
2011-09-08,12.215,12.437,12.308,165800
2011-09-09,11.907,12.301,12.036,295900
2011-09-12,11.913,12.16,12.153,172100
2011-09-13,12.153,12.382,12.326,167500
2011-09-14,12.203,12.53,12.326,245800
2011-09-15,12.197,12.431,12.363,152400
2011-09-16,12.357,12.542,12.474,195100
2011-09-19,12.203,12.419,12.338,123900
2011-09-20,12.252,12.548,12.252,111400
2011-09-21,11.974,12.338,11.993,138600
2011-09-22,11.654,11.931,11.783,203200
2011-09-23,11.783,12.104,11.925,175400
2011-09-26,11.746,12.042,11.931,135700
2011-09-27,11.839,12.215,11.999,185300
2011-09-28,11.623,12.049,11.629,125600
2011-09-29,11.376,11.796,11.598,321500
2011-09-30,11.277,11.666,11.29,340600
2011-10-03,10.92,11.444,10.92,331900
2011-10-04,10.815,11.296,11.265,371600
2011-10-05,11.179,11.444,11.351,150900
2011-10-06,11.302,11.709,11.685,179500
2011-10-07,11.388,11.752,11.419,127900
2011-10-10,11.536,11.697,11.672,196300
2011-10-11,11.604,11.894,11.845,151500
2011-10-12,11.771,11.993,11.851,174600
2011-10-13,11.635,11.857,11.845,116300
2011-10-14,11.789,12.079,12.042,97200
2011-10-17,11.66,11.993,11.678,129800
2011-10-18,11.715,12.141,12.049,146400
2011-10-19,11.857,12.19,11.9,114400
2011-10-20,11.672,11.944,11.882,78100
2011-10-21,11.9,12.116,12.104,128700
2011-10-24,12.079,12.425,12.419,215300
2011-10-25,12.178,12.419,12.184,186700
2011-10-26,12.092,12.308,12.227,149300
2011-10-27,12.351,12.616,12.61,252600
2011-10-28,12.406,12.567,12.443,135100
2011-10-31,11.968,12.363,11.974,196000
2011-11-01,11.66,11.894,11.697,243600
2011-11-02,11.857,12.067,12.018,158600
2011-11-03,11.974,12.388,12.246,240300
2011-11-04,12.079,12.363,12.326,136500
2011-11-07,12.24,12.739,12.702,288300
2011-11-08,12.48,12.758,12.727,147300
2011-11-09,12.499,12.801,12.659,289400
2011-11-10,12.614,12.865,12.777,193300
2011-11-11,12.764,12.89,12.827,139900
2011-11-14,12.52,12.833,12.577,153600
2011-11-15,12.533,12.927,12.902,188000
2011-11-16,12.764,13.04,12.896,136700
2011-11-17,12.689,13.04,12.764,126900
2011-11-18,12.764,12.933,12.89,119000
2011-11-21,12.645,12.965,12.821,139200
2011-11-22,12.627,12.84,12.627,96400
2011-11-23,12.358,12.583,12.502,160100
2011-11-25,12.307,12.552,12.314,58300
2011-11-28,12.552,12.808,12.796,135500
2011-11-29,12.721,13.052,12.927,155000
2011-11-30,13.153,13.578,13.572,364400
2011-12-01,13.328,13.616,13.334,137000
2011-12-02,13.234,13.522,13.253,69600
2011-12-05,13.315,13.541,13.491,130300
2011-12-06,13.428,13.597,13.453,97900
2011-12-07,13.284,13.585,13.503,104300
2011-12-08,13.096,13.478,13.109,108900
2011-12-09,13.159,13.509,13.466,124800
2011-12-12,13.178,13.528,13.365,128500
2011-12-13,13.259,13.735,13.334,134100
2011-12-14,13.084,13.447,13.115,114500
2011-12-15,13.153,13.453,13.265,142700
2011-12-16,13.184,13.403,13.24,242200
2011-12-19,13.096,13.459,13.096,125300
2011-12-20,13.284,13.61,13.585,152300
2011-12-21,13.403,13.697,13.666,78100
2011-12-22,13.616,13.854,13.703,124200
2011-12-23,13.622,13.772,13.672,71000
2011-12-27,13.603,13.929,13.885,116700
2011-12-28,13.697,13.948,13.735,130300
2011-12-29,13.772,13.929,13.804,84600
2011-12-30,13.772,13.929,13.785,152600
2012-01-03,13.779,13.954,13.923,179900
2012-01-04,13.779,14.048,13.904,169000
2012-01-05,13.735,14.016,13.941,93200
