,Low,High,Close,Volume
2021-08-11,18.511,18.677,18.64,379900
2021-08-12,18.677,18.82,18.715,144800
2021-08-13,18.73,18.82,18.753,29000
2021-08-16,18.715,18.813,18.745,18700
2021-08-17,18.677,18.752,18.692,7300
2021-08-18,18.64,18.731,18.677,11500
2021-08-19,18.609,18.715,18.715,79900
2021-08-20,18.677,18.813,18.813,24100
2021-08-23,18.617,18.79,18.677,22200
2021-08-24,18.677,18.73,18.73,11200
2021-08-25,18.715,18.752,18.73,16900
2021-08-26,18.692,18.715,18.715,14300
2021-08-27,18.692,18.753,18.753,26000
2021-08-30,18.719,18.79,18.722,18500
2021-08-31,18.715,18.753,18.715,14500
2021-09-01,18.696,18.753,18.737,10400
2021-09-02,18.73,18.783,18.76,35000
2021-09-03,18.715,18.775,18.753,12700
2021-09-07,18.77,18.865,18.858,34700
2021-09-08,18.828,19.581,18.858,30000
2021-09-09,18.828,18.903,18.865,22100
2021-09-10,18.828,18.903,18.828,15300
2021-09-13,18.847,18.903,18.865,7400
2021-09-14,18.865,18.907,18.888,18200
2021-09-15,18.955,19.031,18.97,8900
2021-09-16,18.928,18.97,18.97,7400
2021-09-17,18.905,18.97,18.968,8900
2021-09-20,18.962,19.122,19.053,6800
2021-09-21,18.978,19.008,19.006,4700
2021-09-22,18.927,19.012,18.985,19400
2021-09-23,18.962,19.004,18.97,3600
2021-09-24,18.932,19.008,18.985,8300
2021-09-27,18.955,19.038,18.978,9000
2021-09-28,18.826,18.993,18.921,9000
2021-09-29,18.955,18.97,18.97,9500
2021-09-30,19.003,19.046,19.046,2700
2021-10-01,18.985,19.069,18.993,4800
2021-10-04,18.993,19.023,18.997,7500
2021-10-05,18.909,19.0,18.97,4700
2021-10-06,18.978,18.978,18.978,600
2021-10-07,18.995,19.046,19.004,1400
2021-10-08,18.955,18.978,18.962,5400
2021-10-11,18.97,19.046,18.97,1300
2021-10-12,18.97,19.046,18.97,8600
2021-10-13,18.962,18.993,18.978,7100
2021-10-14,19.003,19.103,19.058,6700
2021-10-15,19.061,19.134,19.134,6900
2021-10-18,19.065,19.073,19.073,6700
2021-10-19,19.065,19.073,19.073,5800
2021-10-20,19.069,19.073,19.073,6000
2021-10-21,19.065,19.073,19.073,2000
2021-10-22,19.046,19.073,19.073,3000
2021-10-25,19.05,19.142,19.073,5900
2021-10-26,19.065,19.134,19.073,2900
2021-10-27,19.065,19.073,19.065,4100
2021-10-28,19.058,19.103,19.073,7900
2021-10-29,19.058,19.081,19.073,6800
2021-11-01,19.029,19.065,19.05,7000
2021-11-02,19.039,19.096,19.065,7300
2021-11-03,19.068,19.142,19.073,8000
2021-11-04,19.069,19.103,19.073,6100
2021-11-05,19.061,19.073,19.073,10400
2021-11-08,19.065,19.073,19.073,8500
2021-11-09,19.02,19.073,19.073,7200
2021-11-10,19.027,19.073,19.058,9900
2021-11-11,19.073,19.096,19.073,5700
2021-11-12,19.027,19.084,19.073,22900
2021-11-15,19.107,19.176,19.176,13600
2021-11-16,19.084,19.192,19.123,18300
2021-11-17,19.13,19.184,19.15,3100
2021-11-18,19.107,19.153,19.117,9300
2021-11-19,19.104,19.115,19.107,4300
2021-11-22,19.107,19.161,19.161,2900
2021-11-23,19.084,19.161,19.161,12800
2021-11-24,19.161,19.176,19.161,4500
2021-11-26,19.046,19.165,19.084,18000
2021-11-29,19.15,19.161,19.155,2800
2021-11-30,19.084,19.161,19.084,8700
2021-12-01,19.138,19.169,19.153,11000
2021-12-02,19.084,19.176,19.169,9500
2021-12-03,19.161,19.176,19.169,3200
2021-12-06,19.084,19.166,19.084,8800
2021-12-07,19.046,19.151,19.1,31700
2021-12-08,19.046,19.084,19.065,21900
