,Low,High,Close,Volume
2022-01-14,20.356,20.552,20.471,88000
2022-01-18,20.43,20.536,20.466,34900
2022-01-19,20.479,20.634,20.552,11100
2022-01-20,20.479,20.552,20.544,11000
2022-01-21,20.528,20.634,20.589,13700
2022-01-24,20.471,20.626,20.487,98300
2022-01-25,20.446,20.552,20.454,10100
2022-01-26,20.413,20.471,20.413,10300
2022-01-27,20.258,20.389,20.348,7700
2022-01-28,19.979,20.337,20.194,86600
2022-01-31,20.143,20.258,20.225,54700
2022-02-01,20.245,20.266,20.245,5700
2022-02-02,20.266,20.303,20.266,7000
2022-02-03,20.184,20.323,20.237,14600
2022-02-04,20.237,20.237,20.237,3500
2022-02-07,20.192,20.241,20.195,8400
2022-02-08,20.225,20.282,20.274,4300
2022-02-09,20.266,20.479,20.372,6200
2022-02-10,20.159,20.307,20.307,14000
2022-02-11,20.184,20.266,20.266,3700
2022-02-14,20.253,20.253,20.253,2700
2022-02-15,20.192,20.454,20.407,1700
2022-02-16,20.407,20.407,20.407,4300
2022-02-17,20.225,20.434,20.389,12000
2022-02-18,20.389,20.43,20.43,1900
2022-02-22,20.43,20.43,20.43,2300
2022-02-23,20.356,20.471,20.471,1500
2022-02-24,20.233,20.405,20.335,4500
2022-02-25,20.225,20.471,20.348,3900
2022-02-28,20.454,20.454,20.454,100
2022-03-01,20.225,20.43,20.43,4800
2022-03-02,20.184,20.411,20.411,1200
2022-03-03,20.348,20.381,20.381,800
2022-03-04,20.245,20.266,20.245,10400
2022-03-07,20.127,20.402,20.402,10700
2022-03-08,20.225,20.471,20.225,1200
2022-03-09,20.299,20.43,20.43,2100
2022-03-10,20.225,20.43,20.43,1100
2022-03-11,20.348,20.461,20.348,1800
2022-03-14,20.622,20.622,20.622,1200
2022-03-15,20.407,20.622,20.622,1500
2022-03-16,20.622,20.622,20.622,0
2022-03-17,20.622,20.622,20.622,0
2022-03-18,20.548,20.605,20.605,2300
2022-03-21,20.46,20.605,20.605,1100
2022-03-22,20.622,20.622,20.622,300
2022-03-23,20.531,20.613,20.613,1900
2022-03-24,20.576,20.647,20.647,1700
2022-03-25,20.647,20.647,20.647,0
2022-03-28,20.407,20.535,20.448,4600
2022-03-29,20.448,20.448,20.448,100
2022-03-30,20.365,20.407,20.365,8600
2022-03-31,20.282,20.547,20.547,4500
2022-04-01,20.481,20.481,20.481,1100
2022-04-04,20.282,20.508,20.282,4800
2022-04-05,20.183,20.423,20.2,8800
2022-04-06,20.2,20.2,20.2,4300
2022-04-07,20.2,20.2,20.2,3700
2022-04-08,20.125,20.572,20.336,1300
2022-04-11,20.324,20.564,20.564,200
2022-04-12,20.564,20.564,20.564,0
2022-04-13,20.489,20.489,20.489,100
2022-04-14,20.034,20.531,20.531,1100
2022-04-18,20.531,20.531,20.531,0
2022-04-19,20.034,20.448,20.448,2400
2022-04-20,19.777,20.448,20.001,41700
2022-04-21,19.877,20.142,19.877,3700
2022-04-22,19.844,19.993,19.844,2000
2022-04-25,19.612,19.835,19.74,12600
2022-04-26,19.496,20.133,20.133,18900
2022-04-27,19.579,19.653,19.579,14200
2022-04-28,18.825,19.554,19.314,137900
2022-04-29,19.372,19.777,19.736,5100
2022-05-02,19.496,19.695,19.695,5000
2022-05-03,19.454,19.761,19.5,38900
2022-05-04,19.504,19.652,19.628,7900
2022-05-05,19.574,19.719,19.709,13300
2022-05-06,19.496,19.686,19.678,8500
2022-05-09,19.496,19.719,19.711,16100
2022-05-10,19.512,19.794,19.512,20500
2022-05-11,19.496,19.786,19.747,12600
2022-05-12,19.537,19.73,19.718,3800
2022-05-13,19.463,19.711,19.695,1700
2022-05-16,19.496,19.723,19.723,4400
2022-05-17,19.463,19.753,19.753,2800
2022-05-18,19.537,19.736,19.728,8600
2022-05-19,19.123,19.753,19.628,27800
2022-05-20,19.496,19.736,19.695,5100
2022-05-23,19.537,19.744,19.711,3400
2022-05-24,19.496,19.703,19.604,5900
2022-05-25,19.661,19.742,19.661,2900
2022-05-26,19.546,19.744,19.703,800
2022-05-27,19.719,19.744,19.719,3600
2022-05-31,19.633,19.852,19.852,7500
2022-06-01,19.827,19.827,19.827,3900
2022-06-02,19.62,19.802,19.79,1600
2022-06-03,19.703,19.786,19.786,4200
2022-06-06,19.62,19.769,19.738,1600
2022-06-07,19.62,19.753,19.751,3600
2022-06-08,19.57,19.736,19.714,6500
2022-06-09,19.546,19.728,19.562,4300
2022-06-10,19.496,19.719,19.719,800
2022-06-13,19.455,19.711,19.711,5700
2022-06-14,19.584,19.781,19.781,2000
2022-06-15,19.705,19.789,19.705,3300
2022-06-16,19.462,19.764,19.764,500
2022-06-17,19.378,19.496,19.496,5000
2022-06-21,19.613,19.856,19.749,3700
2022-06-22,19.504,19.856,19.848,3500
2022-06-23,19.63,19.898,19.756,3200
2022-06-24,19.873,19.873,19.873,100
2022-06-27,19.588,20.157,19.915,5800
2022-06-28,19.915,19.915,19.915,0
2022-06-29,19.512,19.839,19.839,1100
2022-06-30,19.819,19.915,19.915,1000
2022-07-01,19.915,19.915,19.915,0
2022-07-05,19.463,19.819,19.63,4100
2022-07-06,19.37,19.915,19.915,18800
2022-07-07,19.915,19.915,19.915,0
2022-07-08,19.378,19.525,19.504,3900
2022-07-11,19.378,19.546,19.546,1800
2022-07-12,19.294,19.554,19.412,4700
2022-07-13,19.596,19.915,19.915,400
2022-07-14,19.395,19.563,19.563,200
2022-07-15,19.277,19.546,19.529,2900
2022-07-18,19.378,19.659,19.546,1900
2022-07-19,19.319,19.588,19.378,7900
2022-07-20,19.311,19.504,19.386,1600
2022-07-21,19.277,19.714,19.277,3700
2022-07-22,19.294,19.915,19.294,500
2022-07-25,19.273,19.336,19.328,700
2022-07-26,19.286,19.328,19.319,800
2022-07-27,19.21,19.504,19.504,7200
2022-07-28,19.504,19.504,19.504,0
2022-07-29,19.294,19.529,19.529,5300
2022-08-01,19.42,19.521,19.512,400
2022-08-02,19.512,19.709,19.63,9400
2022-08-03,19.621,19.621,19.621,500
2022-08-04,19.512,19.873,19.873,1000
2022-08-05,19.873,19.873,19.873,0
2022-08-08,19.856,19.856,19.856,300
2022-08-09,19.789,19.898,19.789,2000
2022-08-10,19.881,19.881,19.881,100
2022-08-11,19.881,19.881,19.881,100
2022-08-12,19.756,19.756,19.756,4000
2022-08-15,19.554,19.814,19.814,300
2022-08-16,19.647,19.881,19.881,300
2022-08-17,19.881,19.881,19.881,0
2022-08-18,19.395,19.881,19.881,3400
2022-08-19,19.832,19.839,19.832,600
2022-08-22,19.832,19.832,19.832,0
2022-08-23,19.504,19.756,19.563,6700
2022-08-24,19.504,19.63,19.63,2100
2022-08-25,19.567,19.567,19.567,200
2022-08-26,19.437,19.588,19.46,1600
2022-08-29,19.688,19.688,19.688,200
2022-08-30,19.688,19.688,19.688,0
2022-08-31,19.688,19.688,19.688,0
2022-09-01,19.437,19.714,19.714,800
2022-09-02,19.714,19.714,19.714,100
2022-09-06,19.567,19.714,19.714,600
2022-09-07,19.714,19.714,19.714,0
2022-09-08,19.714,19.714,19.714,0
2022-09-09,19.567,19.705,19.705,1400
2022-09-12,19.462,19.697,19.697,900
2022-09-13,19.428,19.68,19.68,500
2022-09-14,19.895,19.895,19.895,100
2022-09-15,19.887,19.912,19.912,500
2022-09-16,19.555,19.946,19.946,2800
2022-09-19,17.795,19.722,19.722,2300
2022-09-20,19.912,19.912,19.912,400
2022-09-21,19.598,19.895,19.895,400
2022-09-22,19.572,19.768,19.768,1700
2022-09-23,19.19,19.445,19.277,7100
2022-09-26,19.147,19.164,19.147,6900
2022-09-27,19.598,19.623,19.623,800
2022-09-28,19.309,19.657,19.564,3100
2022-09-29,19.3,19.632,19.428,2400
2022-09-30,19.215,19.589,19.589,1600
2022-10-03,19.589,19.589,19.589,0
2022-10-04,19.555,19.624,19.555,200
2022-10-05,19.3,19.64,19.64,1400
2022-10-06,19.428,19.589,19.589,400
2022-10-07,19.355,19.453,19.453,600
2022-10-10,19.173,19.428,19.173,900
2022-10-11,18.917,19.36,19.177,3000
2022-10-12,19.045,19.283,19.045,1900
2022-10-13,19.139,19.139,19.139,100
2022-10-14,18.875,19.274,19.053,800
2022-10-17,19.249,19.249,19.249,100
2022-10-18,19.249,19.249,19.249,0
2022-10-19,18.79,19.019,19.019,5700
2022-10-20,18.662,19.045,18.662,2400
2022-10-21,18.416,18.458,18.416,2100
2022-10-24,18.127,18.662,18.246,6900
2022-10-25,18.127,18.373,18.373,5200
